Job Link,Job Desception,Company Info
https://www.linkedin.com/jobs/view/3715594145,"About the job
            

 
BAT is evolving at pace - truly like no other organisation.To achieve the ambition, we have set for ourselves, we are looking for colleagues who are ready to live our ethos every day. Come be a part of this journey!ROLE PROFILEJOB TITLE Celonis Process Mining Value Architect FUNCTION Global Business Solutions (GBS)SUB FUNCTION Business Optimization Centre (BOC)Role SummaryThe (Celonis) Process Mining Value Architect will proactively turn process data into business opportunity, playing a central role in shaping optimal global process architecture. Not only will the ideal candidate play a pivotal role in unlocking business value, but they will also sponsor large-scale adoption of cutting-edge process mining techniques across geographies.The role is based in BAT’s global BOC function (Business Optimisation Centre), where you will be surrounded by a continuous improvement culture and specialists with a rich background in global operating model design who champion data-driven business process improvement in Finance, HR, Operations and Marketing.Role scope and remitReports toGBS Methods CoE LeadSize of the teamn/aCore RelationshipsInternal - effective working relationship with GBS and commercial units, depending on projectExternal - direct contact with BAT suppliers/ peer-connects with Process Mining CoEs in other companiesGeographic Scope GlobalGOM Processes scopeAll (Marketing, Operations, Finance, HR, Corporate)Accountabilities Lead process mining global initiatives, by pairing business challenges with process data opportunity in an evolving business environmentCollaborate with cross-functional teams to identify data-driven process inefficiencies, recommend improvements and design solutions which drive business value and operational excellenceProactively offer process mining solutions and expert guidance to stakeholders, closely observing their business challenges and goalsStay current with industry trends and advancements in process mining and recommend/ develop relevant technologies
EssentialEXPERIENCE, SKILLS, KNOWLEDGE Proficiency in process mining/ business process management with Celonis or neighbouring technology5 or more years of expertise in Continuous ImprovementStrong analytical skills with the ability to draw insights from complex datasets and apply solutions to business problemsBusiness process & IT change management experienceSelf-starting, independent and collaborativeCollaborative mindset with the ability to work effectively in cross-functional global teamsStrong communication, effective stakeholders’ engagement and data storytelling
Beneficial Experience within SSC/ GBS organisations, preferably in Procure to Pay/ Order to CashLean and Six Sigma Certification/ experience with AgilePlease notice that at the moment we might not have any vacancy, but as soon as it will arise we will contact you.
We are BATAt BAT, we are committed to our Purpose of creating A Better Tomorrow. This is what drives our people and our passion for innovation. See what is possible for you at BAT. Global Top Employer with 53,000 BAT people across more than 180 marketsBrands sold in over 200 markets, made in 44 factories in 42 countriesNewly established Tech Hubs building world-class capabilities for innovation in 4 strategic locationsDiversity leader in the Financial Times and International Women’s Day Best Practice winnerSeal Award winner – one of 50 most sustainable companies
Belonging, achieving, togetherCollaboration, diversity and teamwork underpin everything we do here at BAT. We know that collaborating with colleagues from different backgrounds is what makes us stronger and best prepared to meet our business goals. Come bring your difference!","Tobacco Manufacturing
            
              10,001+ employees
            

              40,007 on LinkedIn"
https://www.linkedin.com/jobs/view/3698265932,"About the job
            

 
About Banyan Software:Banyan Software provides the best permanent home for successful enterprise software companies, their employees, and customers. We are on a mission to acquire, build and grow great enterprise software businesses all over the world that have dominant positions in niche vertical markets. In recent years, Banyan was named the #1 fastest-growing private software company in the US on the Inc. 5000 and amongst the top 10 fastest-growing companies by the Deloitte Technology Fast 500. Founded in 2016 with a permanent capital base setup to preserve the legacy of founders, Banyan focuses on a buy and hold for life strategy for growing software companies that serve specialized vertical markets.Job Profile:Banyan is looking to hire a Lead Generation Manager as a foundational member of the offshore Karachi Tech & Data team. As the first hire and offshore leader of this team, the candidate will drive the creation and operationalization of this team dedicated to finding great software businesses. The primary objective will be to identify, review and qualify promising software companies that align with our strategic goals, working in close coordination with the onshore team in Canada/US. Leveraging your strong leadership, communication and analytical skills, you will play a pivotal role in growing Banyan’s top-of-funnel account lead generation function. If you love working with lots of data, have a passion for solving complex problems and building solutions with an amazing team, please join us! Please note that this is an on-site job based in Karachi.Responsibilities:  Develop and execute a comprehensive strategy for establishing and operating an offshore team focused on software business lead generation.  Define and implement end-to-end account lead generation processes, ensuring consistent and efficient identification, review and qualification of software business prospects.  Collaborate closely with onshore team members to evaluate and assess accuracy of identified prospects.  Provide leadership and guidance to the offshore team, setting clear goals, KPIs and expectations.  Conduct regular performance reviews, provide coaching and feedback, and promote a culture of continuous improvement.  Monitor and report on the team’s progress, lead generation metrics and outcomes to onshore Tech & Data leadership.  Stay informed about industry trends, market dynamics and emerging technologies that could impact software business lead generation strategies and efficiencies.  Contribute to the ongoing enhancement of lead generation methodologies, tools and best practices. 
Qualifications for success:  5+ years of relevant work experience in account lead generation, business development or a related field, preferably within the software industry.  Strong proficiency in verbal and written English with strong communication skills.  Strong leadership and team management skills, with a track record of building and leading high-performing teams.  Effective communication and interpersonal skills, with the ability to interact with team members at all levels.  Results-oriented mindset with the ability to meet and exceed lead generation targets.  Exceptional organizational skills and the ability to manage multiple priorities.  Proficiency in using deal lead generation platforms and CRM systems (Salesforce preferred) for tracking and reporting lead generation activities.  Ability and openness to adapt strategies as the software industry evolves.  Willing to work from 2PM to 10PM Pakistan Standard Time.  A related post-secondary degree is preferred (i.e., business, computer science, etc.)
Banyan Software Company encourages applications from all qualified individuals. Applicants with disabilities may notify us of any accommodation needed to support your participation in the recruitment process. We wish to thank all applicants for their interest and effort in applying. Please be aware that only candidates selected for interviews will be contacted for this position.Banyan Software is an equal opportunity employer and makes employment decisions without regard to race, gender, disability, or protected veterans’ status.","Software Development
            
              501-1,000 employees
            

              105 on LinkedIn"
https://www.linkedin.com/jobs/view/3676486535,"About the job
            

 
"" To be the most loved everyday food and groceries destination! "" - that’s our mission at foodpanda (small ‘f’).foodpanda is the largest food and grocery delivery platform in Asia, outside of China. Operating in more than 400 cities across 11 markets, we continue to expand and grow in our core food delivery business, as well as in new verticals like grocery deliveries, with a strong tech infrastructure at our core. From our restaurants-partners, cloud kitchens and cloud grocery stores — foodpanda is just one tap away, getting everything you need into your hands quickly and conveniently!We are looking for enthusiastic problem solvers to join us in scaling our platform, to digitalise businesses in Asia, uplift rider livelihoods and build a hyper-convenient platform for our customers. If you love working with technology to create solutions and are not afraid to roll up your sleeves to get things done, you will find your tribe here at foodpanda. Our diverse and high-performing team comprises people from more than 60 nationalities, and we welcome all experiences, backgrounds, and perspectives.We are currently looking for a highly driven, motivated Senior Analyst, Logistics Operations (APAC) to work in our regional APAC team. You will be responsible for supporting the APAC countries to provide a better experience to our customers through more efficient logistics. This role will be based in Pakistan.Responsibilities:   You will be empowered to take full responsibility for improving logistics operations.  Work on regional projects for our 11 APAC markets to improve logistics operations performance, with a focus on customer experience and retention.  Analyze big sets of product data to understand our riders, vendors and customers’ behavior, to define the direction our products should develop.  Transform big data sets into visualizations to help yourself and the team make the right decisions.  Potential projects:  Analyze large data sets to identify areas to optimizing spending that improve rider and consumer experience  Understand demand patterns and collaborate with growth marketing to improve forecasting accuracy  Analyze and execute optimal delivery fee structures to improve overall gross profit  Identify opportunities to improve staffing efficiency in supply crunch zones 

Requirements:  You have successfully completed a Bachelor’s or Master’s degree in Business, Economics, Computer Science, Mathematics, Statistics, Engineering or another quantitative field.  You have at least 2-4 years of work experience in analytical roles for high growth startups, investment banking, consulting or logistics environment  You love data analysis. Excellent SQL and Excel skills are a must. Experience with data visualization tools (Tableau, Data Studio) is a plus.  You enjoy working independently and are reliable  We are very dynamic. You need to feel comfortable in fast-changing working environments  You are open minded and eager to learn even the most minimal detail of the business 
What We Offer  A dynamic and challenging work environment.  A company committed to developing you personally and professionally.  A great working atmosphere with regular company and team events.  A vibrant and international team committed to diversity and inclusion.  Responsibility from day one in a fast growing and global company.  Other benefits include free food, health and dental insurance, and learning and development opportunities! 
Our parent company, Delivery Hero, is a global leader in the food delivery industry processing over 3 million orders every day and operating in 40+ markets in the world, with 18,000 employees and approximately 500,000+ restaurant partners.","Internet Marketplace Platforms
            
              5,001-10,000 employees
            

              13,482 on LinkedIn"
https://www.linkedin.com/jobs/view/3631030811,"About the job
            

 
Who are we? Afiniti is the world’s leading applied artificial intelligence and advanced analytics provider. Afiniti Enterprise Behavioral Pairing™ uses artificial intelligence to identify subtle and valuable patterns of human interaction in order to pair individuals on the basis of behavior, leading to more successful interactions and measurable increases in enterprise profitability. Afiniti operates throughout the world and has measurably driven billions of dollars in incremental value for our clients.Job Role: Senior SDET EngineerPurposeWe are looking for a Senior SQA to join our team. As a Senior SQA, you will be responsible for creating and implementing a strategy for quality coordination and testing as well as suggesting solutions to identified quality problems.Key Responsibilities Motivate the development process for efficiency and performanceWorks together with the software developer to enhance and improve programsWrite test plans, test specification, bug reportsResponsible for automating the test cases and developing the infrastructure based clusters and automation tools.Work closely with to developers and dev ops team to integrate tests into code release cyclesThe testing must be informed by the specs, basic knowledge of the architecture, and reasonable assumptions (e.g. backend changes)The bug reports contain enough detailed information for developers enabling them to quickly identify the root cause making the bugs more actionableWork with the primary supervisor to prioritize tasks that add the most value and deliver high-quality results for the customerUnderstand and effectively participate in the core processes of the teamUse and understand tools needed to debug and diagnose issues in a test and/or simple production environment
Experience And Skill Set Proven work experience in software development and software quality assuranceExtensive experience in software development and testingBe able to read and navigate through a large code base and effectively debug others’ codeHigh proficiency in computer technology and programming languagesStrong knowledge of Linux and Microsoft WindowsIn-depth understanding of Java, Python, SQL, C++ and XMLExcellent analytical and problem-solving skillsGood oral and written communication skillsGreat team player and able to work efficiently with minimal supervision
Competencies Exhibit Respect and Trust: Respect others by recognizing and sincerely acknowledging their humanity, worth and significance. Build and maintain trust by acting with honesty and integrity.Master the Craft: Develops expertise in domain knowledge and technical foundations continuously and ever increasingly. Become an expert at developing and executing what is expected in one’s roleOwn the Work and the Results: Commits to action and assumes responsibility and ownership for own performance and the associated outcomes. Takes initiative and ownership to drive results and accountability for commitmentsFocus on Client Experience: Focus on solving real customer problems and delighting them with great experiences and productsWork Collaboratively Others: Works positively and collaboratively in a team to achieve team goals and successes; works to unblock others and lives the company value of “one team one dream”Manage Ambiguity and Complexity: Demonstrate resilience and composure, get things done despite challenges and maintain performance levels in pressured, adverse and uncertain environments. Handle risk, complexity, and dependencies effectively, pragmatically in a timely manner
Education & QualificationsBS/MS degree in Computer Science, Engineering or a related subject","Software Development
            
              1,001-5,000 employees
            

              1,852 on LinkedIn"
https://www.linkedin.com/jobs/view/3713019652,"About the job
            

 
TCP is committed to cultivating a diverse and inclusive team. However, we are not able to sponsor visas for this role. About TCP (TimeClock Plus)For more than 30 years, TCP has helped organizations engage their people by providing flexible, mobile timekeeping and workforce management solutions. Trusted by tens of thousands of customers and millions of users, TCP delivers best-in-class technology and personalized support to organizations of all sizes in the public and private sector to meet their complex timekeeping, employee scheduling, leave management and other workforce needs. Growth is happening and our vision for a successful future is clear - We'd love for you to join us on this journey! For more information on TCP, visit www.tcpsoftware.com or follow us on LinkedIn or Facebook. At TCP Software, LLC, finances are the fuel that keeps our company moving. We’re seeking a Renewal Billing Data Analyst who is proficient in API and SQL and has experience with data queries to join our Renewal Billing Team. In this role, you will be responsible for ensuring proper processes are followed, and that renewal billing data is accurate and complete. As a key member of the team, you will help ensure scalable processes are executed upon and that we are continually executing on day-to-day tasks with excellence using your expertise in API and SQL to develop data queries to extract and analyze renewal billing data.If you love details and positive recognition for well-executed work, you will enjoy working with our team. To be successful in this role, you should have a natural passion for problem-solving and making decisions based on facts. We hope you are excited to bring your learnings and experiences to TCP Software to help improve and manage the renewal billing workflows using your expertise in API and SQL, and we encourage you to be flexible and open to learning new tools or processes.You would play an enormously important role in supporting the VP Corporate Controller and Accounts Receivable and Billing Operations Manager to support the management of our day-to-day operations while continually improving our processes. This includes supporting system improvement implementations and our continual evaluation and refinement of our controls to ensure the processes are scalable as we continue to bring in acquired companies to our portfolio.As Renewal Billing Data Analyst, You Will Own delivery of daily/weekly/monthly bulk modifications to our customer billing database using REST APIs.Gather reporting requirements and work closely with the broader team to understand their analytics & reporting needs, requirements & priorities and help them with big data management.Explore data to answer key business questions and support ad hoc reporting requests, using SQL queries.Proactively bring new ideas, develop creative, engaging data visualization to facilitate access to insights.Maintain a strong working understanding of TCP Software’s renewal operations across all our product lines, which include our TimeClock Plus, Humanity, Aladtec, and ScheduleAnywhere product lines, to uncover new opportunities for high-value reporting and analytics.Ad-hoc support on mergers and acquisition migration work.
You are a strong fit for this role if you have: BS Computer Science or related field. (Fresh graduates can apply)Experience using REST API calls. (Must have)Knowledge of writing SQL queries to extract data from SQL databases.Hands-on experience of SFDC will be a plus.Understanding of data visualization tools such as Tableau, PowerBI or similar.Experience in SaaS industry with a solid understanding of its dynamics and reporting terminologies will be preferred.Proficiency in the English language is preferred.Quick, enthusiastic, with excellent organization skills.
Other DutiesPlease note this job description is not designed to cover or contain a comprehensive listing of activities, duties or responsibilities that are required of the employee for this job. Duties, responsibilities, and activities may change at any time.TCP is an equal opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees.","Software Development
            
              501-1,000 employees
            

              917 on LinkedIn"
https://www.linkedin.com/jobs/view/3596792250,"About the job
            

 
The TeamDo you love to collaborate & provide solutions? This team comes together across eight different locations every single day to craft enterprise grade applications that serve a large customer base with growing demand and usage. You will use a wide range of technologies and cultivate a collaborative environment with other internal teams.The RoleAs a Salesforce Developer with the Order to Cash (OTC) technology team, you will be responsible for developing & providing support across a variety of products within S&P Global. Together, you will build scalable and robust solutions using AGILE development methodologies with a focus on high availability to end users. You will be participating in the software development process (SDLC).The ImpactWe focus primarily developing, enhancing, and delivering required pieces of information & functionality to internal & external clients in all client facing applications. You will have a highly visible role where even small changes have very wide impact.What’s in it for you?Opportunities for innovation and learning new state of the art technologiesTo work in pure agile & scrum methodologyOpportunity to work with a team responsible for the architecture, design and development of enterprise domain of our products.Responsibilities Deliver solutions within a multi-functional Agile teamDevelop expertise in our proprietary enterprise software productsSet and maintain a level of excitement in using various technologies to develop, support, and iteratively deploy real enterprise level softwareAchieve an understanding of customer environments and their use of the productsBuild solutions architecture, algorithms, and designs for solutions that scale to the customer's enterprise/global requirementsApply software engineering practices and implement automations across all elements of solution delivery
QualificationWhat we’re looking for: 6+ years of Salesforce CRM development experience with deep understanding of Object-oriented programming.CRM (Salesforce) Mandatory, Informatica, C#, Asp.net, SQL, REST/Web API, Strong OOP Concepts, Integrated Platforms, Deep understanding of Design Patterns and strong analytical skills.Good experience in Classic/Lightning salesforce development, in both configurations and customizations such as Apex Classes, Apex Triggers, Visual Force Pages, LWC, Integration (both REST & SOAP), batch classes, schedulers.Ability to resolve serious performance related issues through various techniques, including testing, debugging, and profiling.Strong problem solving, analytical and communication skills.Possess a true “roll up the sleeves and get it done” working approach; demonstrated success as a problem solver, operating as a client-focused self-starter.Willing to work in Evening/ Night Shift.
Educational Qualifications Bachelors degree in Computer Science or Computer Engineering
Good To Have Experience or familiarity with Azure DevOpsProven record of accomplishment in solution focused problem-solving skillsExperience working with globally distributed teams utilizing agile practices.
#Equal Opportunity EmployerS&P Global is an equal opportunity employer and all qualified candidates will receive consideration for employment without regard to race/ethnicity, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, marital status, military veteran status, unemployment status, or any other status protected by law. Only electronic job submissions will be considered for employment.If you need an accommodation during the application process due to a disability, please send an email to: EEO.Compliance@spglobal.com and your request will be forwarded to the appropriate person. US Candidates Only:  The EEO is the Law Poster http://www.dol.gov/ofccp/regs/compliance/posters/pdf/eeopost.pdf describes discrimination protections under federal law.20 - Professional (EEO-2 Job Categories-United States of America), IFTECH202.1 - Middle Professional Tier I (EEO Job Group), SWP Priority – Ratings - (Strategic Workforce Planning)Job ID: 283506Posted On: 2023-09-02Location: Islamabad, Pakistan","Financial Services
            
              10,001+ employees
            

              35,495 on LinkedIn"
https://www.linkedin.com/jobs/view/3468176893,"About the job
            

 
DescriptionPosition at ZonesAbout ZonesZones is a global provider of end-to-end IT solutions with an unmatched supply chain. Positioned to be the IT partner you need, Zones, a Minority Business Enterprise (MBE) in business for over 35 years, specializes in Digital Workplace, Cloud & Data Center, Networking, Security, and Managed/Professional/Staﬃng services. Operating in more than 120 countries, leveraging a robust portfolio, and utilizing the highest certiﬁcation levels from key partners, including Microsoft, Apple, Cisco, Lenovo, Adobe, and more, Zones has mastered the science of building digital infrastructures that change the way modern organizations do business. Whatever you need, you can Consider IT Done.Visit the Zones Innovation Center, zones.com, or follow us on Twitter, Facebook, and LinkedIn.Requirements Bachelor’s degree in Computer Science or Information Technology.5-7 years of information security experience.Must have experience with ISO 27001 (Must have worked on producing evidence of compliance with the mandatory clauses (4 through 10)), SOC 2, and good to have PCI-DSS compliance management experience. STRONG communication skill (verbal and written) is a must – The role requires close cooperation and working with the teams in the US.Meet the deadlines; An energetic person with right attitude and to work and deliver under pressure. Experience of working in US-based multinational organizations would be a PLUS.Security certifications such as CISSP/CISA, ISO27001 are a must.Extensive experience with auditing vendors / service providers / partners for compliance with security.Experience of working extensively with the Engineering teams (system admin, network admin, security admin, application teams) to effectively communicate the compliance requirements.
Duties/Responsibilities Analyze management and technical controls to ensure that specific security and compliance requirements are met through the verification of documented processes, procedures, and standards.Map regulatory/security requirements across the information security framework to identify overlapping requirements and compliance efficiencies.Track enterprise compliance across multiple security frameworks including ISO27001, 27701, SOC2, GDPR and PCI-DSS, maintaining up-to-date records of requirements and corresponding mitigating controls.Help internal teams with readiness for internal/external assessments/audits against industry standards and review programs/documentation for conformance.Collaborate on critical IT projects to ensure that security policy/risk issues are addressed throughout the project life cycle.Develop key performance metrics to track and ensure compliance with established policies and standards.
Shift: Night (8 PM – 5 AM)Zones Offers a Comprehensive Benefits PackageOur employees enjoy a variety of comprehensive benefits, including health Insurance coverage for parents, spouse & children, life insurance, Gratuity, and EOBI. We maintain our unequivocal commitment to and support of equal employment opportunity for all individuals, free from discrimination based on race, color, ethnicity, religion, national origin, citizenship, marital status, gender, sexual orientation, age, disability, genetic information, or any other basis protected by under the law. At Zones, work is more than a job – it's an exciting career immersed in an inventive, collaborative culture.At Zones, work is more than a job –with an exciting career with a global team who are client-centric, has a passion for tech, and embrace change and lifelong learning in a collab culture. If you're interested in working on the cutting edge of IT innovation, sales, engineering, operations, administration, and more, Zones is the place for you!","IT Services and IT Consulting
            
              501-1,000 employees
            

              450 on LinkedIn"
https://www.linkedin.com/jobs/view/3730131123,"About the job
            

 
About Us:CureMD excels in providing advanced tools and technologies that empower healthcare professionals to make informed decisions about patient care. Our state-of-the-art solutions harness the power of data analytics, artificial intelligence, and machine learning to analyze patient information, decipher patterns, and render actionable insights. These advanced technologies equip physicians with profound insights into each patient's health, enabling them to formulate precise diagnoses, implement highly effective treatment strategies, and deliver top-quality care with ease.Job Overview:We are seeking an experienced and strategic IT Director to lead our Information Technology department. The ideal candidate will be a visionary leader with a strong technical background and the ability to align IT initiatives with our company's business goals. The IT Director will oversee all aspects of our IT operations, including infrastructure, security, systems, and digital transformation projects.Essential Job Responsibilities:Strategic Leadership: Develop and execute an IT strategy that supports the organization's strategic goals and objectives.Collaborate with executive leadership to identify technology trends and opportunities for innovation.
Team Management: Lead, mentor, and manage a high-performing IT team, fostering a culture of excellence and continuous improvement.Recruit, train, and develop IT staff to ensure a skilled and motivated workforce.
Infrastructure and Operations: Oversee the management of the company's IT infrastructure, including networks, servers, and data centers.Ensure the availability, security, and reliability of all IT systems and services.
Cybersecurity: Develop and implement robust cybersecurity strategies and policies to protect the organization's data and systems.Stay up-to-date with emerging cybersecurity threats and best practices.
Digital Transformation: Lead digital transformation initiatives to enhance efficiency and competitiveness through technology.Identify and evaluate emerging technologies and their potential impact on the business.
Budget and Resource Management: Manage the IT budget, ensuring cost-effective use of resources.Evaluate and recommend IT investments to support business growth.
Compliance and Governance: Ensure compliance with relevant regulations, standards, and industry best practices.Establish and enforce IT policies and procedures.
Qualifications: Bachelor's degree in Computer Science, Information Technology, or related field; Master's degree preferred.Proven experience in an IT leadership role, with a track record of strategic IT management.Strong knowledge of IT infrastructure, cybersecurity, and emerging technologies.Exceptional leadership and communication skills.Ability to align IT initiatives with business objectives.Relevant industry certifications (e.g., CISSP, CIO, ITIL, PMP) a plus.
Compensation and Benefits: Competitive base salary and yearly bonus.Health benefits (Outpatient, Inpatient, Maternity).Provident Fund company match up to 8% of the base salary.Company-sponsored trainings, workshops, education, and development programs.Collaborative yet fun-loving atmosphere: space that fosters employee wellbeing.Commuter support, supportive workspaces, gym facility, and daycare.","Software Development
            
              1,001-5,000 employees
            

              1,321 on LinkedIn"
https://www.linkedin.com/jobs/view/3730823344,"About the job
            

 
Who We AreMotive builds technology to improve the safety, productivity, and profitability of businesses that power the physical economy. Motive combines IoT hardware with AI-powered applications to connect and automate physical operations. Motive is one of the fastest-growing software companies in the world, serving more than 120,000 businesses, across a wide range of industries including trucking and logistics, construction, oil and gas, food and beverage, field service, agriculture, passenger transit, and delivery.Motive is built on four foundational attributes; Own It, Less but Better, Build Trust, and Unlock Potential. This has taken our company to great heights, including being recognized by Fortune for Best Workplaces, Forbes Best Startup Employers, and Comparably for our Best Global Culture, Sales Team, Leadership Team, Career Growth, and CEO for Diversity. We’re proud to receive an employee net promoter score of 63 (according to Comparably) which places Motive in the top 5% of companies with 4,000 employees or more.Today, our team is made up of more than 3,000 employees, located across the world, providing support to a wide range of customers. While most of our employees are remote, many have the opportunity to work on-site at any of our 8 global office locations. Visit our careers website to learn more about opportunities at Motive.About The RoleThis is a great opportunity to make a significant impact in designing and building our new Motive Fleet Manager Android app and as well as grow by working directly with experienced technology professionals with backgrounds from Silicon Valley companies like Google, Twitter, Facebook and Uber (to name a few). We are looking for candidates who have a familiarity with Java and Kotlin, and a good understanding of system architectures (MVC, MVVM, Redux) and a forward thinking mindset aimed at high readability (declarative) code, as well as identifying problems or bottlenecks before they become issues.What You'll Do Develop from scratch our new Android Motive App.Work with product team to refine feature specs, and work with cross functional teams to create fluid user experiences with interactive visualization for a multitude of data from these different teamsCommunicate with backend engineers about API requirements or refinements, and engage with the senior engineers for mentorship to learn & grow in your areas of interestAnalyze our user's data to identify bugs, and help support team to diagnose user problemsBe able to work as part of a small, tightly knit team 
What We're Looking For 5+ years of experience working on Android apps with a deep understanding of Android SDKsProficiency in Java, Kotlin, Android lifecycle, custom views, database/persistenceAn understanding of Android UI/UX and application design paradigmsAn appreciation and understanding of automated app testingKnowledge in RxJava2, Dagger2, and knowledge or interest in commercial vehicles/trucking is a plus!
Creating a diverse and inclusive workplace is one of Motive's core values. We are an equal opportunity employer and welcome people of different backgrounds, experiences, abilities and perspectives. Please review our Candidate Privacy Notice here.The applicant must be authorized to receive and access those commodities and technologies controlled under U.S. Export Administration Regulations. It is Motive's policy to require that employees be authorized to receive access to Motive products and technology.","Software Development
            
              1,001-5,000 employees
            

              3,744 on LinkedIn"
https://www.linkedin.com/jobs/view/3697608684,"About the job
            

 
At Dubizzle Labs, we are looking to further expand our Pakistan engineering office of already 100+. We are most interested in bringing on board colleagues who love to learn, perform, and teach. We are building a high-quality engineering environment with a super focus on delivering value to customers. Your primary responsibility would be to build world-class suite products to support the hyper-growth of our businesses in 10 countries.We’re looking for passionate problem solvers to join our team. As an Product manager, you will work closely with the product management team to collaborate and get deep into the problems to deliver powerful features that strengthen and complement our business.Having excellent communication & collaboration skills, excellent technical and analytical understanding, product management expertise, good judgment and deep background in developing, deploying or launching technical products will allow you to thrive in this role.The role is for an internal CRM that powers some of the most business-intensive operations within the EMPG group.Responsibilities Create feature stories through wireframes and mockups.Be an expert communicator to bridge gaps between design, engineering, marketing, sales, customer support, and our users.Define the product strategy, set goals, and figure out how to get to them.Investigate our competitive position and deliver products that are well-recognized in the industry Work, understand pain points, and figure out if we’re on track or need to adjust course.
Requirements Love nothing more than taking an idea, crafting a plan, and executingBe versatile, flexible and be able to understand everything ranging from technical issues to market strategyPossess excellent communication and presentation skillsHave excellent organizational and analytical skillsBe extremely comfortable with numbers and be data-drivenHave experience in designing simple and intuitive User Interface BS in CS or EE or related technical/mathematical field is ideal
We know that applying to a new role takes a lot of work and we truly value your time. We are looking forward to reading your application. If you’re interested in helping us shape the future, send us a few samples of your work: portfolio, wireframes, UX flows, publications, or whatever represents what you do best.","IT Services and IT Consulting
            
              201-500 employees
            

              307 on LinkedIn"
