Job Link,Job Desception,Company Info
https://www.linkedin.com/jobs/view/3728836470,"About the job
            

 
Why Graana?At Graana we give you the platform to be part of the real-estate landscape and lead the industry. For more than a decade our intention has been to revolutionize the real estate industry in Pakistan. The same belief drove the vision of our real estate team, Graana; where quality beats quantity. Graana.com is a result of simplified essential components of real estate into a more efficient and user-friendly portal.Objectives of this Role:The Job holder will be responsible for identifying and securing new projects, building strong relationships with clients, and driving business growth. The employee will be using his/her expertise to analyze market trends, negotiate deals, and collaborate with cross-functional teams.What is your Role / Job Description? - Identifying and acquiring new real estate projects for the company- Conducting market research to identify potential project opportunities- Building and maintaining relationships with property owners and developers- Negotiating and finalizing deals for project acquisitions- Collaborating with cross-functional teams to ensure successful project execution- Staying updated with industry trends and market conditions- Contributing to the development of business strategies for project acquisition- Meeting or exceeding sales targets for project acquisitions What do you need?Education: GraduationExperience: 7-8 Years Location: LahoreSkills:• Excellent Communication Skills• Stakeholder Management• Strong Analytical Skills• Business Acumen• Negotiation Skill• Project Acquisitions","Real Estate
            
              501-1,000 employees
            

              784 on LinkedIn"
https://www.linkedin.com/jobs/view/3716056255,"About the job
            

 
Company DescriptionFusion Services LLC. We are trucking a trucking dispatch company based in Wyoming, USA. We provide dispatch services all over USA.Role DescriptionThis is a full-time on-site Sales Agent role located in Lahore. As a Sales Agent, you will be responsible for selling the company's services. This includes identifying and qualifying potential customers, presenting products/services to them, and closing deals. You will also be expected to maintain and develop relationships with existing clients and ensure customer satisfaction. Your main goal will be to achieve sales targets while adhering to company policies and procedures.Qualifications Decent experience in sales, Freshers can also apply.Excellent communication and interpersonal skills. Fluent in English.Proven track record of meeting or exceeding sales targetsAbility to work independently as well as part of a teamStrong negotiation and problem-solving skillsGood time-management and organizational skillsProficient in Microsoft excel and other relevant softwareExperience in the technology industry is a plus",
https://www.linkedin.com/jobs/view/3631034202,"About the job
            

 
Who are we? Afiniti is the world’s leading applied artificial intelligence and advanced analytics provider. Afiniti Enterprise Behavioral Pairing™ uses artificial intelligence to identify subtle and valuable patterns of human interaction in order to pair individuals on the basis of behavior, leading to more successful interactions and measurable increases in enterprise profitability. Afiniti operates throughout the world and has measurably driven billions of dollars in incremental value for our clients.Job Role: Senior SDET EngineerPurposeWe are looking for a Senior SQA to join our team. As a Senior SQA, you will be responsible for creating and implementing a strategy for quality coordination and testing as well as suggesting solutions to identified quality problems.Key Responsibilities Motivate the development process for efficiency and performanceWorks together with the software developer to enhance and improve programsWrite test plans, test specification, bug reportsResponsible for automating the test cases and developing the infrastructure based clusters and automation tools.Work closely with to developers and dev ops team to integrate tests into code release cyclesThe testing must be informed by the specs, basic knowledge of the architecture, and reasonable assumptions (e.g. backend changes)The bug reports contain enough detailed information for developers enabling them to quickly identify the root cause making the bugs more actionableWork with the primary supervisor to prioritize tasks that add the most value and deliver high-quality results for the customerUnderstand and effectively participate in the core processes of the teamUse and understand tools needed to debug and diagnose issues in a test and/or simple production environment
Experience And Skill Set Proven work experience in software development and software quality assuranceExtensive experience in software development and testingBe able to read and navigate through a large code base and effectively debug others’ codeHigh proficiency in computer technology and programming languagesStrong knowledge of Linux and Microsoft WindowsIn-depth understanding of Java, Python, SQL, C++ and XMLExcellent analytical and problem-solving skillsGood oral and written communication skillsGreat team player and able to work efficiently with minimal supervision
Competencies Exhibit Respect and Trust: Respect others by recognizing and sincerely acknowledging their humanity, worth and significance. Build and maintain trust by acting with honesty and integrity.Master the Craft: Develops expertise in domain knowledge and technical foundations continuously and ever increasingly. Become an expert at developing and executing what is expected in one’s roleOwn the Work and the Results: Commits to action and assumes responsibility and ownership for own performance and the associated outcomes. Takes initiative and ownership to drive results and accountability for commitmentsFocus on Client Experience: Focus on solving real customer problems and delighting them with great experiences and productsWork Collaboratively Others: Works positively and collaboratively in a team to achieve team goals and successes; works to unblock others and lives the company value of “one team one dream”Manage Ambiguity and Complexity: Demonstrate resilience and composure, get things done despite challenges and maintain performance levels in pressured, adverse and uncertain environments. Handle risk, complexity, and dependencies effectively, pragmatically in a timely manner
Education & QualificationsBS/MS degree in Computer Science, Engineering or a related subject","Software Development
            
              1,001-5,000 employees
            

              1,852 on LinkedIn"
https://www.linkedin.com/jobs/view/3722461744,"About the job
            

 
CountryPakistanJob FamilyTechnologyWe Show The World What People Want.Join GfK and help us shape tomorrow. As an NIQ company, we are the world's leading consumer intelligence firm, delivering the Full View™ on consumer behavior. We work to enable manufacturers and retailers better understand what consumers really want. Our name has inspired trust for over 89 years because we take pride in discovering new pathways to sustainable growth for our clients, our people, and our planet.We are always looking for open-minded people who will grow with us, push boundaries, and pioneer disruptive methods in market research, data science, technology, and AI. If you share this passion to drive things forward and the integrity to insist on doing things the right way, we'll equip you to take your future into your own hands and play a leading role in our story.Job DescriptionExperience Required: Typical Minimum Relevant 3 to 4 years of experience.GfK Etilize is the largest product data provider in the world. We have been providing clients from around the world with mission-critical product data and solutions for retailers, distributors and manufacturers to power their eCommerce efforts. Our team brings decades of eCommerce experience, and we truly are passionate about product content and optimizing it for our clients. We provide standardized product data feeds for more than 20 million products worldwide.We are building a next-generation PIM System which defines how we acquire, aggregate, normalize and syndication a huge amount of data to different targets using state-of-the-art technologies. This is a great opportunity for seasoned Java developers & architects to become part of a great product development team and grow their careers by working on cutting-edge technologies and solve problems involving a huge amount of data, high availability and scalability in a distributed environment.As a very experienced Java developer/programmer, you may require to own certain parts of the products, manage small or bigger teams, contribute to design and oversee implementation. You must be a passionate software engineer who models the world, think in terms of design patterns and object-oriented design, functional programming, test-driven development are your second nature. You are used to working in agile teams delivering small, incremental improvements through continuous delivery pipelines. You are proud of the quality, security and robustness of the code you write, and because you write your code with an in-depth understanding of the execution environment these qualities translate to the systems you implement as well.As an experienced Software Engineer you will have the following key responsibilities: Provide solutions to problems across your functional areasOwn features and drive them to delivery end to endWrite well designed, testable, efficient code (mostly in java)Develop and debug high-volume, low-latency, high-performance applications which are highly availableDevelop APIs via object-oriented design using agile methodology e.g. Scrum etc.Contribute in all phases of the development lifecycle.Work in TypeScript, NodeJSWork with a mentor to learn and demonstrate constant progress towards the next level of the career ladder
As an experienced Software Engineer, what skills, qualifications and experience do you need? Bachelor or higher degree in Computer Science or related field4+ years of relevant commercial software development experienceExpert knowledge of Java Platform and related technologiesAdept experience working with static code analysis and linting toolsComprehensive automated testing experienceExperience with containerization with Docker etcKnowledge of CI/CD processesVery good knowledge of GitExperience with NoSQL databases like ElasticSearch or MongoDB Good understanding of web technologies.Ability to work in TypeScript, NodeJSAbility to work independently and must be self-driven.Must be passionate for quality and has a keen eye for designs and aestheticsExcellent written and verbal English communication skills
A list of tools & technologies we often work with (the list goes on): Tools & Technologies:JavaSpring FrameworkDistributed micro servicesKafkaDocker & KubernetesMongoAngularReactnode.jsGit Working knowledgeMysqlNeo4jRedisTypeScriptDynamodbAWSGraphqlSonar
We are an ethical and honest company that is wholly committed to its clients and employees. We are proud to be an inclusive workplace for all and are committed to equal employment opportunity, focusing on all of our employees reaching their full potential.We respect and value every employee regardless of race, ethnicity, gender, sex, sexual orientation, age, personality, experience, culture, faith, socio-economic status, or physical or mental disabilities.We endorse the core principles and rights set forth in the United Nations Declaration of Human Rights and the Social Charter of Fundamental Rights of the European Union, promoting the universal values of human dignity, freedom, equality, and solidarity.Learn more about how we are driving diversity and inclusion in everything we do on: https://www.gfk.com/about-gfk/diversity-and-inclusionAt GfK we work collaboratively with our colleagues but offer a flexible working approach, including dividing our time between office & remote working as well as the opportunity to flex our working hours around team core hours.Don't meet every single requirement? Some people are less likely to apply unless they meet all the requirements listed in a job specification. GfK is looking for self-starters to join our innovative team keen to take on a new challenge. So, if you're excited about this role but your skills and experience don't align perfectly with every requirement we've listed, we still encourage you to apply. You may be just the right candidate for this or other roles.","IT Services and IT Consulting
            
              5,001-10,000 employees
            

              11,838 on LinkedIn"
https://www.linkedin.com/jobs/view/3728825617,"About the job
            

 
Responsibilities:- Develop, implement, and deploy machine learning models and algorithms for various applications.- Hands-on experience with Computer Vision (Object Detection, Object Tracking, Recognition, segmentation and Classification etc) and NLP especially Transformers based models such (BERT, LLM etc)- Collaborate with cross-functional teams, including data scientists, software engineers, and product managers, to design and optimize ML solutions.- Conduct data analysis and pre-processing to identify relevant features and improve model performance.- Work on end-to-end ML projects, from data collection and cleaning to model training and evaluation.- Improve existing machine learning models through continuous monitoring and iteration.- Utilize cloud-based services (Azure, AWS) and frameworks for scalable ML model deployment .- Stay up-to-date with the latest advancements in machine learning and artificial intelligence.Requirements:- Bachelor's or Master's degree in Computer Science, Data Science, or related fields.- 1+ years of practical experience in building and deploying machine learning models.- Strong programming skills in Python or another major programming language.- Proficiency in machine learning libraries and frameworks, such as TensorFlow, PyTorch, or scikit-learn.- Experience with data manipulation, data visualization, and database systems.- Understanding of deep learning architectures and techniques.- Knowledge of cloud platforms like AWS, Azure, or Google Cloud for ML model deployment.- Excellent problem-solving skills and the ability to work in a fast-paced, dynamic environment.- Strong communication skills to collaborate effectively with team members and stakeholders.","IT Services and IT Consulting
            
              51-200 employees
            

              57 on LinkedIn"
https://www.linkedin.com/jobs/view/3697608619,"About the job
            

 
At DUBIZZLE LABS, we are looking to further expand our Pakistan engineering office of already 250+. We are most interested in bringing on board colleagues who love to learn, perform, and teach. We are building a high-quality engineering environment with a super focus on delivering value to customers. Your primary responsibility would be to build world-class suite products to support the hyper-growth of our businesses in 16 countries.Required Skill Set Minimum 1 - 2 years of relevant experienceDevelop new features and maintain existing components in mobile products based on specifications provided by the product.To collaborate with cross-functional teams to define, design, and ship new features.Operate effectively in a fast-paced, deadline-driven, collaborative and iterative programming environment.
Technical Skills Experience building complex applications for the iPhone or iPad using Swift and/or Objective-C.Knowledge of iOS SDK performance tools and optimisation techniques.Strong problem-solving skills.Strong in object-oriented programming design & skills.A proactive programming style that anticipates and resolves project roadblocks.Knowledge of best practices, clean code, Test Driven Development, Continuous Integration, and Continuous Delivery.Experience in working with Agile methodology.Excellent problem solving, critical thinking, and communication skills.
Good Luck!","IT Services and IT Consulting
            
              201-500 employees
            

              307 on LinkedIn"
https://www.linkedin.com/jobs/view/3728272825,"About the job
            

 
TCP is committed to cultivating a diverse and inclusive team. However, we are not able to sponsor visas for this role. About TCP (TimeClock Plus)For more than 30 years, TCP has helped organizations engage their people by providing flexible, mobile timekeeping and workforce management solutions. Trusted by tens of thousands of customers and millions of users, TCP delivers best-in-class technology and personalized support to organizations of all sizes in the public and private sector to meet their complex timekeeping, employee scheduling, leave management and other workforce needs. Growth is happening and our vision for a successful future is clear - We'd love for you to join us on this journey! For more information on TCP, visit www.tcpsoftware.com or follow us on LinkedIn or Facebook. As An Integration Analyst I, You Will Work with internal and external customers to identify and understand client processes and business needs as they pertain to integrations Translate client processes and business needs into specific integration requirements and technical design documentation Ensure that development, deployment, and implementation of integration supports the client’s processes and business needs Analyze and identify data issues that require an override on core systems or assistance with data mapping between systems Analyze and identify data issues in relation to technical design document and work with developer to document in Jira and make corrections Provide support to implementation team as needed for integration work 
You are a strong fit for this role if you have:  0-2 years of software analyst or relevant experience Expert knowledge and troubleshooting of Senior IS All Integration Test Analyst competencies Strong ability to communicate clearly and concisely Strong ability to prioritize workload Strong ability to prioritize and manage escalations Remain professional under severe pressure High level of customer empathy Strong email etiquette and grammar The ability to display our core values when working with customers and peers The ability to display adaptability and flexibility in work products Strong interpersonal and relationship skills Sound decision making and judgment Accountable and results focused Supportive in people development Organizational savvy 
 Physical Requirements Prolonged periods sitting at a desk and working on a computer. Must be able to lift up to 15 pounds at times. 
Benefits Competitive salaryPTO and Sick leavesIn-Patient Health insuranceProvident fund and EOBIThe work/life setup you need to be successful.A creative, collaborative, supportive environment that gives you the autonomy to explore new ideas, grow your skill set and create outstanding results The chance to make a genuine impact on the company’s growth Plenty of challenging work and the opportunity to stretch yourself The opportunity to work with amazing talent in a fast-growing company that really values their team 
TCP is an equal opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees.","Software Development
            
              501-1,000 employees
            

              917 on LinkedIn"
https://www.linkedin.com/jobs/view/3728805164,"About the job
            

 
This is a full-time onsite role located in Karachi for a Textile Designer. As a Textile Designer, your day-to-day tasks would consist of brainstorming and developing creative ideas, creating concept boards, designing embroidery or prints on fabrics and overseeing product developments.QualificationsBachelor's degree or higher in Textile Design, Fine Arts, Industrial Design, or a related field.1+ years of professional experience in textile and fashion design.Excellent skills in Adobe Photoshop, Adobe Illustrator, and other design software.Detailed knowledge of textiles and the production process.Experience in conceptualization and creation of textile designs from scratch.Ability to manage and prioritize multiple projects simultaneously, and work collaboratively in a team environment.","Retail Apparel and Fashion
            
              51-200 employees
            

              1 on LinkedIn"
https://www.linkedin.com/jobs/view/3712059465,"About the job
            

 
Position Lead Data Engineer Experience 8+ Years What You'll DoTranslate the business requirements into technical requirementsETL development using native and 3rd party tools and utilitiesLead the semantic modelling and development activitiesWrite and optimize complex SQL and shell scriptsDesign and develop code, scripts, and data pipelines that leverage structured and unstructured dataData ingestion pipelines and ETL processing, including low-latency data acquisition and stream processingDesign and develop processes/procedures for integration of data warehouse solutions in an operative IT environment.Monitoring performance and advising any necessary configurations & infrastructure changes.Create and maintain technical documentation that is required in supporting solutions.Coordinate with customers to understand their requirementsWho You'll Work WithWork with Teradata project managers to scope projects and develop a work break down structures and do risk analysis.Provide direct support to the solution architect and the solution delivery team.Lead a dynamic and collaborative team, demonstrating excellent interpersonal skills and management capabilities.Readiness to travel to customer sites for short, medium or long-term engagements.Minimum RequirementsB.S. / M.S. in Computer Sciences or related fieldHands on experience with one or more ETL tools like Informatica, DataStage, Talend etc.Hands on experience with Teradata Industry standard data models and mapping between source systems, core and semantic data structures.Working knowledge of financial services domainGood understanding of different dimensional modeling techniques such as Star vs SnowFlake Schemas.Working experience on creating semantic and reporting mapping documents.Strong concepts/experience of designing and developing ETL architectures.Strong RDBMS concepts and SQL development skillsStrong knowledge of data modeling and mappingExperience with Data Integration from multiple data sourcesWorking experience in one or more business areas and industries Telecom, Retail, Financial etc.Working experience with one or more Cloud environments like AWS, Azure or GCP along with hands on experience with different cloud services.Hands on development experience on Python along with a good knowledge of programming languages such as Java, AngularJS, C++, Groovy etc.Good understanding of reporting tools such as PowerBI, MicroStrategy or Business ObjectsGood knowledge of Big Data technologies such as Pig, Hive, Spark, Kafka, NifiExperience with NoSQL databases, such as HBase, Cassandra, MongoDBExperience with any of the Hadoop distributions such as Cloudera/HortonworksExperience with Teradata tools and technologies will be a plus.Training/Certification on Teradata will be a plus.What You'll BringExcellent communication and presentation skills, both verbal and writtenProven experience in customer facing roles for large engagements and managing solution delivery teams.Ability to solve problems using a creative and logical mind setDemonstrated skills in team leadership, coaching, and competency buildingMust be self-motivated, analytical, detail oriented, organized and pursue excellence on all tasksOur CompanyTeradata is the connected multi-cloud data platform for enterprise analytics company. Our enterprise analytics solve business challenges from start to scale. Only Teradata gives you the flexibility to handle the massive and mixed data workloads of the future, today.The Teradata Vantage architecture is cloud native, delivered as-a-service, and built on an open ecosystem. These design features make Vantage the ideal platform to optimize price performance in a multi-cloud environment.","Software Development
            
              10,001+ employees
            

              10,784 on LinkedIn"
https://www.linkedin.com/jobs/view/3729821683,"About the job
            

 
DescriptionPosition at ZonesAbout Zones Zones is a Global Solution Provider of end-to-end IT solutions with an unmatched supply chain. Positioned to be the IT partner you need, Zones, a Minority Business Enterprise (MBE) in business for over 35 years, specializes in Digital Workplace, Cloud & Data Center, Networking, Security, and Managed/Professional/Staffing services. Operating in more than 120 countries, leveraging a robust portfolio, and utilizing the highest certification levels from key partners, including Microsoft, Apple, Cisco, Lenovo, Adobe, and more, Zones has mastered the science of building digital infrastructures that change the way business does business ensuring whatever they need, they can Consider IT Done. Follow Zones, LLC on Twitter @Zones, and LinkedIn and Facebook.Job Description  Managing the bidding projects end to end with involving the cooperating roles from within the company (eg. Pricing, Technology, Legal) Being fully responsible for the bids in scope – managing time and prioritizing accordingly Responsible for setting up the proposal and the strategy Applying rigor in the bidding and negotiation process keeping in mind the business goals of Zones. Contributing to the ongoing development of processes, tools, content and templates promoting new initiatives Review Bids/RFPs/REQs and RFIs to develop proposal plan and kickoff materials Use templates to enter client information and customize content. Gather information by interviewing Subject Matter Experts and write various proposal sections, including executive summaries, past performance/qualification summaries and resumes Complete initial reviews which highlight the questions from SMEs along with the important and pricing information. Dissects RFP and builds compliance matrix Works with proposal development team to articulate win strategy Collects technical data and pricing information from SMEs Creates storyboards and sectional outlines Develops proposal templates and models Composes all bid content (either alone or in conjunction with team), including executive summaries, organization credentials, cost narratives, technical sections, conclusions, etc. Interfaces with internal and external partners to implement proposal strategy and meet proposal deadlines Ensures document compliance with RFP criteria, including requirements related to content, formatting, length, layout, etc. Maintain quality results by using templates; following proposal-writing standards including readability, consistency, and tone; maintain proposal support databases Monitors changes to solicitation and adjusts work accordingly Assists in facilitating team reviews of work and revises product as required Edits text to ensure that bid is error-free, uniform in tone and style, and adheres to company and client stipulations Works with graphics specialist to create document visuals Pulls proposal together, integrating disparate components into a unified, coherent whole Compiles and ships proposal in timely manner Other duties as assigned Be quick on their feet and assertive yet tactful to produce a successful submission. Time management, efficiency, the ability to meet deadlines and work with minimal supervision are all important. You will have to cope with a substantial amount of responsibility, remain calm under sometimes severe pressure, and be able to read and interpret instructions carefully. Ability to understand complex technical and U.S. legal requirements Strong English written communication skills are essential.
This Position Is For You If You Have  Fluent in English, both verbal and written 2+ years’ experience in a multinational environment (bid or sales support) Project management experience Strong communication and negotiation skills Ability to manage virtual teams across the world Ability to work in a changing environment
Zones offers a comprehensive Benefits packageOur employees enjoy a variety of comprehensive benefits, including health Insurance coverage for parents, spouse & children, life insurance, Gratuity, and EOBI. We maintain our unequivocal commitment to and support of equal employment opportunity for all individuals, free from discrimination based on race, color, ethnicity, religion, national origin, citizenship, marital status, gender, sexual orientation, age, disability, genetic information, or any other basis protected by under the law. At Zones, work is more than a job – it's an exciting career immersed in an inventive, collaborative culture.At Zones, work is more than a job –with an exciting career with a global team who are client-centric, has a passion for tech, and embrace change and lifelong learning in a collab culture. If you're interested in working on the cutting edge of IT innovation, sales, engineering, operations, administration, and more, Zones is the place for you!","IT Services and IT Consulting
            
              501-1,000 employees
            

              450 on LinkedIn"
