Job Link,Job Desception,Company Info
https://www.linkedin.com/jobs/view/3740044793,"About the job
            

 
ABOUT NUR INTERNATIONAL UNIVERSITYNUR International University (NIU), Lahore is an upcoming private, comprehensive university located in the Raiwind area of Lahore, and is a sister concern of the Fatima Memorial System (FMS), a center of excellence, serving Pakistan since 1977. The NUR-FMS Group has several educational entities attached to it, which include our Schools of Health Sciences (FMH College of Medicine & Dentistry, FMH Institute of Allied Health Sciences, Saida Waheed College of Nursing), and NUR International University. Fatima Memorial Hospital, Lahore, serves as our clinical training hub for programmes that require it. Our Schools of Health Sciences are currently leaders in their fields, with our students regularly achieving top positions in the University of Health Sciences.As part of commitment to Pakistan growth and development, and our continued aim to enable thought leaders who can bring transformative change to Pakistan, the NUR-FMS Group launched NUR International University in 2015, which is affiliated with HEC, chartered by Government of Punjab, accredited by Association of Commonwealth Universities, and a member of Talloires Network. NUR International University currently has the following faculties: Faculty of Social Sciences, Arts & HumanitiesFaculty of Management Sciences Faculty of Applied SciencesFaculty of Basic SciencesFaculty of Nursing and Allied Health Sciences
NUR International University achieves excellence and distinction by investing in exceptional people to think, care, create, and pursue excellence. Our motto for our students is ‘Enabling Thought Leaders’. We embrace discovery in a close nurturing environment that leads to genuine transformation of our students. Our community is diverse, dynamic, and dedicated to discovery and excellence in teaching, scholarship and practice. ROLE DESCRIPTIONNUR International University is currently seeking an accomplished leader to serve as Dean of its School of Psychology, which is part of the Faculty of Social Sciences, Arts & Humanities. The Dean of School of Psychology will contribute to the continuing development of a robust university-wide priority to develop models of interprofessional education, practice and research. That interprofessional setting, along with the NUR-FMS Group’s strong history of clinical training, science, and research, provides students with a distinctive, integrated education in psychology. Located on a modern campus, the School of Psychology provides students with robust academic training as well as supervised practical training across a network of clinical training sites in Lahore, including Fatima Memorial Hospital. The School of Psychology also runs the NUR Center for Well-being at NUR International University, aimed to provide support to staff as well as students at the University. The School of Psychology currently offers the following progammes: BS Applied PsychologyBS Clinical PsychologyMS Clinical PsychologyAdvanced Diploma in Clinical Psychology
In addition to contributing visionary leadership to these evidence-based training programs, the Dean will also be able to pursue personal academic and scholarly interests and continue to cultivate a collaborative academic community deeply committed to diversity, equity and inclusion.The Dean will have overall responsibility for the leadership and management of the School of Psychology and its programs, will be the School’s chief academic and budget officer, and represent the School on university committees and groups, as required. The Dean will also serve as a visible, engaged representative of the School and the university to the external community. The ideal candidate will possess a deep understanding of issues and trends concerning undergraduate and graduate level clinical and applied psychology education, research, and practice, as well as a working knowledge of the role of applied clinical and research psychology relative to the other health professions represented at NUR International University and the NUR-FMS Group. A strong appreciation for models of practice that encourage and leverage integrated and interprofessional, team-based, and client-centered care are central to the training of all of our students. Ideally, the incoming Dean will: have a record of successful scholarly achievement, academic leadership experience, academic program development, excellence in teaching and practice, and financial management experience;embrace models of broad and general undergraduate and graduate psychology education and trainingbe committed to curricular infusion of diversity and equity knowledge, awareness, and skills and will foster an inclusive climate;support the School’s endeavors to serve marginalized communities (e.g. via community practicum sites);support the faculty’s research and scholarly endeavors and provide leadership to the clinical and research aspects of the curricula and servicesThe position requires a thorough understanding of contemporary undergraduate and graduate level psychology education that emphasizes applied clinical and research paradigms and trends on the national and regional levels. The Dean will have the opportunity to define a more influential role for the School in the clinical psychology profession, capitalizing on the NUR-FMS Group’s strengths in applied clinical education and research.The Dean can be expected to take on a transformational focus, advancing the strategic vision of the School to become a more visible, recognized leader in the applied clinical psychology education, research, and practice communities. The role requires experience with and a commitment to visionary strategic planning, assessment, and continuous programmatic improvement. The Dean will collaborate with the faculty and other academic leaders in the College to define the future of the School, articulating emerging needs and addressing challenges that require new thinking, including potential new degree programs and delivery platforms.One of the position’s key responsibilities is to work effectively with the School’s faculty and staff, inspiring their energy and creativity for the benefit of the entire School and fostering a collaborative, team-building atmosphere among them and with other faculty and staff across the university, coordinating and managing the admission and recruitment of new students in cooperation with the programs’ admissions staff and the School’s staff. The Dean will work with key community representatives to form strategic partnerships that support clinical education, practice innovation, and productive scholarly and research collaborations. The Dean will weave these elements together to contribute to advancing contemporary applied clinical psychology practice and research, and to ensure that the School’s programs appropriately meet standards for accreditation by relevant bodies.A successful Dean will embrace learner-centered, interprofessional, and inquiry-based education, value and support the School’s research and scholarship enterprise, foster faculty efforts to secure external grant funding, and demonstrate commitment to students and to the profession through professional service and/or voluntary activities.The Dean is responsible for maintaining strong relationships within the profession and with relevant government agencies and professional associations. The Dean will also foster positive relationships with the School’s alumni and other community stakeholders.
ESSENTIAL ELIGIBILITY CRITERIA QualificationsPhD, PsyD degree, or EdD in Psychology or related discipline. A doctoral degree from a top tier international university will be preferred.Academic &Administrative Experience: At least 15-years of experience in teaching, research and administration out of which 5 years should be in a similar leadership position in an HEC recognized University.Clinical Experience: Candidates who have minimum five years’ experience in practicing psychology will be given preference.Minimum Number of Publications: The applicant must have 15 research publications with at least 5 publications in the last 5 years in HEC recognized journals. Preference will be given to those who have publications in high impact factor journals.Remuneration: A competitive package commensurate to the candidate’s skillset and experience will be offered.ADDITIONAL DESIRED QUALIFICATIONS A capacity to envision the future for the program in conjunction with others.Budget experience with revenue and expenditure projectionsWillingness to develop new degree programs. Strong business acumen and marketing ability.Ability to identify new opportunities for psychologists.Knowledge of HEC Standards of Accreditation, procedures for accreditation, and Accreditation Implementing Regulations.Administrative experience and demonstrated leadership qualities in areas related to academia and health service practice.A history of scholarly achievement and recognition.A sophisticated grasp of scientific methodologies and practices.Demonstrated excellence in full-time academic teaching, scholarship, and service to the profession commensurate with appointment as a tenured full professor.Understanding of, commitment to, and possession of skills to develop and implement new opportunities for health service psychology consistent with national trends in healthcare.Excellent and flexible interpersonal skills with the ability to relate equally well and collaborate with administrators, faculty, students, and staff.Ability to select new personnel who will integrate well into the organization.
Applications: Please upload your cover letter, curriculum vitae, names and contact numbers of two professional references, a recent passport sized photograph and a letter of interest stating why you feel you should be considered for the position. NUR International University is an equal opportunity employer. Only shortlisted candidates will be interviewed.#JobsinLahore #career #Psychology #Psychologycareer","Education Administration Programs
            
              201-500 employees
            

              23 on LinkedIn"
https://www.linkedin.com/jobs/view/3736222647,"About the job
            

 
About Our CompanyMillennium Nexus, Beyond Apps Group company (www.beyond-apps-group.com), is hiring. We use state-of-the-art trends and technologies to develop unique & awesome products with enhanced features. Our major product lines use technologies such as Image Processing, Machine Learning, VR & AI, Multi-Camera Live Streaming Broadcast. Our products, which cover several markets, include the following: ·       Professional quality multi-live broadcasting for consumers and enterprises·       Video & photo editing for consumers and professional content creators·       Unique global real estate property management and property listings·       Global yacht/boat listings, services, and marina managementOur company founder, Mr. Nader Saleh, is from Silicon Valley with over 40+ years of extensive experience operating US & international hubs and managing product development and sales & marketing. We are certain that working with our highly-skilled team would be one of the greatest experiences of your career. Job Title  Senior iOS DeveloperWe are looking for an iOS Developer, who has experience in developing complex and scalable mobile applications. To be able to Build and deploy high-quality native applications. The candidates for this position should be able to take responsibility for the completion of designated software features; designing suitable solutions to complex problems with assistance from management. Your Contributions  Required·       Design, build, and maintain high performance, reusable, and reliable iOS mobile application.·       Ensure the best possible performance, quality, and responsiveness of the application.·       Developing codes using native libraries to handle image/video processing tasks.·       Help maintain code quality, organization, and automatization.·       Proven capability to navigate challenges and come up with effective solutions. Your Qualifications ·  Must have at least 4 years of experience in developing iOS applications using Swift, and Swift-UI.·       Experience with mobile image processing (like: OpenCV, and/or Metal) is a big plus.·       A previous experience with 1 or more of these packages: (VideoToolbox, AVFoundation, CoreML, CoreImage, Core Video, Vision).·       Familiarity with video codecs such as (e.g., MP4, H.264, AVC, HEVC, AV1, AAC) is a plus. ·       Excellent problem-solving ability.·       Strong value set and team player.·       Ability to learn quickly in a fast-paced environment. What We Offer You·  Competitive compensation.·       Exciting work environment and challenging projects.·       Excellent growth opportunity.  If you are looking for challenging opportunities in an exciting up-and-coming international company and want to make your mark, we would love to hear from you. Please forward your resume to: hr@beyond-apps-group.com","IT Services and IT Consulting
            
              11-50 employees
            

              31 on LinkedIn"
https://www.linkedin.com/jobs/view/3736398009,"About the job
            

 
Role DescriptionThis is a full-time on-site role for a Sales Executive. The Sales Executive will be responsible for identifying new business opportunities, building client relationships, and closing sales. The day-to-day tasks associated with this role include prospecting potential clients, presenting sales pitches, conducting client needs analysis, creating customized marketing strategies, and meeting sales targets.Qualifications Proven experience as a Sales Executive or similar roleSolid understanding of sales closing techniques and strong negotiation skillsExcellent communication, interpersonal, and presentation skillsCustomer-focused approach and strong work ethicsAbility to work independently and as part of a teamStrong organizational and time-management skillsProficiency in MS Office and CRM softwarePrior experience in the real estate industry is a plusBachelor's degree in Business Administration, Marketing, or related field","Real Estate
            
              11-50 employees
            

              32 on LinkedIn"
https://www.linkedin.com/jobs/view/3735516960,"About the job
            

 
Company DescriptionStudy Zone Consultants (Pvt.) Ltd. is a specialized overseas educational consultancy services firm in Pakistan that connects students with top-ranking educational institutions around the globe. The firm is renowned for providing expert visa and informational guidance, securing maximum student visas and providing life-changing opportunities.Role DescriptionThis is a full-time on-site role for an Education Counselor located in Bahria Town Phase 7, Islāmābād, Pakistan. The Education Counselor will be responsible for providing educational consulting and student counseling services, assisting students in choosing courses, and guiding them on admission and visa requirements. The Education Counselor will also be responsible for providing career counseling and education advice to students.Qualifications Excellent communication and interpersonal skillsExperience in educational consulting and student counselingKnowledge of career counseling and education adviceAbility to work independently and in a teamBachelor's or Master's degree in Education, Counseling, or related fieldExperience in the education industry is a plus","Education
            
              11-50 employees
            

              1 on LinkedIn"
https://www.linkedin.com/jobs/view/3740011128,About the job,
https://www.linkedin.com/jobs/view/3741093843,"About the job
            

 
Fully Remote, USD Paid, Looking to hire and start ASAPMust be a senior engineerExperience with Text in Image Detection - We want to translate text in images3+ years experience (API Development)","Software Development
            
              11-50 employees
            

              15 on LinkedIn"
https://www.linkedin.com/jobs/view/3741094011,"About the job
            

 
Site Name: Pakistan - Sindh - JamshoroPosted Date: Sep 7 2023Hello. We’re Haleon. A new world-leading consumer health company. Shaped by all who join us. Together, we’re improving everyday health for billions of people. By growing and innovating our global portfolio of category-leading brands – including Sensodyne, Panadol, Advil, Voltaren, Theraflu, Otrivin, and Centrum – through a unique combination of deep human understanding and trusted science. What’s more, we’re achieving it in a company that we’re in control of. In an environment that we’re co-creating. And a culture that’s uniquely ours. Care to join us. It isn’t a question.Key Responsibilities: Develop and implement a strategic ‘people plan’, leveraging data and KPIs, that supports the site’s long-term strategy with a strong focus on Culture, Inclusion & Diversity, Talent Management, Leadership Development and Capability Building.Development & implementation of a site training plan, support for leadership development and developing a High Performing Teams culture.Support the with the Talent Acquisition process ensuring that a fair and inclusive process is implemented and adhered to whilst allowing for effective and timely assessment of both internal candidates. Work with Resourcing to attract and identify suitably qualified candidates where required.Diagnose and drive delivery of impactful people and culture initiatives as well as organizational changes to support business priorities.Partner to assess and deliver HR interventions at SLT level.Partner to ensure headcount is aligned with budget and work with them on solutions to optimize headcount.Drive organizational changes to ensure site organization is optimized and supports the site strategy, anticipating and managing potential ER/IR issuesDrive and support site engagement agenda to improve employee engagement including coaching and building line manager capability to create a positive work environment. Act as the key point of contact for all Employee Representative Bodies e.g., Works Council, Trade Unions and ensure any Collective Bargaining Agreement is adhered toResolve complex ER/IR issues and implement strategies to reduce such issues and enhance performance.Respond to complex, escalated queries around HR policies, labor law, processes and ways of working Leverage global Inclusion & Diversity, employee wellbeing and other employee programmes to support the site culture
Education and Experience: University Degree in HR or related subject6 to 10 years of experience leading HR preferably within a Manufacturing or complex single-site environment
Diversity, Equity and Inclusion:At Haleon we embrace our diverse workforce by creating an inclusive environment that celebrates our unique perspectives, generates curiosity to create unmatched understanding of each other, and promotes fair and equitable outcomes for everyone.We’re striving to create a climate where we celebrate our diversity in all forms by treating each other with respect, listening to different viewpoints, supporting our communities, and creating a workplace where your authentic self belongs and thrives.We believe in an agile working culture for all our roles. If flexibility is important to you, we encourage you to explore with our hiring team what the opportunities are.Care to join us. Find out what life at Haleon is really like www.haleon.com/careers/At Haleon we embrace our diverse workforce by creating an inclusive environment that celebrates our unique perspectives, generates curiosity to create unmatched understanding of each other, and promotes fair and equitable outcomes for everyone. We're striving to create a climate where we celebrate our diversity in all forms by treating each other with respect, listening to different viewpoints, supporting our communities, and creating a workplace where your authentic self belongs and thrives. We believe in an agile working culture for all our roles. If flexibility is important to you, we encourage you to explore with our hiring team what the opportunities are.As you apply, we will ask you to share some personal information, which is entirely voluntary. We want to have an opportunity to consider a diverse pool of qualified candidates and this information will assist us in meeting that objective and in understanding how well we are doing against our inclusion and diversity ambitions. We would really appreciate it if you could take a few moments to complete it. Rest assured, Hiring Managers do not have access to this information and we will treat your information confidentially.Haleon is an Equal Opportunity Employer. All qualified applicants will receive equal consideration for employment without regard to race, color, national origin, religion, sex, pregnancy, marital status, sexual orientation, gender identity/expression, age, disability, genetic information, military service, covered/protected veteran status or any other federal, state or local protected class.Please note that if you are a US Licensed Healthcare Professional or Healthcare Professional as defined by the laws of the state issuing your license, Haleon may be required to capture and report expenses Haleon incurs, on your behalf, in the event you are afforded an interview for employment. This capture of applicable transfers of value is necessary to ensure Haleon’s compliance to all federal and state US Transparency requirements.","Consumer Services
            
              10,001+ employees
            

              12,690 on LinkedIn"
https://www.linkedin.com/jobs/view/3741086774,"About the job
            

 
Job DescriptionBackgroundDiversity, Equity and Inclusion are core principles at UNDP: we value diversity as an expression of the multiplicity of nations and cultures where we operate, we foster inclusion as a way of ensuring all personnel are empowered to contribute to our mission, and we ensure equity and fairness in all our actions. Taking a ‘leave no one behind’ approach to our diversity efforts means increasing representation of underserved populations. People who identify as belonging to marginalized or excluded populations are strongly encouraged to apply. Learn more about working at UNDP including our values and  inspiring stories.UNDP does not tolerate sexual exploitation and abuse, any kind of harassment, including sexual harassment, and discrimination. All selected candidates will, therefore, undergo rigorous reference and background checks.UNDP Pakistan has established a Development Policy Unit (DPU). The unit specializes in undertaking policy research, analysis, and dialogue on selected development issues including macro-economic stabilization, debt management, financial resilience, sustainable development, and policy level mainstreaming of vulnerable groups including gender and youth, poverty and inequality, urbanization, etc. These analyses are presented in several forms, as our quarterly publication the Development Advocate Pakistan, UNDP’s flagship National Human Development Report, and policy briefs and programmatic analysis, etc.DPU is extensively engaged with the Government of Pakistan and Provincial Governments and their associated Ministries and departments to ascertain their needs for policy research and advocacy, and to provide timely advice to inform public policy. DPU’s policy work is also aimed to inform and provide cross-unit support in areas of sustainable development. Furthermore, DPU is engaged with other stakeholders, academia, think-tanks, and development partners to generate dialogue and advocacy around emerging development issues.In this regard, UNDP is hiring the services of a Data and Analytics Officer to support in-house data mining, collection, cleaning, analysis, and data visualization.Duties And ResponsibilitiesThe Data and Analytics Officer will work directly under the supervision of the Communication and Publication Analyst, DPU, and the guidance of UNDP Assistant Resident Representative, Development Policy Unit. The Data and Analytics Officer will:Undertake data mining, collation, collection, cleaning, and analysis; Acquire data from primary or secondary data sources and maintain databases/data systems to effectively convey key insights. Developing survey instruments, if needed, for any policy research work at DPU and monitoring quality and progress of surveys and analysis of survey results. Provide technical support in interpreting data, and analyses results using statistical techniques.Synthesize output from research activities, data analysis, and consultation events into policy briefs and reports. Organize and summarize collected data to write meaningful briefs, factsheets, or reports, in order to effectively convey key findings and trends, and use data visualizations to enhance the narrative.Contribute to providing data analysis based on primary and secondary data for the development of knowledge products, including the quarterly Pakistan Socioeconomic Profile, the Development Advocate Pakistan, and National Human Development Report.
Facilitate data visualization and data-infographics; Transform complex data and information derived from primary or secondary data sources and other studies into visually compelling, user-friendly visualizations.Work closely with the Graphic Designer and Communications and Publications Analyst to conceptualize and develop data-based reports, presentations, graphics, visuals, and infographics.Analyse, pre-process, and format data to tell a specific story through data visualization and infographics.Support design firms in creating animations for illustrative purposes, such as GIFs and animated visuals.Work closely with DPU colleagues in the development of DPU presentations.
Provide programme management and implementation support as and when required, for partners and stakeholders on behalf of UNDP.CompetenciesCore Competencies Achieve Results: LEVEL 1: Plans and monitors own work, pays attention to details, delivers quality work by deadlineThink Innovatively: LEVEL 1: Open to creative ideas/known risks, is pragmatic problem solver, makes improvements Learn Continuously: LEVEL 1: Open minded and curious, shares knowledge, learns from mistakes, asks for feedbackAdapt with Agility: LEVEL 1: Adapts to change, constructively handles ambiguity/uncertainty, is flexibleAct with Determination: LEVEL 1: Shows drive and motivation, able to deliver calmly in face of adversity, confidentEngage and Partner: LEVEL 1: Demonstrates compassion/understanding towards others, forms positive relationshipsEnable Diversity and Inclusion: LEVEL 1: Appreciate/respect differences, aware of unconscious bias, confront discrimination
Cross-Functional & Technical CompetenciesDigital & Innovation Data analysis; Ability to extract, analyze and visualize data (including Real-Time Data) to form meaningful insights and aid effective decision making.Data collection; Being skilled in Data Sorting, Data Cleaning, Survey Administration, Presentation and Reporting including collection of Real-Time Data (e.g., mobile data, satellite data, sensor data).Visualization & mapping; Ability to visualize and clarify ideas, processes or (complex) situations by making quick sketches, drawings or using diagrams, illustrations, photos, videos, animations, three dimensional mock-ups to support group dialogues, reflection, ideation, problem solving or decision making. Using abstraction, analogical and metaphorical thinking to create compelling visuals, maps, models, or embodied thinking that provide new perspectives and help a group of disparate actors to find a common language and develop a shared mental model. Ability to quickly grasp the dynamics of a complex system, identify key elements, entities, and their relations, create maps or models that help people inside the system, or outsiders, understand its dynamics; being able to swiftly make sense of an undifferentiated mass of information, extract its very essence, and turn that into key messages and visualizations.
Business Development Knowledge Generation; Ability to research and turn information into useful knowledge, relevant for content, or responsive to a stated need.
Communications Advocacy strategy and implementation; Ability to create and implement advocacy strategies which lead to impactful change.
2030 Agenda: Engagement & Effectiveness Strategic Policy Engagement; Economic forecasting
Partnership management Relationship management; Ability to engage with a wide range of public and private partners, build, sustain and/or strengthen working relations, trust, and mutual understanding 
EducationRequired Skills and Experience Advanced university degree (Master's Degree or equivalent) in Development economics, social sciences, statistics, mathematics, information management, or another related field with coursework in statistical analysis and reporting. OrA first-level (Bachelor’s Degree or equivalent) in Economics, Development, Public Policy, or a related field in combination with an additional 2 years of qualifying experience will be given due consideration in lieu of a Master´s degree. 
Experience Up to 2 years (with Master’s degree) or minimum 2 years (with Bachelor’s degree) of experience is required in research and data analysis including undertaking qualitative and quantitative data collection, data cleaning, and visualization.Excellent understanding of statistical tools to undertake data analysis.Experience in undertaking research, producing data-based analytical pieces, and facilitating organization and presentation at multi-stakeholder policy dialogues is an asset.Outstanding communication, advocacy, presentation, and facilitation skills (including virtual facilitation).The ability to work under pressure and tight deadlines.Experience working with the UN is an advantageExtensive experience in analysis of primary and secondary data, undertaking research and producing and writing analytical pieces. An excellent ability to visualize data. Experience of using designing software is an advantage. Experience of usage of programmes for statistical analysis of data, handling of web-based data management systems, and MS Office software packages. Experience of producing data visualization and data-infographics. 
Required Languages Fluency in English and Urdu 
DisclaimerImportant information for US Permanent Residents ('Green Card' holders)Under US immigration law, acceptance of a staff position with UNDP, an international organization, may have significant implications for US Permanent Residents. UNDP advises applicants for all professional level posts that they must relinquish their US Permanent Resident status and accept a G-4 visa, or have submitted a valid application for US citizenship prior to commencement of employment.UNDP is not in a position to provide advice or assistance on applying for US citizenship and therefore applicants are advised to seek the advice of competent immigration lawyers regarding any applications.Applicant Information About UNDP RostersNote: UNDP reserves the right to select one or more candidates from this vacancy announcement. We may also retain applications and consider candidates applying to this post for other similar positions with UNDP at the same grade level and with similar job description, experience and educational requirements.Non-discriminationUNDP has a zero-tolerance policy towards sexual exploitation and misconduct, sexual harassment, and abuse of authority. All selected candidates will, therefore, undergo rigorous reference and background checks, and will be expected to adhere to these standards and principles.UNDP is an equal opportunity and inclusive employer that does not discriminate based on race, sex, gender identity, religion, nationality, ethnic origin, sexual orientation, disability, pregnancy, age, language, social origin or other status.Scam warningThe United Nations does not charge any application, processing, training, interviewing, testing or other fee in connection with the application or recruitment process. Should you receive a solicitation for the payment of a fee, please disregard it. Furthermore, please note that emblems, logos, names and addresses are easily copied and reproduced. Therefore, you are advised to apply particular care when submitting personal information on the web.","International Affairs
            
              10,001+ employees
            

              59 on LinkedIn"
https://www.linkedin.com/jobs/view/3736227446,"About the job
            

 
CRM Consultant – AlphaBold Job Responsibilities:  The CRM consultant will act as a technical expert on Dynamics CRM projects; implementations, customizations, migrations will be involved his day-to-day tasks.Design and develop custom solutions to enhance the functionality of Dynamics 365/CRM using plugins, workflows, business process flows, Power Apps, and Power Automate.Good understanding of Dynamics 365/CRM securityCreate and maintain reports and dashboards to meet the reporting needs of business, experience on SSRS Reports, Charts & Dashboards for Dynamics 365.Write high-quality code using C#, .NET, JavaScript, React, and other relevant technologiesProven expertise of Dynamics CRM Development experienceProven expertise of .NET, C#, MSSQL ServerExperience assisting with architecting Microsoft Dynamics CRM system, related customizations, portals, and reports to model the clients.Experience of Implementing Security measures at Dynamics 365/CRM.Serve as a team member on multiple integration and data warehouse efforts in an Informatica environment.Experience building Dynamics CRM forms, screens, and views, as well as workflows and reports around the customer needs for an interface.Interact with application development, enterprise architecture, business intelligence, technology services, and suppliers on a regular basisThe candidate must be extremely detail-oriented, have the ability to multitask, and be able to prioritize multiple demands in a fast-paced environment
  Minimum Requirements 3+ years’ experience with software development, specifically around Microsoft Dynamics CRMProficiency in C#, .NET, JavaScript, React, and related technologies.Experience in creating reports and dashboards for Dynamics 365/CRMGood understanding of dynamics 365 dataverse, dataverse API, and integration with other systemsInvolved with performance tuning of SQLExperience with both Microsoft Dynamic 365 CRM on-premises and online versions is a plusCollege or University degree in Computer Science or a related discipline
 Core Competency Requirements  Proficient with developing, deploying, customizing, and integrating Microsoft Dynamics CRMDemonstrated proficiency in creating CRM Environments.Demonstrated proficiency with Microsoft .NET 3.5+ development using C#Demonstrated proficiency in using the either the CRM SDK or plugin platforms.Experience with source control management systems and continuous integration/deploymentInternally motivated, able to work proficiently both independently and in a team environmentProven communication skills with both internal team members and external business stakeholdersStrong initiative to find ways to improve solutions, systems, and processes
  Preferred Competency Requirements  Experience with supporting Microsoft products.Experience with Power Apps custom connectors and Power Apps component frameworkMicrosoft Dynamics 365/CRM certificationMicrosoft Certified Technology Specialist (MCTS) for Microsoft Dynamics CRMExperience working on an agile development team.
What We Offer Competitive salary and benefitsDollar PeggingInternet and Gym Reimbursements.Company Sponsored Subsidized LunchPaid holidays and vacationsMedical outpatient reimbursement and inpatient facility. Opportunities to make a difference in a small, yet highly productive environment.Provident FundEmployee Centric Benefits and Policies.","IT Services and IT Consulting
            
              51-200 employees
            

              131 on LinkedIn"
https://www.linkedin.com/jobs/view/3741058698,"About the job
            

 
We are hiring for a trusted African payment gateway companyAbout the company: Our vision is to deliver delightful experiences for merchants and users, and be the payments partner of choice on the African continent. In everything we do, we strive to make it as easy as possible for merchants to focus on their business, while we take care of their payment needs. We work with the biggest enterprise businesses and the side-hustle next door, across every sector of the economy. We pride ourselves on delivering a world-class payments service with a seamless and secure checkout, enterprise-grade security and personalized multi-channel support to every business we partner with. We integrate easily with leading e-commerce platforms like WooCommerce, Wix, Shopify, Magento and Prestashop, and our modern API allows for custom integrations. We currently enable both enterprise and SME ecommerce in South Africa, Kenya and Mauritius, with rapid expansion planned to more countries on the continent. 
Why we are hiring for this role: The Technical Lead will work collaboratively with the Payments Integrations team to drive the development of new payment methods and make technical design decisions to make this process more efficient (currently 8 weeks implementation time). What we would like you to have:  At least 2 years experience as a Technical Lead At least 6 years experience programming in Python Strong experience in AWS Databases / SQL (MySQL / Postgres / MongoDB) Strong experience with best practices and a sound understanding of what makes valuable codebases. Excellent technical, diagnostic, and troubleshooting skills. Willingness to build professional relationships with staff and clients. Excellent communication, motivational, and interpersonal skills. A BSc Computer Science/ technical tertiary qualification or significant work experience will be useful Core function of the role: Collaborating with their team to identify and fix technical issues, and to identify and earmark gaps in required skills in the team Assisting in the hiring and training of individual contributors. Is a part of the Full software development life cycle and all its components with special emphasis on supervising system modificationsAssists in auditing internal teams(Best Practice, Standards, Security and Compliance) Guiding their team through technical issues and challenges. Working with other technical leads on keeping systems up to date to minimize technical risk. Working with the team to set end year goals. Be the first point of call for systems within their domain. Being transparent with the team about challenges, failures, and successes. Writing progress reports and delivering presentations to the relevant stakeholders. Motivating staff and creating an inclusive space where they can ask questions and voice their concerns. Analyzing existing operations and scheduling training sessions and meetings to discuss improvements. Keeping up-to-date with industry trends and developments. Mentoring other engineers from graduates to the senior engineers within the larger engineering team. Working alongside the Engineering managers and Product managers in resourcing the team for work coming up on the roadmap Working on keeping the team accountable with estimated deliverable 
Things we take seriously at our company:  Open and empathetic communication across the team and company. We value each other’s thought processes and have an open forum to collaborate cross-domain You say what you do and do what you say. We’re all accountable to each other and our customers, we set expectations and meet them Ownership of the work that we do. We don’t push tickets through, we thoughtfully problem solve pain points for our customers before, during and after code development We document our approach to scale what we do, soliciting input from the team and ensuring no team member is left behind We are continuously learning to build mastery and become domain experts at a worldwide level We measure outcomes not outputs 
Our Tech Stack:  Frontend: React, TypeScript Backend: Python, NodeJS Data: MongoDB, PostgreSQL, MySQL Infra: AWS Lambda, Serverless, S3, EC2, API Gateway Tools: Jira, Confluence, Git, Postman Automation: Gitlab pipelines, CI/CD, Terraform 
What do people say about working here?  We have a diverse, community-orientated team where failure is allowed. We fail fast but aim to succeed even quicker as we’re committed to enabling entrepreneurs.","Technology, Information and Internet
            
              51-200 employees
            

              325 on LinkedIn"
