Job Link,Job Desception,Company Info
https://www.linkedin.com/jobs/view/3732220350,"About the job
            

 
Job Opportunities: iOS DeveloperOffice Location: JeddahJob Position: RemoteBusiness Unit: Digital MarketingWorking Hours: 5 days a week, 9 hours a day, Sunday to ThursdayHiring From: PakistanNoted: Please be advised that only candidates who submit their applications via email will be considered for further review.iOS Developer:We are seeking a skilled iOS Developer with 2 years of experience to join our team. The successful candidate will be responsible for designing and developing robust and user-friendly iOS applications. They will collaborate with cross-functional teams to ensure seamless integration with server-side components and uphold coding standards and best practices. The candidate will also conduct thorough testing and debugging, optimize app performance, and stay updated with the latest iOS trends and technologies.Key Responsibilities: Application Development: Design and develop robust and user-friendly iOS applications. Cross-FunctionalCollaboration: Collaborate with cross-functional teams to understand project requirements. Ensure smooth integration with server-side components. Code Quality and Standards: Write clean, maintainable, and well-documented code following coding standards and best practices. Testing and Debugging: Conduct thorough testing and debugging of iOS applications to identify and resolve issues and bugs. Performance Optimization: Optimize app performance, responsiveness, and efficiency to deliver a seamless user experience. Stay Updated: Stay updated with the latest iOS trends, technologies, and frameworks to incorporate innovative solutions. Design Collaboration: Work closely with designers to create visually appealing and user-friendly app designs and interfaces. Codebase Maintenance: Continuously maintain and improve the code base. Document the development process and architecture. Application Updates and Enhancements: Perform regular updates, bug fixes, and improvements to existing iOS applications based on user feedback and evolving requirements. Technical Support: Provide technical support and troubleshoot issues reported by users. 
Requirements: Bachelor's degree in Computer Science, Engineering, or related field. Proven experience developing iOS applications for at least 2 years. Proficiency in Swift and Objective-C programming languages. Strong understanding of iOS architecture and frameworks.Knowledge of RESTful APIs and integration. Experience with version control systems (e.g., Git). Familiarity with agile development methodologies. Excellent problem-solving and debugging skills. Strong communication and collaboration abilities.
Perks and Requirements: Personal laptop, stable power, and internet.Strong time management and communication skills.Adaptability, teamwork, and security adherence.Company policies familiarity and health prioritization.
About Company:At Koraspond we value innovation, creativity, and excellence. We offer a supportive and collaborative work environment where your ideas and expertise will be appreciated. As a full-stack developer, you will have the opportunity to work on challenging projects and contribute to the growth and success of our organization.If you are excited about pushing the boundaries of technology, possess a creative mindset, and have a strong commitment to on-time deliverance, we would love to hear from you. Please submit your resume, along with a portfolio or links to your previous work, to asfiya@koraspond.app. Only qualified candidates will be contacted for further consideration.Join our team and be part of a company that is passionate about delivering cutting-edge solutions to our clients. We look forward to reviewing your application and getting to know you better.","Advertising Services
            
              11-50 employees
            

              45 on LinkedIn"
https://www.linkedin.com/jobs/view/3740815964,"About the job
            

 
Company DescriptionOrbhex is a leading Software House & BPO Company located in Karachi. We specialize in web development, app development, software solutions, outbound and inbound sales, customer service, outsourcing, marketing, social media marketing, medical billing, and workers compensation.Role DescriptionThis is a full-time on-site role for a Sales Manager. The Sales Manager will establish sales objectives by forecasting and developing annual sales quotas for regions and territories, projecting expected sales volume and profit for existing and new products. They will implement regional sales programs by developing field sales action plans. They will also maintain sales volume, product mix, and selling price by keeping current with supply and demand, changing trends, economic indicators, and competitors.Qualifications Sales Planning and Sales Management skillsMarket Knowledge and Presentation SkillsProduct Knowledge and Client Relationships skillsMeeting Sales Goals and Negotiation skillsExcellent Written and Verbal Communication skillsTeam Management and Motivation SkillsBachelor's degree in Business Administration, Marketing, or related fieldExperience in the Tech industry is a plus","IT Services and IT Consulting
            
              51-200 employees
            

              19 on LinkedIn"
https://www.linkedin.com/jobs/view/3744844962,About the job,
https://www.linkedin.com/jobs/view/3746500436,About the job,
https://www.linkedin.com/jobs/view/2849781534,"About the job
            

 
We have proudly served clients in the E-Commerce, Manufacturing, Fintech, Supply Chain, Food and Beverages, and Mobility Industries. For further expansion, we are looking for an Analytics resource in Lahore. The resource would act as a liaison between clients, and the BI Architecture / Solution delivery team.The job entails an exciting opportunity to leverage data and solve challenges across multiple industry laterals. The resource would propose an architecture, help build and implement end-to-end Business Intelligence solutions.Ascend Analytics (Pvt) Ltd. is a budding start-up that provides end-to-end solutions to enable data-driven decision-making.Great to have:1. Domain knowledge of Analytics (BI, Data Warehousing, Data Science)2. Familiarity with SQL and MS Excel3. Familiarity with visualization tools (Power BI, Tableau)","IT Services and IT Consulting
            
              11-50 employees
            

              25 on LinkedIn"
https://www.linkedin.com/jobs/view/3746499991,"About the job
            

 
Job Title: B2B Sales ExecutiveCompany: GreenWend EnergyLocation: Islamabad, Lahore, Karachi, Peshawar (Multiple Positions)Job Type: Full-TimeAbout GreenWend Energy:GreenWend Energy is a leading renewable energy solutions provider dedicated to promoting sustainable and eco-friendly alternatives. We specialize in solar inverters and are committed to making a positive impact on the environment. As a B2B Sales Executive, you will be an integral part of our mission to drive the adoption of solar energy solutions in Pakistan.Job Description:Position Overview:GreenWend Energy is seeking motivated and results-driven B2B Sales Executives to join our team in multiple locations, including Islamabad, Lahore, Karachi, and Peshawar. The primary responsibility of this role is to promote and sell our high-quality solar inverters to businesses and organizations, contributing to the growth and success of our company.Key Responsibilities: Prospecting and Lead Generation: Identify potential B2B clients and generate sales leads through research, networking, and outreach.Consultative Sales: Understand the specific needs of each client and provide tailored solar inverter solutions to meet their energy requirements.Product Knowledge: Develop a deep understanding of GreenWend Energy's solar inverter products, features, and benefits to effectively communicate their value to potential customers.Sales Presentations: Create and deliver compelling sales presentations and proposals that highlight the advantages of our solar inverters.Relationship Building: Build and maintain strong, long-term relationships with clients, ensuring their satisfaction and loyalty.Negotiation and Closing: Skillfully negotiate terms and conditions to secure sales agreements and close deals.Market Analysis: Stay informed about industry trends, competitors, and market developments to adapt sales strategies accordingly.Sales Reporting: Maintain accurate and up-to-date records of sales activities, forecasts, and progress using our CRM system.Targets and Quotas: Achieve or exceed monthly and quarterly sales targets and quotas.
Qualifications: Bachelor's degree in Business, Marketing, or a related field (preferred but not required).3-5 years of B2B sales experience, ideally in the solar energy industry.Strong communication and interpersonal skills.Self-motivated and results-oriented with a passion for sustainable energy solutions.Excellent negotiation and problem-solving abilities.Ability to work independently and as part of a team.Valid driver's license and access to a reliable vehicle for client visits.
Benefits: Salary: 150k + commissionsTraining and professional development opportunities.Health and wellness benefits.Travel and expense reimbursement.Opportunity to contribute to a cleaner, more sustainable future.
 How to Apply:If you are enthusiastic about making a positive impact on the environment and have the skills and experience to excel in B2B sales, we encourage you to apply. Please send your resume and a cover letter outlining your relevant qualifications and motivations to careers@greenwendenergy.com Join GreenWend Energy in our mission to revolutionize the energy sector through solar inverters and help businesses embrace cleaner, more sustainable power solutions. Your dedication and passion for renewables can make a difference!","Renewable Energy Semiconductor Manufacturing
            
              201-500 employees
            

              44 on LinkedIn"
https://www.linkedin.com/jobs/view/3741331531,"About the job
            

 
Company DescriptionFloret Commodities Pvt. Ltd. is a fully incorporated and regulated brokerage house located in Islāmābād, Pakistan. They work with the membership of the Pakistan Mercantile Exchange (PMEX) and serve their clients with the utmost facilities for their commodities trading experience. Their qualified and experienced team strives to provide the best service to their clients. Role DescriptionThis is a full-time on-site role for a Videographer. The Videographer will be responsible for shooting videos, camera operation, lighting, and video production. They will be responsible for creating high-quality videos that meet the company's standards. The Videographer will also collaborate with other team members to ensure that the company's goals are achieved.Qualifications Video production and shooting video skillsExperience in camera operation and lighting techniquesStrong attention to detail and ability to produce high-quality workAbility to work well under pressure and meet tight deadlinesExcellent communication and interpersonal skillsBachelor's degree in Film Production, Videography, or relevant fieldExperience with editing software and post-production techniques is a plusExperience in the commodities trading industry is a plus",
https://www.linkedin.com/jobs/view/3742547900,"About the job
            

 
Role DescriptionmuSharp is looking for a Lead Shopify Developer who will be responsible for managing a team of developers, designing and implementing Shopify applications and solutions, resolving technical issues, and collaborating with cross-functional teams to identify business opportunities and provide customized solutions. The successful candidate will be responsible for creating and maintaining seamless Shopify stores for our e-commerce clients, providing ongoing support, and ensuring server-side integrations.Qualifications: Bachelor's degree or higher in Computer Science or a related field5+ years of Shopify development experience, with advanced knowledge of Shopify PlusExperience with Liquid, HTML, CSS/SASS, JavaScript as well as other web technologiesExperience with JavaScript frameworks such as React or Vue.js is a plus.Strong knowledge of responsive design principles, SEO, and accessibility best practicesExperience with UI/UX design and the ability to create excellent user experiences.Experience leading and mentoring a team of developers.Effective verbal and written communication skills, with the ability to work collaboratively with cross-functional teams and clients.Experience with integrating Shopify with third-party APIs and systems.
Benefits: Competitive Salary package.Salary is negotiable according to your skills and experience.Medical EntitlementProvident fund24 holidays per year + Public holidaysPerformance-based & Annual BonusesEOBI CoverageAnnual Paid Casual and Sick LeavesFree Food, snacks & Parking FacilityAnnual Trips/Recreational ActivitiesRegular birthdays and team dinners.Opportunity to work with international teams and clients.Annual salary reviews.","Information Technology & Services
            
              11-50 employees
            

              40 on LinkedIn"
https://www.linkedin.com/jobs/view/3746500901,"About the job
            

 
Title: Finance Executive/Assistant Manager AccountsJob Type: Full-Time, Onsite (i-10, Islamabad)Salary: 100,000 PKR - 200,000 PKR/MonthResponsibilitiesAs a Finance Assistant/Accountant at VASL, you will play a crucial role in ensuring the smooth operation of our Finance Department. You will be responsible for a variety of financial and administrative tasks, including: A/R and A/P Management: Keep meticulous records of accounts payable and accounts receivable, ensuring accuracy and timely processing.Payroll Management: Efficiently manage payroll processes, ensuring employees are paid accurately and on time.Invoicing: Prepare and distribute invoices to clients, vendors, and internal stakeholders.Bookkeeping: Maintain organized financial records and perform data entry to ensure the accuracy of financial data.Enter Financial Data: Input financial transactions into the system and update financial records as needed.Monthly Financial Reports: Assist in the preparation of monthly financial reports to support decision-making.Check Ledger Balances: Regularly review and update ledger balances to maintain accuracy.Update Accounting Systems: Keep computerized accounting systems up to date with the latest financial information.Tax Document Preparation: Assist in the preparation of tax documents for the organization according to the US regulations
Qualifications ACCA (finalist) or CA ( Finalist) OR Bachelor's degree (or equivalent) in accounting & finance.
CertificationsQuickbooks Online ProAdvisor CertificationExperienceTo excel in this role, you should possess the following experience and skills: 3 Years of working experience in a reputable firm is a must.Proficiency in Excel: Demonstrated ability to work with Excel spreadsheets effectively.Accounting Software Expertise: Proven experience with QuickBooks and Xero accounting software.US GAAP Experience: A must-have requirement is experience and a strong understanding of US Generally Accepted Accounting Principles (GAAP). Familiarity with US GAAP standards and their application in financial reporting is essential.Attention to Detail: Exceptional attention to detail to identify and correct errors in financial recordsOrganizational Skills: Strong organizational skills to manage multiple financial tasks and maintain accurate records.Accounting Standards: A solid understanding of accounting standards and principles.Policy Adherence: Ability to follow company policies related to financial processes and reporting.Independence and Teamwork: Demonstrated ability to work both independently and collaboratively within a team.Your experience and skills in these areas, especially your expertise in US GAAP, will be invaluable in contributing to the success of our Finance Department and the organization as a whole.
Why VASL?At VASL, we are seeking the brightest talent to join us in our mission to become the premier ""business process as a service"" provider worldwide. Since our inception in 2019, we have consistently added value to our clients' businesses while reducing their leaders' workloads. We have a track record of helping over 40 businesses from around the world bring their ideas to execution.We solve our clients' challenges through skilled services in strategy, consulting, technology, finances, and operations. Our vision is to build a global platform for business services in the 21st century while delivering the best customer experience.Our Values Value creation: Create more value than expected.Integrity: Develop trusted relationships through honesty, efficiency, and dependability.Respect: Appreciate that everyone brings value.Diversity: Embrace different perspectives.Flexibility: Adapt to changing circumstances and be open to collaboration.Teamwork: Collaborate for success.
Work with UsJoin our team of talented individuals who are passionate about their work and diverse personal interests. At VASL, you'll have the autonomy to excel in a culture of feedback and collaboration. We prioritize teamwork, integrity, and delivering transformational outcomes for our customers.VASL is a place where ambition meets a supportive and collaborative environment, and we're excited to welcome new team members who share our vision and values.","Business Consulting and Services
            
              11-50 employees
            

              31 on LinkedIn"
https://www.linkedin.com/jobs/view/3731286469,"About the job
            

 
Role DescriptionThis is a full-time, on-site role for a Shopify Developer located in Lahore. The Shopify Developer will be responsible for developing, customizing, and maintaining Shopify e-commerce websites. This will include building custom themes, integrating third-party apps and optimizing site performance. The Shopify Developer will also be responsible for collaborating with cross-functional teams to identify business opportunities and provide customized solutions.Qualifications 2 years of experience in Shopify developmentSolid understanding of Liquid, HTML, CSS, Javascript, and jQueryExperience in designing landing pages using page builders (Gempages, Pagefly).Must-Have Knowledge in Conversion Rate Optimization (CRO).Ability to develop and customize Shopify themes using Sketch, Figma, or Adobe Creative CloudExcellent knowledge of web development standards and best practicesBachelor's degree or higher in Computer Science, or a related fieldExcellent communication and collaboration skills",
