Job Link,Job Desception,Company Info
https://www.linkedin.com/jobs/view/3756144045,,
https://www.linkedin.com/jobs/view/3753055412,"About the job
            
 
Principal Data Scientist/Partner (Full-time/Permanent)Who we are:Herald Analytics is a tech start-up offering software and data solutions and strategic insights for renewable energy and natural resource sectors. We partner with our clients through a host of cutting-edge analytics and forward-thinking research to empower them in developing and implementing bold business decisions.Role summary:You are a senior data scientist with demonstrated experience in machine learning and AI tools. You are equipped with the skills to lead a team of machine learning engineers and developers to build software solutions for the renewable energy and natural resource sectors. Finally, you are a natural team player who is dedicated to bringing about the desired commercial success of Herald and ultimately benefit as its co-owner.Creating impact: Contribute to position Herald Analytics as a leading commercial intelligence platform for the renewable energy industry; Apply your expertise in machine learning, artificial intelligence, and optimization to analyze satellite imagery;Create and train ML models designed to detect and classify energy projects;Partner with your clients to understand their strategic analysis needs and embed that understanding into your products;Collaborate closely with cross-functional teams to seamlessly integrate ML solutions into existing workflows;Build, nourish and lead a team of motivated and talented ML engineers and data scientists;Product development and commercial growth;Understand the value chain of the electric power and energy industries; Engage with industry leaders through conferences and industry events.
Qualifications: Bachelor’s or master’s degree in computer science, machine learning, or a related field.Demonstrated experience of at least a few years in machine learning and computer vision, with a particular focus on analyzing satellite imagery (including hands-on work with Deep Neural Networks, Support Vector Machine, K-Nearest Neighbor Classifier, and other ML algorithms).Proven proficiency in working with frameworks like TensorFlow or PyTorch.Strong programming skills in languages like Python or R and experience using ML libraries.Experience with big data tools and technologies (e.g. Hadoop, Spark)
Preferred Skills: Hands-on experience with relational databases, such as PostgreSQL or MySQL, and the ability to design efficient database schemas.Proficiency with cloud platforms like Amazon Web Services (AWS), Google Cloud Platform, or Microsoft Azure, including experience integrating their services into web applications.Familiarity with tools and platforms designed for satellite image analysis, such as Google Earth Engine or other satellite imagery and mapping tools.Strong expertise in data extraction and integration from satellite sources.
What do we offer? Equity participation (shareholding in the firm)Attractive salary packageEmpowered and trustworthy teamA vibrant work culture
Selection process and timeline If you are enthusiastic about joining our team, we invite you to send a cover letter and your latest CV to team@heraldx.ioSkills test, presentation, and interview in Nov and Dec 2023Job offers to be made in December 2023Expected start in early 2024","Business Intelligence Platforms
            
              11-50 employees
            

              2 on LinkedIn"
https://www.linkedin.com/jobs/view/3556708085,"About the job
            
 
At Nymble Leap, our mission is to leverage technology and build scalable solutions for emerging tech companies in the Silicon Valley.As an engineer on the Machine Learning team, you will be responsible for backend pipeline implementation, end-to-end ML development and bringing ML models to production. You will partner with other engineers and product leads to develop and enhance existing models and features. Our goal is to provide a seamless experience across all projects.Responsibilities As a machine learning engineer, you will design and build platforms and services that are configurable and scalableYou will have the opportunity to build and deploy advanced ML applications and generalizable feature engineering pipelines, with the aim to produce business impact and raise the bar for technical excellenceYou will also have the opportunity to contribute to and influence ML architecture at Nymble LeapBuild and deploy deep learning architectures and feature embeddings for generative AI projectsDesign and architect generalizable ML workflows for rapid expansion of existing ML solutionsExperiment with advanced ML solutions in the industry and ideate on product applicationsCollaborate with data scientists to build ML models
Qualifications 1-2 years of Machine Learning (MLE) industry experienceYou have experience developing streaming feature pipelines, building ML models, and deploying them to production, even if it involves making substantial changes to backend codeYou are comfortable with ambiguity, love to take initiative, and have a bias towards actionAt least 1-2 years of industry experience doing end-to-end ML development on a machine learning team and bringing ML models to productionProficient in Python and SparkExperience with REST APIs, Postgres, Flask, Django or any other MVC frameworkKnowledge of Elasticsearch, Algolia or any similar search index (preferred)Experience with Pytorch (preferred)Experience with cloud solutions and tooling for ML model development, including Azure, GCP, Vertex AI, and MLOps utilities (preferred)Write clear, scalable and clear design documentationAgile software development best practices (code reviews, pull requests, unit tests)Intermediate+ level of English
Benefits The opportunity to work with talented and highly motivated team.Professional and stable working environment.The latest technology and equipment you need.Corporate events.20 calendar days for vacation and up to 8 paid days off.","Software Development
            
              2-10 employees
            

              3 on LinkedIn"
https://www.linkedin.com/jobs/view/3751479307,"About the job
            
 
Research Assistant at CDPRThe Consortium for Development Policy Research is inviting applications for the Lahore based position of Research Assistant.Overview of Responsibilities• Research Support: Conducting primary and secondary research including literature reviews, data collection and management, conducting interviews, overseeing surveys and stakeholder workshops. On-going co-ordination with the lead researchers.• Content creation: Writing blogs/policy briefs/reports on key development themes, drafting event invitations, writing non-technical blurbs for the monthly newsletter, social media and email campaigns about news articles, blogs, policy briefs, and reports. Support in the formulation of fact sheets/infographics/brochures/videos is also expected. Direct & on-going coordination with the Digital Marketing Team.• Event organization: Organizing online or live seminars which includes inviting panelists, formulating guiding questions for the conversation, drafting press releases, identifying key takeaways, and summarizing the highlights of the event for event reports.• Data Analysis: Compile, clean and analyze data, assist research teams with their data requirements, adding data insights to knowledge products, updating CDPR’s monthly newsletter graphs and maintaining the macrodata repository on the CDPR website.• Managing Podcast series: Scoping out individuals to participate in the CDPR podcast, scheduling and managing the podcast, devising insightful questions to guide the conversation based on the participants expertise. Reviewing the podcast and overseeing the editing process.  • Managing social media: Creating and uploading content to various platforms such as Twitter, Facebook, LinkedIn, YouTube, and the CDPR blog.  • Maintaining company website: Updating and uploading content on CDPR’s official website and overall maintenance of the website in coordination with the Web Development Team• Stakeholder management: Work in collaboration with partner organizations, donor organizations, government departments, and CDPR fellows and affiliates with regards to project outputs and deliverables.  Requirements• Organization: Handling a number of logistical details and juggling several different types of projects, will require exceptional organization and fastidious attention to detail.• Data skills: Working knowledge of Python, R, or Stata and willingness and ability to learn more at a fast pace. • Ability to Multitask: Having the ability to multitask, and understanding instructions is crucial is the work will require juggling administrative work, meetings, writing and public relations events.• Interpersonal Skills: Given the number of people to interact with regularly, it’s essential for the RA to have great interpersonal skills and be able to seamlessly carry a conversation.• Strong Writing: In order to produce clear, concise, and professional press releases, articles, blog posts and email campaigns, the RA needs to have solid writing and editing skills.• Strong Analytical Skills: The Research Assistant is expected to possess excellent analytical skills to synthesize key findings from academic papers to produce communication outputs such as policy briefs, blogs, and policy notes.• Teamwork: Most of the things that the RA will do, from scheduling meetings to writing press releases, will be a collaborative effort which will require input from multiple sources.Qualifications• Bachelor’s degree in economics from a reputable university with 0-2 years’ experience in relevant field. An exposure to a broad range of subjects to accurately understand key development topics and articulate them precisely and effectively in writing and verbally. Proven skills in data management, report writing, and stakeholder engagement is a plus. Salary• Negotiable – subject to qualifications and experience. If interested, please send your CV and a writing sample (research paper/blog/article) toadmin@cdpr.org.pk.","International Trade and Development
            
              2-10 employees
            

              9 on LinkedIn"
https://www.linkedin.com/jobs/view/3749320455,"About the job
            
 
CountryPakistanJob FamilyOperationsWe Show The World What People Want.Join GfK and help us shape tomorrow. As an NIQ company, we are the world's leading consumer intelligence firm, delivering the Full View™ on consumer behavior. We work to enable manufacturers and retailers better understand what consumers really want. Our name has inspired trust for over 89 years because we take pride in discovering new pathways to sustainable growth for our clients, our people, and our planet.We are always looking for open-minded people who will grow with us, push boundaries, and pioneer disruptive methods in market research, data science, technology, and AI. If you share this passion to drive things forward and the integrity to insist on doing things the right way, we'll equip you to take your future into your own hands and play a leading role in our story.Job DescriptionMain Job Responsibilities: To produce quality product data as per daily targets. To remove errors in product data and get it QC passed in less than 2 daysTo suggest improvements in product data developmentTo gain expertise in product category to a level where he/she can impart training to other fellow DPAsMonitor Defect Rate of Production in assigned categories
Required Personal Skills And Competences Fast LearnerPresentation skillsResearch and Report writing skillsProblem solving and decision-making skillsProfessional and positive approach
We are an ethical and honest company that is wholly committed to its clients and employees. We are proud to be an inclusive workplace for all and are committed to equal employment opportunity, focusing on all of our employees reaching their full potential.We respect and value every employee regardless of race, ethnicity, gender, sex, sexual orientation, age, personality, experience, culture, faith, socio-economic status, or physical or mental disabilities.We endorse the core principles and rights set forth in the United Nations Declaration of Human Rights and the Social Charter of Fundamental Rights of the European Union, promoting the universal values of human dignity, freedom, equality, and solidarity.Learn more about how we are driving diversity and inclusion in everything we do on: https://www.gfk.com/about-gfk/diversity-and-inclusionAt GfK we work collaboratively with our colleagues but offer a flexible working approach, including dividing our time between office & remote working as well as the opportunity to flex our working hours around team core hours.We offer an exciting work environment that brings people together. We encourage an entrepreneurial and innovative spirit and make use of the latest digital technologies. We are looking for self-starters, who accept challenges and create solutions.Can there be a better place to take center stage in the digital revolution? We are excited to get to know you!","IT Services and IT Consulting
            
              5,001-10,000 employees
            

              11,826 on LinkedIn"
https://www.linkedin.com/jobs/view/3755213439,"About the job
            
 
Passionate about driving business growth and exceeding sales targets? Join the dynamic team at Makkaan.com as a ""Business Development Manager- Vertical Sales"". We're looking for motivated individuals to play a pivotal role in our sales team. Together, we'll make an impact and shape the future of our industry.Key Responsibilities:1. Prospecting and Lead Generation2. Client Relationship Management3. Sales Strategy4. Sales Presentations5. Market Analysis6. Sales Reporting7. Team CollaborationExperience Required: 1. Minimum 4 years of experience is mandatory in the Real-estate industry.Interested candidates can send their CVs to recruitment@makkaan.comor WhatsApp 0333-0189492","Real Estate
            
              51-200 employees
            

              82 on LinkedIn"
https://www.linkedin.com/jobs/view/3752433006,"About the job
            
 
Why Graana? At Graana, we give you the platform to be part of the real-estate landscape and lead the industry. For more than a decade our intention has been to revolutionize the real estate industry in Pakistan. The same belief drove the vision of our real estate team, Graana; where quality beats quantity. Graana.com is a result of simplifying essential components of real estate into a more efficient and user-friendly portal. Objective: As the Business Development Manager for Sales, you will spearhead our company's ambitious growth initiatives, identifying new business opportunities and building strategic partnerships. Responsibilities:· Develop and implement comprehensive sales strategies to expand our customer base and drive business growth· Identify and cultivate new business opportunities through networking, cold calling, and other innovative approaches· Lead and mentor a high-performing sales team, providing guidance and support to achieve sales targets and objectives· Foster strong relationships with key clients and partners, ensuring exceptional customer satisfaction and retention· Conduct market research and analysis to stay ahead of industry trends, utilizing insights to optimize sales strategies and maximize profitability· Collaborate with cross-functional teams to ensure alignment with company objectives and foster a cohesive and collaborative work environment· Prepare and present regular sales reports and forecasts, providing insights and recommendations to senior management for informed decision-makingRequirements:· Proven track record of at least 5 years in sales and business development, with a focus on achieving and exceeding sales targets· Exceptional leadership skills, with a demonstrated ability to inspire and motivate a sales team to achieve outstanding results· Strong analytical and strategic thinking abilities, with a keen understanding of market dynamics and business trends· Excellent communication and interpersonal skills, with the ability to build strong relationships with clients, partners, and internal stakeholders· Proficiency in CRM software and other sales management tools· A passion for innovation and a relentless drive to push the boundaries of business growth and successEducation:· Bachelor's degree in Business Administration, Marketing, Finance or a related field","Real Estate
            
              501-1,000 employees
            

              784 on LinkedIn"
https://www.linkedin.com/jobs/view/3719173453,"About the job
            
 
Seeking results-oriented, customer-centric inside sales professional with experience in a digitally-driven environment.In the spirit of aggressively scaling our business via marketing outreach and Inside Sales, we are seeking experienced sales professionals who can build the sales pipeline as highly motivated, self-disciplined, individuals who are poised to propel us into innovation and growth.Essential Job Functional Call prospects in service contractor industry (HVAC, Electrical, Mechanical, and electrical contractors) from the provided listQualify the prospect and set up an appointment for the Sales specialist.Daily phone calls/emails, contact business decision-makers, build quick rapport, assess needs, and set an appointment for a demoExplaining client products/solutions and value propositions to businesses of different verticals and sizesAchieving or exceeding monthly sales quota, ~90 calls per day and 4 meetings per weekSetting a meeting appointment and scheduling follow-up tasks for the sales team
Requirements Minimum of 4- 5 years relevant experience in Business-to-Business(B2B) telesales, telemarketing or appointment setting. Only candidates with relevant experience should apply.Superb English communication skills in both written and verbalExcellent in building and maintaining client relationshipsVery strong sales & and negotiation skillsAbility to work well in a high-energy teamWell-organized and structured working styleGreat team player and irresistible enthusiasmC1 level English","Software Development
            
              11-50 employees
            

              26 on LinkedIn"
https://www.linkedin.com/jobs/view/3749338274,"About the job
            
 
Goodwork is recruiting for… Goodwork(!), a Canadian-based remote recruitment agency.What makes this opportunity interesting? 🇨🇦Canadian company✊🏾Mission-oriented🚀High company growth trajectory
About the CompanyGoodwork is a remote recruiting agency committed to systemic change. We're on a mission to help 1 million women from underemployed regions gain financial independence through connecting them with secure, long-term remote jobs with established lower-to-midmarket companies in North America and Europe.In our approach, we recruit talent from emerging economies regions in the world that are seeing shifts towards remote work, ensuring highly affordable (3-6x cheaper than domestic rates) and skilled remote talent. Our rigorous hiring process includes multiple stages -- application reviews, screenings, interviews, and practical tests -- and is designed to help employer de-risk & enrich applicant profiles. Beyond just recruitment, we aim for broader impact: our work not only staffs companies, but also contributes to a global effort to drive female economic empowerment and correct systemic inequalities.Having been operational for just over two years, our growth trajectory is impressive with an 11x revenue growth in the past year. Our strategic roadmap is very exciting, and has the potential to rewrite capitalism.Goodwork is part of a larger business studio that specializes in building and scaling internet economy businesses. The Canadian founders bring rich backgrounds from international development, indigenous education, technology startups, and entrepreneurial ventures. The diverse business portfolio includes an eCommerce store, a video production agency, and a vacation rental business.OUR COMPANY VALUES guide our team and shape our culture:  OwnershipSpeedAttention to QualityIntegrityGrowth MindsetDeep Care
More than just words, we are intentional about curating high-quality teammates who embody these values. We pride ourselves on a fresh and fun culture – one that’s supportive, fun-loving and solutions-focused. We strive for growth and performance while prioritizing mental health and wellness.We’re headquartered in Canada, with a female-majority team of 10+ primarily in Pakistan, and dozens of dozens of contractors spread across Canada, US, Europe and Asia.Join us as we push forward to create quality business solutions that drive systemic change, at delightful returns.About the RoleWe're looking for a remote Technical Recruiter to join our recruiting team. Your primary tasks will include headhunting, shortlisting applicants, conducting screening calls via live video, and keeping excellent notes and written communications.OUR IDEAL CANDIDATE has 3-5 years of experience in roles like Technical Recruiter or Talent Acquisition Specialist. You have an eye for detail, good judgment, rigor, technical fluency, an understanding of small business realities, and clear writing. You can communicate well through phone, email, and video, and have great EQ to skillfully steer through tough conversations. You understand and support feminist values, are socially aware, and have high integrity around treating every candidate fairly. Your strong sense of responsibility ensures that every applicant gets a fair shot. You care. You have deep knowledge of recruiting, and have your own network, channel partners, and tip and tricks on sourcing all kinds of roles -- from entry-level to senior, technical and non-technical -- in the PK market. You are a systems thinker and have great ideas to improve our process using the latest best practices in recruiting. You're keen on using the latest tech, including AI, to make our work more efficient. You are a helper, driven to benefit your team, the applicants you recruit, and the businesses who hire us.Your performance metrics will be based on your efficiency in filling roles, volume of high-quality headhunting leads you source, accuracy in candidate evaluations, judgment during the screening process, and clarity and care during communications and the overall experience feedback from candidates and employers.You’ll work most closely with Operations Lead and Cofounder, but will also collaborate with our Growth team, Finance team, and other teammates from our parent company’s teams.This position reports directly to the Cofounder.You'll be doing things like: Technical Recruitment Strategy: designing tailored recruitment plans for roles ranging from junior to leadership, across domains like software development, marketing, operations, and finance; grasping nuances between tech stacks, development methodologies, and specialties.Active Headhunting: using platforms such as LinkedIn for precise candidate targeting; initiating cold outbound communications and follow-ups; consistently reflecting the company's brand image and upholding employer branding standards.Comprehensive Application & Technical Screening: meticulously reviewing applications for technical depth; conducting video interviews, extracting clear information even from evasive responses, and documenting with AI-assisted note-taking tools; ensuring employer-centric and concise notes.Internal Community Engagement: leveraging our vetted talent community for candidate sourcing and relationship management; fostering a likable and professional brand representation for Goodwork.Candidate Operations & Onboarding: overseeing the entire logistics of the recruitment process from initial communication to onboarding; ensuring positive candidate experience, attention to detail, and consistent feedback loops.Client Relationship & Communication Management: translating technical and non-technical requirements into actionable recruitment strategies; maintaining transparent and ongoing communication with clients; demonstrating mature understanding of diverse business models and strategies.
Skills & QualificationsSkills & Qualifications 3-5+ years in roles such as Technical Recruiter, Talent Acquisition Specialist, or Recruiting Operations ManagerProficient with global remote recruiting practices -- or the ability to adapt learn quicklySolid grasp of HR and recruiting best practices, coupled with a mature business sense that business owners can appreciateExcellent, polished, clear thinking + writing -- via email, Slack, emoji- and .gif-based communications 🤓; ability to adapt to different tonesStellar professional etiquette in written, phone, and video communicationsHigh emotional intelligence (EQ), empatheticTech-savvy with a quick typing speed and an ability to quickly master new softwareStrong organizational skills, meticulous attention to detailAbility to turnaround reliably accurate and high-quality work, both independently and collaborativelySelf-motivated, proactive, and eager for growth opportunities
Bonus if you also have: Prior experience in remote recruitment or staffing focused on North American clientsYour own sizable LinkedIn network of Pakistan talent; partnerships or connections to PK-based organizations to cross-post to; tools and tricks for recruiting within PakistanAn understanding of different worker classification types, global labor standard laws, tax implications, etc.Expertise with modern ATS and TRM platformsComplementary background in any of the following: Account Management, B2B Consulting, finance, operations, technical writing, or B2B copywriting (please share your portfolio) or past entrepreneurial or business leadership experienceAcademic or hands-on experience in HR, MBA disciplines, international development, global economics, gender studies, software development, computer science, or AIFluency with remote collaboration tools such as Google Workspace, Miro, Slack, and ClickUpFamiliarity with our recruiting-specific tools: ChatGPT, Airtable, Calendly, Zapier, and NoCode platforms.
Full-time vs Part-time: Full-time (40 hours/week)Working Hours: Fixed. Choose from 2 options: 7AM-3PM EDT (4PM-12AM PKT) or 11AM-7PM EDT (8PM-4AM PKT)Education: An undergraduate degree in something interestingLevel: Intermediate (3-5 years of relevant work experience)Compensation: 🇺🇸USD$460-612/month (🇵🇰~130K-170K PKR/month), depending on experienceBenefits of working with us:  🚀Work directly with a forward-thinking Canadian company🤗Remote-first, inclusive and supportive company culture🏆Incredibly talented teammates✊🏾Mission-oriented culture😤Exciting professional challenges to do your best work of your career🎯Weekly rituals and routines for clear goal-setting, tracking and unblocking🧘🏾‍♀️Work-life balance: 8 hours a day, 5 days a week❤️Mental health days and wellness programs to prioritize individual well-being🌱Paid support for learning and development in your field
If you’re not sure about applying and think you might be close to meeting the requirements, apply anyways! We value diverse life experiences and look at potential over qualifications.---Additional keywords: Remote Hiring Solutions, North American Talent Sourcing, Female Economic Empowerment, Systemic Change in Recruiting, Talent Community Building, Gender Equality in HR, Global Talent Acquisition Trends, Tech-Enabled Recruitment, Applicant Tracking System Expertise, Recruitment Process Optimization, Video Interviewing Best Practices, International Talent Sourcing, HR Technology Proficiency, Inclusive Hiring Strategies, Remote Workforce Management, Talent Relationship Management, Employer Brand Enhancement, AI Tools in Recruitment, NoCode Recruitment Platforms, Economic Impact of Talent Acquisition, Recruitment Branding for Impact, Global Business Development, Digital Marketing in HR, Job Description Enhancement, Candidate Outreach Techniques, Recruitment Strategy Innovation, HR Diversity Initiatives, Cultural Sensitivity in Hiring, HR Technology Integration, Remote Collaboration Tools","Staffing and Recruiting
            
              11-50 employees
            

              5 on LinkedIn"
https://www.linkedin.com/jobs/view/3755201096,"About the job
            
 
Job Title: Assistant Finance Executive (Supply Chain)Job Description: Assist in coordinating and communicating with suppliers, vendors, and internal departments to ensure timely delivery of materials and products. This includes maintaining accurate records, tracking shipments, and resolving any logistical issues that may arise.Collaborate with the inventory team to monitor inventory levels, analyze demand patterns, and forecast future requirements. Assist in implementing inventory control measures to optimize stock levels and minimize stock-outs while reducing carrying costs.Assist in identifying and mitigating potential risks in the supply chain, such as supplier disruptions, transportation delays, and quality issues. Collaborate with cross-functional teams to develop contingency plans and ensure business continuity.
Qualification:  Minimum bachelors degree in SCM, Finance or a related fieldFresh graduates are encouraged to apply
Why Nayatel? We provide: Challenging environmentNo non-sense cultureOpen doorsRespect, dignity, and protectionTraining, mentoring, and coaching in soft and hard skills to transform you as a future leaderRepresentation in external forums (University lecturers, advisory boards, etc.)Excellent rewards for out of the box thinker, doers, and implementersEqual opportunity, merit, and no Safarish culture
 Hiring Procedure: CV shortlistingInitial interviewIQ/Personality Assessment TestsFinal interviewMedical ScreeningJoining",
