Job Link,Job Desception,Company Info
https://www.linkedin.com/jobs/view/3732205313,"About the job
            

 
Company DescriptionEmarat Developers and Consultants is a real estate development company located in Islamabad, Pakistan. Emarat specializes in providing exquisite and secure investment return projects with internationally recognized luxury. The company has completed several successful projects including the Ramada Hotel Islamabad, Savoey Hotel Lahore, and B-17 Emarat Villas Islamabad. Emarat's primary focus is on research-based analysis in Northern areas and the Capital territory of Pakistan.Role DescriptionThis is a full-time on-site role for a Business Development Officer located in Islamabad. The Business Development Officer will be responsible for identifying and cultivating new business opportunities, enhancing relationships with existing clients, conducting financial analyses, and delivering exceptional customer service. The Business Development Officer will also be responsible for effective communication and collaboration with various teams within the organization.Qualifications New Business Development, Analytical Skills, and Finance skillsExcellent Communication and Customer Service skillsProven ability to build and maintain effective relationships with clientsAbility to work collaboratively with multiple teamsFamiliarity with the real estate industry and local marketFluency in English and Urdu
 Benefits  Basic Salary + CommissionLocation Blue Area,Islamabad near stock exchange Metro station","Real Estate
            
              51-200 employees
            

              59 on LinkedIn"
https://www.linkedin.com/jobs/view/3754752706,"About the job
            

 
📢 VACANCY ALERT 📢TradeWheel.com is looking for International Sales Executive, in the Sales Department. If you have all the skill set and sufficient experience mentioned below apply now!📍 Location: Gulshan-e-Iqbal, Karachi. Perks & Benefits:👉 Attractive commission. 👉 Fast growth. 👉 Market Competitive Salary.👉 Punctuality Allowance.👉 Weekends Off.👉 Health Insurance.👉 Life Insurance.👉 Morning Shift (7 to 4).Apply asap at:📧 hr@tradewheel.comcc: nazish.qamar@tradewheel.comMention the position title “International Sales Executive” in the subject line.Note:💼 Office based Job. 👍 Only shortlisted candidates will be approached.#tradewheel #jobopportunities2023  #freshgraduates #experience #salesexecutives #sales #international #target #commission","International Trade and Development
            
              201-500 employees
            

              152 on LinkedIn"
https://www.linkedin.com/jobs/view/3754414862,"About the job
            

 
Job Title: Business Development Manager (Commission-Based)Location: RemoteJob Type: Contract/Commission-BasedAbout Us:Virtual Impact Strategies is a dynamic and innovative company specializing in providing top-notch virtual assistant services to clients across various industries. We pride ourselves on our ability to connect businesses with highly skilled and dedicated virtual assistants, helping them streamline their operations and achieve their strategic goals.The Role:We are seeking an experienced and entrepreneurial Business Development Manager to join our team on a commission basis. In this role, you will play a crucial part in expanding our client base, identifying new business opportunities, and driving revenue growth.Responsibilities: Strategy Development: Create and implement effective business development strategies to attract new clients in need of virtual assistant services.Market Research: Conduct thorough research to identify potential industries and clients that can benefit from our services.Client Acquisition: Utilize a variety of channels including networking, social media, and direct outreach to generate leads and acquire new clients.Relationship Building: Develop and maintain strong relationships with potential and existing clients, understanding their needs and showcasing how our virtual assistants can add value to their operations.Negotiation and Deal Closure: Skillfully negotiate terms and close deals, ensuring both profitability for our company and satisfaction for our clients.Performance Monitoring: Regularly track and report on business development activities, adjusting strategies as needed to hit and exceed targets.Independent Operation: Work autonomously, taking full ownership of your business development initiatives.
Requirements: Proven experience in business development, preferably in a virtual assistant or related industry.Strong research, analytical, and strategy development skills.Exceptional communication, negotiation, and relationship-building abilities.Self-motivated and target-driven, with a proven track record of achieving and exceeding sales targets.Familiarity with various client acquisition channels and strategies.Ability to operate independently, managing your time and efforts effectively.
Compensation:This position is fully commission-based, offering a competitive commission on the profits generated from new business brought in. The commission structure and potential earnings will be discussed in detail during the interview process.","Business Consulting and Services
            
              51-200 employees
            

              2 on LinkedIn"
https://www.linkedin.com/jobs/view/3747190387,"About the job
            

 
We are in search of an energetic and outcome-oriented Sales and Software Business Development Specialist to become a part of our team. Playing a pivotal role in our expansion strategy, you will have the responsibility of enlarging our customer base and propelling new initiatives. Your passion for technology and exceptional interpersonal abilities will play a crucial role in demonstrating the worth of our services to prospective clients.We're looking for an individual capable of generating leads and sealing deals. This involves sourcing leads from various platforms, as well as adeptly negotiating with clients and submitting proposals.Responsibilities: Drive Lead Generation and Deal ClosureExcel as a Lead Generation ExpertExhibit Negotiation ProficiencySkillful in Sending ProposalsExpert in Engaging ClientsProficient in PresentationsKnowledgeable about the MarketAdept at Crafting ProposalsExcel in Research Skills
Qualifications:-🎓 Academic Foundation: A Bachelor's degree in Business Administration, Marketing, Computer Science, or a related field establishes the groundwork.-💼 Demonstrated Track Record: Your history of achievements speaks volumes – you've outperformed in sales, business development, or analogous positions within the software services sector.-🤖 Tech Whisperer: You comprehend the complexities of software development procedures and technologies, allowing you to have meaningful discussions with clients.-🗣️ Communication Master: Your communication and presentation prowess are exceptional, enabling you to convey intricate concepts with clarity.-🏆 History of Results: You consistently meet and surpass sales objectives, displaying your capability to transform potential into profits.-🚀 Initiative and Team Collaboration: You're a self-starter who is self-motivated and can work independently as effectively as you can within a cooperative team.-🤝 Networking Expert: Establishing connections comes naturally to you; your extensive network speaks for itself.We are seeking a dynamic and results-driven Sales and Business Development Specialist to join our team. As a key player in our growth strategy, you will be responsible for expanding our client base and driving new projects. Your enthusiasm for technology and exceptional interpersonal skills will be instrumental in showcasing the value of our services to potential clients.",
https://www.linkedin.com/jobs/view/3754406509,"About the job
            

 
About AfinitiAt Afiniti, we are a leading provider of artificial intelligence technology that elevates the customer experience by making moments of human connection more valuable. Our mission is rooted in a simple yet powerful idea: understanding patterns of human behavior enables us to predict how people will interact and create meaningful connections.Using our patented AI technology, we revolutionize the contact center industry by pairing customers with the most compatible contact center agents. By doing so, we enhance the entire customer journey, resulting in exceptional experiences and improved outcomes for all parties involved.Our transformative technology has generated billions of dollars in incremental value for our esteemed clients, which include Fortune 500 companies across diverse industries such as financial services, telecommunications, travel, and hospitality. We take pride in our global reach and impact, with our solutions being leveraged by organizations around the world.To learn more about Afiniti and the groundbreaking work we do, visit www.afiniti.com .About The RoleData Scientist II - PakistanAfiniti uses data science to enhance human interactions in large enterprises by efficiently pairing customers or tasks with company representatives. Our primary focus is improving contact center interactions for sales, service, retention, collections, and customer satisfaction in fields ranging from telecommunications to healthcare to banking to hospitality. To ensure we’re delivering value, we measure performance using a real-time control group – routing a portion of calls using the client’s existing system and the majority of calls using our data-scientist-designed pairing and next-best-action recommendation strategies.Key Responsibilities Perform statistical inference on large data sets to inform decisions and drive actions.Drill down on results (problem-solving analysis) and conduct custom analysis.Build predictive models to optimize agent and customer interactionsCollaborate and communicate with data analytics, and cross-functional teams on a task basis.Adapt theoretical concepts and standardized techniques to real-world problemsWorking at a stretch in EST hours as per client requirements (starting work post midday till midnight).Opportunity to lead production activities on deployed accounts, or execute on deployment plan.
Minimum Qualifications Bachelors or Masters in Computer Science, Mathematics, Economics, Physics, Engineering or related quantitative field.2-3 years of working experience in relevant field.Programming experience in one or more of the following languages i.e. R/Python/ Julia/SQL.Experience with statistics, machine learning, linear programming, or mathematical optimization, both practical and theoreticalStrong attention to details.
Preferred Qualifications Excellent skills at distilling complex, ambiguous scenarios into tractable modelsMandatory experience of R and PythonExperience with data analysis, data visualization, programming, processing large data setsFamiliarity with SQL, relational databases, version control, and tools for reproducibility such as git, Jupyter and R Markdown, make, or authoring custom packagesDemonstrated ability to manage time independently and take projects to completionWillingness to learn new techniquesAbility to document and explain cutting-edge techniques to other team membersComfort working in a collaborative environment with cross-team communication to bring projects into productionFamiliarity with Bayesian statistics, hierarchical modeling, MCMC algorithms, latent factor models
Location/Remote work statementThis is a hybrid opportunity required to work in EST Hours.If your role allows you to work remotely, you will have opportunities to travel to an Afiniti office for key moments throughout the year, but the amount of expected travel will depend on your role and team.",
https://www.linkedin.com/jobs/view/3754379833,,
https://www.linkedin.com/jobs/view/3749881958,About the job,
https://www.linkedin.com/jobs/view/3693938298,About the job,
https://www.linkedin.com/jobs/view/3747901421,"About the job
            

 
Company DescriptionTHE SOFT HUB Inc. is a Canadian-registered agency offering web development, digital marketing, and SEO services to global customers. We provide tailored software and customized consulting services to help our clients grow their businesses. As a leading SEO Agency, we deliver guaranteed results through close collaboration with our customers. Our subject matter experts are dedicated to providing 24/7 support and services to our clients.Role DescriptionThis is a full-time on-site role located in Lahore for a Search Engine Optimization Specialist. The SEO Specialist will be responsible for performing link-building activities, utilizing web analytics tools. The SEO Specialist will work closely with our team of developers and content creators to optimize website performance and ensure that each client's unique business needs are met.Qualifications Expertise in keyword research, SEO auditsExperience with link-building strategies and techniquesProficiency with web analytics tools, such as Google Analytics or similarExcellent written and verbal communication skillsStrong analytical skills with attention to detailExperience with HTML, CSS, and JavaScript is preferredBachelor's degree in Marketing, Computer Science, or related field or equivalent experience","IT Services and IT Consulting
            
              51-200 employees
            

              23 on LinkedIn"
https://www.linkedin.com/jobs/view/3750105712,"About the job
            

 
We are looking for Sr. UI UX Designer to join our team in Lahore.  Attributes:  We would love to have all-rounders who have the exposure to multi-industry projects/products and are able to: •     Adopt design thinking to prepare design solutions•     Follow UX practices to craft user centered design•     Convert the internal and client discussions into digital prototypes•     Design modern cross-platform User Interface Benefits:•   Competitive Salary•   Health Insurance•   Performance Bonus•   EOBI Benefits•   Paid Maternity Leaves•   Traveling Allowance•   House Rent•   Good Working EnvironmentPreference will be given to candidates with a degree from a top-ranked university, such as NCA , Beaconhouse National University, LUMS, and LSE.","IT Services and IT Consulting
            
              11-50 employees
            

              10 on LinkedIn"
