Job Link,Job Desception,Company Info
https://www.linkedin.com/jobs/view/3762611882,"About the job
            
 
Tips: Provide a summary of the role, what success in the position looks like, and how this role fits into the organization overall.ResponsibilitiesThis role is a great way to get hands-on, foundational expertise in the main pillars of supply chain. You’ll be working alongside and mentored by our operations consultants who have worked with some of the world’s most successful companies. You will be doing non-client facing billable work to support our operations consultants. Administrative work will also be required, which includes recurring tasks and ad hoc work. Your main role is to support the team in any capacity needed. Someone who can jump from task to task while being detail oriented will excel in this role.Qualifications Highly analytical Proficient in Excel and other analytical tools - familiar with vlookup, pivot tables, index match and import range.Ability to work autonomously and to prioritize effectively. Strong interpersonal skills to work cross functionally, get people on their side, and forge relationships with clients and vendors.A deep level of curiosity about supply chain and continuous improvement; motivated by learning.Willing to not only learn, but also teach based on their background and experiencesAbility to learn new software platformsData entry","Business Consulting and Services
            
              11-50 employees
            

              26 on LinkedIn"
https://www.linkedin.com/jobs/view/3762634051,"About the job
            
 
The RoleYasoob Consulting (Pvt.) Ltd. is currently looking for a ""Senior Microsoft Dynamics 365 Commerce/Retail Functional Consultant"". We pay in USD. The successful candidate will design, implement, deploy, and ensure the success of implementing Dynamics 365 Commerce/Retail solutions. They will work within a team, helping solve complex business issues- ranging from strategy to execution. This is an onsite role and preference will be given to candidates in Islamabad/Rawalpindi or Karachi. If this role requires travel outside of your home city, accommodations and reimbursement will be provided accordingly.Yasoob Consulting offers competitive salaries and relocation opportunities to move to Canada for all full-time staff.Must have 7+ years experience with Microsoft Dynamics 365 Commerce/RetailMicrosoft Dynamics 365 Certified ConsultantExperience in writing functional specifications, gap documents, and training materialsExperience in rollouts, deployments, upgradesExperience in configuration and troubleshooting of POS setup that includes printers, customer display, scanners, hardware station, MPOSGood at client interactions, able to set & and manage stakeholder expectationsExcellent organizational and multi-tasking skills, attention to quality, self-motivation, and a strong desire to succeedExperience with On-premises and Cloud ImplementationsAbility to travel extensively both domestically and internationally as required
 Essential Functions  Act as subject matter expert (SME) for Microsoft Dynamics 365 Commerce/Retail, leveraging industry best practices to design/deploy new requirements, identify software gaps, and resolve various business problemsManage the entire project lifecycle, leading and assisting with various stages of implementation (ex. design, data migration, system configuration, solution design, test cases, quality management, training, and post-go-live support)Create documents (Business Requirements Document/Functional Requirement Document, Functional Design Documents), user stories, use cases, and business scenarios, and implement solution mapsDefine and analyze the high-level functional requirementReview and supervise the day-to-day work for the larger team to ensure high-quality deliverables (ex. Code review, Design review, Code review, Functional Documentation, Technical Documentation)
 Knowledge/Skills/Abilities Bachelor’s degree in computer science or a combination of related experience and educationMust have 7+ years of Dynamics 365 experience in Commerce/Retail modulesCertified in Microsoft Dynamics 365 Commerce/RetailExperience with writing functional specifications, gap documents, training materials, rollouts, and upgrades/ deploymentsExperience in configuration and troubleshooting of POS setup that includes printers, customer display, scanners, hardware station, MPOSStrong understanding of unified commerce business operations, and experience configuring, deploying, maintaining, and using Microsoft Dynamics 365 Commerce/RetailDemonstrated ability to design, develop, and document D365 ERP solutions as required – Custom Solutions, Configurations, Process changes, Reports, and IntegrationsProficient in developing Design Strategy, Architectural Design & Planning, Effort EstimationExperience working in a multi-vendor environment and Business/IT customer stakeholder managementSelf-motivated, able to prioritize/ meet deadlines, and manage to change prioritiesAble to work independently and within a team, in a high-pressure on-call environmentDemonstrated success with managing client and stakeholder interactions & and expectationsExperience with on-premise and Cloud ImplementationsAbility to travel extensively both domestically and internationally, as required 
 Job Type:  Full-time
 Work Type:  Onsite
 About Us Yasoob Consulting has been devoted to helping businesses enhance their approach to technological innovation through the utilization of Microsoft solutions, including Dynamics 365 Finance and Operations (ERP), Dynamics 365 Sales (CRM), and Dynamics 365 Business Central. Our Values  Collaboration: As a flat organization, we strongly emphasize teamwork and leaning on each other’s strengths to produce the best results.Knowledge: We support team members furthering their education because when people grow, the organization grows.Innovation: We encourage new design ideas and out-of-the-box thinking to achieve success, both internally and for our clients.Impact: We focus on results and creating value to help clients reach success while remaining adaptable to industry innovationsGrowth: We work on developing our team and helping them grow, personally and professionally. If there’s something we can do to help you grow, we want to hear all about it so we can get you there!
 Why work at Yasoob? At Yasoob Consulting, we are dedicated to growing our people and approaching everything we do with integrity; when our people succeed, we succeed. We highly value open communication, honesty, and trust. If you are looking for endless opportunities to learn, earn, and grow within an organization, look no further because we have all of that here at Yasoob! Here at Yasoob, we offer: Medical/ Health and OPD Allowance BenefitsBonusesPaid Time OffBi-annual appraisalsProfessional and Personal Growth Opportunities
  Yasoob Consulting is an equal opportunity employer that is committed to diversity and inclusion in the workplace. All qualified applicants will be considered for employment regardless of race, national origin, colour, religion, age, sex, sexual orientation, marital/ family status, disabilities, or other protected characteristics as outlined by applicable federal, provincial, and local laws.  Yasoob is committed to providing reasonable accommodations to applicants with physical and mental disabilities. If you need an accommodation during any part of the employment process, please send an email to contacts@yasoobconsulting.com to let us know about the nature of your request.  Please forward your resume to contacts@yasoobconsulting.com with the subject title “Senior Microsoft Dynamics 365 Commerce/Retail Functional Consultant "", so we can discuss it further. Note: Only short-listed candidates will be contacted for an interview.","IT Services and IT Consulting
            
              11-50 employees
            

              55 on LinkedIn"
https://www.linkedin.com/jobs/view/3766513449,"About the job
            
 
Appointment will be Lahore BasedCompany DescriptionAmber Homes Real Estate is a real estate services company with considerable experience in Dubai’s real estate market. With specialists and subject matter experts in the different avenues within real estate services, Amber Homes is challenging the traditional ways in which the real estate sector operates. The team's goal is to drive change and evolution towards making a difference for their clients. They are an energetic and focused team that is ready to go the extra mile for their clients' success.Role DescriptionThis is a full-time, on-site role as a Google AdWords Specialist located in Lahore. The Google AdWords Specialist will be responsible for managing and optimizing Google Ads campaigns, researching keywords, analyzing data, monitoring budgets, and implementing best practices to drive results and meet client goals. The specialist will also be responsible for developing ad creative and collaborating with the team on marketing strategies.Qualifications Expertise in Google Ads and AdWordsFamiliarity with search engine optimization (SEO) and Google AnalyticsStrong analytical, problem-solving, and decision-making skillsExcellent written and verbal communication skillsAbility to work independently and as part of a teamExperience in real estate industry marketing is beneficialBachelor's degree in Marketing, Business, or related field","Real Estate
            
              11-50 employees
            

              34 on LinkedIn"
https://www.linkedin.com/jobs/view/3767215390,"About the job
            
 
Company Introduction:At Orbit Cosmos, we're at the intersection of innovation, investment, and transformation. Our mission is to propel businesses into the realms of web2 and web3 through a unique blend of in-house VC funding, cutting-edge software development, and strategic marketing expertise.DescriptionWe are seeking a talented and experienced Lead Blockchain Developer(5 yrs) with a strong background in blockchain technology to join our team. As a Lead Developer, you will be responsible for designing, developing, and implementing blockchain-based applications and solutions using various technologies. Our project entails implementing web3.0 & web2.0, connecting the two. Setting up blockchain application/server infrastructure.You will collaborate with cross-functional teams to understand project requirements, contribute to architectural decisions, and ensure the successful delivery of high-quality work.Responsibilities Design, develop, and maintain blockchain-based applications using GoLang. Develop and deploy smart contracts on blockchain platforms such as Ethereum and Ethereum compatible blockchain. Ensure code efficiency, security, and adherence to best practices.Conduct code reviews and debugging to ensure high-quality code.Implementing secure Solidity development patterns for tokens and Defi protocols. Developing, testing, and deploying NFT games. Strong Knowledge in blockchain, NFT Games, and Cryptocurrency wallets with embedded exchangesSetting up and maintaining multiple stages/environments (Dev, QA, Staging, Production)Setting up and managing cloud infrastructure(AWS, GCP or any other cloud provider)Stay updated with the latest trends and advancements in blockchain technology. Identify and evaluate new tools, frameworks, and methodologies that can enhance the development process and improve overall product quality.Implement robust security measures to protect blockchain applications against vulnerabilities and potential attacks. Collaborate with security teams to conduct audits and ensure compliance with industry standards.Work closely with cross-functional teams, including designers, product managers, and other developers, to understand project requirements and contribute to architectural decisions. Document technical specifications, system designs, and code functionalities.Experience with gRPC services for development & integrations will also be a plus point.
Requirements BS in computer science or related subject.5+ Years experience working with smart contracts and blockchain technology.Familiar with different ways to deploy smart contracts, such as Remix, Truffle suite, and Hardhat.Experienced in staking implementing and test-driven development (TDD).Knowledge of libraries, data structures, blockchain architecture, web development, and smart contracts.Strong grip on containerization(Docker, Kubernetes) and CI/CD tools(Jenkins etc).Expert knowledge of Linux (either ubuntu, redhat, centos) and Nginx/ApacheProficiency with languages such as Solidity, Javascript, Python, RUST and GO.Fluent in ReactJS, NodeJS, Express, NestJS. Familiarity with database technology such as MySQL, PostGre, and NoSQL.Ability to to work in multi-disciplinary teamsManage, mentor and lead blockchain team.
Plus PointsKnowledge of the following will be considered as an advantage: Experience with Metaverse Experience working on P2E
Benefits:Orbit Cosmos offers an outstanding culture that focuses on learning opportunities, international exposure by participation at international and national conferences, and career growth. Brand new office & a family cultureMarket competitive salaryProvident fundLunch on the houseAccommodation for outstation employeesGenerous equity programEmployee Appreciation ProgramsVehicle Program and Recognition GiftsPaid Sick DaysProject achievement bonusCompany sponsored trips
Salary : Up to 2000 USD + Equity Orbit Cosmos is An Equal Opportunity EmployerPakistan, Islamabad OfficeOffice No 1, Lower Ground Floor at Plaza No 44-A, Block A, Civic Center, Phase 4, Bahria TownIslamabadUK Office25 Cabot Square, London E144QZ, United KingdomDubai OfficeBusiness Center 1, M Floor, The Meydan Hotel, Nad AL Sheba, Dubai, U.A.E","Software Development
            
              11-50 employees
            

              15 on LinkedIn"
https://www.linkedin.com/jobs/view/3764785631,"About the job
            
 
Last Date to Apply: 19th November, 2023Employment Type: This is a full-time position.Grade: This is a Contract based position.Location: This role is based in Islamabad, Pakistan. (Hybrid)About The RoleThis role is responsible to develop energy initiatives and leverage on data sourced to drive development of analytics solutions and machine learning use cases for efficient energy management.Your Impactful Goals Will Include Develop energy initiatives leveraging on Energy related Data sourced from various hardware and soft sources.Drive development of integrated Energy Analytics Platform, Automation and Machine Learning use cases for Efficient Energy Management in a Telco NetworkApply Data Science and Analytical skills to develop actionable plans, energy initiatives and identify improvement opportunities in scheme of energy management strategy
Your Typical Day Work Deep dive in big data related to power, infrastructure, energy, and time for complete Network.Correlate data from different hardware and soft sources for creating meaningful visualization, analysis, evaluation, and conclusion using statistical and analytical tools.Automate processes, develop algorithms, and use cases for application of AI / ML in energy management.Identify improvement areas and catalyst integrated Energy Analytics platform development used by Telenor Pakistan.
What we are looking for?Education: Bachelor or Master’s degree in the area of Electrical, Electronics, Computer Engineering, Computer Sciences, Data Science or Telecom Engineering from a recognized body.Work Experience Minimum 8+ years of experience in same or relevant position, preferably in Mobile Operator/Service Provider environment Experience in Power planning and energy managementUnderstanding and good experience of Data Science, Data Analytics and Machine Learning
Certifications: Certifications in Energy Efficiency and Sustainability and Data Analytics and Data Science will be an added advantageFunctional Skills / Knowledge Areas Strong skills to process, evaluate, correlate, and conclude big data sourced from different Network Elements with respect to Power Parameters, energy consumption and Alarms.Strong knowledge of power infrastructure, planning, and operations in telecom networkAbility to Energy efficiency and sustainability roadmapSkills to devise advanced algorithms and process flows leading to application of Machine Learning and autonomous decisions driving energy efficiency.Data Science and Analytics Skills (Programming, Statistics and probability, Data wrangling and database management, Deep and machine learning and Data visualization)Interpersonal Skills ( Active listening, Articulation and effective communication, Empathy, Good Project management skills)Strong Problem analysis, investigation, Root Cause Assessment and troubleshooting skills.Ability to work independently in demanding situations.Innovative, proactive and have customer focused approach.Self-driven, adaptable, and flexible to work & way of work.A strong problem solver, have investigation instinct and good troubleshooting skills.
Why should you join us at Telenor?At Telenor Pakistan, we provide you the platform to work in a challenging and rewarding environment to become a skilled professional in your chosen field of interest. As one of the top employers of the country, we enable you to realize your dreams in a collaborative environment of diversity and openness to new mindsets.As an equal employment opportunity provider, Telenor Pakistan makes all decisions of employment purely based on merit irrespective of race, caste, gender, creed, color, religion, sex, national origin, or disability.","Telecommunications
            
              10,001+ employees
            

              22,442 on LinkedIn"
https://www.linkedin.com/jobs/view/3761869974,,
https://www.linkedin.com/jobs/view/3761460114,"About the job
            
 
Job Title: Data Analyst - Google Ads and Facebook Ads (with AI Tools Expertise)About Us:Jome Journey Pte Ltd is a forward-thinking digital marketing agency that thrives on data-driven insights. We are seeking a highly skilled and experienced Data Analyst to join our team. In this role, you will play a pivotal role in analyzing Google Ads and Facebook Ads data to uncover valuable insights, identify trends, and develop strategies for campaign optimization. Importantly, this position does not involve the execution of marketing campaigns; instead, it focuses on harnessing the power of data analytics and AI tools to drive performance.Responsibilities:Data Analysis Expertise (with AI Tools): Collect, clean, and analyze Google Ads and Facebook Ads data using advanced AI tools.Identify trends, patterns, and opportunities for improvement in campaign performance through data analytics.Develop and implement data-driven strategies for optimizing campaigns and automating tasks, leveraging AI tools.
Insights and Reporting: Gain deeper insights from data using AI tools to uncover hidden trends and relationships.Create and deliver comprehensive reports to stakeholders, highlighting key findings and actionable recommendations.
Qualifications: 3+ years of experience in data analysis, with a strong focus on Google Ads and Facebook Ads.Proficiency in AI tools, such as Data Analysis GPT, is a must.Exceptional analytical and problem-solving skills.Excellent communication and presentation abilities.
Benefits: Competitive salary and benefits package.The opportunity to work on cutting-edge projects with a talented team.A collaborative and supportive work environment.Opportunities for professional development and growth.","Marketing Services
            
              11-50 employees
            

              5 on LinkedIn"
https://www.linkedin.com/jobs/view/3761454628,"About the job
            
 
Sales ExecutiveLocation: Bahria Town Phase 4, RawalpindiDepartment: SalesWork Schedule: 6 PM - 3 AM (Monday - Friday)Description:As a Sales Executive at Dave's Pest Control, you will play a crucial role in driving revenue growth by acquiring new customers and expanding our client base. You will be responsible for promoting our pest control services, building relationships with potential clients, and achieving sales targets. The ideal candidate should have a proven track record in sales, excellent communication skills, and a passion for delivering exceptional customer service.What does a Sales Executive do? Handle inbound calls from potential customers in a professional and customer-centric manner. Understand customer inquiries, concerns, and requirements effectively.Utilize effective sales techniques to convert inbound leads into confirmed sales.Promote and upsell pest control services to the North American clientele.Stay informed about industry trends, competitors, and market conditions to effectively position our services.Build sustainable relationships and engage customers.Follow up with customers to ensure satisfaction and address any concerns.Provide exceptional customer service to enhance the overall customer experience.Maintain accurate and up-to-date records of customer interactions and transactions.Generate regular reports on sales performance, conversion rates, and customer feedback.Work as a team player
Daves Pest Control is an equal opportunity employer. We celebrate, support, and thrive on diversity and are committed to creating an inclusive environment for all employees.What are we looking for and what does it require to be a Sales Executive? At least 1-2 years sales experience in a U.S based company.Excellent verbal and written communication.Ability to thrive in a fast-paced, target-driven environment.Customer-focused with a solution-oriented mindset.Ability to multitask, set priorities, and manage time effectively.Creative problem solver who goes beyond the obvious to find unconventional ways to enable business.Detail-oriented with excellent organizational skills.Proficient in using CRM software and other sales tools.
What is in for you? Salary: PKR 70,000 – 100,000 + commissions (target based)Other benefits: Personal & professional developmentPaid time off (PTO)Casual dress codeRecognition and awardsTeam-building activitiesFree snacksGym MembershipTransport facility for female employees
 Why Join Daves Pest Control?Daves Pest Control epitomizes the philosophy that each Daves Pest Control employee is passionately living a better every day inspired and enabled by visionary leadership, a unique professional culture, a flourishing lifestyle, and continuous learning and development.As one of the oldest PEST control organizations in the United States, our objective is to remain a market leader by providing top-notch services. This is an opportunity for someone who wants to be part of something transformative, someone who can play a critical role in driving our success. Together, we can empower millions more with the tools necessary to progress in the economy.","Environmental Services
            
              11-50 employees
            

              37 on LinkedIn"
https://www.linkedin.com/jobs/view/3764041091,"About the job
            
 
We are on the lookout for a highly imaginative and resourceful Creative Executive to join our dynamic team. As a Creative Executive, you will be at the forefront of turning concepts into captivating visual experiences, pushing the boundaries of creativity, and contributing to the overall aesthetic of our brands.Responsibilities:Generate innovative and visually stunning ideas to support marketing and branding initiatives.Collaborate with cross-functional teams to understand project goals and objectives.Translate conceptual ideas into compelling visual designs for various mediums, including digital, print, and multimedia.Ensure that all designs align with brand guidelines and maintain a consistent visual identity.Oversee the production of multimedia content, including videos, animations, and interactive presentations.Work closely with marketing, content, and digital teams to ensure creative assets meet campaign objectives.Provide creative input during brainstorming sessions and contribute to the development of integrated marketing campaigns.Stay up to date with industry trends, emerging design techniques, and technological advancements to infuse innovation into our brand visuals.Propose and implement new ideas to enhance the brand's creative presence.Conduct thorough reviews of creative assets to maintain high standards of quality and accuracy.Collaborate with stakeholders to incorporate feedback and refine designs as needed.Requirements:Bachelor's degree in Marketing, Communication, PR, Design, or a related field.Proven experience as a Creative Executive or in a similar creative role.Portfolio showcasing a range of creative projects across various mediums.Exceptional creative thinking and problem-solving skills.Ability to translate concepts into visually appealing and impactful designs.Familiarity with multimedia and video editing tools is a plus.Excellent collaboration and communication skills.Ability to work effectively with diverse teams and stakeholders.Ability to adapt to evolving project requirements and timelines.Comfortable working in a fast-paced and dynamic environment.If you are a visionary creative with a passion for making ideas come to life through design, and you're ready to bring your artistic touch to our brands, we want to hear from you!","Venture Capital and Private Equity Principals
            
              201-500 employees
            

              37 on LinkedIn"
https://www.linkedin.com/jobs/view/3765096189,"About the job
            
 
The candidate for this position will excel at creating and closing new opportunities. By using a consultative approach to selling, this person will use their expertise to identify and qualify leads, leading to sales opportunities with both new and existing customers. Males and Females both apply. Responsibilities Meet and exceed sales targetsSuccessfully create business from new and existing customer accountsManage complex negotiations with senior-level executivesBuild rapport and establish long term relationships with customers
Qualifications 2-5 years' quota carrying sales experience.Fresh graduates can also apply .we will Train them.Experience and working knowledge of CRM systemsDemonstrable track record of over-achieving quotaStrong written and verbal communication skills","Real Estate
            
              5,001-10,000 employees
            

              82 on LinkedIn"
