Job Title,Job Info,Job Type,Job Link_x,employees,Job ID,Job Link_y,Job Desception,Company Info,company,location_1,location_2,Remote/Onsite,n_applicant,job posting time,Job Type nElements,Job-Type,Experience Level,Comp_N_Employees,Comp_Industry
iOS Intern,"AusSource Enterprises (SMC-PRIVATE) LIMITED · Islamabad, Islāmābād, Pakistan (On-site)  
2 weeks ago",Full-time,https://www.linkedin.com/jobs/view/3727017016,11-50 employees,3727017016,https://www.linkedin.com/jobs/view/3727017016,"About the job
            

 
#hiringalertsAusSource Enterprises (SMC-PRIVATE) LIMITED is urgently hiring for ""iOS Intern"" for its office in Islamabad.Duration: 3 months Paid Internship (leading to job)Job Type: Full time (on-site)Location: Blue AreaRequirements:Degree in Computer Science, Software Engineering, or a related field (or currently pursuing).Basic understanding of iOS app development using Swift and/or Objective-C.Knowledge of fundamental programming concepts and software development lifecycle.Familiarity with Xcode, Interface Builder, and other iOS development tools.Strong problem-solving skills and attention to detail.Excellent communication and teamwork skills.A passion for staying up-to-date with the latest mobile app development trends and technologies.Any personal projects or coursework related to iOS development is a plus.Interested candidates are encouraged to submit their resume and any relevant coding projects or GitHub repositories showcasing their iOS development skills by Applying direct or mail at hr@aussourceenterprises.com#hiring #hiringurgently #hiringimmediately #ios #iosdeveloper #iosinternship #swift #sdlc #xcode #interfacebuilder #mobileappdevelopment #github #islamabadjobs #jobsforyou #cfbr","IT Services and IT Consulting
            
              11-50 employees
            

              17 on LinkedIn",AusSource Enterprises (SMC-PRIVATE) LIMITED ,Islamabad," Islamabad, Islāmābād, Pakistan ",On-site,,2 weeks ago,1,Full-time,Not specified,11-50 employees,Not specified
Trainee iOS Developer,"TechSwivel (Private) Limited · Lahore, Punjab, Pakistan (On-site)  
2 weeks ago",Full-time,https://www.linkedin.com/jobs/view/3726895494/?eBP=JOB_SEARCH_ORGANIC&refId=n1BxF49FoRzpjWVR5WqmKw%3D%3D&trackingId=uf8bzlyPNrRAbUNNpzGwHQ%3D%3D&trk=flagship3_search_srp_jobs,11-50 employees,3726895494,https://www.linkedin.com/jobs/view/3726895494,"About the job
            

 
Unpaid InternshipWorking Days: Monday - FridayWorking Hours: 9:00 AM - 6:00 PM A candidate must have a Bachelor's degree in CS/SE or IT.Basic Knowledge of Swift and iOS.Must be good in concepts of Object-Oriented Programming.Basic Knowledge of Core Data and Firebase.Must be Proficient in Logic Building.Must be Proficient in RESTful API.Third-Party API integration (Cocoapods)Atleast FYP must be done in Swift.Basic understanding of MVVM architecture.","Software Development
            
              11-50 employees
            

              53 on LinkedIn",TechSwivel (Private) Limited ,Lahore," Lahore, Punjab, Pakistan ",On-site,,2 weeks ago,1,Full-time,Not specified,11-50 employees,Not specified
Android Developer,"MWAN Mobile · Islāmābād, Pakistan (On-site)  
2 weeks ago",Full-time,https://www.linkedin.com/jobs/view/3727010740/?eBP=JOB_SEARCH_ORGANIC&refId=N%2F3m%2F9EChkBavkNrBDQXLg%3D%3D&trackingId=IEvJNKbsi3vDeahgzVRqqA%3D%3D&trk=flagship3_search_srp_jobs,11-50 employees,3727010740,https://www.linkedin.com/jobs/view/3727010740,,,MWAN Mobile ,Islāmābād," Islāmābād, Pakistan ",On-site,,2 weeks ago,1,Full-time,Not specified,11-50 employees,Not specified
MERN and React Native Developer,"TecStik · Karāchi, Sindh, Pakistan (On-site)  
2 weeks ago

 · 51 applicants",Full-time,https://www.linkedin.com/jobs/view/3727013349/?eBP=JOB_SEARCH_ORGANIC&refId=N%2F3m%2F9EChkBavkNrBDQXLg%3D%3D&trackingId=n22VD0ZQAUz%2BHqs%2BRRTFmg%3D%3D&trk=flagship3_search_srp_jobs,1-10 employees,3727013349,https://www.linkedin.com/jobs/view/3727013349,"About the job
            

 
The ideal candidate will be an on-site developer with the following skills: Have a strong understanding of the MERN stack (MongoDB, Express, React, and Node.js), Javascript and React Native.Be able to work independently and as part of a team to develop and maintain high-quality web and mobile applications.Develop and maintain web and mobile applications using the MERN stack and React NativeWork with other developers to design and implement new featuresTest and debug applicationsDeploy and maintain applications to productionTroubleshoot and resolve application issues
APPLY NOWPlease submit your resume and a cover letter to:info@tecstik.com","Technology, Information and Media
            
              2-10 employees
            

              2 on LinkedIn",TecStik ,Karāchi," Karāchi, Sindh, Pakistan ",On-site,51,2 weeks ago,1,Full-time,Not specified,1-10 employees,Not specified
Mobile Application Developer,"Analytica · Lahore, Punjab, Pakistan (On-site)  
2 weeks ago

 · 51 applicants",Full-time,https://www.linkedin.com/jobs/view/3727010108/?eBP=JOB_SEARCH_ORGANIC&refId=0VZjQrZ%2BPwAtd2PSEUmQnA%3D%3D&trackingId=NAGBdRdsnOezmKCA2s0X6g%3D%3D&trk=flagship3_search_srp_jobs,51-200 employees,3727010108,https://www.linkedin.com/jobs/view/3727010108,"About the job
            

 
We are looking for a Full-time Mobile Application Developer at Analytica (Pakistan Branch). This is an on-site Full-time position for Analytica (Pakistan Branch), candidates should be located in Lahore, Pakistan. Kindly complete the following form https://forms.office.com/r/zsdYb7GgPs to be eligible for the interview. Responsibilities  Design, develop, and maintain mobile applications using cross-platform technologies and frameworks such as Flutter, React Native or Xamarin.Collaborate with cross-functional teams including designers, project managers, and other developers to deliver high-quality software solutions.Write clean, efficient, and well-documented code that meets industry standards and best practices. Perform testing, debugging, and troubleshooting to ensure that applications are error-free and meet functional requirements.Stay up-to-date with industry trends and advancements in mobile application development and integrate these developments into our products.Participate in code review and continuous improvement of development processes.
 Minimum Requirements  At least 3 years of experience in developing mobile applications for both iOS and Android platforms using cross-platform technologies and frameworks.Strong understanding of mobile application development principles, design patterns, and development best practices.Proficient in programming languages such as JavaScript, TypeScript, and related mobile technologies such as Swift and Kotlin.Experience in developing RESTful APIs and integrating with third-party APIs for mobile applications.Familiarity with mobile app deployment process on app stores such as App Store and Google Play Store.Strong analytical and problem-solving skills with the ability to troubleshoot and debug mobile applications.Ability to work independently and in a team environment to deliver high-quality mobile applications.Strong verbal and written communication skills to collaborate with cross-functional teams including designers, project managers, and other developers.","Software Development
            
              51-200 employees
            

              21 on LinkedIn",Analytica ,Lahore," Lahore, Punjab, Pakistan ",On-site,51,2 weeks ago,1,Full-time,Not specified,51-200 employees,Not specified
iOS Developer,"PentaLoop · Lahore District, Punjab, Pakistan (On-site)  
2 weeks ago",Full-time,https://www.linkedin.com/jobs/view/3727011202/?eBP=JOB_SEARCH_ORGANIC&refId=0VZjQrZ%2BPwAtd2PSEUmQnA%3D%3D&trackingId=pPwtLt2RwQ39srYEbPSMxA%3D%3D&trk=flagship3_search_srp_jobs,11-50 employees,3727011202,https://www.linkedin.com/jobs/view/3727011202,"About the job
            

 
PENTALOOP is looking to hire iOS Developer.Qualification:- BSCS with outstanding academic record.- Min 4 to 5 years experience in iOS applications- Experience with project management processes & tools- Excellent analytic and problem-solving skillsRequired Skills:- Sound understanding of apps Design & Architecture- Strong knowledge of the Apple iOS SDK framework- Strong foundation in object-oriented development with in-depth experience in SWIFTTimings: 9:00 AM-6:00 PMWorking Days: Monday to FridayLocation: Johar Town, Lahore","Information Technology & Services
            
              11-50 employees
            

              85 on LinkedIn",PentaLoop ,Lahore," Lahore District, Punjab, Pakistan ",On-site,,2 weeks ago,1,Full-time,Not specified,11-50 employees,Not specified
Sr Flutter Developers,"Websquare · Lahore, Punjab, Pakistan (On-site)  
2 weeks ago

 · 50 applicants",Full-time,https://www.linkedin.com/jobs/view/3727016160/?eBP=JOB_SEARCH_ORGANIC&refId=BxmWtiphDV%2FXh0pD%2Fk6fTA%3D%3D&trackingId=ImfX4RFZ35eewddZPOe6YQ%3D%3D&trk=flagship3_search_srp_jobs,51-200 employees,3727016160,https://www.linkedin.com/jobs/view/3727016160,"About the job
            

 
Position: Senior Flutter DeveloperExperience: 3+ years in Flutter, 5+ years in JavaScript frameworksLocation: LahoreType: Full-timeCompany DescriptionWebsquare is a digital agency that specializes in designing, developing and marketing to the highest standards. We have expanded our team and knowledge to offer a broad range of complimentary services. Our team has experience with website design, running businesses on a day-to-day basis, online marketing, and promotional materials. At Websquare, we are proud and passionate about our successful businesses and offer the same level of care and dedication to our clients.What You'll do:- Develop and maintain high-quality Flutter applications for fintech projects.- Collaborate with cross-functional teams to design, build, and deploy software solutions.- Write clean, maintainable, and efficient code.- Troubleshoot and debug software issues as they arise.- Stay up-to-date with the latest industry trends and technologies. Requirements:- 3 or more years of hands-on experience with Flutter.- Proficiency in JavaScript and 5 or more years of experience in JavaScript frameworks.- Strong understanding of mobile app development principles.- Experience in fintech-related projects is a big plus.- Excellent problem-solving skills.- Effective communication and teamwork abilities.- Self-motivated with a strong desire to learn and grow. Why Join Us:- Opportunity to work on exciting fintech projects.- Collaborative and innovative work environment.- Competitive salary and benefits package.- Professional development and growth opportunities.- Work with a passionate and talented team.If you're a Flutter expert with a passion for fintech and want to be a part of a forward-thinking company, we'd love to hear from you! Apply today by sending your resume and portfolio to hr@websquare.co.uk.Join us in shaping the future of fintech with your expertise in Flutter development!#FlutterDeveloper #Fintech #JavaScript #JobOpportunity #TechJobs #JoinOurTeamwww.websquare.co.ukwww.linkedin.com/company/websquare/hr@websqure.co.uk","Internet Publishing
            
              51-200 employees
            

              29 on LinkedIn",Websquare ,Lahore," Lahore, Punjab, Pakistan ",On-site,50,2 weeks ago,1,Full-time,Not specified,51-200 employees,Not specified
Unity  Android Mobile Game Developer,"Techndevs · Lahore, Punjab, Pakistan (On-site)  
2 weeks ago",Full-time,https://www.linkedin.com/jobs/view/3727037544/?eBP=JOB_SEARCH_ORGANIC&refId=BxmWtiphDV%2FXh0pD%2Fk6fTA%3D%3D&trackingId=U0iiReobgOQh440S0JvjZA%3D%3D&trk=flagship3_search_srp_jobs,11-50 employees,3727037544,https://www.linkedin.com/jobs/view/3727037544,About the job,,Techndevs ,Lahore," Lahore, Punjab, Pakistan ",On-site,,2 weeks ago,1,Full-time,Not specified,11-50 employees,Not specified
Junior iOS Developer,"Coder Crew · Lahore, Punjab, Pakistan (On-site)  
2 weeks ago",Full-time,https://www.linkedin.com/jobs/view/3727037542/?eBP=JOB_SEARCH_ORGANIC&refId=BxmWtiphDV%2FXh0pD%2Fk6fTA%3D%3D&trackingId=5sVsNNte%2BkF8T3oWkrGqeg%3D%3D&trk=flagship3_search_srp_jobs,11-50 employees,3727037542,https://www.linkedin.com/jobs/view/3727037542,About the job,,Coder Crew ,Lahore," Lahore, Punjab, Pakistan ",On-site,,2 weeks ago,1,Full-time,Not specified,11-50 employees,Not specified
iOS Developer,"TxLabz · Lahore District, Punjab, Pakistan (On-site)  
2 weeks ago

 · 51 applicants",Full-time,https://www.linkedin.com/jobs/view/3727012479/?eBP=JOB_SEARCH_ORGANIC&refId=BxmWtiphDV%2FXh0pD%2Fk6fTA%3D%3D&trackingId=o%2BBVZe2ia7Jo8sK7HcpksQ%3D%3D&trk=flagship3_search_srp_jobs,51-200 employees,3727012479,https://www.linkedin.com/jobs/view/3727012479,"About the job
            

 
Job Title: iOS DeveloperTxLabz is a dynamic and innovative tech company dedicated to creating cutting-edge mobile applications that revolutionize user experiences. We're seeking a passionate iOS Developer to join our talented team and help us build exceptional iOS applications using Swift and SwiftUI, following MVVM and MVVMC architectural patterns.Key Responsibilities: Collaborate with cross-functional teams to define, design, and ship new features.Maintain and improve existing iOS applications.Implement clean, maintainable, and efficient code.Troubleshoot and debug issues to optimize performance.Stay updated with the latest iOS technologies and best practices.Participate in code reviews and knowledge sharing sessions.
Requirements: Bachelor's degree in Computer Science or related field.1 year of experience in iOS app development.Strong proficiency in Swift and SwiftUI.Experience with MVVM and MVVMC architectural patterns.Knowledge of RESTful APIs and integration.Familiarity with Git for version control.Solid problem-solving skills and attention to detail.Strong communication and teamwork abilities.Ability to adapt and thrive in a fast-paced, collaborative environment.
Preferred Qualifications: Bachelor's DegreeExperience with unit testing and UI testing.Familiarity with continuous integration and continuous deployment (CI/CD) processes.Knowledge of design patterns and SOLID principles.Contributions to open-source iOS projects.","IT Services and IT Consulting
            
              51-200 employees
            

              80 on LinkedIn",TxLabz ,Lahore," Lahore District, Punjab, Pakistan ",On-site,51,2 weeks ago,1,Full-time,Not specified,51-200 employees,Not specified
