Job Title,Job Info,Job Type,Job Link_x,employees,Job ID,Job Link_y,Job Desception,Company Info,company,location_1,location_2,Remote/Onsite,n_applicant,job posting time,Job Type nElements,Job-Type,Experience Level,Comp_N_Employees,Comp_Industry
junior application support engineer,"Vaulsys · Karachi Division, Sindh, Pakistan (On-site)  
2 weeks ago",Full-time,https://www.linkedin.com/jobs/view/3727024721,11-50 employees,3727024721,https://www.linkedin.com/jobs/view/3727024721,"About the job
            

 
What is Vaulsys?Vaulsys is a Dubai-based IT company having operations in Pakistan. We aim to provide seamless, frictionless payment and smart fraud solutions.At Vaulsys we take great care of clients and employees alike. We value honesty, integrity and our commitment to our clients.What is Vaulsys looking for?Vaulsys is looking for a Customer Technical Support Representative to join our passionate team. He/she will be assisting our Customers by helping them understand the product and answering questions regarding our Products and services. The Candidate will also be able to explore the role in after sales. Requirements ●   BS/MS in Computer Science from HEC Accredited University●   Ability to stay calm when customers are stressed or upset.●   Experience working with Application support. ●   Knowledge of Card and Payment Industry, Security protocols●   Strong problem-solving skills and the ability to think critically●   Good communication skills, both written and verbal ●  Ability to work in a fast-paced environment and handle multiple tasks simultaneously●   Operating System: Linux and Windows●   Database: Oracle Note ; Must have Knowledge of Fin TechJob Description●  Providing software application support ●  Performing analyses on software application functionality and suggesting improvements.●  Ensuring effective front-end and back-end functionality of applications.●  Consulting with the software development team, internal users, and clients to improve application performance.●  Managing migration across environments to ensure continued and synchronized functionality.●  Establishing the root causes of application errors, and escalating serious concerns to the Senior Engineer.●  Keeping a record of configuration changes and scheduling application updates.●  Documenting processes and monitoring application performance metrics.●  Providing front-end support to clients and colleagues in other departments.●  Advanced proficiency in determining the causes of application errors and repairing them.","IT Services and IT Consulting
            
              11-50 employees
            

              14 on LinkedIn",Vaulsys ,Karachi," Karachi Division, Sindh, Pakistan ",On-site,,2 weeks ago,1,Full-time,Not specified,11-50 employees,Not specified
Application Developer,"AKODES IT SOLUTIONS · Multan, Punjab, Pakistan (On-site)  
2 weeks ago",Full-time,https://www.linkedin.com/jobs/view/3727023755,11-50 employees,3727023755,https://www.linkedin.com/jobs/view/3727023755,"About the job
            

 
Job Responsibilities- Creating a hybrid application for both iOS and Android using Google’s Flutter or IONIC development framework.- Ensuring the best performance and user experience of the application- Fixing bugs and performance problems- Writing clean, readable, and testable code- Cooperating with back-end developers, designers, and the rest of the team to deliver well-architected and high-quality solutionsTechnical Requirements- Strong & practical experience in Flutter- Dart experience is preferred- Good understanding of Object-Oriented Programming & data structures- Proven experience in both mobile development and API integration- Understanding of DataBase","Software Development
            
              11-50 employees
            

              22 on LinkedIn",AKODES IT SOLUTIONS ,Multan," Multan, Punjab, Pakistan ",On-site,,2 weeks ago,1,Full-time,Not specified,11-50 employees,Not specified
TV App Developer,"Veroke · Islamabad, Islāmābād, Pakistan (On-site)  
2 weeks ago",Full-time,https://www.linkedin.com/jobs/view/3728019921/?eBP=JOB_SEARCH_ORGANIC&refId=BDrdCV48aCAsDvFTuQsvZg%3D%3D&trackingId=szyNgLJovpV1JIbNvFw%2BOw%3D%3D&trk=flagship3_search_srp_jobs,51-200 employees,3728019921,https://www.linkedin.com/jobs/view/3728019921,"About the job
            

 
We are looking for a talented and enthusiastic software engineer to join our team as a TV App Developer. In this role, you will be responsible for developing and maintaining applications for different TV platforms.Responsibilities: Collaborate with cross-functional teams to develop high-quality TV applications for different TV platforms.Write clean, efficient, and well-documented code.Participate in code reviews and contribute to the development of our internal coding standards.Stay up-to-date with the latest trends and technologies in TV app development.
Requirements: Bachelor's degree in Computer Science, Engineering, or related field.Strong programming skills in at least one language (e.g., Java, Python, C++, etc.).Familiarity with software development best practices, such as agile development, version control, and automated testing.Ability to work independently and as part of a team.Excellent communication and problem-solving skills.
Bonus points: Experience developing apps for Roku or other TV platforms.Knowledge of streaming protocols and video encoding standards.Experience with UI/UX design.
If you are a talented software engineer looking for an exciting new challenge, we would love to hear from you. Please apply with your resume.","Information Technology & Services
            
              51-200 employees
            

              100 on LinkedIn",Veroke ,Islamabad," Islamabad, Islāmābād, Pakistan ",On-site,,2 weeks ago,1,Full-time,Not specified,51-200 employees,Not specified
Application Support Analyst,"Contour Software · Islamabad, Islāmābād, Pakistan (Remote)  
2 weeks ago

 · 76 applicants",Contract · Associate,https://www.linkedin.com/jobs/view/3723385684/?eBP=JOB_SEARCH_ORGANIC&refId=Gd5IK2Fq3d5FdiQUblr9CQ%3D%3D&trackingId=Oo1Re5u7E4xHWoi%2Fqq2FVQ%3D%3D&trk=flagship3_search_srp_jobs,"1,001-5,000 employees · IT Services and IT Consulting",3723385684,https://www.linkedin.com/jobs/view/3723385684,"About the job
            

 
The Division AMT-SYBEX has been providing business critical solutions to customers in the energy, utilities, and transport sectors for over 30 years. We deliver Enterprise Asset Management solutions to a range of asset-centric companies.As part of the Jonas Group of companies, we offer excellent opportunities for progression throughout the UK, Ireland and globally. Division Link:  https://www.amt-sybex.com/ The Position The EAM Support team provides premium Enterprise Asset Management Application Support and has a vacancy for an enthusiastic and dedicated Support Analyst, reporting to the EAM Support Team.The position provides customer support across various sectors for our Enterprise Software Applications including:  Hitachi Energy's Ellipse  IBM Maximo  AMT-SYBEX - Asset Information Broker (AIB) and Affinity System Reach, 
As a team member you will provide timely and efficient application and technical support to customers. Using sound judgement and taking decisions within established procedures for each case you will diagnose and skilfully identify and apply prioritization to ensure all are managed within Service Level Agreements with quality standards to maximize customer satisfaction. Product training and familiarisation will be provided.The role will require support experience aligned with ITIL and service management in the IT industry. The candidate will work out of the Contour Software offices, as part of the resource-center team, an extension of the remote team that has teams across the Europe.Responsibilities JOB RESPONSIBILITIES:   Logging incidents received directly from end users via email into our Incident Management System.  Provide Case diagnosis to inform resolution.  Progression and Resolution of Incidents, provide 2nd and 3rd level product support to customers for their solutions including its users and associated services and configurations.  Proactive application checks & system monitoring  Ensure customers are kept updated on progress of reported incidents.  Prioritisation and management of workload and tasks, working within contractual Service Level Agreements  Take ownership of assigned support incidents and escalate issues where appropriate to ensure the progression and resolution.  Collaborate with support, development, and testing teams to deliver resolutions to support incidents.  Deployment of releases 
Qualifications JOB QUALIFICATIONS:   Bachelor's Degree, preferably in a technical discipline. Computer Science Majors most preferred.  Minimum 3 years of experience in a similar role (customer application support)  Willing to go the extra mile with a strong work ethic; self-directed and resourceful  Excellent Communication. You know what to say and more importantly, how to say it.  Strong analytical and problem-solving experience  Track record of delivering in an excellent customer focused environment  ITSM service desk experience, ServiceNow preferable.  ITIL4 Foundation preferable  Incident, Problem, Knowledge, and Change disciplines  Experience of using Windows operating systems & Office products  Good technical knowledge of Microsoft SQL server and Oracle database technology and query tools.  Experience supporting Asset Management customers and applications preferred.  Exposure to development languages such as Java, Groovy, Python.  Exposure or knowledge of IBM Maximo  Exposure to Microsoft Azure or AWS DevOps environment. 
Your Personal Characteristics Will Include  Excellent verbal and written communication skills  Must be goal-oriented and able to work independently as well as coordinate efforts with other team members on customer issues.  Logical and analytical, with a methodical approach to problem solving.  Solution focused, with ability to prioritise.  Persistent and resilient under pressure, with a good sense of humour  Accurate with a high attention to detail.  Good team player, yet willing to take personal responsibility.  Self-motivated, resourceful, and keen to learn and share knowledge.  Enthusiastic, motivated, empathetic, and professional  Flexible and hardworking approach  Excellent administrative and organizational skill  Able to manage multiple tasks.  Able to remain calm under pressure and problem solve accordingly.  Commitment to quality and customer satisfaction  Perseverance to complete activities both individually and as a team 
Work Shift Timings  1 PM to 9 PM Pakistan Time (9 AM to 5 PM UK Standard Time)  Out of hours work may be required from time to time. 
Exciting Benefits We Offer  Market-leading Salary  Medical Coverage Self & Dependents  Parents Medical Coverage  Provident Fund  Employee Performance-based bonuses  Home Internet Subsidy  Conveyance Allowance  Profit Sharing Plan [Tenured Employees Only]  Life Benefit  Child Care Facility  Company Provided Lunch/Dinner  Professional Development Budget  Recreational area for in-house games  Sporadic On-shore training opportunities  Friendly work environment  Leave Encashment","IT Services and IT Consulting
            
              1,001-5,000 employees
            

              1,710 on LinkedIn",Contour Software ,Islamabad," Islamabad, Islāmābād, Pakistan ",Remote,76,2 weeks ago,2,Contract,Associate,"1,001-5,000 employees ", IT Services and IT Consulting
Application/Support Engineer,"ZZ Technologies Islamabad · Islamabad, Islāmābād, Pakistan (On-site)  
2 weeks ago",Full-time,https://www.linkedin.com/jobs/view/3727006819/?eBP=JOB_SEARCH_ORGANIC&refId=7fUmgsEqTGS1bRM8QtYbVg%3D%3D&trackingId=3b90ocvRN0SgDZtmJL2i1g%3D%3D&trk=flagship3_search_srp_jobs,51-200 employees,3727006819,https://www.linkedin.com/jobs/view/3727006819,"About the job
            

 
We are seeking a talented and motivated Application/Support Engineer to join our dynamic team. If you are passionate about technology, have a strong background in electrical/electronic/computer engineering, and thrive in a problem-solving environment, we want to hear from you!ResponsibilitiesAs an Application/Support Engineer will play a pivotal role in ensuring the smooth operation of our technical systems. Your primary responsibilities will include:Diagnosing and Troubleshooting Technical Issues:  Responding to technical inquiries and issues from clients and end-users. Identifying and diagnosing software and hardware problems in electronic equipment. Developing effective solutions to resolve technical issues promptly.
Application Support:  Calculating requirements for various electronic components such as fuses, breakers, and other equipment for specific applications.Ensuring proper protection during the installation of electronic systems.
Knowledge of Spectrum Radio Frequency and Antenna Theory (a plus): Having familiarity with spectrum radio frequency and antenna theory to support relevant projects and applications.
Qualifications Bachelor of Science (BS) degree in Electrical Engineering, Electronic Engineering, or Computer Engineering.1-2 years of professional experience in a similar role.Strong analytical and problem-solving skills.The ability to work well in a team-oriented environment.","Software Development
            
              51-200 employees
            

              15 on LinkedIn",ZZ Technologies Islamabad ,Islamabad," Islamabad, Islāmābād, Pakistan ",On-site,,2 weeks ago,1,Full-time,Not specified,51-200 employees,Not specified
"Applications Operations and Management Consultant, Managed Services","Teradata · Islamabad, Islāmābād, Pakistan (Hybrid)  
2 weeks ago

 · 115 applicants",Full-time · Mid-Senior level,https://www.linkedin.com/jobs/view/3726889511/?eBP=JOB_SEARCH_ORGANIC&refId=7fUmgsEqTGS1bRM8QtYbVg%3D%3D&trackingId=znq5RHCJe%2FhZnyHY%2FbFHmw%3D%3D&trk=flagship3_search_srp_jobs,"10,001+ employees · Software Development",3726889511,https://www.linkedin.com/jobs/view/3726889511,"About the job
            

 
What You'll DoImplementation and support of data warehouse workload including but not limited to Monitoring and control of application jobsJob schedulingWorkflow maintenanceError control, rectification and rerunPhysical design optimizationRecommend design/implementation enhancements in job design for performance optimizationPlan, coordinate, and implement necessary actions through the agreed upon incident and change management controlsPlan, coordinate, and implement workload/job releases on the data warehouse platformPlan and participate in service reviews with the clientCapture requirements and work on the design, development, test, and go-live activitiesDesign the processes to meet service level agreementsWho You'll Work WithThe Teradata Applications Operations and Management Consultant is part of the Managed Services practice and specializes in the operations and administration of the Teradata, ETL, and BI environment, processes, programs, and scripts. This individual must have the skills necessary to understand the overall data warehouse architecture and work directly with customers to support their operational requirements. The consultant supports the data-warehouse environment with the specific toolset required by the customer. The consultant may also provide input to the database designer to optimize the data loading of the physical database.What Makes You a Qualified CandidateIn depth knowledge of the Teradata database and associated tools and utilitiesOperations and administration knowledge of industry standard ETL, BI, Open Source toolsStrong skillset in service operations along with troubleshooting and problem solving skillsKnowledge of data warehousing concepts and appliancesExcellent written and oral communication skillsExperience in supporting large-scale data processing platformsStrong knowledge of ITIL conceptsWhat You'll Bring3 to 5 years of full-time work experience in a related role and industry.Our CompanyTeradata is the connected multi-cloud data platform for enterprise analytics company. Our enterprise analytics solve business challenges from start to scale. Only Teradata gives you the flexibility to handle the massive and mixed data workloads of the future, today.The Teradata Vantage architecture is cloud native, delivered as-a-service, and built on an open ecosystem. These design features make Vantage the ideal platform to optimize price performance in a multi-cloud environment.","Software Development
            
              10,001+ employees
            

              10,784 on LinkedIn",Teradata ,Islamabad," Islamabad, Islāmābād, Pakistan ",Hybrid,115,2 weeks ago,2,Full-time,Mid-Senior level,"10,001+ employees ", Software Development
Shopify App Developer,"Shopify1 - A Shopify Agency · Pakistan (Remote)  
1 week ago

 · 46 applicants",Contract,https://www.linkedin.com/jobs/view/3727041074/?eBP=JOB_SEARCH_ORGANIC&refId=jmMswOtzz783%2BgVSnLZKfg%3D%3D&trackingId=ydjmBgiPeJ4pAPoP7U4YeA%3D%3D&trk=flagship3_search_srp_jobs,11-50 employees,3727041074,https://www.linkedin.com/jobs/view/3727041074,"About the job
            

 
Key Requirements Short-Term App Development Project:
Lead the development of a critical Shopify app, ensuring it is robust, efficient, and user-friendly.Focus on seamless integration within the Shopify ecosystem. Focused Integration:
Work to guarantee smooth and efficient integration with existing systems and platforms. Comprehensive Testing:
Undertake detailed testing to ensure optimal performance, security, and stability of the developed app. Project Completion:
Deliver the completed, fully functional app within the stipulated time frame.Key Requirements Proven experience in Shopify app development.Proficiency in web languages (HTML, CSS, JavaScript) and backend development.Familiarity with Shopify’s API.Strong understanding of web security and performance considerations.Exceptional problem-solving abilities and meticulous attention to detail.","Technology, Information and Internet
            
              11-50 employees
            

              1 on LinkedIn",Shopify1 - A Shopify Agency ,Pakistan, Pakistan ,Remote,46,1 week ago,1,Contract,Not specified,11-50 employees,Not specified
Microsoft Dynamics CRM and Power Apps Consultant,"Melior ITS · Islamabad, Islāmābād, Pakistan (On-site)  
2 weeks ago",Full-time,https://www.linkedin.com/jobs/view/3727022749/?eBP=JOB_SEARCH_ORGANIC&refId=VYAhQlpawkFJ%2BtZBW0XGJg%3D%3D&trackingId=mIeQp8tt7m22KXbNjOtyHQ%3D%3D&trk=flagship3_search_srp_jobs,11-50 employees,3727022749,https://www.linkedin.com/jobs/view/3727022749,"About the job
            

 
NOTE: This is an ONSITE Position/No remote work available.This position is not for Electrical Engineers. This is a Software Development Position.Melior is looking for a hands-on Microsoft Dynamics CRM & Power Apps Developer, with 3+ years of experience and expertise in delivering technical development solutions. You will also get the opportunity within this role to get involved in the solution design, architecture and Pre-Sales activities across Power Platform, giving you influence across the wider business operations.Role & Responsibilities  Proficient in Microsoft Power Platform, encompassing MS PowerApps, MS Power Automate (Flow), Power BI, and Power Virtual Agents.Have the ability to troubleshoot and resolve complex issues.Experience building SharePoint Forms, Model-Driven & Canvas apps in PowerApps.Knowledge of creating environments, permissions, and packaging solutions in the Power PlatformKnowledgeable in advanced PowerApps formulas and various development techniquesHands-on experience in developing Azure logic apps and functions, along with providing Power BI development and support.Experience migrating/recreating SharePoint Solutions/Workflows in Power PlatformConfident in communicating with stakeholders up to C-suite level and able to provide advice to fully harness the Power Platform.
Why work at Melior? We have an exceptional focus on recruiting, sustaining, and developing talented individuals across the business while maintaining a diverse pool of extraordinary people. You will have countless opportunities to: Skills development and career advancement opportunities,Explore and achieve your highest potential, be rewarded, and get recognition from the organization for your contributions.Collaboration with a range of other teams (internal and external)Be encouraged throughout your career to share ideas at all business levelsInteract with individuals from versatile backgrounds,All while having a great time working with us
Alongside a rewarding workplace, Melior offers a range of Monetary and non-monetary benefits such as: Competitive salary25 holiday daysHealth insurance (OPD, IPD & Maternity all covered separately)Leave EncashmentFuel CardMobile Handset AllowanceEid and Performance BonusEmployee Referral BonusInternet AllowanceInflation Allowance","Software Development
            
              11-50 employees
            

              32 on LinkedIn",Melior ITS ,Islamabad," Islamabad, Islāmābād, Pakistan ",On-site,,2 weeks ago,1,Full-time,Not specified,11-50 employees,Not specified
Mobile Application Developer,"Analytica · Lahore, Punjab, Pakistan (On-site)  
2 weeks ago

 · 51 applicants",Full-time,https://www.linkedin.com/jobs/view/3727010108/?eBP=JOB_SEARCH_ORGANIC&refId=0VZjQrZ%2BPwAtd2PSEUmQnA%3D%3D&trackingId=NAGBdRdsnOezmKCA2s0X6g%3D%3D&trk=flagship3_search_srp_jobs,51-200 employees,3727010108,https://www.linkedin.com/jobs/view/3727010108,"About the job
            

 
We are looking for a Full-time Mobile Application Developer at Analytica (Pakistan Branch). This is an on-site Full-time position for Analytica (Pakistan Branch), candidates should be located in Lahore, Pakistan. Kindly complete the following form https://forms.office.com/r/zsdYb7GgPs to be eligible for the interview. Responsibilities  Design, develop, and maintain mobile applications using cross-platform technologies and frameworks such as Flutter, React Native or Xamarin.Collaborate with cross-functional teams including designers, project managers, and other developers to deliver high-quality software solutions.Write clean, efficient, and well-documented code that meets industry standards and best practices. Perform testing, debugging, and troubleshooting to ensure that applications are error-free and meet functional requirements.Stay up-to-date with industry trends and advancements in mobile application development and integrate these developments into our products.Participate in code review and continuous improvement of development processes.
 Minimum Requirements  At least 3 years of experience in developing mobile applications for both iOS and Android platforms using cross-platform technologies and frameworks.Strong understanding of mobile application development principles, design patterns, and development best practices.Proficient in programming languages such as JavaScript, TypeScript, and related mobile technologies such as Swift and Kotlin.Experience in developing RESTful APIs and integrating with third-party APIs for mobile applications.Familiarity with mobile app deployment process on app stores such as App Store and Google Play Store.Strong analytical and problem-solving skills with the ability to troubleshoot and debug mobile applications.Ability to work independently and in a team environment to deliver high-quality mobile applications.Strong verbal and written communication skills to collaborate with cross-functional teams including designers, project managers, and other developers.","Software Development
            
              51-200 employees
            

              21 on LinkedIn",Analytica ,Lahore," Lahore, Punjab, Pakistan ",On-site,51,2 weeks ago,1,Full-time,Not specified,51-200 employees,Not specified
Lead ReactJS Developer - Web TV Application,"DIAGNAL · Pakistan (Remote)  
1 week ago",Full-time,https://www.linkedin.com/jobs/view/3724321560/?eBP=JOB_SEARCH_ORGANIC&refId=RDz4cFHK6i1XY2ezYn3bNg%3D%3D&trackingId=crw%2BYn0NfVzsdAbKdayLzw%3D%3D&trk=flagship3_search_srp_jobs,51-200 employees,3724321560,https://www.linkedin.com/jobs/view/3724321560,"About the job
            

 
At DIAGNAL, we are a leading technology company specializing in providing innovative solutions for the digital entertainment industry. Our cutting-edge products and services enable millions of users to access high-quality video streaming applications across various devices and screen sizes. As a company, we value collaboration, impact, and the growth of talented individuals. We foster a work environment that emphasizes fair compensation, work-life balance, flexibility, and appreciation for our employees’ contributions. With a focus on learning and development programs, impactful products, and a culture of freedom and autonomy, we strive to create an environment where our team members feel valued and empowered.Role: Develop ReactJS video streaming apps for Web TV platformsResponsible for the technical design and development of advanced video streaming consumer applications with multiple backend integrations for content discovery, user onboarding, payments and a variety of user engagement featuresDeliver Web TV app solutions across the entire app life cycle – prototype to build to test to launch to supportBuild slick Web UI UX interfaces with a focus on usability featuresOptimise performance and stability as well as non-functional aspects such as loggingKeep up to date on the latest industry trends and TV Device / TV OS / TV SDK updates
Experience Required: 3 or more years of experience in Web TV Development on Samsung Tizen TV and LG webOS (or equivalent Web TV device platforms)2 or more years experience with Shaka player, Bitmovin player or equivalent player with Live/VOD DRM encrypted streams5+ years of development experienceExcellent command of the English languageVery good working knowledge of ReactJSAn expert in JavaScript, HTML, CSS, AJAX, JSONExperience with developing highly polished consumer-facing websites with smooth interactivity and responsive behavior directly from design assetsPublished sites that are now onlineSelf-motivation and the ability to manage your own time to get the job done at the high international quality levels we expectAn engineering Degree in computer science or equivalent practical experienceA solid understanding of browser system fundamentals, application performance optimization, and backend integrationPrior experience working within the OTT apps, Media, E-commerce, Telecommunications, or similar large-scale consumer-facing industry
What We Offer: Fair Compensation: We believe in providing competitive salaries that reflect the value and expertise of our team members.Paid Leave: We understand the importance of work-life balance and offer generous paid leave to support our employees’ well-being and personal commitments.Work-Life Balance: We prioritize creating a healthy work-life balance for our employees, recognizing the importance of maintaining personal and professional harmony.Flexible Working: We offer flexible working arrangements to accommodate individual preferences and needs, enabling our employees to optimize their productivity and achieve better work-life integration.Activities & Events: We organize various activities and events to foster team bonding, creativity, and a positive work culture. These events provide opportunities for relaxation, celebration, and building connections within the DIAGNAL community.Learning & Development Program: We are committed to the growth and development of our employees. Our learning and development programs offer continuous opportunities to enhance skills, acquire new knowledge, and stay updated with the latest industry trends.Growth: We provide a platform for professional growth, enabling employees to take on new challenges, expand their skill sets, and advance their careers within DIAGNAL.Talented People: We are proud to have a team of talented individuals who are passionate about their work and contribute to our collective success. Working alongside skilled professionals, you’ll have the opportunity to learn, collaborate, and be inspired.Collaboration: We foster a collaborative work environment where teamwork and open communication are valued. You’ll have the chance to collaborate with cross-functional teams, including designers, project managers, QA engineers, operations engineers, third-party systems providers, and customers, to deliver exceptional products.Impactful Products: Joining DIAGNAL means being part of a team that creates impactful products used by millions of users. Your work will have a direct influence on the digital entertainment industry and contribute to our mission of delivering high-quality experiences.Freedom: We trust our employees and believe in providing them with the freedom to make decisions and execute their work without excessive micromanagement. We value autonomy and encourage independent thinking.Feel valued: We genuinely value the contributions and efforts of our team members. We strive to create an inclusive and supportive environment where everyone feels valued, recognized, and appreciated.","Technology, Information and Internet
            
              51-200 employees
            

              100 on LinkedIn",DIAGNAL ,Pakistan, Pakistan ,Remote,,1 week ago,1,Full-time,Not specified,51-200 employees,Not specified
