Job Title,Job Info,Job Type,Job Link_x,employees,Job ID,Job Link_y,Job Desception,Company Info,company,location_1,location_2,Remote/Onsite,n_applicant,job posting time,Job Type nElements,Job-Type,Experience Level,Comp_N_Employees,Comp_Industry
Back End Developer,"GR-Tech · Karāchi, Sindh, Pakistan (On-site)  
2 weeks ago",Full-time,https://www.linkedin.com/jobs/view/3727021517,11-50 employees,3727021517,https://www.linkedin.com/jobs/view/3727021517,"About the job
            

 
Job Description:Gr-Tech is actively seeking a highly skilled and motivated Backend Developer to join our dynamic team. As a Backend Developer, you will be responsible for designing, developing, and maintaining the core backend systems that power our applications. You'll work closely with our front-end developers, product managers, and other stakeholders to deliver robust, scalable, and efficient solutions.Key Responsibilities: Collaborate with cross-functional teams to understand project requirements and deliver high-quality backend solutions.Develop and maintain backend APIs and services.Optimize and scale backend systems for performance and reliability.Troubleshoot and resolve technical issues as they arise.Stay up-to-date with industry trends and emerging technologies to drive innovation.
Qualifications: Bachelor's degree in Computer Science or a related field (or equivalent work experience).Proven experience in backend development using languages such as Python, Java, or Node.js.Familiarity with databases (e.g., SQL, NoSQL) and data modeling.Strong problem-solving skills and attention to detail.Excellent communication and teamwork skills.Experience with cloud platforms (e.g., AWS, Azure, Google Cloud) is a plus.Knowledge of DevOps practices and CI/CD pipelines is a plus.
If you are passionate about backend development, enjoy solving complex problems, and want to be part of a forward-thinking team, we'd love to hear from you!","Information Technology & Services
            
              11-50 employees
            

              31 on LinkedIn",GR-Tech ,Karāchi," Karāchi, Sindh, Pakistan ",On-site,,2 weeks ago,1,Full-time,Not specified,11-50 employees,Not specified
Back-End Network Engineer,"Turing · Pakistan (Remote) Reposted  
1 week ago

 · 108 applicants",Full-time · Entry level,https://www.linkedin.com/jobs/view/3726337380/?eBP=JOB_SEARCH_ORGANIC&refId=reEeSXQll75rltawvtA8Xg%3D%3D&trackingId=X54ASPjic5pyGNnprFrG3Q%3D%3D&trk=flagship3_search_srp_jobs,"1,001-5,000 employees · IT Services and IT Consulting",3726337380,https://www.linkedin.com/jobs/view/3726337380,"About the job
            

 
A rapidly-growing company that is on a mission to provide secure tech solutions while using modern AI technology is looking for a Back-End Network Engineer. The engineer will be responsible for setting up a server to catch the signals and log them. The company is currently operating in stealth mode while developing their innovative products and services. This is an amazing opportunity for engineers who are eager to juggle responsibilities and work in a fast-paced environment.Job Responsibilities: Maintain the log database and make sure the server can manage any potential traffic loadsSpecify features and the execution based on the business requirementsBuild top-notch software for intricate back-end systems and APIsFind improvements and changes that raise the caliber of the product
Job Requirements: Bachelor’s/Master’s degree in Engineering, Computer Science (or equivalent experience)At least 3+ years of relevant experience as a back-end network engineerDemonstrable experience working with Database AdministrationProlific working knowledge of MS SQL Server Comprehensive understanding of database management, internet protocols, and server-side programmingExcellent spoken and written English communication skills","IT Services and IT Consulting
            
              1,001-5,000 employees
            

              1,985 on LinkedIn",Turing ,Pakistan, Pakistan ,Remote,108,1 week ago,2,Full-time,Entry level,"1,001-5,000 employees ", IT Services and IT Consulting
Backend Team Lead (Node.js),"Genesis IT Lab · Islamabad, Islāmābād, Pakistan (On-site)  
1 week ago",Full-time,https://www.linkedin.com/jobs/view/3727053041/?eBP=JOB_SEARCH_ORGANIC&refId=FxNZG3Me8sttBY900QeNNQ%3D%3D&trackingId=kvxoYMTv4lqdLhqePdKyEw%3D%3D&trk=flagship3_search_srp_jobs,51-200 employees,3727053041,https://www.linkedin.com/jobs/view/3727053041,"About the job
            

 
We are looking for a highly skilled and experienced Backend Team Lead - Node.js to join our dynamic team. As a member of our team, you will work closely with other developers and project managers to create robust and scalable web applications.Responsibilities Building interactive consumer data from multiple systems and RESTfully abstracting to the UI through a Node.js backend.Define code architecture decisions to support a high-performance and scalable product with a minimal footprint.Address and improve any technical issues.Collaborate well with engineers, researchers, and data implementation specialists to design and create advanced, elegant and efficient systems.Collaborate with other team members and stakeholders.Take smart risks and champion new ideas.
Requirements Previous working experience as a Senior NodeJS Developer for 4+ years.In depth knowledge of NodeJS, ExpressJS, NestJS, Restify.Hands-on experience with TypeScript.Working knowledge of MySql, MongoDB, Firebase.Experience with modern frameworks and design patterns.Creating secure RESTful-based web services in XML and JSON.Understanding and Experience on Git and Bit-bucket.Must be familiar with Unit testing, Integration testing
Plus Points Open to learn new technologies.Hands-on experience with automated testing tools (Plus).Experience of testing blockchain based apps, its use cases and crypto.Knowledge of Dapps/Defi Apps.
BenefitsGenesis IT Lab offers an outstanding culture that focuses on learning opportunities, international exposure by participation at international and national conferences, and career growth. We offer; Provident fundHealth & Life InsuranceSumptuous, home-cooked lunch (Free)Chances to travel abroadSponsored Certifications","Software Development
            
              51-200 employees
            

              74 on LinkedIn",Genesis IT Lab ,Islamabad," Islamabad, Islāmābād, Pakistan ",On-site,,1 week ago,1,Full-time,Not specified,51-200 employees,Not specified
WordPress backend developer,"Syntech · Lahore, Punjab, Pakistan (On-site)  
2 weeks ago",Full-time,https://www.linkedin.com/jobs/view/3726810093/?eBP=JOB_SEARCH_ORGANIC&refId=uDn%2BD9A%2FYjmLbujNP1xvtQ%3D%3D&trackingId=GJgKMm2sYjOtR%2BfDeQJjCQ%3D%3D&trk=flagship3_search_srp_jobs,See how you compare to 23 applicants. Reactivate Premium,3726810093,https://www.linkedin.com/jobs/view/3726810093,"About the job
            

 
WordPress Theme DevelopmentConvert the PSD into the UI and UI into the WordPress theme.Should have strong knowledge of Filters and Hooks.Should have experience with Elementor and WP Bakery visual composer.Proven work experience.Should have experience with WooCommerce Template customizationKnowledge or experience with WordPress plugin development.Expert HTML & CSS3 knowledgeDesigning Mobile Responsiveness SitesExpert API Integrations in WordPressDesign AestheticsModerate UX / UI KnowledgeSelf-learning",,Syntech ,Lahore," Lahore, Punjab, Pakistan ",On-site,,2 weeks ago,1,Full-time,Not specified,Not specified,Not specified
Junior Backend Developer (Python),"Kamayi · Lahore, Punjab, Pakistan (On-site)  
1 week ago",Full-time,https://www.linkedin.com/jobs/view/3727532698,11-50 employees,3727532698,https://www.linkedin.com/jobs/view/3727532698,"About the job
            

 
Junior Python DeveloperLocation: Gulberg 3 LahoreSalary: 60 plusResponsibilities:● Design and implement Python code using the Django framework.● Identify and fix bottlenecks that may arise from inefficient code.● Create a wide variety of unit tests to verify the functionality of the software.● Manage the security of the platform.● Knowledge and experience of AWS and Deployments● Write detailed documentation around the code.● Knowledge of front-end languages.● Build new products and features through rapid build/measure/learn iterations.● Work collaboratively with Designers, Peer Developers, Architects, and Product Managerson high-impact projects. Requirements; Skills:● 1+ years of proven development experience.● Minimum a bachelor’s degree in CS, SE, or relevant.● Expert in Python and Django Framework.● Understanding of App/Browser Performance and Techniques.● Strong communication and presentation skills.● Understanding of Software Security Techniques.● Understanding of Database Performance and Techniques.● Understanding of AWS Technology Stack.● Understanding of the threading limitations of Python, and multi-process architecture.● Experience developing against RESTful APIs and microservice architecture.","Human Resources Services
            
              11-50 employees
            

              26 on LinkedIn",Kamayi ,Lahore," Lahore, Punjab, Pakistan ",On-site,,1 week ago,1,Full-time,Not specified,11-50 employees,Not specified
Shopify Back End Developer,"PureLogics · Lahore, Punjab, Pakistan (On-site)  
1 week ago",Full-time,https://www.linkedin.com/jobs/view/3727522729,201-500 employees,3727522729,https://www.linkedin.com/jobs/view/3727522729,"About the job
            

 
Job Description Must have a minimum of 2 years’ experience in web development, excluding at least one year with the Shopify platform ;Strong knowledge of Shopify Hydrogen framework.Strong knowledge of liquid programming languageStrong knowledge of developing Shopify appsGenerate custom-tailored Shopify themes and alter pre-existing templates.Act as a Shopify expert, specializing in all facets of the e-commerce platform.The Shopify, Liquid API has no secrets for you, just like CLI and GIT commands You have experience in integrating third-party systems (ERP, CRM, PIM, CMS) 
Required SkillsShopify/PHP/NodeShopify Hydrogen frameworkShift Timing1:00 noon to 10:00 pmRequired Qualification Bachelors in computer science or equivalent.","Software Development
            
              201-500 employees
            

              529 on LinkedIn",PureLogics ,Lahore," Lahore, Punjab, Pakistan ",On-site,,1 week ago,1,Full-time,Not specified,201-500 employees,Not specified
"Back End Developer, Trilogy (Remote) - $100,000/year USD","Crossover  · Karāchi, Sindh, Pakistan (Remote) Reposted  
1 week ago",Full-time · Mid-Senior level,https://www.linkedin.com/jobs/view/3727371393,"5,001-10,000 employees · IT Services and IT Consulting",3727371393,https://www.linkedin.com/jobs/view/3727371393,About the job,,Crossover  ,Karāchi," Karāchi, Sindh, Pakistan ",Remote,,1 week ago,2,Full-time,Mid-Senior level,"5,001-10,000 employees ", IT Services and IT Consulting
Back-End Network Engineer,"Turing · Pakistan (Remote) Reposted  
2 weeks ago

 · 109 applicants",Full-time · Entry level,https://www.linkedin.com/jobs/view/3727532471,"1,001-5,000 employees · IT Services and IT Consulting",3727532471,https://www.linkedin.com/jobs/view/3727532471,"About the job
            

 
The position is based in Lahore, On-site.One Machine Solutions is seeking Java Developers with 2-3 years of Java development experience specifically. Candidates will need experience with J2EE, Struts, Spring or some other MVC framework. What the right person will enjoy:  They are integrating this application – you will learn all the touch points and systemsLearn the financial models and validate them – A lot of exposure to big data!Laid back and collaborative environmentYou will have high impact and visibility in the companyHelp this group decide which technologies work best and why!
Apply today if your background includes:  3+ years development experience in Java2+ years SQL experience2+ years development experience in J2EE2+ years MVC framework experience (Spring preferred)BS in an Information Technology focused discipline (or equal experience)Strong understanding of common design patterns and web application architectureExperience in the financial and/or healthcare fields is highly preferred
Key Responsibilities:  Design, develop, and unit test J2EE financial services applications to implement business requirementsWork with Software Architects to design and document database and application specificationsWork with the QA team to understand application requirements and reproduce and resolve issuesAssist with determining workarounds as well as long-term solutions for production issues","IT Services and IT Consulting
            
              11-50 employees
            

              25 on LinkedIn",Turing ,Pakistan, Pakistan ,Remote,109,2 weeks ago,2,Full-time,Entry level,"1,001-5,000 employees ", IT Services and IT Consulting
PHP Backend Developer,"KUZ TECH SOLUTIONS PVT LTD. · Karāchi, Sindh, Pakistan (On-site)  
1 week ago",Full-time,https://www.linkedin.com/jobs/view/3727513213,11-50 employees,3727513213,https://www.linkedin.com/jobs/view/3727513213,"About the job
            

 
""WE ARE HIRING PHP BACK-END DEVELOPES""A software house located in Karachi looking for “Senior PHP Backend Developers” for its Australian liaison office.REQUIREMENTS: Ø BS/ MS from a reputable university.Ø Must be working on PHP Backend, when applying for this job.Ø 5+ years experience in a software house with a proven track record.Ø Command over PHP Backend is must.Ø Nice to have Opencart experience and advanced knowledge of open cart.Ø Hands on experience with E-Commerce.Ø PHP web development, word press and the MVC design pattern knowledge.Ø Worked with either -CodeIgniter, Laravel, Zend, Cake PHP.Ø Must be able to write plug-ins and can integrate third-party APIs.Ø Understanding of front-end technologies including HTML5, CSS3, JavaScript, jQuery.Ø Good database engineer who is also able to develop complex SQL statements.Ø Experience in creating and implementing RESTful APIs.Ø Knowledge of integrated different payment methods like; PayPal, Poli, Stripe, Braintree, etc.Ø Experience with Shopify, Magento is a plus.Ø Critical thinker who can implement ideas and strategies and value addition to the Team.SALARY & PERKS:Ø Market competitive remuneration.Ø Performance Appraisal/ Annual Bonus/ Medical Insurance. (After 3 months of probation period)Ø Overtime on Pakistan Gazetted Holidays.E-MAIL us your updated resume at: hr@kuz.com.au","Information Technology & Services
            
              11-50 employees
            

              17 on LinkedIn",KUZ TECH SOLUTIONS PVT LTD. ,Karāchi," Karāchi, Sindh, Pakistan ",On-site,,1 week ago,1,Full-time,Not specified,11-50 employees,Not specified
Back End Developer,"Absolutely Digital · Karāchi, Sindh, Pakistan (On-site)  
1 week ago

 · 127 applicants",Full-time,https://www.linkedin.com/jobs/view/3727546474,11-50 employees,3727546474,https://www.linkedin.com/jobs/view/3727546474,"About the job
            

 
Job description Job Title: Back End Developer ( PHP / Laravel / RESTful APIS)Job Location: Karachi, Pakistan Overview: Are you a skilled Back End Developer looking for a new and exciting opportunity? Look no further! Absolutely Digital, a leading global company in the online services and service discovery industry, is seeking a professional candidate like you to join our team in Karachi! As a Back End Developer at Absolutely Digital, you will be responsible for managing back-end services and the interchange of data between the server and users. Our company provides a range of software solutions to clients across different industries, giving you the opportunity to work on diverse and exciting projects. At Absolutely Digital, we value teamwork, diversity, and innovation. We foster a transparent and professional work environment that encourages collaboration and creativity. Join our multinational software company and be a part of a dynamic team with offices in Dubai, Beirut, and Karachi, UK and USA. Apply today and take your career to new heights with Absolutely Digital! Salary: PKR 150K-250K based on skills and experience. Key Responsibilities:·      Database planning, creation, parsing and maintenance.·      Developing and maintaining robust and scalable backend solutions using Laravel and RESTful APIs. ·      Collaborating with the front-end development team to design and implement APIs that meet the requirements of the application- APIs creation, parsing and troubleshooting.·      Writing clean well-documented and modular back-end functionality code·      Participating in code reviews and testing to ensure the quality of the codebase. ·      Work with other developers to implement solutions-Troubleshooting and debugging production issues as needed. ·      Staying up to date on emerging technologies, latest industry trends and best practices.  Skills And Requirements: ·      4-5 years of experience in PHP backend development with a strong emphasis on Laravel and RESTful APIs.·      Bachelor’s degree in computer science or a related field.·      Understanding the fully synchronous behaviour of PHP.·      Experience with AWS or other cloud technologies is a plus.·      Basic understanding of front-end technologies, such as JavaScript, HTML5, and CSS3.·      Knowledge of object-oriented programming.·      Understanding accessibility and security compliance.·      Strong knowledge of the common PHP or web server exploits and their solutions.·      Understanding fundamental design principles behind a scalable application.·      User authentication and authorization between multiple systems, servers, and environments.·      Integration of multiple data sources and databases into one system.·      Familiarity with limitations of PHP as a platform and its workarounds.·      Creating database schemas that represent and support business processes.·      Solid understanding of database concepts and experience working with MySQL or PostgreSQL·      Proficient understanding of code versioning tools - GIT.·      Strong problem-solving and analytical skills. ·      Excellent verbal and written communication skills. ·      Ability to work independently as well as in a team environment. Benefits:We offer a competitive compensation package upon skills and experience based, good work arrangements, a collaborative and inclusive work environment, opportunities for career growth and development and the chance to work closely with a multi-cultural experienced and professional team. Opportunity to work on software applications that promote positive social impact and community engagement.Growth opportunities and great team culture.
Candidate performance will continue to be measured through Key Performance Indicators (KPI’s) against once employed.How To Apply?Applying for this exciting opportunity is easy! We welcome candidates to send their updated resumes and cover letters to us at hr@absolutelydigital.net Additionally, we encourage you to connect with us on LinkedIn to stay updated on future opportunities and company news. Don't miss out on the chance to join our dynamic and innovative team at Absolutely Digital! Send in your application today and let's work together to create cutting-edge software solutions for our clients across different industries.","Advertising Services
            
              11-50 employees
            

              29 on LinkedIn",Absolutely Digital ,Karāchi," Karāchi, Sindh, Pakistan ",On-site,127,1 week ago,1,Full-time,Not specified,11-50 employees,Not specified
