Job Title,Job Info,Job Type,Job Link_x,employees,Job ID,Job Link_y,Job Desception,Company Info,company,location_1,location_2,Remote/Onsite,n_applicant,job posting time,Job Type nElements,Job-Type,Experience Level,Comp_N_Employees,Comp_Industry
Dotnet+React Developer,"Macrosoft · Pakistan (Remote)  
2 weeks ago",Full-time,https://www.linkedin.com/jobs/view/3727019337,201-500 employees,3727019337,https://www.linkedin.com/jobs/view/3727019337,"About the job
            

 
Macrosoft Pakistan Lahore is looking Remote Resource for Full Stack .NET + React JS developer (Strong Experience).Experience: 4-8+ years Requirements:• Familiarity with Agile development methodologies (Scrum a preference).• Experience with software design and development in a test-driven environment.• Knowledge of coding languages and libraries (C#, Microsoft .Net, ASP.Net Core, JavaScript,jQuery, Node.js, UI Control libraries (such as Syncfusion ASP.Net JS2 components, Material UI React,HTML 5) and frameworks/systems (React; Bootstrap; Git; VSTS (Azure Dev Ops))• Experience with databases and ORM frameworks (ADO.Net Entity Framework, MS SQL Server, LINQ).• Excellent communication skills.• Resourcefulness and troubleshooting aptitude.• Degree or equivalent experience in Computer Science. If you have relevant experience or know someone who has. Please Share Updated resume at Shahmin@macrosoftinc.com","Software Development
            
              201-500 employees
            

              659 on LinkedIn",Macrosoft ,Pakistan, Pakistan ,Remote,,2 weeks ago,1,Full-time,Not specified,201-500 employees,Not specified
Junior Dotnet Developer,"Zeki Expert Solutions · Islāmābād, Pakistan (Remote)  
2 weeks ago",Full-time,https://www.linkedin.com/jobs/view/3727030245,11-50 employees,3727030245,https://www.linkedin.com/jobs/view/3727030245,"About the job
            

 
Please note that this position is for only Isb/Rwp Residents.DescriptionWe are currently seeking a highly skilled and experienced .NET Developer to join our team. As a .NET Developer, your primary responsibility will be to excel in conducting interviews with clients. In addition to your interviewing expertise, you should also possess a strong background in .NET development and be passionate about staying abreast of the latest advancements in the field.Responsibilities: 1.5+ years prior experience as a WinForms, SQL Server, Rest API Software DeveloperDeep understanding of the .NET Framework and OOPExperience with C# WinForms, WCF/REST services, Multi-ThreadingShould have worked on all elements of SDLC life cycle (Build, design, development, deployment)Experience of Azure and AWSExperience in writing backend components and Restful APIsDevelop technical interfaces, specifications, and architecture.Knowledge of Google Api's.Third Party Components Telerik / Dev ExpressExperience of Crystal Report / RDLC.Responsible for the development and maintenance of both current and future based applicationsMust have strong knowledge of API lifecycle management platforms.Can provide development support when necessary for the other teamGood command on stored procedure, views, database ERP architecture, query optimizationGood understanding of LINQ Queries.Experience with push notifications.SIGNAL R and Web Sockets.","Information Technology & Services
            
              11-50 employees
            

              29 on LinkedIn",Zeki Expert Solutions ,Islāmābād," Islāmābād, Pakistan ",Remote,,2 weeks ago,1,Full-time,Not specified,11-50 employees,Not specified
Dotnet Developer,"Prosigns · Lahore, Punjab, Pakistan (On-site)  
2 weeks ago",Full-time,https://www.linkedin.com/jobs/view/3727013508/?eBP=JOB_SEARCH_ORGANIC&refId=7fUmgsEqTGS1bRM8QtYbVg%3D%3D&trackingId=dnbMd6bkcvQTNx%2B%2BW0EPuw%3D%3D&trk=flagship3_search_srp_jobs,11-50 employees,3727013508,https://www.linkedin.com/jobs/view/3727013508,"About the job
            

 
Role DescriptionThis is a full-time on-site role for a Dotnet Developer at Prosigns in Lahore. The Dotnet Developer will be responsible for software development and programming using .NET Core and ASP.NET MVC. The Dotnet Developer will also be responsible for Object-Oriented Programming and collaborating with cross-functional teams to design, develop and implement software solutions.Qualifications Software Development and Programming skillsExpertise in .NET Core and ASP.NET MVCObject-Oriented Programming (OOP) skillsExcellent problem solving and analytical skillsAbility to work collaboratively in cross-functional teamsBachelor's degree in Computer Science, Computer Engineering or related fieldExperience with Agile/Scrum methodologies is a plusMinimum 1 year experience
Salary: 65-80k","IT Services and IT Consulting
            
              11-50 employees
            

              56 on LinkedIn",Prosigns ,Lahore," Lahore, Punjab, Pakistan ",On-site,,2 weeks ago,1,Full-time,Not specified,11-50 employees,Not specified
Dotnet Developer,"Goyzer Technology Solutions · Karāchi, Sindh, Pakistan (On-site)  
2 weeks ago

 · 51 applicants",Full-time,https://www.linkedin.com/jobs/view/3727013893/?eBP=JOB_SEARCH_ORGANIC&refId=7fUmgsEqTGS1bRM8QtYbVg%3D%3D&trackingId=LLvn6%2BdGbCSppVzVT7Kmuw%3D%3D&trk=flagship3_search_srp_jobs,11-50 employees,3727013893,https://www.linkedin.com/jobs/view/3727013893,"About the job
            

 
Job Advertisement: .NET DeveloperAre you an innovative and skilled .NET Developer seeking a challenging opportunity to showcase your talent? Look no further! We are currently seeking a motivated and passionate .NET Developer to join our dynamic team at Goyzer, a leading real estate technology company. Join us in revolutionizing the way people buy, sell, and interact with real estate through cutting-edge technology solutions.Position: .NET DeveloperLocation: [Karachi, Pakistan]About Us:Goyzer was founded in Canada in 2015 with a regional office set up in Dubai in 2020. Our goal was to incorporate automation in the real estate sector through technological enablement. We’ve worked closely with industry professionals and conducted extensive market research to create A series of products to meet the needs of Developers, Property Managers & Brokers. Our approach is highly strategic and carefully executed to transform your business the way you want, guaranteeing incredible results and maximum profit.Responsibilities:- Develop, test, and maintain efficient .NET applications using C# and related technologies to support our real estate platforms.- Collaborate with cross-functional teams to gather requirements, design solutions, and implement features that enhance user experience and streamline real estate processes.- Participate in code reviews and provide constructive feedback to team members, ensuring code quality and adherence to best practices.- Debug and resolve software defects and issues in a timely manner to ensure smooth operation of our real estate systems.- Stay up-to-date with industry trends and best practices, incorporating new technologies and techniques to continuously improve our real estate solutions.Requirements:- Proven experience as a .NET Developer or Software Engineer, with expertise in C# and the .NET Framework.- Strong knowledge of object-oriented programming principles and design patterns.- Experience with front-end development technologies such as HTML, CSS, and JavaScript to create intuitive user interfaces for real estate applications.- Familiarity with database systems (SQL Server) and writing efficient queries for data management.- Excellent problem-solving skills and the ability to work both independently and collaboratively within a brilliantly-focused team.- Strong communication skills to effectively convey complex concepts to technical and non-technical stakeholders in the real estate industry.Preferred Qualifications:- Experience with ASP.NET, MVC, and Web API development for building robust real estate web applications.- Knowledge of client-side frameworks/libraries such as Angular, React, or Vue.js to create interactive real estate user interfaces.- Familiarity with Agile development methodologies, enabling efficient project delivery in the fast-paced real estate industry.- Understanding of cloud platforms such as Azure.- Familiarity with version control systems (Git, SVN, etc.) for collaborative development environments.If you are a highly motivated .NET Developer looking for an exciting opportunity to contribute to the transformation of the real estate industry, we would love to hear from you. Join us at Goyzer in revolutionizing the way people experience real estate. Apply now by sending your resume and cover letter to info@goyzer.com.Goyzer is an equal opportunity employer. We value diversity and welcome applications from candidates of all backgrounds who share our passion for real estate and technology.Note: Only shortlisted candidates will be contacted. We appreciate your interest in joining our team and driving innovation in","Information Technology & Services
            
              11-50 employees
            

              26 on LinkedIn",Goyzer Technology Solutions ,Karāchi," Karāchi, Sindh, Pakistan ",On-site,51,2 weeks ago,1,Full-time,Not specified,11-50 employees,Not specified
Full Stack Dotnet Developer,"ENUM · Karāchi, Sindh, Pakistan (On-site)  
2 weeks ago",Full-time,https://www.linkedin.com/jobs/view/3727012446/?eBP=JOB_SEARCH_ORGANIC&refId=jmMswOtzz783%2BgVSnLZKfg%3D%3D&trackingId=hP0TXG9n%2FixuZZ8xSnbYbw%3D%3D&trk=flagship3_search_srp_jobs,51-200 employees,3727012446,https://www.linkedin.com/jobs/view/3727012446,"About the job
            

 
Experience: 2-3 yearsResponsibilities:  Develop efficient and scalable backend web applications using .NET and .NET Core and C#. Experience in ASP.Net webform , C# including good exposure in SQL server, JQuery and Boorstrap,windows service and SOAP webservice, .Net SOAP webservices, .Net Windows Services, SQL Server, SSRS Reports, JSON, JavaScript, Rest ServicesLead and mentor a team of technical professionals in the successful completion of projects using Nintex/K2 Workflow System and DotNet/Robotics Process Automation.Develop and maintain project plans, timelines, and ensure timely delivery of project deliverables.Monitor and report project progress to stakeholders, and ensure timely and effective communication of project status.Collaborate with client and cross-functional teams to gather requirements and define project scope and objectives.Design and develop custom solutions (where required) using DotNet/Nintex/K2 Workflow System/Robotics Process AutomationOptimize application for maximum speed and scalability.Collaborate with other team members and stakeholdersUnderstanding performance testing and optimization techniques.Maintain and manage a cohesive front-end framework as you make updates and add features to the UIs.Provide technical guidance and support to team members, and assist in resolving complex technical issues.Database development including MYSQL or SQL Server.Ensure the quality of project deliverables through testing, debugging, and performance tuning.Manage project risks and issues, and escalate as necessary to ensure timely resolution.Be willing to travel as needed to client sites, international (25-30%)
Requirements and Qualifications Must have a Bachelor’s degree in Computer Science or equivalent.Experience in, CSS, HTML, JavaScript, jQuery, and 3rd party libraries and frameworks is a plusComprehensive experience using Visual Studio and Visual Studio Code.Deep understanding of .Net Framework 4.7, .Net Core 3.1.Demonstrated experience in Web development using ASP.NET MVC, C#, and the Entity Framework.Experience with Microsoft SQL Server Database/MySQL Database to write queries, functions, and stored procedures.Write clean, scalable code using .NET programming languages.Strong Analytical and Problem-Solving Skills.Good Team Player, Quick Learner, and Communication Skills.Furthermore, being proficient in programming languages in HTML, CSS, JavaScript, Ruby, PHP, and Python.","Information Technology & Services
            
              51-200 employees
            

              29 on LinkedIn",ENUM ,Karāchi," Karāchi, Sindh, Pakistan ",On-site,,2 weeks ago,1,Full-time,Not specified,51-200 employees,Not specified
Dotnet Developer,"Target Systems, Islamabad · Islāmābād, Pakistan (On-site)  
2 weeks ago",Full-time,https://www.linkedin.com/jobs/view/3727034757/?eBP=JOB_SEARCH_ORGANIC&refId=VYAhQlpawkFJ%2BtZBW0XGJg%3D%3D&trackingId=7wg7lFcsMm3jvMxz8qW7Bg%3D%3D&trk=flagship3_search_srp_jobs,11-50 employees,3727034757,https://www.linkedin.com/jobs/view/3727034757,"About the job
            

 
Established in 1996, Target Systems is a leading software development firm with experience in developing Customer Relationship Management, Support Desk Management, Billing Software and Revenue Assurance Software solutions for oomi®. Our mission is to deliver products and services on time and to the complete satisfaction of the customer, through skilled personnel and state of the art equipment. oomi® is a leading supplier of CRM solutions to the UK Not for Profit (NFP) sector. Currently focusing on the membership sector, oomi’s client base ranges from Nautical Institute to the Royal College of Physicians & Surgeons of Glasgow. oomi® has assembled one of the most experienced management teams in this sector in the UK and is now entering a period of rapid growth. oomi® was first to market in the UK NFP sector with a true MS Windows application, first with a true client-server implementation and now leads the way again with its unrivalled cloud-based, low-code platform. oomi® is seeking a .NET developer to be oomi’s champion of quality across all aspects of client delivery.  Responsibilities ●       Working on feature websites and features●       Ensuring websites are fully integrated with the oomi system●       Small to complex bug fixing●       Writing unit tests for your work●       Ownership of your work●       Liaising very closely with management, and QA●       Be clear and concise in both your written and verbal communication  What to Expect ●       You will focus on ensuring the quality of the work delivered, working along-side development to clearly understand the requirements, and understanding how we can ensure we deliver on the requirements.●       You will bring your development experience to build a world-class quality mindset, initially by focusing on oomi application and domain knowledge of client. Qualifications / Skills / Experience Requirements ●       Minimum 3 years of experience with ASP.NET MVC●       Good knowledge of .Net Core●       Must have strong knowledge of Content Management Systems (CMS)●       HTML, CSS, JS●       RESTful API knowledge●       Strong Object-Oriented Programming Concepts●       MS SQL Server●       MS-Office (Word, Excel)●       Good Analytical skills●       Excellent communication skills with English●       Problem-solving and teaming-up aptitude  Why work for oomi?  This is a great time to join oomi and be part of a growing team who are putting customer service and success at the heart of what they do. There is an exceptional focus on recruiting, sustaining, and developing talented individuals across the business, while maintaining a diverse pool of extraordinary people and support in achieving their highest potential. You will have countless opportunities to: ●       meet fantastic people●       collaborate with a range of other teams●       achieve your highest potential, rewarded, and recognized for your efforts in going the extra mile●       be encouraged throughout your career and at all levels of the business to share ideas●       have development opportunities throughout your career  As well as a rewarding career, oomi offers a range of financial and personal development benefits such as: competitive salary, 25 holiday days, health insurance, flexible working hours, professional development contributions, opportunity to learn and develop new skills, and support of all of our employees in achieving your highest potential while working in a supportive, positive working environment.","IT Services and IT Consulting
            
              11-50 employees
            

              35 on LinkedIn","Target Systems, Islamabad ",Islāmābād," Islāmābād, Pakistan ",On-site,,2 weeks ago,1,Full-time,Not specified,11-50 employees,Not specified
Dotnet Developer,"Dynamics Technology Systems · Karachi Division, Sindh, Pakistan (On-site)  
2 weeks ago",Full-time,https://www.linkedin.com/jobs/view/3727002817/?eBP=JOB_SEARCH_ORGANIC&refId=xUVZjvBRJ21TnPMV%2F%2Flt6w%3D%3D&trackingId=Z1Fzw0I3aS2eMDJkoKH8oA%3D%3D&trk=flagship3_search_srp_jobs,11-50 employees,3727002817,https://www.linkedin.com/jobs/view/3727002817,"About the job
            

 
The ideal candidate will be familiar with the full software design life cycle. They should have experience in designing, coding, testing and consistently managing applications They should be comfortable coding in a number of languages and have an ability to test code in order to maintain high-quality code.  Responsibilities Design, code, test and manage various applicationsCollaborate with engineering team and product team to establish best productsFollow outlined standards of quality related to code and systemsDevelop automated tests and conduct performance tuning
Qualifications Bachelor's degree in Computer Science or relevant field4+ years of experience working with .NET or relevant experiencesExperience developing web-based applications in C#, HTML, JavaScript, ASP.NET(Webform, MVC, .NET Core, Web API)Experience working with MS SQL Server and MySQL Knowledge of practices and procedures for full software design life cycleExperience working in agile development environment","IT Services and IT Consulting
            
              11-50 employees
            

              23 on LinkedIn",Dynamics Technology Systems ,Karachi," Karachi Division, Sindh, Pakistan ",On-site,,2 weeks ago,1,Full-time,Not specified,11-50 employees,Not specified
.Net Developer - C# - MVC,"Hoboetech Pvt. Ltd · Lahore, Punjab, Pakistan (On-site)  
1 week ago",Full-time,https://www.linkedin.com/jobs/view/3727048655/?eBP=JOB_SEARCH_ORGANIC&refId=reEeSXQll75rltawvtA8Xg%3D%3D&trackingId=fHncPYqycQ8V5J6dU9nVGw%3D%3D&trk=flagship3_search_srp_jobs,51-200 employees,3727048655,https://www.linkedin.com/jobs/view/3727048655,"About the job
            

 
WatchMyCompetitor is a fully automated competitor tracking, market data, brand analysis, and social mediamonitoring SaaS platform. Powered by AI. Refined by analysts.IntroductionAs a Software Engineer, the candidate will report to the Lead Software Engineer and will play a significantrole in the team responsible for building competitor tracking SaaS platform.The candidate will actively participate in design, development, testing, release and production supportaspects of the software development lifecycle, often driving them and supporting the team in making rightdecisions to solve the problems, as well as, taking ownership of the built services. The candidate will buildsolutions aligned with company-wide rules of engagement and standards and will work closely with LeadSoftware Engineer to improve them when needed. The candidate will support team members' growth andpromote an open, learning culture.The Software Engineer may be required to fulfill the Backend & Front End roles, depending on theorganization’s requirements at the time.Responsibilities● Design, build, deploy, and support SaaS services following company standards● Work closely with Lead Software Engineer, UX Designer, and other business areas to ensure therequirements are clearly captured; implement them and demonstrate the solution to theStakeholders before delivery● Deliver high-quality solutions using automated processes (CI/CD, automated testing)● Continuously improve the owned services’ usability, performance, security, architecture, andmaintainability● Provide continuous feedback to the Development team and the rest of the BusinessSkills & Experience Required● Experience of working in development teams, using the agile development model (Scrum or Kanban)● Great communication and teamwork skills● Experience with CI/CD pipelines, TDD, and pipeline automation● Familiarity with the microservice architecture and how to use it to build applications● Knowledge of good practices, design patterns, and SOLID principles● Good understanding of application design and strong problem-solving skills● Knowledge of .NET stack - C#, ASP.NET Core Web Apis, LINQ, asynchronous and parallelprogramming, dotnet tools● Knowledge of relational (MySQL) and No-SQL databases and integration patterns(EntityFramework)● Knowledge of Frontend stack - HTML, CSS, JavaScript, ASP.NET Core MVCDesirable● Experience with ReactNative (Mobile apps)● Knowledge of the GCP ecosystem (or other Cloud Providers)● Knowledge of monitoring and alerting tools● Experience with performance profiling tools ● Developing solutions with a security mindset
Monday - FridayBenefits. MedicalRev Share PlanGaming ArenaProvident FundAppraisalsBonusesIncentivesDinnersRoad TripsPaid Holidays
Please fill out this form for initial screening purposes.https://forms.office.com/Pages/ResponsePage.aspx?id=DQSIkWdsW0yxEjajBLZtrQAAAAAAAAAAAANAAerAOYdUN1VKRU5IVUlYRUNSNVc3WU1PMDJVOUw4Ny4u","Business Intelligence Platforms
            
              51-200 employees
            

              30 on LinkedIn",Hoboetech Pvt. Ltd ,Lahore," Lahore, Punjab, Pakistan ",On-site,,1 week ago,1,Full-time,Not specified,51-200 employees,Not specified
Full Stack Developer (.Net & Angular),"Xeven Solutions · Lahore, Punjab, Pakistan (On-site)  
2 weeks ago",Full-time,https://www.linkedin.com/jobs/view/3727008391/?eBP=JOB_SEARCH_ORGANIC&refId=N%2F3m%2F9EChkBavkNrBDQXLg%3D%3D&trackingId=ZaVOcV2tuJqdYoylayl5YQ%3D%3D&trk=flagship3_search_srp_jobs,51-200 employees,3727008391,https://www.linkedin.com/jobs/view/3727008391,"About the job
            

 
Xeven Solutions Lahore is looking for .NET Angular developers who will be participating in all project phases, creating and developing solution options against design proactively improving design and architecture, developing and maintaining cloud-based services and applications, and collaborating with a diverse scrum project team. 𝗥𝗲𝗾𝘂𝗶𝗿𝗲𝗺𝗲𝗻𝘁𝘀: • 1 – 8 years of experience working with the .NET framework/C# development and the technology stack, e.g., C#, .NET Core, REST API, MVC APIs, JSON, REST, MVC, Ajax, and Asynchronous Programming, REST Service Architecture • Knowledge or experience in Microsoft Azure and Angular, Javascript, Knockout, or React • Experience with MS Azure Services with Developing, Deploying, and configuring Azure Web Apps, Azure App Services, Azure Functions, Azure web jobs, etc., using Visual Studio • Experience in developing and hosting REST API using Azure API Management, Swagger, and integration with Azure web apps. • Working knowledge and experience in Micro-Service Programming model, SOA, Service Fabric • At least 2 years working in Agile methodology • Knowledge or experience in test-driven development • Bachelor’s Degree in Computer Science, Computer Engineering, MIS or related field preferred • Experience crafting and implementing high-performance RESTful micro-services serving millions of requests a day • Fluency in any one database technology (e.g., RDBMS like Postgres/SQL Server and/or NoSQL like DynamoDB or Cassandra) • Broad knowledge and understanding of the SaaS, PaaS, and IaaS industry with hands-on experience with public cloud offerings (AWS, GAE, Azure) • Experience in O365 programming, PowerApps, PowerShell, and SharePoint Online will be a huge advantage.","IT Services and IT Consulting
            
              51-200 employees
            

              194 on LinkedIn",Xeven Solutions ,Lahore," Lahore, Punjab, Pakistan ",On-site,,2 weeks ago,1,Full-time,Not specified,51-200 employees,Not specified
Dotnet Developer,"Reporteq · Lahore, Punjab, Pakistan (On-site)  
2 weeks ago",Full-time,https://www.linkedin.com/jobs/view/3727011663/?eBP=JOB_SEARCH_ORGANIC&refId=FxNZG3Me8sttBY900QeNNQ%3D%3D&trackingId=GBLB3dK6CAGmNnQO8zfhnA%3D%3D&trk=flagship3_search_srp_jobs,11-50 employees,3727011663,https://www.linkedin.com/jobs/view/3727011663,"About the job
            

 
Job Description:We are looking for an experienced Software Engineer (3 - 5+ years of Full Stack development experience) responsible for the development, deployment, and maintenance of the system. Your primary focus will be the development of new features from UI to backend and database. You will be working alongside other engineers and developers working on different layers of the infrastructure. Therefore, a commitment to collaborative problem solving, sophisticated design, and the creation of quality products are essential.Responsibilities: Deliver highly reliable production ready code, by following best practices and coding standards.Enhancing framework architecture, design and hands-on code review activities.Architecture and redesign code for maintainability, scalability, security and efficiency.Intuitively resolve complex design and architecture issues.Provide technical expertise.Help grow team knowledge in advanced engineering methodologies and standards, cutting edge technologies and industry best practices.Ensuring timely completion of tasks with top quality output with an enthusiastic approach.
Requirements BSc degree in Computer Science or similar relevant fieldWorking Experience with .Net Core, Entityframework & Restful Web APISWorking experience with Angular 9+/ ReactFamiliar with Repository, Unit of work,Mediator & CQRS Design PatternsExperience creating front end applications using HTML5, Angular / React, LESS/SASSStrong JavaScript concepts and design patterns.Familiar with version control (TFS, Git).Excellent analytical, communication and problem-solving skills.Hardworking, passionate, energetic, organized, polished and sharp.Knowledge of the following will be considered a plus:Node JSConsumer Web Development Experience for High-Traffic, Public Facing web applicationsExperience with cloud technologies (Azure/AWS).NET core MVC .NET APIAWS (cognito)Ajax (strong grip on JQuery)SQL (Data)
Nice to Have: React JSLTI","IT Services and IT Consulting
            
              11-50 employees
            

              45 on LinkedIn",Reporteq ,Lahore," Lahore, Punjab, Pakistan ",On-site,,2 weeks ago,1,Full-time,Not specified,11-50 employees,Not specified
