Job Title,Job Info,Job Type,Job Link_x,employees,Job ID,Job Link_y,Job Desception,Company Info,company,location_1,location_2,Remote/Onsite,n_applicant,job posting time,Job Type nElements,Job-Type,Experience Level,Comp_N_Employees,Comp_Industry
Network & Desktop Support Engineer,"Hazen Technologies Inc · Lahore, Punjab, Pakistan  
1 week ago

 · 129 applicants","On-site

 
Full-time

 
Mid-Senior level",https://www.linkedin.com/jobs/view/3736183013,51-200 employees · IT Services and IT Consulting,3736183013,https://www.linkedin.com/jobs/view/3736183013,"About the job
            

 
Network & Desktop Support Engineer will beresponsible to monitor, maintain, support of all Network & Desktop equipment. The selected candidate will be tasked to provide support to all IT users, manage, monitor, and maintain all the wired/wireless network devices, firewalls and desktop and laptop computers based on the Hazen Technologies best practice guidelines. Monitoring, Configuration, Maintenance of Fortinet Firewalls, IPSec Client VPNs, Site to Site VPNs. Monitoring, Configuration, Maintenance of Endpoint Security Systems, Antivirus, Monitoring Agents. Monitoring, Configuration, Maintenance of Cisco Switches. Monitoring, Configuration, Maintenance of Cisco Wireless Controllers, Access Points. Provide hardware and software support for all desktop and laptop users. Improve, maintains and monitors network security by performing security reviews on the network Troubleshoots complex issues in network systems to identify root cause and debug malfunctions in network communications. Provide Support for Windows Operating Systems Providing support for Microsoft related technologies including Windows ServerAzure Office 365 & advance administration O365 platform VMware HyperV Support of remote access solutions VPN Remote Desktop 
Implements preventive measures to enhance network consistency, measurability, availability and security. Security Assessment for all software deployments. Investigates, recommends, and installs new technology enhancements and applies technical knowledge to enhance network availability and recovery form incidents. Implements data and network security through firewalls, UTM, IPS/IDS, ACS and VPN technologies. Diagnose & Repair Hardware like Laptop, Desktop Computers, Printers, Tablet and Mobile Devices Setup, Maintain and Monitor all Automated Alerts. Documentation for all related network diagrams. 
Qualifications And Education RequirementsMinimum Bachelors in Computer Science/ Telecommunication/ Network Security / Engineering or any relevant. 03 to 05 years of experienced resources are encouraged to apply.Preferred Qualifications/Skills Strong Knowledge of Windows OS, knowledge in Linux will be plus Firewalls, CISCO Routers Microsoft Azure CCNACCNPMicrosoft Certifications for Windows Servers ACLsCloud Security 
Powered by JazzHRDNUzpNy0II","IT Services and IT Consulting
            
              51-200 employees
            

              106 on LinkedIn",Hazen Technologies Inc ,Lahore," Lahore, Punjab, Pakistan  
1 week ago

 ",On-site,129,1 week ago,3,Full-time,Mid-Senior level,51-200 employees , IT Services and IT Consulting
Desktop Engineer,"Stewart Pakistan Private Limited · Lahore, Punjab, Pakistan  
6 days ago

 · 190 applicants","On-site

 
Full-time

 
Mid-Senior level",https://www.linkedin.com/jobs/view/3736617278,"501-1,000 employees · IT Services and IT Consulting",3736617278,https://www.linkedin.com/jobs/view/3736617278,"About the job
            

 
Key Responsibilities: Plan and implement Microsoft Intune and Autopilot strategy.Work closely with teams to define the company’s overall desktop strategy.Troubleshoot technical issues related to software or hardware and implement solutions. Create operating system images, operating system upgrades, patches, and deploy applications.Ensure the company remains secure and compliant by applying any needed security updates.Effectively communicate problems and their solutions to respective support teams.Work with global teams to deploy standard images.Keeping up with latest desktop technologiesMaintain global hardware standards for desktops and laptops.Assist with resolving tier-3 support incidents.Document, maintain and improve standard processes in desktop management.Resolve problems effectively and efficiently to minimize users’ disruptions.Create SCCM or Intune reports.
Requirements: 3 or more years of experience working with desktop imaging and application deployment.Proficiency with Microsoft support tools, such as but not limited to SCCM, Intune and Active Directory. – required.Advanced knowledge of patch management and software distribution. – requiredCritical thinker – Ability to recognize, analyze, and effectively solve problems in a timely and organized manner using industry best practices and procedures – required.Root cause identification and remediation on various hardware and software platformsBachelor’s degree or equivalent work experience and certificationsAbility to troubleshoot and interpret system logs.Working knowledge of encryption technologies like BitLocker and DLP solutionsWorking knowledge of Windows Active Directory and Group Policy is required.Ability to create custom GPO.Ability to install, configure & maintain Windows operating systems.Ability to automate tasks by scripting (PowerShell, VBScript, batch)Ability to configure the Registry and file system.Windows Server and VMWare experience is a plus.
Job Timings: 06:00 PM - 03:00 AM or 07:00 PM - 04:00 AM (Monday through Friday)","IT Services and IT Consulting
            
              501-1,000 employees
            

              348 on LinkedIn",Stewart Pakistan Private Limited ,Lahore," Lahore, Punjab, Pakistan  
6 days ago

 ",On-site,190,6 days ago,3,Full-time,Mid-Senior level,"501-1,000 employees ", IT Services and IT Consulting
Desktop Application Developer (Active Directory Integration in .Net),"CloudPSO · Islamabad, Islāmābād, Pakistan  
5 days ago

 · 70 applicants","Remote

 
Part-time

 
Executive",https://www.linkedin.com/jobs/view/3739817590,51-200 employees · IT Services and IT Consulting,3739817590,https://www.linkedin.com/jobs/view/3739817590,"About the job
            

 
This is a remote position. Design, develop, and maintain desktop applications that interact with Active Directory for data synchronization. Create secure and efficient data synchronization processes to ensure the seamless exchange of information. Collaborate with cross-functional teams to gather requirements and define integration strategies. Perform system testing, debugging, and troubleshooting to ensure the robustness and reliability of the applications. Document technical specifications, test cases, and user guides for the developed applications. Stay up-to-date with industry best practices and emerging technologies related to Active Directory and cloud integration. 
Requirements Proven experience in developing desktop applications that interact with Active Directory for data synchronization. Proficiency in C#, .Net Strong understanding of Active Directory structure, LDAP, and related protocols. Familiarity with cloud platforms, APIs, and authentication mechanisms. Knowledge of data security best practices and encryption techniques. Excellent problem-solving and debugging skills. Strong communication and teamwork abilities. Prior experience in the development of custom cloud applications is a plus. 
Working Conditions: Part-time, project-based role with a commitment of 4 hours per day. US based working hours, allowing you to coordinate work around your schedule. Potential for this position to evolve into an ongoing part-time role based on project needs and performance. 
Benefits Market Competitive Salary Friendly work environment Flexible work arrangements (Including remote work)","IT Services and IT Consulting
            
              51-200 employees
            

              13 on LinkedIn",CloudPSO ,Islamabad," Islamabad, Islāmābād, Pakistan  
5 days ago

 ",Remote,70,5 days ago,3,Part-time,Executive,51-200 employees , IT Services and IT Consulting
Desktop Support Engineer,"Hul Hub Pakistan · Karachi Division, Sindh, Pakistan  
20 hours ago

 · 36 applicants","On-site

 
Full-time

 
Entry level",https://www.linkedin.com/jobs/view/3745090078,201-500 employees · IT Services and IT Consulting,3745090078,https://www.linkedin.com/jobs/view/3745090078,"About the job
            

 
Desktop Support Engineer Job Description 1 st /2 nd Level support of internal customers for all IT related issues.Detailed tracking of each customer's service needs in JIRA based ticketing system.Follow-up with customers to ensure that all issues/needs have been resolved/met.Timely and accurate feedback of issues to customers and management to maintain the SLA of IT.Proactive monitoring and timely issue resolution of production systems.Proper escalation of issues to management and vendors according to established guidelines and policies.
Qualifications: Bachelor’s degree in computer science or information technology.4 to 5 years work experience in network
Job Specifications: Installation configuration Printers/Scanners and application support.Able to provide L1 Network Support and System Administration support as well.Working knowledge and experience of Microsoft Products and Windows based / MAC based applications.Strong problem solving and analytical Skills.Configuration of Cisco/Avaya/IP based Phones.Virtual Desktop Interface knowledge.Ability to acquire and maintain a working knowledge of a wide range of applications and systems. (Windows/Servers/MAC).Hands on Experience on Linux and Asterisx Server Willingness to work in the rotational shifts Microsoft Certified ( atleast MTP ) 
Perks & Benefits: Market competitive salary packageCareer growth opportunitiesHealth care benefitsProvident Fund & EOBISubsidized Transport facility (subject to availability)
Location:Karachi, Sindh - Pakistan","IT Services and IT Consulting
            
              201-500 employees
            

              23 on LinkedIn",Hul Hub Pakistan ,Karachi," Karachi Division, Sindh, Pakistan  
20 hours ago

 ",On-site,36,20 hours ago,3,Full-time,Entry level,201-500 employees , IT Services and IT Consulting
"Desktop Support Specialist, Trilogy (Remote) - $30,000/year USD","Crossover  · Karāchi, Sindh, Pakistan  
3 hours ago

 · 7 applicants","Remote

 
Full-time

 
Entry level",https://www.linkedin.com/jobs/view/3745942859,"5,001-10,000 employees · IT Services and IT Consulting",3745942859,https://www.linkedin.com/jobs/view/3745942859,"About the job
            

 
Crossover is the world's #1 source of full-time remote jobs. Our clients offer top-tier pay for top-tier talent. We're recruiting this role for our client, Trilogy. Have you got what it takes?Does this sound like you? Your friends and family call you to troubleshoot their technology problemsYou love learning new things, and the thought of learning new software is excitingYou are a puzzle-solver; whether that requires taking things apart to learn how they work or untangling a complex problem, you get to the bottom of itYou want to take your technical aptitude and turn it into a career
Welcome to the Customer Support team at Trilogy! We support over 100 unique enterprise software products - everything from mobile app development platforms to database load-balancers. We not only have the opportunity to learn, use, and support these products, we also become deep technical experts who can solve problems that no one has seen before.Trilogy is a comprehensive business platform, driving hundreds of software companies to become more efficient and profitable by streamlining business functions from development to product management and R&D – managed by the top 1% of global tech talent worldwide.Our best customer support agents are intelligent people who love to soak up new knowledge. They enjoy using their expertise to solve challenging customer problems. We make weekly investments in our team’s professional development that drives customer satisfaction and agent happiness.Trilogy consistently wows its customers with the quality of our support. We’re committed to hiring the top 1%, so you’ll work with people who challenge you. We’ve been fully remote from the start. While other companies were left playing catch-up due to COVID, our teams continue to operate as remote-work experts. Our communication systems and management style were built to optimize your work experience. Join our advanced technical support team to see how we’re transforming customer support.What You Will Be Doing Solving complex customer problems that our AI bot was unable to help them withAsking insightful questions that get to the root cause of the customer’s problemGenerating solutions using your product knowledge and our knowledge bases Spending 25% of your time learning about new products, features, & solutions
What You Won’t Be Doing Getting bored answering simple questions for the same product each dayWorking on easy or simple tickets, such as resetting passwordsWorking alone and avoiding live customer interactionAnalyzing, writing, or debugging source code
Desktop Support Specialist Key Responsibilities Take ownership of support incidents and use all available resources and knowledge to resolve themConsistently improve the quality of your work by internalizing the feedback and coaching you receive
Basic Requirements At least 2 years of experience in a technical customer support or entry-level engineering roleEnough coding experience to pass a basic coding test (i.e. bug fixes)Availability to work any shift we assign you
About TrilogyHundreds of software businesses run on the Trilogy Business Platform. For three decades, Trilogy has been known for 3 things: Relentlessly seeking top talent, Innovating new technology, and incubating new businesses. Our technological innovation is spearheaded by a passion for simple customer-facing designs. Our incubation of new businesses ranges from entirely new moon-shot ideas to rearchitecting existing projects for today's modern cloud-based stack. Trilogy is a place where you can be surrounded with great people, be proud of doing great work, and grow your career by leaps and bounds.There is so much to cover for this exciting role, and space here is limited. Hit the Apply button if you found this interesting and want to learn more. We look forward to meeting you!Working with CrossoverThis is a full-time (40 hours per week), long-term position. The position is immediately available and requires entering into an independent contractor agreement with Crossover. The compensation level for this role is $15 USD/hour, which equates to $30,000 USD/year assuming 40 hours per week and 50 weeks per year. The payment period is weekly. Consult www.crossover.com/help-and-faqs for more details on this topic.What to expect next: You will receive an email with a link to start your self-paced, online job application.Our hiring platform will guide you through a series of online “screening” assessments to check for basic job fit, job-related skills, and finally a few real-world job-specific assignments.
Important! If you do not receive an email from us: First, emails may take up to 15 minutes to send, refresh and check again.Second, check your spam and junk folders for an email from Crossover.com, mark as “Not Spam” since you will receive other emails as well.Third, we will send to whatever email account you indicated on the Apply form - by default, that is the email address you use as your LinkedIn username and it might be different than the one you have already checked.If all else fails, just reset your password by visiting https://www.crossover.com/auth/password-recovery if you already applied using LinkedIn EasyApply.
Crossover Job Code: LJ-3073-PK-Karāchi-DesktopSupport","IT Services and IT Consulting
            
              5,001-10,000 employees
            

              2,556 on LinkedIn",Crossover  ,Karāchi," Karāchi, Sindh, Pakistan  
3 hours ago

 ",Remote,7,3 hours ago,3,Full-time,Entry level,"5,001-10,000 employees ", IT Services and IT Consulting
C# Desktop Developer,"Tassaract · Karāchi, Sindh, Pakistan  
19 hours ago

 · 8 applicants","On-site

 
Full-time",https://www.linkedin.com/jobs/view/3745304233,11-50 employees,3745304233,https://www.linkedin.com/jobs/view/3745304233,"About the job
            

 
Company DescriptionTassaract is a leading software services provider that offers web design, web development and Android & IOS applications. Our competitive team of experts in design and development work tirelessly every day to help our customers grow to their fullest potential. Role DescriptionThis full-time, on-site C# Desktop Developer role is located in karachi. As a C# Desktop Developer, you will be responsible for developing desktop applications in C#. Your day-to-day tasks will include developing software features in accordance with design specifications, writing clean, efficient and well-documented code, debugging issues and testing the application to ensure consistent performance. Qualifications Experience developing desktop applications using C# and .NET FrameworkProficiency in software development tools and methodologies, including Visual Studio and GitExperience with SQL, relational databases and ORM tools like Entity FrameworkFamiliarity with software development best practices like clean code, testing and documentationExperience with front-end development tools such as HTML, CSS and Javascript is a plusBachelor's degree or higher in Computer Science, or a related fieldAbility to work collaboratively in a team environment and communicate effectively with both technical and non-technical stakeholders","IT System Custom Software Development
            
              11-50 employees
            

              16 on LinkedIn",Tassaract ,Karāchi," Karāchi, Sindh, Pakistan  
19 hours ago

 ",On-site,8,19 hours ago,2,Full-time,Not specified,11-50 employees,Not specified
"Desktop Support Specialist, Trilogy (Remote) - $30,000/year USD","Crossover  · Islamabad, Islāmābād, Pakistan Reposted  
1 month ago","Remote

 
Full-time

 
Entry level",https://www.linkedin.com/jobs/view/3745945136,"5,001-10,000 employees · IT Services and IT Consulting",3745945136,https://www.linkedin.com/jobs/view/3745945136,"About the job
            
 
Crossover is the world's #1 source of full-time remote jobs. Our clients offer top-tier pay for top-tier talent. We're recruiting this role for our client, Trilogy. Have you got what it takes?Does this sound like you? Your friends and family call you to troubleshoot their technology problemsYou love learning new things, and the thought of learning new software is excitingYou are a puzzle-solver; whether that requires taking things apart to learn how they work or untangling a complex problem, you get to the bottom of itYou want to take your technical aptitude and turn it into a career
Welcome to the Customer Support team at Trilogy! We support over 100 unique enterprise software products - everything from mobile app development platforms to database load-balancers. We not only have the opportunity to learn, use, and support these products, we also become deep technical experts who can solve problems that no one has seen before.Trilogy is a comprehensive business platform, driving hundreds of software companies to become more efficient and profitable by streamlining business functions from development to product management and R&D – managed by the top 1% of global tech talent worldwide.Our best customer support agents are intelligent people who love to soak up new knowledge. They enjoy using their expertise to solve challenging customer problems. We make weekly investments in our team’s professional development that drives customer satisfaction and agent happiness.Trilogy consistently wows its customers with the quality of our support. We’re committed to hiring the top 1%, so you’ll work with people who challenge you. We’ve been fully remote from the start. While other companies were left playing catch-up due to COVID, our teams continue to operate as remote-work experts. Our communication systems and management style were built to optimize your work experience. Join our advanced technical support team to see how we’re transforming customer support.What You Will Be Doing Solving complex customer problems that our AI bot was unable to help them withAsking insightful questions that get to the root cause of the customer’s problemGenerating solutions using your product knowledge and our knowledge bases Spending 25% of your time learning about new products, features, & solutions
What You Won’t Be Doing Getting bored answering simple questions for the same product each dayWorking on easy or simple tickets, such as resetting passwordsWorking alone and avoiding live customer interactionAnalyzing, writing, or debugging source code
Desktop Support Specialist Key Responsibilities Take ownership of support incidents and use all available resources and knowledge to resolve themConsistently improve the quality of your work by internalizing the feedback and coaching you receive
Basic Requirements At least 2 years of experience in a technical customer support or entry-level engineering roleEnough coding experience to pass a basic coding test (i.e. bug fixes)Availability to work any shift we assign you
About TrilogyHundreds of software businesses run on the Trilogy Business Platform. For three decades, Trilogy has been known for 3 things: Relentlessly seeking top talent, Innovating new technology, and incubating new businesses. Our technological innovation is spearheaded by a passion for simple customer-facing designs. Our incubation of new businesses ranges from entirely new moon-shot ideas to rearchitecting existing projects for today's modern cloud-based stack. Trilogy is a place where you can be surrounded with great people, be proud of doing great work, and grow your career by leaps and bounds.There is so much to cover for this exciting role, and space here is limited. Hit the Apply button if you found this interesting and want to learn more. We look forward to meeting you!Working with CrossoverThis is a full-time (40 hours per week), long-term position. The position is immediately available and requires entering into an independent contractor agreement with Crossover. The compensation level for this role is $15 USD/hour, which equates to $30,000 USD/year assuming 40 hours per week and 50 weeks per year. The payment period is weekly. Consult www.crossover.com/help-and-faqs for more details on this topic.What to expect next: You will receive an email with a link to start your self-paced, online job application.Our hiring platform will guide you through a series of online “screening” assessments to check for basic job fit, job-related skills, and finally a few real-world job-specific assignments.
Important! If you do not receive an email from us: First, emails may take up to 15 minutes to send, refresh and check again.Second, check your spam and junk folders for an email from Crossover.com, mark as “Not Spam” since you will receive other emails as well.Third, we will send to whatever email account you indicated on the Apply form - by default, that is the email address you use as your LinkedIn username and it might be different than the one you have already checked.If all else fails, just reset your password by visiting https://www.crossover.com/auth/password-recovery if you already applied using LinkedIn EasyApply.
Crossover Job Code: LJ-3073-PK-FederalC-DesktopSupport","IT Services and IT Consulting
            
              5,001-10,000 employees
            

              2,445 on LinkedIn",Crossover  ,Islamabad," Islamabad, Islāmābād, Pakistan Reposted  
1 month ago",Remote,,1 month ago,3,Full-time,Entry level,"5,001-10,000 employees ", IT Services and IT Consulting
"Desktop Support Specialist, Trilogy (Remote) - $30,000/year USD","Crossover  · Lahore, Punjab, Pakistan Reposted  
2 days ago

 · Over 200 applicants","Remote

 
Full-time

 
Entry level",https://www.linkedin.com/jobs/view/3745946288,"5,001-10,000 employees · IT Services and IT Consulting",3745946288,https://www.linkedin.com/jobs/view/3745946288,"About the job
            

 
Crossover is the world's #1 source of full-time remote jobs. Our clients offer top-tier pay for top-tier talent. We're recruiting this role for our client, Trilogy. Have you got what it takes?Does this sound like you? Your friends and family call you to troubleshoot their technology problemsYou love learning new things, and the thought of learning new software is excitingYou are a puzzle-solver; whether that requires taking things apart to learn how they work or untangling a complex problem, you get to the bottom of itYou want to take your technical aptitude and turn it into a career
Welcome to the Customer Support team at Trilogy! We support over 100 unique enterprise software products - everything from mobile app development platforms to database load-balancers. We not only have the opportunity to learn, use, and support these products, we also become deep technical experts who can solve problems that no one has seen before.Trilogy is a comprehensive business platform, driving hundreds of software companies to become more efficient and profitable by streamlining business functions from development to product management and R&D – managed by the top 1% of global tech talent worldwide.Our best customer support agents are intelligent people who love to soak up new knowledge. They enjoy using their expertise to solve challenging customer problems. We make weekly investments in our team’s professional development that drives customer satisfaction and agent happiness.Trilogy consistently wows its customers with the quality of our support. We’re committed to hiring the top 1%, so you’ll work with people who challenge you. We’ve been fully remote from the start. While other companies were left playing catch-up due to COVID, our teams continue to operate as remote-work experts. Our communication systems and management style were built to optimize your work experience. Join our advanced technical support team to see how we’re transforming customer support.What You Will Be Doing Solving complex customer problems that our AI bot was unable to help them withAsking insightful questions that get to the root cause of the customer’s problemGenerating solutions using your product knowledge and our knowledge bases Spending 25% of your time learning about new products, features, & solutions
What You Won’t Be Doing Getting bored answering simple questions for the same product each dayWorking on easy or simple tickets, such as resetting passwordsWorking alone and avoiding live customer interactionAnalyzing, writing, or debugging source code
Desktop Support Specialist Key Responsibilities Take ownership of support incidents and use all available resources and knowledge to resolve themConsistently improve the quality of your work by internalizing the feedback and coaching you receive
Basic Requirements At least 2 years of experience in a technical customer support or entry-level engineering roleEnough coding experience to pass a basic coding test (i.e. bug fixes)Availability to work any shift we assign you
About TrilogyHundreds of software businesses run on the Trilogy Business Platform. For three decades, Trilogy has been known for 3 things: Relentlessly seeking top talent, Innovating new technology, and incubating new businesses. Our technological innovation is spearheaded by a passion for simple customer-facing designs. Our incubation of new businesses ranges from entirely new moon-shot ideas to rearchitecting existing projects for today's modern cloud-based stack. Trilogy is a place where you can be surrounded with great people, be proud of doing great work, and grow your career by leaps and bounds.There is so much to cover for this exciting role, and space here is limited. Hit the Apply button if you found this interesting and want to learn more. We look forward to meeting you!Working with CrossoverThis is a full-time (40 hours per week), long-term position. The position is immediately available and requires entering into an independent contractor agreement with Crossover. The compensation level for this role is $15 USD/hour, which equates to $30,000 USD/year assuming 40 hours per week and 50 weeks per year. The payment period is weekly. Consult www.crossover.com/help-and-faqs for more details on this topic.What to expect next: You will receive an email with a link to start your self-paced, online job application.Our hiring platform will guide you through a series of online “screening” assessments to check for basic job fit, job-related skills, and finally a few real-world job-specific assignments.
Important! If you do not receive an email from us: First, emails may take up to 15 minutes to send, refresh and check again.Second, check your spam and junk folders for an email from Crossover.com, mark as “Not Spam” since you will receive other emails as well.Third, we will send to whatever email account you indicated on the Apply form - by default, that is the email address you use as your LinkedIn username and it might be different than the one you have already checked.If all else fails, just reset your password by visiting https://www.crossover.com/auth/password-recovery if you already applied using LinkedIn EasyApply.
Crossover Job Code: LJ-3073-PK-Lahore-DesktopSupport","IT Services and IT Consulting
            
              5,001-10,000 employees
            

              2,579 on LinkedIn",Crossover  ,Lahore," Lahore, Punjab, Pakistan Reposted  
2 days ago

 ",Remote,Over 200,2 days ago,3,Full-time,Entry level,"5,001-10,000 employees ", IT Services and IT Consulting
Desktop Support Engineer,"FPCL (FFBL Power Company Limited) · Karāchi, Sindh, Pakistan  
2 weeks ago

 · 51 applicants","On-site

 
Full-time",https://www.linkedin.com/jobs/view/3754545756,201-500 employees,3754545756,https://www.linkedin.com/jobs/view/3754545756,"About the job
            

 
NothingTips: Provide a summary of the role, what success in the position looks like, and how this role fits into the organization overall.Responsibilities[Be specific when describing each of the responsibilities. Use gender-neutral, inclusive language.]Example: Determine and develop user requirements for systems in production, to ensure maximum usabilityQualifications[Some qualifications you may want to include are Skills, Education, Experience, or Certifications.]Example: Excellent verbal and written communication skills","Oil and Gas
            
              201-500 employees
            

              374 on LinkedIn",FPCL (FFBL Power Company Limited) ,Karāchi," Karāchi, Sindh, Pakistan  
2 weeks ago

 ",On-site,51,2 weeks ago,2,Full-time,Not specified,201-500 employees,Not specified
Desktop Engineer,"Stewart Pakistan Private Limited · Lahore, Punjab, Pakistan  
2 weeks ago

 · Over 200 applicants","On-site

 
Full-time

 
Mid-Senior level",https://www.linkedin.com/jobs/view/3764041016,"501-1,000 employees · IT Services and IT Consulting",3764041016,https://www.linkedin.com/jobs/view/3764041016,"About the job
            
 
Key Responsibilities: Plan and implement Microsoft Intune and Autopilot strategy.Work closely with teams to define the company’s overall desktop strategy.Troubleshoot technical issues related to software or hardware and implement solutions. Create operating system images, operating system upgrades, patches, and deploy applications.Ensure the company remains secure and compliant by applying any needed security updates.Effectively communicate problems and their solutions to respective support teams.Work with global teams to deploy standard images.Keeping up with latest desktop technologiesMaintain global hardware standards for desktops and laptops.Assist with resolving tier-3 support incidents.Document, maintain and improve standard processes in desktop management.Resolve problems effectively and efficiently to minimize users’ disruptions.Create SCCM or Intune reports.
Requirements: 3 or more years of experience working with desktop imaging and application deployment.Proficiency with Microsoft support tools, such as but not limited to SCCM, Intune and Active Directory. – required.Advanced knowledge of patch management and software distribution. – requiredCritical thinker – Ability to recognize, analyze, and effectively solve problems in a timely and organized manner using industry best practices and procedures – required.Root cause identification and remediation on various hardware and software platformsBachelor’s degree or equivalent work experience and certificationsAbility to troubleshoot and interpret system logs.Working knowledge of encryption technologies like BitLocker and DLP solutionsWorking knowledge of Windows Active Directory and Group Policy is required.Ability to create custom GPO.Ability to install, configure & maintain Windows operating systems.Ability to automate tasks by scripting (PowerShell, VBScript, batch)Ability to configure the Registry and file system.Windows Server and VMWare experience is a plus.
Job Timings: 06:00 PM - 03:00 AM or 07:00 PM - 04:00 AM (Monday through Friday)","IT Services and IT Consulting
            
              501-1,000 employees
            

              352 on LinkedIn",Stewart Pakistan Private Limited ,Lahore," Lahore, Punjab, Pakistan  
2 weeks ago

 ",On-site,Over 200,2 weeks ago,3,Full-time,Mid-Senior level,"501-1,000 employees ", IT Services and IT Consulting
