Job Title,Job Info,Job Type,Job Link_x,employees,Job ID,Job Link_y,Job Desception,Company Info,company,location_1,location_2,Remote/Onsite,n_applicant,job posting time,Job Type nElements,Job-Type,Experience Level,Comp_N_Employees,Comp_Industry
Frontend Vue j.s developer,"HR Ways - Hiring Tech Talent · Lahore, Punjab, Pakistan (On-site)  
2 weeks ago",Full-time,https://www.linkedin.com/jobs/view/3727036192/?eBP=JOB_SEARCH_ORGANIC&refId=BxmWtiphDV%2FXh0pD%2Fk6fTA%3D%3D&trackingId=nLza1c2DsR3LK0YZ2DmIcQ%3D%3D&trk=flagship3_search_srp_jobs,11-50 employees,3727036192,https://www.linkedin.com/jobs/view/3727036192,"About the job
            

 
Job Description:HR Ways is a Tech Recruitment Company that helps candidates like yours, make it into world's & Pakistan's largest & Top Product platforms. With HR Ways, your recruitment process becomes seamless as we connect you with top employers for quick interviews and easier than ever on-boarding process. We also help you get the best deals and 360 Analysis of the company that you'd like to join. And oh, we recently placed Engineers in Emirates & Ebay!About the company we're hiring for Currently:We're actively recruiting for Product Designer for Leading a Silicon Valley-founded travel-tech company that is a trusted brand among travelers around the world. Founded in 1985 G1G is a resilient and adaptive organization that has gone through many stages in its 37 years of operations. Today, G1G plays at the intersections of travel, financial services, and technology. Go One Global has a unique product offering with both B2C and B2B customers. Job Role:Responsibilities and Duties: ● Translation of the UI/UX design wireframes to actual code that will produce visual elements of the application ● Develop new user-facing features ● Build reusable code and libraries for future use ● Ensure the technical feasibility of UI/UX designs ● Optimize application for maximum performance, speed and scalability ● Assure that all user input is validated before submitting to back-end ● Collaborate with other team members ● Staying up-to-date with all recent developments in the JavaScript space ● Keeping an eye on security updates and issues found in all project dependencies ● Proposing any upgrades and updates necessary for keeping up with modern security and development best practices ● Be a JavaScript WizRequirements: ● Highly proficient with the JavaScript language and its modern ES6+ syntax and features ● Proficient understanding of web markup, including HTML5, CSS3 ● Proficient understanding of server-side CSS pre-processing platforms, such as LESS and SASS ● Ability to write efficient, secure, well-documented, and clean JavaScript code ● Proficient understanding of client-side scripting and JavaScript frameworks, including jQuery ● Excellent understanding of the advanced JavaScript libraries and frameworks, such as ReactJS, VueJS, etc. ● Experience with Laravel and Laravel Blade ● Experience with Inertia.js and Laravel Livewire is a plus ● Good understanding of asynchronous request handling, partial page updates, and AJAX ● Proficient knowledge of image authoring tools, to be able to crop, resize, or perform small adjustments on an image, such as the Adobe Creative Suite (Photoshop, Illustrator, XD) or similar projects. Experience: 4-6 years (not more than that)Work Mode: onsite LahoreSalary: Market Competitive","Human Resources Services
            
              11-50 employees
            

              77 on LinkedIn",HR Ways - Hiring Tech Talent ,Lahore," Lahore, Punjab, Pakistan ",On-site,,2 weeks ago,1,Full-time,Not specified,11-50 employees,Not specified
Frontend Developer,"Marshmallow Advertising Pvt. Ltd. · Lahore, Punjab, Pakistan (On-site)  
1 week ago",Full-time,https://www.linkedin.com/jobs/view/3727546690,51-200 employees,3727546690,https://www.linkedin.com/jobs/view/3727546690,"About the job
            

 
We are looking for a qualified Front-end developer to join our IT team. You will be responsible for building the ‘client-side’ of our web applications. You should be able to translate our company and customer needs into functional and appealing interactive applications.Front End Developer Responsibilities:· Determining the structure and design of web pages.· Ensuring user experience determines design choices.· Developing features to enhance the user experience.· Striking a balance between functional and aesthetic design.· Ensuring web design is optimized for smartphones.Front End Developer Requirements:· Minimum 1 year of relevant experience. · Degree in computer science or related field.· Understanding of key design principles.· Proficiency in HTML, CSS, JavaScript, and jQuery.· Understanding of server-side CSS.· Experience with responsive and adaptive design.· Understanding of SEO principles.· Good problem-solving skills.· Excellent verbal communication skills.· Good interpersonal skills.Email your resume to be Careers@marshmallowadvertising.com","Advertising Services
            
              51-200 employees
            

              31 on LinkedIn",Marshmallow Advertising Pvt. Ltd. ,Lahore," Lahore, Punjab, Pakistan ",On-site,,1 week ago,1,Full-time,Not specified,51-200 employees,Not specified
Front-End Developer,"COSMO · Lahore, Punjab, Pakistan (On-site)  
1 week ago",Full-time,https://www.linkedin.com/jobs/view/3727310782,11-50 employees,3727310782,https://www.linkedin.com/jobs/view/3727310782,"About the job
            

 
About Us:Cosmo Inc is a dynamic marketing agency specializing in digital strategy, creative services, social media, paid media, e-commerce, advanced analytics, and crypto/NFT marketing. We empower businesses to soar to new heights by leveraging the latest digital trends and strategies, ensuring sustainable growth and success in an ever-evolving market.Role:As a Front-End Developer, you will play a crucial role in designing and implementing the user interfaces for our web applications. You will collaborate closely with our design and back-end development teams to create seamless and visually stunning web experiences. Your expertise in HTML/CSS, JavaScript, and associated technologies will be essential in building responsive, performant, and accessible web applications.Responsibilities: Creating and maintaining clean, semantic HTML and CSS code while using CSS pre-processors like SASS or LESS for styling.Implementing responsive design principles with frameworks like Bootstrap, Flexbox/Grid layouts, and employing CSS-in-JS solutions when working with React.Demonstrating a deep understanding of ES6+ features and using them to write asynchronous code, including AJAX, Fetch API, and client-side routing.Developing web applications with a component-based architecture using React, React hooks, and state management techniques(using context, useState, useReducer, etc.).Leveraging Node.js-based build tools (e.g., Webpack, Babel) and managing project dependencies with NPM or Yarn.Proficiently using Git for version control, including cloning, branching, merging, and pull requests.Implementing advanced performance optimization techniques such as code splitting, lazy loading, and asset optimization.Effectively fetching data from RESTful services and understanding GraphQL (using libraries like Apollo Client).Ensuring cross-browser compatibility and employing tools like BrowserStack or CanIUse.Integrating and working with state management libraries (e.g., Redux, MobX) and UI libraries (e.g., Material-UI, Ant Design).Implementing accessible web designs following WCAG guidelines and enhancing accessibility with ARIA roles.Creating engaging animations using CSS and JavaScript-based animation libraries like GreenSock.
Qualifications: Bachelor's degree in Computer Science or a related field (or equivalent work experience).3+ years of professional front-end development experience, with a proven track record of successful projects.A robust portfolio showcasing your work in web development, highlighting your technical skills and problem-solving abilities.Exceptional attention to detail, an analytical mindset, and a commitment to delivering high-quality code.Strong communication and collaboration skills, enabling effective teamwork and clear communication with cross-functional teams.A proactive approach to staying up-to-date with the latest web development trends, technologies, and best practices.
Additional Skills: Problem-solving aptitude.Experience in using accessibility testing toolsKnowledge of SEO best practices
Bonus Skills: Open-minded and keen to learn new things and grow with the teamFamiliarity with Web AssemblySkills in creating dynamic and interactive data visualizations
Soft Skills:Problem-Solving, Communication, Flexibility, Creativity, Ownership, CreativeSalary range: 175,000 Rs - 225,000 Rs per monthJob type:Full-timeLocation:Phase 6, DHA, LahoreBenefits of working with Cosmo: Opportunity to grow with a team of motivated professionalsService recognition bonuses and moreWeekly payUSD pegged salary
If you are interested in this opportunity, please apply using the link:https://forms.clickup.com/37245941/f/13gmzn-7765/JQGSP4UMEZUU3OATMIApplication Deadline:18th October 2023","Marketing Services
            
              11-50 employees
            

              54 on LinkedIn",COSMO ,Lahore," Lahore, Punjab, Pakistan ",On-site,,1 week ago,1,Full-time,Not specified,11-50 employees,Not specified
Front-End Developer,"Turing · Pakistan (Remote) Reposted  
2 weeks ago

 · 795 applicants",Full-time · Entry level,https://www.linkedin.com/jobs/view/3726338251,"1,001-5,000 employees · IT Services and IT Consulting",3726338251,https://www.linkedin.com/jobs/view/3726338251,"About the job
            

 
A fast-growing company that is on a mission to provide businesses with superior and distinctive security solutions, is looking for a Front-End Developer. The developer will be in charge of creating and upgrading frameworks and technologies that boost front-end engineers' development efficiency and productivity and satisfy the clients. The company uses technology to help build their revolutionary product while operating in stealth mode. This is an excellent opportunity for developers who are eager to work in a dynamic environment.Job Responsibilities: Create and implement the user interface, make sure web browsers can play videos smoothly, and incorporate the executable functionsWrite error-free programs that follow best practices and coding conventions while meeting the functional requirements at scaleWrite effective tests while looking into and fixing bugsDevelop innovative software, and create well-designed, tested, efficient code
Job Requirements: Bachelor’s/Master’s degree in Engineering, Computer Science (or equivalent experience)At least 3+ years of relevant experience as a front-end developerProlific experience working with HTML, CSS, and JavaScriptDemonstrable experience with Web DevelopmentExcellent spoken and written English communication skills","IT Services and IT Consulting
            
              1,001-5,000 employees
            

              1,985 on LinkedIn",Turing ,Pakistan, Pakistan ,Remote,795,2 weeks ago,2,Full-time,Entry level,"1,001-5,000 employees ", IT Services and IT Consulting
Front-End Developer,"Turing · Pakistan (Remote) Reposted  
1 week ago

 · 100 applicants",Full-time · Entry level,https://www.linkedin.com/jobs/view/3727534873,"1,001-5,000 employees · IT Services and IT Consulting",3727534873,https://www.linkedin.com/jobs/view/3727534873,About the job,,Turing ,Pakistan, Pakistan ,Remote,100,1 week ago,2,Full-time,Entry level,"1,001-5,000 employees ", IT Services and IT Consulting
Front-End Engineer,"Turing · Pakistan (Remote) Reposted  
1 week ago

 · 94 applicants",Full-time · Entry level,https://www.linkedin.com/jobs/view/3727540146,"1,001-5,000 employees · IT Services and IT Consulting",3727540146,https://www.linkedin.com/jobs/view/3727540146,"About the job
            

 
A U.S.-based company that is on a mission to develop cutting-edge payment technologies for businesses in the family services sector, is looking for a Front-End Engineer. The engineer will be in charge of creating technical designs depending on the requirements of the product. The company's finely tailored payment services are created for SaaS platforms servicing industries like education, healthcare, childcare, etc. During their Seed round, the company managed to secure $2.2mn+ in funding.Job Responsibilities: Create code that is clear, efficient, and free of redundancyProvide documentation before implementing ideas in a methodical and structured approachWith a focus on front-end technologies, own and develop scalable, reusable systems throughout the organization's technology architectureOffer other team members constructive criticism on their code reviews
Job Requirements: Bachelor’s/Master’s degree in Engineering, Computer Science (or equivalent experience)At least 3+ years of relevant experience as a front-end engineerProlific experience working with JavaScript and ReactSome understanding of Python and React Native is nice to haveGreat collaboration and team-building skillsFluent in spoken and written English communication","IT Services and IT Consulting
            
              1,001-5,000 employees
            

              1,985 on LinkedIn",Turing ,Pakistan, Pakistan ,Remote,94,1 week ago,2,Full-time,Entry level,"1,001-5,000 employees ", IT Services and IT Consulting
Front-End Engineer,"Turing · Pakistan (Remote) Reposted  
2 weeks ago

 · 60 applicants",Full-time · Entry level,https://www.linkedin.com/jobs/view/3726334631,"1,001-5,000 employees · IT Services and IT Consulting",3726334631,https://www.linkedin.com/jobs/view/3726334631,"About the job
            

 
A well-established pharmaceutical giant that has been revolutionizing the industry for over a century is looking for a Front-End Engineer. The engineer will be tasked with providing effective support for a number of projects. The company manufactures, distributes, and researches healthcare products that cater to the needs of a global customer base. This is an amazing opportunity for engineers who are eager to work with a multinational company.Job Responsibilities: Identify every stage of the software development process, including use-case study, development, debugging, and deploymentCreate front-end software solutions that provide simple, quick, and enjoyable web experiencesCreate and build software that is scalable, effective, and maintainedWrite well-organized, tested code that adheres to best practices
Job Requirements: Bachelor’s/Master’s degree in Engineering, Computer Science (or equivalent experience)At least 3+ years of relevant experience as a front-end engineerDemonstrable experience working with React and StreamlitSome knowledge of large components of the MLOps organizationExcellent spoken and written English communication skills","IT Services and IT Consulting
            
              1,001-5,000 employees
            

              1,985 on LinkedIn",Turing ,Pakistan, Pakistan ,Remote,60,2 weeks ago,2,Full-time,Entry level,"1,001-5,000 employees ", IT Services and IT Consulting
Manager Frontend App Development,"Jazz · Islamabad, Islāmābād, Pakistan (On-site)  
1 week ago",Full-time · Mid-Senior level,https://www.linkedin.com/jobs/view/3727906134,"1,001-5,000 employees · Telecommunications",3727906134,https://www.linkedin.com/jobs/view/3727906134,"About the job
            

 
Grade Level: L3 Location: Islamabad Last date to apply: 6 October 2023 What is Manager Frontend App Development? This position will be reporting to Head of Jazzcash Technology. The role will be responsible to lead Front end Development (IOS/Android) team that currently comprises of 10 + people. The role is responsible for delivering challenging technology landscapes. The leader will have in depth knowledge of Digital app developments for Financial services industry. The individual should have proven record of accomplishment of App development projects ,architecture and solution designing, people management and stakeholder management skills; these skills are the cornerstone for this job role. What does Manager Frontend App Development do?Key responsibilities  Design and build advanced applications for the JazzCash Android/IOS ApplicationCollaborate with cross-functional teams to define, design, and ship new featuresWork with outside data sources and APIsUnit-test code for robustness, including edge cases, usability, and general reliabilityWork on bug fixing and improving application performanceContinuously discover, evaluate, and implement new technologies to maximize development efficiencyResponsible to efficiently assign the on going tasks in Squad and Sprint model. 
 Key Deliverables  UI/UX as per prototypes providedDevelopment as per solution designed and providedUnit TestingBeta TestingWorkable application without bugs and crashes. Timely delivery of App Sprints Optimizations of App Builds Ensure quality of deliveryEnsure team is fully equipped with required skill set of developers and tools.
 
 Jazz is an equal opportunity employer. We celebrate, support, and thrive on diversity and are committed to creating an inclusive environment for all employees.RequirementsWhat are we looking for and what does it require to be *Manager DFS Architecture & Planning*?  Minimum bachelor's in software engineering or Equivalent.8+ years of Experience in Mobile Financial Services industry including Hands on experience with IT and Mobile financial systems Architecture designing. Experience with handling and designing Web Services, enterprise service bus, APIs & associated orchestrations and Integrations.Good knowledge of micro-services-based architecture, streaming and cachingGood understanding of Software Development. Experience on Agile Development & DevOps practices. Hands on experience will be preferred. Hands-on with SQL & similar DatabasesProven track-record with new products delivery and working closely with product design teams.Knowledge of Version Control System (Git)Experience in test driven development, continuous Integration and DeploymentExperience with Multi-Vendor Management. Knowledge of Planning & Budgeting.People management. Supporting team members to grown and deliver. Good with tasks delegation and tracking. Candid with feedback. Fair with people's evaluation.Good with verbal and written communication. Managing internal business teams and internal technical service providers is a large portion of this role.Self-driven, confident and result oriented.
BenefitsWhy Join Jazz?As one of the leading employers in the country, Jazz epitomizes the philosophy that each Jazz employee is passionately living a better every day inspired and enabled by visionary leadership, a unique professional culture, a flourishing lifestyle, and continuous learning and development.Our core values include qualities essential for a positive organizational culture - truthfully guiding entrepreneurial and innovative mindsets, harnessing professional and interpersonal collaboration, and fostering across-the-board customer-obsession.As one of the largest private sector organizations in Pakistan, our objective is to continue to change the lives of our 75 million customers for the better. This is an opportunity for someone who wants to be part of something transformative, someone who can play a critical role in driving our success. Together, we can empower millions more with the tools necessary to progress in an increasingly digital economy.","Telecommunications
            
              1,001-5,000 employees
            

              11,857 on LinkedIn",Jazz ,Islamabad," Islamabad, Islāmābād, Pakistan ",On-site,,1 week ago,2,Full-time,Mid-Senior level,"1,001-5,000 employees ", Telecommunications
Front-End Software Engineer,"Turing · Pakistan (Remote) Reposted  
1 week ago

 · 104 applicants",Full-time · Entry level,https://www.linkedin.com/jobs/view/3728826214,"1,001-5,000 employees · IT Services and IT Consulting",3728826214,https://www.linkedin.com/jobs/view/3728826214,"About the job
            

 
A rapidly-growing company that is on a mission to develop revolutionary AI technology solutions to transform the LLM market, is looking for a Front-End Software Engineer. The engineer will be in charge of troubleshooting software and debugging the application code to ensure the platform's smooth operation. The company is offering businesses automated testing, evaluation, and deployment options so they can quickly check for LLMs that are ready for production. This is an exciting opportunity for candidates pursuing incredible professional development and growth opportunities.Job Responsibilities: Ensure the SaaS dashboard project is responsive and optimizedBuild key product features by integrating APIs and back-end functionality into the front-end of the AI productDevelop and manage the product's front-end components as well as data visualization and analytics featuresImplement key features and user-friendly interfaces for an AI developer tools product in collaboration with product owners and UI/UX designers
Job Requirements: Bachelor’s/Master’s degree in Engineering, Computer Science (or equivalent experience)At least 3+ years of relevant experience as a front-end engineerDemonstrable experience working with TypeScript Extensive experience with front-end frameworks like React, Next.js, and Tailwind CSSIn-depth knowledge of OpenAPI specifications or RESTful APIs is desirableSolid comprehension of UI/UX principles and responsive designProlific understanding of data visualization and charting librariesDemonstrable experience working with GitHub and VercelFamiliarity with SQL databases like PostgreSQL and Supabase at an advanced levelNice to have some knowledge of Python FastAPI or Node.jsPrior knowledge of generative AI, including LLM development using OpenAI, ChatGPT, LangChain, etc. is desirableAbility to work both independently and collaborativelyExcellent product sense, communication, and teamwork abilitiesHave an eye for detail and deliver high-quality codeAgility to pick up new skills and frameworksPrevious contract or full-time employment at a top tech startup or organization Prior experience working in front-end development or similar positionsExcellent conversational and written English communication skills","IT Services and IT Consulting
            
              1,001-5,000 employees
            

              1,985 on LinkedIn",Turing ,Pakistan, Pakistan ,Remote,104,1 week ago,2,Full-time,Entry level,"1,001-5,000 employees ", IT Services and IT Consulting
Front End Shopify Developer,"Uptox · Faisalabad, Punjab, Pakistan (On-site)  
1 week ago

 · 40 applicants",Full-time,https://www.linkedin.com/jobs/view/3602326133,1-10 employees,3602326133,https://www.linkedin.com/jobs/view/3602326133,"About the job
            

 
The ideal candidate will be responsible for designing, developing, testing, and debugging responsive web and mobile applications for the company. This candidate can translate user and business needs into functional front-end design using JavaScript, HTML, and CSS.Note: This is onsite Position.Responsibilities:- Designing, developing, and testing UI for mobile and web applicationsBuild reusable code and libraries for future useAccurately translate user and business needs into functional frontend code
Qualifications:- Bachelor's degree or equivalent in Computer Science2+ years' experience in Shopify, and frontend developmentFamiliarity using Scrum/Agile development methodologiesExperience building object-oriented web applications in JavaScript, HTML5, and CSS3.A positive and upbeat attitude with the ability to learn quicklyProficiency in JAVASCRIPT, JQUERY, and AJAX (preferred)","IT Services and IT Consulting
            
              2-10 employees
            

              4 on LinkedIn",Uptox ,Faisalabad," Faisalabad, Punjab, Pakistan ",On-site,40,1 week ago,1,Full-time,Not specified,1-10 employees,Not specified
