Job Title,Job Info,Job Type,Job Link_x,employees,Job ID,Job Link_y,Job Desception,Company Info,company,location_1,location_2,Remote/Onsite,n_applicant,job posting time,Job Type nElements,Job-Type,Experience Level,Comp_N_Employees,Comp_Industry
Full Stack Developer,"ScaleX · Islamabad, Islāmābād, Pakistan (On-site)  
2 weeks ago

 · 51 applicants",Full-time,https://www.linkedin.com/jobs/view/3723979436,1-10 employees,3723979436,https://www.linkedin.com/jobs/view/3723979436,"About the job
            

 
Job Description: Full Stack Developer with Product Management FocusLocation: F-11 Islamabad (On-site)About ScaleX:ScaleX is an accelerator that launches emerging market founders onto the global stage. Through personalized coaching and an execution-oriented approach, we determine the startups’ pain points and provide them with strategy and growth services to empower them for international success. To learn more visit: https://scalex.co/ We are seeking a talented Full Stack Developer with a keen interest in product management to join our team. This role emphasizes collaboration and the opportunity to transition into a product management role over time.Role Overview: As a Full Stack Developer aspiring towards a product management role, you will be responsible for turning our design and product visions into functional, user-friendly applications. You will work closely with cross-functional teams, ensuring a seamless user experience, and actively participate in MVP development as a developer.Key Responsibilities: Collaborate with design and product management teams to translate concepts, wireframes, and codes into high-quality products.Develop and maintain web and mobile applications, focusing on optimal performance, responsiveness, and engagement.Continuously monitor and enhance the user experience, proactively identifying and resolving issues.Work closely with UX/UI teams to create user-centric and intuitive products.Collaborate with stakeholders to define product requirements and specifications.Conduct code reviews, troubleshoot, and optimize the existing codebase.Assist in creating product documentation, including user guides, release notes, and feature documentation.Actively participate in product strategy discussions, contributing technical expertise and insights.
Qualifications and Skills: Bachelor's degree in Computer Science, Software Engineering, or a related field.3 years’ experience as a Full Stack Developer, with exposure to web and mobile application development in a tech startup or similar environment.Some experience working in a product management capacity or closely with the product team is preferred.Proficiency in front-end technologies like HTML, CSS, JavaScript, and modern JS frameworks.Strong back-end development skills using languages such as Python, Node.js, or Ruby.Experience with databases, storage solutions, and knowledge of cloud computing platforms.Familiarity with design tools such as Figma, Adobe Creative Suite, WordPress, or similar.Familiarity with Agile or Scrum methodologies and understanding of the product development lifecycle.Excellent communication skills and adaptability in a fast-paced startup culture, embracing challenges with enthusiasm.A passion for clean, maintainable, and efficient code, with a background bridging development and product teams.
To apply for the Full-Stack Developer position, kindly include live website links and apps you have worked on and developed in your CV.","Venture Capital and Private Equity Principals
            
              2-10 employees
            

              7 on LinkedIn",ScaleX ,Islamabad," Islamabad, Islāmābād, Pakistan ",On-site,51,2 weeks ago,1,Full-time,Not specified,1-10 employees,Not specified
Full Stack Dotnet Developer,"ENUM · Karāchi, Sindh, Pakistan (On-site)  
2 weeks ago",Full-time,https://www.linkedin.com/jobs/view/3727012446/?eBP=JOB_SEARCH_ORGANIC&refId=jmMswOtzz783%2BgVSnLZKfg%3D%3D&trackingId=hP0TXG9n%2FixuZZ8xSnbYbw%3D%3D&trk=flagship3_search_srp_jobs,51-200 employees,3727012446,https://www.linkedin.com/jobs/view/3727012446,"About the job
            

 
Experience: 2-3 yearsResponsibilities:  Develop efficient and scalable backend web applications using .NET and .NET Core and C#. Experience in ASP.Net webform , C# including good exposure in SQL server, JQuery and Boorstrap,windows service and SOAP webservice, .Net SOAP webservices, .Net Windows Services, SQL Server, SSRS Reports, JSON, JavaScript, Rest ServicesLead and mentor a team of technical professionals in the successful completion of projects using Nintex/K2 Workflow System and DotNet/Robotics Process Automation.Develop and maintain project plans, timelines, and ensure timely delivery of project deliverables.Monitor and report project progress to stakeholders, and ensure timely and effective communication of project status.Collaborate with client and cross-functional teams to gather requirements and define project scope and objectives.Design and develop custom solutions (where required) using DotNet/Nintex/K2 Workflow System/Robotics Process AutomationOptimize application for maximum speed and scalability.Collaborate with other team members and stakeholdersUnderstanding performance testing and optimization techniques.Maintain and manage a cohesive front-end framework as you make updates and add features to the UIs.Provide technical guidance and support to team members, and assist in resolving complex technical issues.Database development including MYSQL or SQL Server.Ensure the quality of project deliverables through testing, debugging, and performance tuning.Manage project risks and issues, and escalate as necessary to ensure timely resolution.Be willing to travel as needed to client sites, international (25-30%)
Requirements and Qualifications Must have a Bachelor’s degree in Computer Science or equivalent.Experience in, CSS, HTML, JavaScript, jQuery, and 3rd party libraries and frameworks is a plusComprehensive experience using Visual Studio and Visual Studio Code.Deep understanding of .Net Framework 4.7, .Net Core 3.1.Demonstrated experience in Web development using ASP.NET MVC, C#, and the Entity Framework.Experience with Microsoft SQL Server Database/MySQL Database to write queries, functions, and stored procedures.Write clean, scalable code using .NET programming languages.Strong Analytical and Problem-Solving Skills.Good Team Player, Quick Learner, and Communication Skills.Furthermore, being proficient in programming languages in HTML, CSS, JavaScript, Ruby, PHP, and Python.","Information Technology & Services
            
              51-200 employees
            

              29 on LinkedIn",ENUM ,Karāchi," Karāchi, Sindh, Pakistan ",On-site,,2 weeks ago,1,Full-time,Not specified,51-200 employees,Not specified
Full Stack Engineer,"ID-ware · Islamabad, Islāmābād, Pakistan (On-site)  
2 weeks ago",Full-time,https://www.linkedin.com/jobs/view/3727017713/?eBP=JOB_SEARCH_ORGANIC&refId=VYAhQlpawkFJ%2BtZBW0XGJg%3D%3D&trackingId=ZMyPD%2FYpI%2FdZx9%2FSkQJr2Q%3D%3D&trk=flagship3_search_srp_jobs,51-200 employees,3727017713,https://www.linkedin.com/jobs/view/3727017713,"About the job
            

 
Job Title:Full Stack DeveloperEducational Background:Bachelor/Master’s degree in computer or software related field Work Experience:At least 2-3 years of experience in related field Job Duties/Responsibilities: • Minimum of 2+ years of relevant development experience in .Net• Working experience of at least 3 years in writing complex queries in SQL• Good working experience in ORMs• Will be responsible for development (create applications from scratch, configure existing systems), support and maintenance of applications• Responsible for analysis, design, coding, testing & implementation of software deliverable in a fast-paced environment• A solid understanding of how desktop/web applications work including security, session management, and best development practices• Capable of investigating and developing skills in new technologies• Work with standard tools such as Visual Studio, GIT, SourceTree, Jira, SQL Management Studio• Good understanding of SOLID design principles• Have knowledge about Windows Desktop Application Development in C#• Must be a quick learner and a good troubleshooter• Analytical and problem solving and able to work in a team-oriented environment Job Requirements:• Experience in C# .Net Core, Web API, ASP.NET MVC, WCF Web Services, WPF ASP.NET MVC, Web Services, Entity Framework, LINQ, JavaScript, jQuery, Angular, HTML, CSS, Responsive Design, Json and XML• Knowledge about GIT/ TFS• Knows SQL Server query optimization and stored procedures What do we offer:• A career-oriented position in a rapidly growing company• Opportunity to work with multinational clients in an international environment• Be a part of an international team• Opportunities to further develop your skills by participating in company sponsored internal or external technical courses","Computer and Network Security
            
              51-200 employees
            

              79 on LinkedIn",ID-ware ,Islamabad," Islamabad, Islāmābād, Pakistan ",On-site,,2 weeks ago,1,Full-time,Not specified,51-200 employees,Not specified
Full Stack Engineer - AI expert,"Avantduo · Pakistan (Remote)  
2 weeks ago",Full-time,https://www.linkedin.com/jobs/view/3727009176/?eBP=JOB_SEARCH_ORGANIC&refId=xUVZjvBRJ21TnPMV%2F%2Flt6w%3D%3D&trackingId=Ck2tjoQSMYTeurbYlqwd0w%3D%3D&trk=flagship3_search_srp_jobs,11-50 employees,3727009176,https://www.linkedin.com/jobs/view/3727009176,"About the job
            

 
Our client is an Australia based, disruptive global technology business converting the traditional packaging industry to fit the needs of the digital society and the changing planet. They are packaging experts and technology entrepreneurs distributed across the world yet working as a whole. As a Full Stack Senior Software Engineer you will be working within our excellent engineering team on features that expand the boundaries of the industry and help spread our mission globally. Candidates with a strong background in Artificial Intelligence (AI) would be preferred.You will be: Working in agile development processWriting front-end application codeDeveloping the platform business logicWorking with AWS cloud servicesWriting unit and integration tests
Requirements: 5+ years of proven work experience as a Full-Stack Software Engineer ( that's a must!)Strong experience developing web applicationsStrong knowledge of relational and non relational databasesStrong experience with test-driven developmentStrong communication skills, specifically in EnglishGreat attention to detail
Technical experience, preferred: Artificial Intelligence AITypeScript / JavaScriptVue.jsGoLangSQL databases (PostgreSQL)
Other valued experience: ReactPythonNoSQL databasesLangchain LLMGPTOpenAI APIVertexAIDevOps stack (Docker, Ansible, Terraform, AWS)ElasticSearchNodeJSJavaC++Functional languages (Clojure, Elixir, Haskell or Scala)","Technology, Information and Media
            
              11-50 employees
            

              9 on LinkedIn",Avantduo ,Pakistan, Pakistan ,Remote,,2 weeks ago,1,Full-time,Not specified,11-50 employees,Not specified
Full stack Developer (Mid-Level),"WonderTech · Karāchi, Sindh, Pakistan (Hybrid)  
2 weeks ago

 · 51 applicants",Full-time,https://www.linkedin.com/jobs/view/3727016124/?eBP=JOB_SEARCH_ORGANIC&refId=xUVZjvBRJ21TnPMV%2F%2Flt6w%3D%3D&trackingId=RYdWhBjoeeYozwt4XVy9wg%3D%3D&trk=flagship3_search_srp_jobs,11-50 employees,3727016124,https://www.linkedin.com/jobs/view/3727016124,"About the job
            

 
We're seeking a Mid-Level Full Stack Developer to join WonderTech.If you're passionate about Node.js, React, MySQL, Git, DevOps, and want to work on cutting-edge projects, read on.Responsibilities: Develop web apps with Node.js and ReactDesign MySQL databasesImplement CI/CD pipelinesWrite clean, documented codeTroubleshoot software issues
Requirements: Bachelor's in CS or related fieldNode.js, React, JavaScript expertiseMySQL, Git, DevOps familiarityStrong problem-solving skillsGreat communication and teamwork
Nice-to-Have: Docker experienceCloud platform knowledgeOpen-source contributions/portfolio","IT Services and IT Consulting
            
              11-50 employees
            

              19 on LinkedIn",WonderTech ,Karāchi," Karāchi, Sindh, Pakistan ",Hybrid,51,2 weeks ago,1,Full-time,Not specified,11-50 employees,Not specified
Full Stack Engineer (MERN STACK),"Teraception · Lahore, Punjab, Pakistan (On-site)  
2 weeks ago",Full-time,https://www.linkedin.com/jobs/view/3727036336/?eBP=JOB_SEARCH_ORGANIC&refId=reEeSXQll75rltawvtA8Xg%3D%3D&trackingId=ZdJT9XlUjkM3y3GJY8aONQ%3D%3D&trk=flagship3_search_srp_jobs,11-50 employees,3727036336,https://www.linkedin.com/jobs/view/3727036336,"About the job
            

 
We are looking for an experienced and motivated individual who has 1-2 years of experience in MERN Stack (Experience must be with Full-Stack and from industry only,)Experience required: 1-2 years (from a software house)Location: Gulberg V, Lahore.(This is not a remote job) (Less than 1 year of experience in MERN will not be considered for this job)(Please apply only if you are currently in Lahore because you'll be required for an on-site Assessment test and interview, these won't taken online)We offer:Medical coverageProvident fundEOBIPunctuality bonusReferral bonusInterest-free loanCompany provided laptopsGreen AllowanceQuarterly bonuses (Performance-based)Bi-annual tripsLeave encashmentPaid Over-timeGaming and pizza nights every other weekMonthly dinners and much more...but most importantly..We offer an environment that is supportive, transparent and fun to work in.Requirements 1-2 years of prior experience with Node.JS.Strong knowledge of frameworks and Libraries like React.JS, React Native, Next.JS.Strong understanding of HTTP protocol, Web, Data Structure, OOP and Algorithms.Solid grip on MongoDB, Sequelize, Express.js, Javascript, CSS, Database, Javascript.Strong knowledge of React.js, ReactRouter, Redux, MaterialUI, JSS. Styled components and Bootstrap.Good Self learner and not reluctant to learn new technologies and tools.Should be able to understand and modify existing codebase.","Software Development
            
              11-50 employees
            

              24 on LinkedIn",Teraception ,Lahore," Lahore, Punjab, Pakistan ",On-site,,2 weeks ago,1,Full-time,Not specified,11-50 employees,Not specified
Full Stack Developer,"Meta Melon Official · Lahore, Punjab, Pakistan (On-site)  
1 week ago",Full-time,https://www.linkedin.com/jobs/view/3703016232/?eBP=JOB_SEARCH_ORGANIC&refId=n1BxF49FoRzpjWVR5WqmKw%3D%3D&trackingId=CvCv24%2Fnv1KEwf1BVZQm6w%3D%3D&trk=flagship3_search_srp_jobs,51-200 employees,3703016232,https://www.linkedin.com/jobs/view/3703016232,"About the job
            

 
Job Type: Full-timeTimings: 10:00 AM to 7:00 PMResponsibilities:Design and develop web applications using React TypeScript, HTML, and CSSCollaborate with cross-functional teams to define, design, and ship new featuresParticipate in code reviews, testing, and debugging of software to ensure high-quality code and to identify and resolve issuesDevelop reusable code and libraries for future useWrite clean, scalable, and maintainable code that conforms to React best practicesEnsure the technical feasibility of UI/UX designsOptimize application for maximum speed and scalabilityStay up-to-date with emerging trends in web development and programming languagesImplement automated testing and continuous integration to ensure quality and rapid deploymentParticipate in project planning and estimation, and provide technical guidance and recommendationsCommunicate project progress and deliverables to the project manager and stakeholdersContribute to the development of technical documentation and user manualsHaving Knowledge of database managementDeploying applications to web serverMonitoring application performanceIdentifying and resolving issuesRequirements:Bachelor's degree in computer science or relevant experienceMinimum 5 years of working experience as a React.JS DeveloperExperience with RESTful APIs, Node.js, and database technologiesExperience with Database like Schama or Schemaless;Familiarity with Agile methodologies and development practicesStrong problem-solving and analytical skillsExcellent written and verbal communication skillsExperience with Git and version controlExperience with responsive design and cross-browser compatibilityFamiliarity with UI/UX design principles and design tools such as Sketch or FigmaKnowledge of performance optimization techniquesExperience with Blockchain Web3 and cloud platforms such as AWSSalary: Rs100,000.00 - Rs120,000.00 per monthAbility to commute/relocate:Lahore: Reliably commute or planning to relocate before starting work (Required)Application Question(s): Are you comfortable to come Johar Town?","Blockchain Services
            
              51-200 employees
            

              21 on LinkedIn",Meta Melon Official ,Lahore," Lahore, Punjab, Pakistan ",On-site,,1 week ago,1,Full-time,Not specified,51-200 employees,Not specified
Full Stack Developer (.Net & Angular),"Xeven Solutions · Lahore, Punjab, Pakistan (On-site)  
2 weeks ago",Full-time,https://www.linkedin.com/jobs/view/3727008391/?eBP=JOB_SEARCH_ORGANIC&refId=N%2F3m%2F9EChkBavkNrBDQXLg%3D%3D&trackingId=ZaVOcV2tuJqdYoylayl5YQ%3D%3D&trk=flagship3_search_srp_jobs,51-200 employees,3727008391,https://www.linkedin.com/jobs/view/3727008391,"About the job
            

 
Xeven Solutions Lahore is looking for .NET Angular developers who will be participating in all project phases, creating and developing solution options against design proactively improving design and architecture, developing and maintaining cloud-based services and applications, and collaborating with a diverse scrum project team. 𝗥𝗲𝗾𝘂𝗶𝗿𝗲𝗺𝗲𝗻𝘁𝘀: • 1 – 8 years of experience working with the .NET framework/C# development and the technology stack, e.g., C#, .NET Core, REST API, MVC APIs, JSON, REST, MVC, Ajax, and Asynchronous Programming, REST Service Architecture • Knowledge or experience in Microsoft Azure and Angular, Javascript, Knockout, or React • Experience with MS Azure Services with Developing, Deploying, and configuring Azure Web Apps, Azure App Services, Azure Functions, Azure web jobs, etc., using Visual Studio • Experience in developing and hosting REST API using Azure API Management, Swagger, and integration with Azure web apps. • Working knowledge and experience in Micro-Service Programming model, SOA, Service Fabric • At least 2 years working in Agile methodology • Knowledge or experience in test-driven development • Bachelor’s Degree in Computer Science, Computer Engineering, MIS or related field preferred • Experience crafting and implementing high-performance RESTful micro-services serving millions of requests a day • Fluency in any one database technology (e.g., RDBMS like Postgres/SQL Server and/or NoSQL like DynamoDB or Cassandra) • Broad knowledge and understanding of the SaaS, PaaS, and IaaS industry with hands-on experience with public cloud offerings (AWS, GAE, Azure) • Experience in O365 programming, PowerApps, PowerShell, and SharePoint Online will be a huge advantage.","IT Services and IT Consulting
            
              51-200 employees
            

              194 on LinkedIn",Xeven Solutions ,Lahore," Lahore, Punjab, Pakistan ",On-site,,2 weeks ago,1,Full-time,Not specified,51-200 employees,Not specified
full stack developer,"designprintnyc · Islamabad, Islāmābād, Pakistan (On-site)  
2 weeks ago",Full-time,https://www.linkedin.com/jobs/view/3727879808/?eBP=JOB_SEARCH_ORGANIC&refId=N%2F3m%2F9EChkBavkNrBDQXLg%3D%3D&trackingId=5%2Fat4Axvc8gUMWfUHIJwqg%3D%3D&trk=flagship3_search_srp_jobs,See how you compare to 7 applicants. Reactivate Premium,3727879808,https://www.linkedin.com/jobs/view/3727879808,"About the job
            

 
Job Title: Custom Full Stack Developer Company: Direct2SuccessLocation: IslamabadWorking Hours: Full-time, 8 Hours Per dayEmail:d2sitsolutions@gmail.comCompany DescriptionDirect2success Inc. offers IT Solutions and Services such as Digital Marketing services, Web Development services, Graphics designing services, and SEO services with unique and best possible results for its clients. The company is an internationally renowned Digital Marketing Agency in NYC and an E-commerce Consulting agency.Role DescriptionThis is a full-time on-site role for a Custom Full Stack Developer located in Islamabad. As a Custom Full Stack Developer, you will be responsible for building the frontend and backend architecture for web applications. Working closely with cross-functional teams, you will also design, build, and maintain custom plugins or APIs based on business requirements and objectives.Join our dynamic team as a Custom Full Stack Developer and bring your skills to the forefront of innovation! Required Skills and Qualifications:- Minimum of 5 years hands-on experience in crafting large-scale software applications.- Proficiency in web application development.- Proven expertise in designing and seamlessly integrating RESTful APIs.- Familiarity with Ruby, Java/JRuby, React, and JavaScript.- Exceptional debugging and optimization capabilities.- Strong background in unit and integration testing.Preferred Skills and Qualifications:- Bachelor's degree in computer science, information technology, or engineering (or equivalent).- Enthusiasm for embracing new tools, languages, workflows, and development philosophies.- Professional certification coupled with a solid five years of practical experience.If you're ready to take your career to the next level and thrive in a challenging yet rewarding environment, apply now! Join us in shaping the future of software development. Your journey begins here. Share your resume at: d2sitsolutions@gmail.com.Contact Information:Company: Direct2SuccessEmail:d2sitsolutions@gmail.com",,designprintnyc ,Islamabad," Islamabad, Islāmābād, Pakistan ",On-site,,2 weeks ago,1,Full-time,Not specified,Not specified,Not specified
Full Stack Engineer,"Zenith innovations · Rawalpindi, Punjab, Pakistan (On-site)  
1 week ago",Full-time,https://www.linkedin.com/jobs/view/3728302196/?eBP=JOB_SEARCH_ORGANIC&refId=N%2F3m%2F9EChkBavkNrBDQXLg%3D%3D&trackingId=EEGnbhjcnZk7WEMzRm3%2BzA%3D%3D&trk=flagship3_search_srp_jobs,11-50 employees,3728302196,https://www.linkedin.com/jobs/view/3728302196,"About the job
            

 
Position Overview:We are seeking a highly skilled and experienced Full Stack .NET Engineer to join our dynamic and innovative development team. As a Full Stack .NET Engineer, you will be responsible for designing, developing, and maintaining robust and scalable web applications using Microsoft technologies. The ideal candidate has a strong background in both front-end and back-end development and possesses a deep understanding of the .NET framework.Key Responsibilities:1. Design and develop web applications using the .NET framework, including both front-end and back-end components.2. Collaborate with cross-functional teams to gather and analyze business requirements, translate them into technical specifications, and implement solutions.3. Write clean, efficient, and maintainable code following industry best practices and coding standards.4. Conduct thorough testing and debugging to ensure the quality and performance of applications.5. Optimize applications for maximum speed and scalability.6. Participate in code reviews and provide constructive feedback to team members.7. Troubleshoot and resolve issues reported by users or identified through monitoring and testing.8. Stay up to date with the latest trends and advancements in .NET development and related technologies.9. Collaborate with other engineers, product managers, and designers to deliver high-quality software solutions.10. Continuously improve existing applications and identify opportunities for system enhancements and process optimizations.Qualifications and Skills:1. Bachelor's or Master's degree in Computer Science, Software Engineering, or a related field.2. Strong experience in full stack web development using the .NET framework, including ASP.NET, C#, and .NET Core.3. Proficient in front-end web technologies such as HTML, CSS, JavaScript, and frameworks like React or Angular.4. Solid understanding of relational databases and experience working with SQL.5. Experience in integrating AI technologies into web applications, such as machine learning models, natural language processing, or computer vision.6. Knowledge and experience in developing and consuming RESTful APIs for seamless integration with external systems.7. Familiarity with building Software-as-a-Service (SaaS) applications, including multi-tenant architectures, user management, and data security.8. Familiarity with source control systems (e.g., Git) and Agile development methodologies.9. Experience with cloud platforms, such as Microsoft Azure or Amazon Web Services (AWS), is a plus.10. Excellent problem-solving skills and ability to analyze and resolve complex technical issues.11. Strong attention to detail and ability to prioritize tasks effectively.12. Excellent communication and collaboration skills to work effectively in a team environment.13. Continuous learner with a passion for exploring new technologies, including AI advancements, REST API integration, and SaaS development. We offer competitive compensation, a flexible work environment, and opportunities for professional growth. Join our team and contribute to the development of cutting-edge web applications that make a positive impact on our users..","IT Services and IT Consulting
            
              11-50 employees
            

              12 on LinkedIn",Zenith innovations ,Rawalpindi," Rawalpindi, Punjab, Pakistan ",On-site,,1 week ago,1,Full-time,Not specified,11-50 employees,Not specified
