Job Title,Job Info,Job Type,Job Link_x,employees,Job ID,Job Link_y,Job Desception,Company Info,company,location_1,location_2,Remote/Onsite,n_applicant,job posting time,Job Type nElements,Job-Type,Experience Level,Comp_N_Employees,Comp_Industry
IT Jobs,"Wellnes Solutions · Rawalpindi, Punjab, Pakistan (On-site)  
1 week ago

 · 24 applicants",Full-time,https://www.linkedin.com/jobs/view/3664300908,Muhammad akram is hiring for this job,3664300908,https://www.linkedin.com/jobs/view/3664300908,"About the job
            

 
Following Positions are required in Rawalpindi  IT Manager Social Media & Web Marketing Manager Software Support/ Technical Consultant Software Training Supervisor Software Training Officer IT Security Administrator Hardware/Network Technician Intern",,Wellnes Solutions ,Rawalpindi," Rawalpindi, Punjab, Pakistan ",On-site,24,1 week ago,1,Full-time,Not specified,Not specified,Not specified
Senior Associate - IT Auditor,"Kamayi · Karachi Division, Sindh, Pakistan (On-site)  
2 weeks ago",Full-time,https://www.linkedin.com/jobs/view/3727016560/?eBP=JOB_SEARCH_ORGANIC&refId=BDrdCV48aCAsDvFTuQsvZg%3D%3D&trackingId=3VeawVS6h%2FjLg%2BDNOSnnCA%3D%3D&trk=flagship3_search_srp_jobs,11-50 employees,3727016560,https://www.linkedin.com/jobs/view/3727016560,"About the job
            

 
Roles & Responsibilities:● Supporting financial audit teams;● Review clients’ business processes and controls in order to identify gaps in design and executionand communicate issues and recommendations to engagement managers and client management;● Perform design effectiveness walkthroughs and test the operational effectiveness of client’sinternal controls;● Work with client management team to identify compensating controls to address key findings;● Communicating (written and verbal) findings and recommendations to the client including technicaland business communication to management through the preparation of management letters andother means; document engagement workpapers in accordance with relevant standard;● Managing successful completion and address Manager/ Senior Manager review comments for eachengagement including reporting progress;● Assist in kickoff meetings, status, and closing meetings with engagement team and client andcontribute to internal practice development initiatives; and● Perform Computer Assisted Audit Techniques (CAATs) and assist engagement teams obtain adequateconclusions from financially significant information.Prerequisites:1. You must be Bachelor in Accounting and Finance or Bachelors of Computer of Sciences from areputable institute. CISA qualification will be considered as an added advantage.2. CA or ACCA part/qualified3. Advanced Microsoft office (Excel, Word and PowerPoint) skills. Should be able to analyze largevolumes of data.4. Excellent communication skills in English (both verbal and written).5. Experience on Oracle, Microsoft Dynamics and SAP is preferred.6. Candidates having Big-4 audit firms’ or Middle East experience will be preferred.Location: Karachi, Lahore, IslamabadSalary: 150k With Other benefits","Human Resources Services
            
              11-50 employees
            

              26 on LinkedIn",Kamayi ,Karachi," Karachi Division, Sindh, Pakistan ",On-site,,2 weeks ago,1,Full-time,Not specified,11-50 employees,Not specified
Team Lead IT Software Development (m/f/d),"EU Tech Chamber · Pakistan (Remote)  
1 week ago

 · 34 applicants",Full-time · Mid-Senior level,https://www.linkedin.com/jobs/view/3727049852/?eBP=JOB_SEARCH_ORGANIC&refId=RDz4cFHK6i1XY2ezYn3bNg%3D%3D&trackingId=aW8qbBbrf1aKgYHemVoZNg%3D%3D&trk=flagship3_search_srp_jobs,See how you compare to 34 applicants. Reactivate Premium,3727049852,https://www.linkedin.com/jobs/view/3727049852,"About the job
            

 
The European Technology Chamber is a registered NGO that enables European companies to use their technologies for the benefit of Europe and mankind - following our vision ""Technology obliges"". As Europe’s leading tech network, we are constantly enlarging our team to serve our network even better.We are currently building our team and now searching forTeam Lead IT Software Development (m/f/d) - 100% remoteYour mission:During the next years EU Tech wants to improve its brand and increase its overall performance.Your daily tasks: Coordinate in development projects related to PHP, WordPress, Java, and JavaScript. Guides and manages teams to maintain a high quality for software products by establishing outstanding practices. Collaborates with Development Project Managers to ensure requirements are met and delivered accurately. Provide regular project status updates to address any project requirements, issues, or changes. Evaluates a variety of software products, provides peer review and solutions to related code. Adhere to a set standard of development principles and deliver timely and on-budget solutions. Participate in software development project review meetings to provide updates on progress. 
What we are looking for: You have a degree in Software Engineering or relevant field. 5+ years in team lead position in software development, particularly full stack development, PHP, WordPress, Java, JavaScript development. Being Scrum master will be a plus. Must have a high understanding of available technical solutions and contribute to team success at the code level. 
We offer:We stand for the vision of a better and more sustainable world - hand in hand with European technology companies. With the personalities who are active in our organization worldwide, you create a great network and inspiration for your daily work - also for your personal future. So you get the chance to grow with us and the whole EU Tech Chamber.Our offer is a role in a fast-moving international organization. If you are looking for an activity with meaning and real impact in a fast growing and truly international organization, apply now with your resume and provide us some links with past projects.You can find more information about us at www.eutec.org",,EU Tech Chamber ,Pakistan, Pakistan ,Remote,34,1 week ago,2,Full-time,Mid-Senior level,Not specified,Not specified
IT Data Migration Specialist (m/f/d) - 100% remote,"EU Tech Chamber · Pakistan (Remote)  
1 week ago

 · 62 applicants",Full-time · Mid-Senior level,https://www.linkedin.com/jobs/view/3727916292,See how you compare to 62 applicants. Reactivate Premium,3727916292,https://www.linkedin.com/jobs/view/3727916292,"About the job
            

 
The European Technology Chamber is a registered NGO that enables European companies to use their technologies for the benefit of Europe and mankind - following our vision ""Technology obliges"". As Europe’s leading tech network, we are constantly enlarging our team to serve our network even better.We are currently building our team and now searching forIT Data Migration Specialist (m/f/d) - 100% remoteYour mission:During the next years EU Tech wants to improve its brand and increase its overall performance.Your daily tasks: Execute tasks related to the movement of data between IT systems, software or applications. Liaison with users for data migration needs. Coordinate with IT Migration team in all phases of project from initiation till final delivery of project. Test the system after the migration process in order to find and fix any outstanding faults or issues with migrated data. Follow best practice standards and protocols for data migration. 
What we are looking for: You have a degree in information technology, information systems or computer science or certification in a relevant field. 3+ years of experience in IT Data Migration Projects. Must have experience to set up the whole IT infrastructure of a company. Hands-on experience with Quest ODM Tool for Microsoft 365 Migration. Advanced Experience with Domain migration/integration, and IT infrastructure migration/integration. Excellent English communication skillsMust have a good understanding of data protection matters. 
We offer:We stand for the vision of a better and more sustainable world - hand in hand with European technology companies. With the personalities who are active in our organization worldwide, you create a great network and inspiration for your daily work - also for your personal future. So, you get the chance to grow with us and the whole EU Tech Chamber.Our offer is a role in a fast-moving international organization. If you are looking for an activity with meaning and real impact in a fast growing and truly international organization, apply now with your resume and provide us some links with past projects.You can find more information about us at www.eutec.org",,EU Tech Chamber ,Pakistan, Pakistan ,Remote,62,1 week ago,2,Full-time,Mid-Senior level,Not specified,Not specified
IT Data Migration Specialist (m/f/d) - 100% remote,"EU Tech Chamber (EUTECH) · Pakistan (Remote)  
1 week ago

 · 32 applicants",Full-time,https://www.linkedin.com/jobs/view/3730097409,51-200 employees,3730097409,https://www.linkedin.com/jobs/view/3730097409,"About the job
            

 
The European Technology Chamber is a registered NGO that enables European companies to use their technologies for the benefit of Europe and mankind - following our vision ""Technology obliges"". As Europe’s leading tech network, we are constantly enlarging our team to serve our network even better.We are currently building our team and now searching forIT Data Migration Specialist (m/f/d) - 100% remoteYour mission:During the next years EU Tech wants to improve its brand and increase its overall performance. Your daily tasks: Execute tasks related to the movement of data between IT systems, software or applications.Liaison with users for data migration needs.Coordinate with IT Migration team in all phases of project from initiation till final delivery of project.Test the system after the migration process in order to find and fix any outstanding faults or issues with migrated data.Follow best practice standards and protocols for data migration.
What we are looking for: You have a degree in information technology, information systems or computer science or certification in a relevant field.3+ years of experience in IT Data Migration Projects.Must have experience to set up the whole IT infrastructure of a company.Hands-on experience with Quest ODM Tool for Microsoft 365 Migration.Advanced Experience with Domain migration/integration, and IT infrastructure migration/integration.Excellent English communication skillsMust have a good understanding of data protection matters.
We offer:We stand for the vision of a better and more sustainable world - hand in hand with European technology companies. With the personalities who are active in our organization worldwide, you create a great network and inspiration for your daily work - also for your personal future. So, you get the chance to grow with us and the whole EU Tech Chamber.Our offer is a role in a fast-moving international organization. If you are looking for an activity with meaning and real impact in a fast growing and truly international organization, apply now with your resume and provide us some links with past projects.You can find more information about us at www.eutec.org","International Affairs
            
              51-200 employees
            

              158 on LinkedIn",EU Tech Chamber (EUTECH) ,Pakistan, Pakistan ,Remote,32,1 week ago,1,Full-time,Not specified,51-200 employees,Not specified
Director IT,"CureMD · Lahore, Punjab, Pakistan Reposted  
1 week ago

 · 242 applicants",Full-time · Director,https://www.linkedin.com/jobs/view/3730131123,"1,001-5,000 employees · Software Development",3730131123,https://www.linkedin.com/jobs/view/3730131123,"About the job
            

 
About Us:CureMD excels in providing advanced tools and technologies that empower healthcare professionals to make informed decisions about patient care. Our state-of-the-art solutions harness the power of data analytics, artificial intelligence, and machine learning to analyze patient information, decipher patterns, and render actionable insights. These advanced technologies equip physicians with profound insights into each patient's health, enabling them to formulate precise diagnoses, implement highly effective treatment strategies, and deliver top-quality care with ease.Job Overview:We are seeking an experienced and strategic IT Director to lead our Information Technology department. The ideal candidate will be a visionary leader with a strong technical background and the ability to align IT initiatives with our company's business goals. The IT Director will oversee all aspects of our IT operations, including infrastructure, security, systems, and digital transformation projects.Essential Job Responsibilities:Strategic Leadership: Develop and execute an IT strategy that supports the organization's strategic goals and objectives.Collaborate with executive leadership to identify technology trends and opportunities for innovation.
Team Management: Lead, mentor, and manage a high-performing IT team, fostering a culture of excellence and continuous improvement.Recruit, train, and develop IT staff to ensure a skilled and motivated workforce.
Infrastructure and Operations: Oversee the management of the company's IT infrastructure, including networks, servers, and data centers.Ensure the availability, security, and reliability of all IT systems and services.
Cybersecurity: Develop and implement robust cybersecurity strategies and policies to protect the organization's data and systems.Stay up-to-date with emerging cybersecurity threats and best practices.
Digital Transformation: Lead digital transformation initiatives to enhance efficiency and competitiveness through technology.Identify and evaluate emerging technologies and their potential impact on the business.
Budget and Resource Management: Manage the IT budget, ensuring cost-effective use of resources.Evaluate and recommend IT investments to support business growth.
Compliance and Governance: Ensure compliance with relevant regulations, standards, and industry best practices.Establish and enforce IT policies and procedures.
Qualifications: Bachelor's degree in Computer Science, Information Technology, or related field; Master's degree preferred.Proven experience in an IT leadership role, with a track record of strategic IT management.Strong knowledge of IT infrastructure, cybersecurity, and emerging technologies.Exceptional leadership and communication skills.Ability to align IT initiatives with business objectives.Relevant industry certifications (e.g., CISSP, CIO, ITIL, PMP) a plus.
Compensation and Benefits: Competitive base salary and yearly bonus.Health benefits (Outpatient, Inpatient, Maternity).Provident Fund company match up to 8% of the base salary.Company-sponsored trainings, workshops, education, and development programs.Collaborative yet fun-loving atmosphere: space that fosters employee wellbeing.Commuter support, supportive workspaces, gym facility, and daycare.","Software Development
            
              1,001-5,000 employees
            

              1,321 on LinkedIn",CureMD ,Lahore," Lahore, Punjab, Pakistan Reposted  
1 week ago

 ",Not specified,242,1 week ago,2,Full-time,Director,"1,001-5,000 employees ", Software Development
Manager Customer Facing IT,"Telenor · Islamabad, Islāmābād, Pakistan (On-site) Reposted  
1 week ago",Full-time · Mid-Senior level,https://www.linkedin.com/jobs/view/3727830005,"10,001+ employees · Telecommunications",3727830005,https://www.linkedin.com/jobs/view/3727830005,"About the job
            

 
Last Date to Apply: 3rd October, 2023Employment Type: This is a full-time position.Grade: This is a grade 3 position.Location: This role is based in Islamabad, Pakistan. (Hybrid)About The RoleThis role is responsible for Architecture Governance for Customer Facing IT on an enterprise level utilizing TMF Open Digital Architecture & Open API Framework. The role will be required to work extensively with vendors and 3rd party business partners.Your Impactful Goals Will Include Working closely with technology leadership to identify cost savings opportunities and ensure financial sustainability of technology initiatives.Collaborating with other departments such as accounting, procurement, and legal to ensure compliance with financial policies and procedures.Budget planning and tracking of technology department in compliance to financial pre-requisites and business planning guidelines.Liaising with procurement and contracts team to conduct new RFQs, preparing documentations and ensuring all pre-requisites are met. Ensuring timely PR and PO issuance and track respective deliveries.Managing vendors for solution delivery and work with 3rd party business partners where necessary to deliver enterprise platforms and services.Ensuring timely delivery of projects in collaboration with support functions and cross functional teams.Analyzing Application design from long term feasibility and enterprise impact perspective.Improving Digital projects efficiencies, development frequency & quality utilizing Agile methodology & supporting tools.
Your Typical Day At Work Provide direction in the area of Business/IT alignment for fulfilment of Digital Services Ambition and Process Automation.Analyze and Design Customer Facing Applications on Microservices Architecture Design Principles.Devise Technology Strategy for customer facing IT growth & evolution along with corresponding KPIs setting & reporting in coordination with local and global stakeholders.Collaborate with internal & Vendor teams for technical implementation & Solution Architecture of relevant RFQs/RFPs.Get involved with Partner/Vendor for Stand-ups, meetings, planning, retrospectives and reviews.Financial governance of CDC contracts.
What we are looking for?Education: Graduation or Masters’ Degree in Computer Science/ Telecommunication Engineering. Certifications in Project Management and Agile is a plusWork Experience 7-10 years experience comprising of leading software development teams in agile way of work, extensive stakeholder and vendor management along with that technically worked on customer facing mobile applications/websites, Automation (RPA and ML), Enterprise Architecture Governance utilizing TMF Open Digital Architecture & Open API FrameworkExperience of leading a team of software engineers or technical resources.Good Experience in Mobile/Web Application, APIs, AI/ML to develop a contextual product for business and support functions.Hands on experience in cost assessment and budget/resource allocation.
Potential Career PathHorizontal and vertical growth towards other technical stream focusing on customer facing IT products and automationsFunctional Skills / Knowledge Areas Knowledge of Mobile/Web Application & Process Automation Design using MicroservicesEnterprise Integration Architecture utilizing Open APIsCustomer Facing IT Applications ArchitectureAgile Project ManagementStakeholder & Project management for APIs, Mobile/Web Applications & Process automationFinancial concepts and experience for FC managementStructured and Self-driven, with a focus on deliverablesSolution Oriented with strong analytical skills.Capable of meeting deadlines while ensuring quality under heavy work loadsBeing able to work under pressure in a challenging environmentAbility to organize and manage multiple prioritiesAbility to perform duties during public holidays and off days if requiredHave good communication skills and Presentation Skills
Why should you join us at Telenor?At Telenor Pakistan, we provide you the platform to work in a challenging and rewarding environment to become a skilled professional in your chosen field of interest. As one of the top employers of the country, we enable you to realize your dreams in a collaborative environment of diversity and openness to new mindsets.As an equal employment opportunity provider, Telenor Pakistan makes all decisions of employment purely based on merit irrespective of race, caste, gender, creed, color, religion, sex, national origin, or disability.","Telecommunications
            
              10,001+ employees
            

              22,393 on LinkedIn",Telenor ,Islamabad," Islamabad, Islāmābād, Pakistan ",On-site,,1 week ago,2,Full-time,Mid-Senior level,"10,001+ employees ", Telecommunications
Senior Full-stack Java / Angular Developer - +10 years of IT experience - Full remote - Contractor in USD,"All European Careers · Punjab, Pakistan (Remote)  
1 week ago",Contract · Mid-Senior level,https://www.linkedin.com/jobs/view/3726999342,51-200 employees · IT Services and IT Consulting,3726999342,https://www.linkedin.com/jobs/view/3726999342,,,All European Careers ,Punjab," Punjab, Pakistan ",Remote,,1 week ago,2,Contract,Mid-Senior level,51-200 employees , IT Services and IT Consulting
IT Support Coordinator Intern,"Tech Domain · Lahore, Punjab, Pakistan (On-site)  
1 week ago",Full-time,https://www.linkedin.com/jobs/view/3731278476,51-200 employees,3731278476,https://www.linkedin.com/jobs/view/3731278476,"About the job
            

 
Job Title: IT Support Coordinator InternJob Location: LahoreInternship Type: Full-TimeJob Summary: As an IT Support Coordinator Intern, you will have the opportunity to gain valuable hands-on experience in the field of information technology. You will assist the IT team in providing technical support to end-users, coordinating support activities, and contributing to the efficient operation of our IT infrastructure.Key Responsibilities: Assist in providing technical support to end-users, helping to troubleshoot hardware, software, and network issues.Learn to diagnose and resolve technical problems under the guidance of experienced IT staff.Assist in coordinating IT support activities, including help desk ticket management and prioritization.Collaborate with IT team members to contribute to efficient problem resolution and user satisfaction.Learn to conduct training sessions or assist in creating resources to help end-users better understand and utilize IT systems and software.Assist in maintaining records of support requests, resolutions, and system configurations.Assist with tasks related to hardware and software management, including setup, deployment, and basic troubleshooting.Learn about the procurement process and how to ensure the availability of necessary IT resources.
Qualifications: Recently completed degree in Information Technology, Computer Science, or a related field.Strong interest in IT and a desire to learn and grow in the field.Basic knowledge of computer hardware and software.Excellent problem-solving and communication skills.Ability to work well in a team and learn from experienced IT professionals.Eagerness to take on new challenges and contribute to the success of the IT team.
How to apply:If you are open to work and excel in the international market then this position is best for you please share your resume at osama.hassan@techdomain.com.au","IT Services and IT Consulting
            
              51-200 employees
            

              138 on LinkedIn",Tech Domain ,Lahore," Lahore, Punjab, Pakistan ",On-site,,1 week ago,1,Full-time,Not specified,51-200 employees,Not specified
IT & Network Administrator,"LantroTech · Islamabad, Islāmābād, Pakistan (On-site)  
1 week ago

 · 51 applicants",Full-time,https://www.linkedin.com/jobs/view/3731292275,11-50 employees,3731292275,https://www.linkedin.com/jobs/view/3731292275,"About the job
            

 
About: The ideal candidate will have the skills and expertise to deploy, maintain, and monitor all active network equipment, ensure seamless network operations, and play a crucial role in maintaining a robust and dependable network infrastructure for our organization. Responsibilities·      Fully support, configure, maintain, and upgrade corporate customer’s networks and in-house servers ·      Install and integrate new server hardware and applications ·      Keep an eye out for needed updates ·      Support and administer third-party applications ·      Ensure network security and connectivity ·      Monitor network performance (availability, utilization, throughput, goodput, and latency) and test for weaknesses ·      Set up user accounts, permissions, and passwords ·      Resolve problems reported by end user ·      Define network policies and procedures ·      Specify system requirements and design solutions ·      Research and make recommendations on server system administration Qualifications·      Proven 1 to 2 years of experience in a network administrator role ·      Hands-on experience in networking, routing, and switching ·      Excellent knowledge of best practices around management, control, and monitoring of server infrastructure ·      Experience with firewalls, Internet VPN’s remote implementation, troubleshooting, and problem resolution is desired ·      Ability to set up and configure server hardware ·      Familiarity with backup and recovery software and methodologies ·      Great at organizing, prioritizing, and multitasking ·      BSc degree in Computer Science or related field","IT Services and IT Consulting
            
              11-50 employees
            

              30 on LinkedIn",LantroTech ,Islamabad," Islamabad, Islāmābād, Pakistan ",On-site,51,1 week ago,1,Full-time,Not specified,11-50 employees,Not specified
