Job Title,Job Info,Job Type,Job Link_x,employees,Job ID,Job Link_y,Job Desception,Company Info,company,location_1,location_2,Remote/Onsite,n_applicant,job posting time,Job Type nElements,Job-Type,Experience Level,Comp_N_Employees,Comp_Industry
Dotnet+React Developer,"Macrosoft · Pakistan (Remote)  
2 weeks ago",Full-time,https://www.linkedin.com/jobs/view/3727019337,201-500 employees,3727019337,https://www.linkedin.com/jobs/view/3727019337,"About the job
            

 
Macrosoft Pakistan Lahore is looking Remote Resource for Full Stack .NET + React JS developer (Strong Experience).Experience: 4-8+ years Requirements:• Familiarity with Agile development methodologies (Scrum a preference).• Experience with software design and development in a test-driven environment.• Knowledge of coding languages and libraries (C#, Microsoft .Net, ASP.Net Core, JavaScript,jQuery, Node.js, UI Control libraries (such as Syncfusion ASP.Net JS2 components, Material UI React,HTML 5) and frameworks/systems (React; Bootstrap; Git; VSTS (Azure Dev Ops))• Experience with databases and ORM frameworks (ADO.Net Entity Framework, MS SQL Server, LINQ).• Excellent communication skills.• Resourcefulness and troubleshooting aptitude.• Degree or equivalent experience in Computer Science. If you have relevant experience or know someone who has. Please Share Updated resume at Shahmin@macrosoftinc.com","Software Development
            
              201-500 employees
            

              659 on LinkedIn",Macrosoft ,Pakistan, Pakistan ,Remote,,2 weeks ago,1,Full-time,Not specified,201-500 employees,Not specified
Node.JS Developer,"Krystosoft · Karāchi, Sindh, Pakistan (On-site)  
2 weeks ago",Full-time,https://www.linkedin.com/jobs/view/3727014310/?eBP=JOB_SEARCH_ORGANIC&refId=VYAhQlpawkFJ%2BtZBW0XGJg%3D%3D&trackingId=yLhIMqhbk9Wl4sjpBvME7g%3D%3D&trk=flagship3_search_srp_jobs,51-200 employees,3727014310,https://www.linkedin.com/jobs/view/3727014310,"About the job
            

 
Job Description: Integration of user-facing elements developed by front-end developers with server side logicWriting reusable, testable, and efficient codeDesign and implementation of low-latency, high-availability, and performant applicationsImplementation of security and data protectionDesign and implementation of data storage solutions.Integration of data storage solutions may include databases, key-value stores, blob stores, etc.Be involved and participate in the overall application life cycle.Define and communicate technical and design requirements.Provide training, help and support to other team members.Learn about new technologies.Stay up to date with current best practicesManage cutting-edge technologies to improve applications.Stay up to date with current best practices.
Job-Requirement: Strong proficiency with JavaScript, CoffeeScript depending on your technology stackMinimum 01 to 02 years of experience as a Back-end/Server-side developer.In-depth understanding of core programming concepts is a must.Knowledge of Node.js and frameworks available for it such as Express, StrongLoop, etc depending on your technology stackUnderstanding the nature of asynchronous programming and its quirks and workaroundsGood understanding of server-side templating languages such as Jade, EJS, etc depending on your technology stackGood understanding of server-side CSS preprocessors such as Stylus, Less, etc depending on your technology stackBS degree in Computer Science or similar relevant field.Basic understanding of front-end technologies, such as HTML5, and CSS3Understanding accessibility and security compliance Depending on the specific projectUser authentication and authorization between multiple systems, servers, and environmentsIntegration of multiple data sources and databases into one systemUnderstanding fundamental design principles behind a scalable applicationUnderstanding differences between multiple delivery platforms, such as mobile vs. desktop, and optimizing output to match the specific platformCreating database schemas that represent and support business processesImplementing automated testing platforms and unit testsProficient understanding of code versioning tools, such as Git","IT Services and IT Consulting
            
              51-200 employees
            

              23 on LinkedIn",Krystosoft ,Karāchi," Karāchi, Sindh, Pakistan ",On-site,,2 weeks ago,1,Full-time,Not specified,51-200 employees,Not specified
"MERN Stack Developer - ReactJS, NodeJS, Apollo, Graphql & MongoDB","Zaions · Lahore, Punjab, Pakistan (On-site)  
2 weeks ago",Full-time,https://www.linkedin.com/jobs/view/3727009692/?eBP=JOB_SEARCH_ORGANIC&refId=N%2F3m%2F9EChkBavkNrBDQXLg%3D%3D&trackingId=v25ijxgjptP3JEUdwSwk6g%3D%3D&trk=flagship3_search_srp_jobs,11-50 employees,3727009692,https://www.linkedin.com/jobs/view/3727009692,"About the job
            

 
MERN Stack Developer Job Opening at ZaionsCompany OverviewZaions, established in 2018, is a cutting-edge technology company focused on delivering superior solutions across multiple platforms, including web and mobile applications. Our mission is to integrate advanced technologies into the daily lives of our clients to make the digital world a more efficient and pleasant space. For more details, please visit: Zaions Official Website: https://zaions.com/Job DescriptionWe are urgently looking for an experienced MERN Stack Developer with expertise in ReactJS, NodeJS, Apollo Client, Apollo Server, GraphQL APIs, and MongoDB for immediate joining. This is an onsite position located at our office: Zaions Office Address: https://zaions.com/address.Responsibilities: Develop high-quality software design and architecture.Implement business logic using ReactJS, NodeJS, Apollo Client, and Apollo Server.Build and manage GraphQL APIsCollaborate with front-end and back-end developersEnsure scalability and performance of applicationsUnit test code for robustness, usability, and general reliabilityMonitor and implement updates and upgrades
Qualifications: Bachelor’s degree in Computer Science or relevant field3+ years of professional experience in MERN StackProficiency in ReactJS, NodeJS, Apollo Client, Apollo Server, GraphQL APIs, MongoDBStrong organizational and project management skillsExcellent communication skills
Work Policies: Working hours are from 10 am to 8 pm, Monday to SaturdayIn-office collaboration is essential; no remote workMust adhere to company policies and ethics
Internship OpportunitiesInternships are also available for this role. Ideal candidates for internships should have a foundational understanding of the MERN stack and be eager to learn.Why Choose Zaions?By joining Zaions, you’ll be contributing to exciting projects that are transforming the technology landscape. We pride ourselves in our innovative culture and our commitment to employee growth. Zaions is not just a company; it’s a mission. A mission to stand out and revolutionize the digital world.Additional Information This is a full-time position, and we prefer immediate joiners. Internship opportunities are also available. If you have any questions, please feel free to contact us at Contact Number: +923046619706.Submit your updated Resume at career@zaions.com","IT Services and IT Consulting
            
              11-50 employees
            

              10 on LinkedIn",Zaions ,Lahore," Lahore, Punjab, Pakistan ",On-site,,2 weeks ago,1,Full-time,Not specified,11-50 employees,Not specified
Full Stack Developer (.Net & Angular),"Xeven Solutions · Lahore, Punjab, Pakistan (On-site)  
2 weeks ago",Full-time,https://www.linkedin.com/jobs/view/3727008391/?eBP=JOB_SEARCH_ORGANIC&refId=N%2F3m%2F9EChkBavkNrBDQXLg%3D%3D&trackingId=ZaVOcV2tuJqdYoylayl5YQ%3D%3D&trk=flagship3_search_srp_jobs,51-200 employees,3727008391,https://www.linkedin.com/jobs/view/3727008391,"About the job
            

 
Xeven Solutions Lahore is looking for .NET Angular developers who will be participating in all project phases, creating and developing solution options against design proactively improving design and architecture, developing and maintaining cloud-based services and applications, and collaborating with a diverse scrum project team. 𝗥𝗲𝗾𝘂𝗶𝗿𝗲𝗺𝗲𝗻𝘁𝘀: • 1 – 8 years of experience working with the .NET framework/C# development and the technology stack, e.g., C#, .NET Core, REST API, MVC APIs, JSON, REST, MVC, Ajax, and Asynchronous Programming, REST Service Architecture • Knowledge or experience in Microsoft Azure and Angular, Javascript, Knockout, or React • Experience with MS Azure Services with Developing, Deploying, and configuring Azure Web Apps, Azure App Services, Azure Functions, Azure web jobs, etc., using Visual Studio • Experience in developing and hosting REST API using Azure API Management, Swagger, and integration with Azure web apps. • Working knowledge and experience in Micro-Service Programming model, SOA, Service Fabric • At least 2 years working in Agile methodology • Knowledge or experience in test-driven development • Bachelor’s Degree in Computer Science, Computer Engineering, MIS or related field preferred • Experience crafting and implementing high-performance RESTful micro-services serving millions of requests a day • Fluency in any one database technology (e.g., RDBMS like Postgres/SQL Server and/or NoSQL like DynamoDB or Cassandra) • Broad knowledge and understanding of the SaaS, PaaS, and IaaS industry with hands-on experience with public cloud offerings (AWS, GAE, Azure) • Experience in O365 programming, PowerApps, PowerShell, and SharePoint Online will be a huge advantage.","IT Services and IT Consulting
            
              51-200 employees
            

              194 on LinkedIn",Xeven Solutions ,Lahore," Lahore, Punjab, Pakistan ",On-site,,2 weeks ago,1,Full-time,Not specified,51-200 employees,Not specified
Javascript Developer,"Utecho · Faisalabad, Punjab, Pakistan (On-site)  
1 week ago",Full-time,https://www.linkedin.com/jobs/view/3727058518/?eBP=JOB_SEARCH_ORGANIC&refId=N%2F3m%2F9EChkBavkNrBDQXLg%3D%3D&trackingId=czzXfODbPFKX8dBgoQJR8g%3D%3D&trk=flagship3_search_srp_jobs,11-50 employees,3727058518,https://www.linkedin.com/jobs/view/3727058518,"About the job
            

 
We are seeking talented React Native Developers!Responsibilities:Responsibilities Build pixel-perfect, buttery-smooth UIs across both mobile platforms.Leverage native APIs for deep integrations with both platforms.Diagnose and fix bugs and performance bottlenecks for performance that feels native.Reach out to the open source community to encourage and help implement mission-critical software fixes—React Native moves fast and often breaks things.Maintain code and write automated tests to ensure the product is of the highest quality.Transition existing React web apps to React Native.
Requirements: Firm grasp of the JavaScript {{and TypeScript or ClojureScript}} language and its nuances, including ES6+ syntaxKnowledge of {{functional or object-oriented}} programmingAbility to write well-documented, clean Javascript codeRock solid at working with third-party dependencies and debugging dependency conflictsFamiliarity with native build tools, like XCode, Gradle {{Android Studio, IntelliJ}}Understanding of REST APIs, the document request model, and offline storageExperience with automated testing suites, like {{Jest or Mocha}","Software Development
            
              11-50 employees
            

              17 on LinkedIn",Utecho ,Faisalabad," Faisalabad, Punjab, Pakistan ",On-site,,1 week ago,1,Full-time,Not specified,11-50 employees,Not specified
MERN and React Native Developer,"TecStik · Karāchi, Sindh, Pakistan (On-site)  
2 weeks ago

 · 51 applicants",Full-time,https://www.linkedin.com/jobs/view/3727013349/?eBP=JOB_SEARCH_ORGANIC&refId=N%2F3m%2F9EChkBavkNrBDQXLg%3D%3D&trackingId=n22VD0ZQAUz%2BHqs%2BRRTFmg%3D%3D&trk=flagship3_search_srp_jobs,1-10 employees,3727013349,https://www.linkedin.com/jobs/view/3727013349,"About the job
            

 
The ideal candidate will be an on-site developer with the following skills: Have a strong understanding of the MERN stack (MongoDB, Express, React, and Node.js), Javascript and React Native.Be able to work independently and as part of a team to develop and maintain high-quality web and mobile applications.Develop and maintain web and mobile applications using the MERN stack and React NativeWork with other developers to design and implement new featuresTest and debug applicationsDeploy and maintain applications to productionTroubleshoot and resolve application issues
APPLY NOWPlease submit your resume and a cover letter to:info@tecstik.com","Technology, Information and Media
            
              2-10 employees
            

              2 on LinkedIn",TecStik ,Karāchi," Karāchi, Sindh, Pakistan ",On-site,51,2 weeks ago,1,Full-time,Not specified,1-10 employees,Not specified
Node.Js Developer,"Orcalo Holdings · Lahore, Punjab, Pakistan (On-site)  
2 weeks ago",Full-time,https://www.linkedin.com/jobs/view/3726636760/?eBP=JOB_SEARCH_ORGANIC&refId=FxNZG3Me8sttBY900QeNNQ%3D%3D&trackingId=B6OB6WRKle0p7xdxWtF1ow%3D%3D&trk=flagship3_search_srp_jobs,201-500 employees,3726636760,https://www.linkedin.com/jobs/view/3726636760,"About the job
            

 
Orcalo Holdings invites talented Node.js Developers to join our team. Your expertise can be the catalyst for our next breakthrough. If you're passionate about Node.js and ready to make a significant impact, we want you in our team.Required skills: Experience developing Microservices using NodeJSExperience with Microservices and respective architecture design principles and scalability best practices.Strong understanding of REST Protocol, Microservices Architecture and handling security on REST.
 Responsibilities: Developing and maintaining all server-side network components.Ensuring optimal performance of the central database and responsiveness to front-end requests.Collaborating with front-end developers on the integration of elements.Designing customer-facing UI and back-end services for various business processes.Developing high-performance applications by writing testable, reusable, and efficient code.Implementing efficient security protocols, data protection measures, and storage solutions.Running diagnostic tests, repairing defects, and providing technical support.Documenting Node.js processes, including database schemas, as well as preparing reports.Recommending and implementing improvements to processes and technologies.Keeping informed of advancements in the field of Node.js development.
 Qualification:Bachelor Degree in Computer Science, Software Development, Engineering or a related technical field.Required Experience:2+ years' experience in similar job profileBenefits: Market competitive salaryMedical insuranceAttractive overtime bonusLeave encashmentPaid leaves
 Job Type - On-site - Lahore/Rawalpindi LocationsShifts: Morning (8am-4pm) Afternoon (2pm-10pm)","IT Services and IT Consulting
            
              201-500 employees
            

              347 on LinkedIn",Orcalo Holdings ,Lahore," Lahore, Punjab, Pakistan ",On-site,,2 weeks ago,1,Full-time,Not specified,201-500 employees,Not specified
Backend Team Lead (Node.js),"Genesis IT Lab · Islamabad, Islāmābād, Pakistan (On-site)  
1 week ago",Full-time,https://www.linkedin.com/jobs/view/3727053041/?eBP=JOB_SEARCH_ORGANIC&refId=FxNZG3Me8sttBY900QeNNQ%3D%3D&trackingId=kvxoYMTv4lqdLhqePdKyEw%3D%3D&trk=flagship3_search_srp_jobs,51-200 employees,3727053041,https://www.linkedin.com/jobs/view/3727053041,"About the job
            

 
We are looking for a highly skilled and experienced Backend Team Lead - Node.js to join our dynamic team. As a member of our team, you will work closely with other developers and project managers to create robust and scalable web applications.Responsibilities Building interactive consumer data from multiple systems and RESTfully abstracting to the UI through a Node.js backend.Define code architecture decisions to support a high-performance and scalable product with a minimal footprint.Address and improve any technical issues.Collaborate well with engineers, researchers, and data implementation specialists to design and create advanced, elegant and efficient systems.Collaborate with other team members and stakeholders.Take smart risks and champion new ideas.
Requirements Previous working experience as a Senior NodeJS Developer for 4+ years.In depth knowledge of NodeJS, ExpressJS, NestJS, Restify.Hands-on experience with TypeScript.Working knowledge of MySql, MongoDB, Firebase.Experience with modern frameworks and design patterns.Creating secure RESTful-based web services in XML and JSON.Understanding and Experience on Git and Bit-bucket.Must be familiar with Unit testing, Integration testing
Plus Points Open to learn new technologies.Hands-on experience with automated testing tools (Plus).Experience of testing blockchain based apps, its use cases and crypto.Knowledge of Dapps/Defi Apps.
BenefitsGenesis IT Lab offers an outstanding culture that focuses on learning opportunities, international exposure by participation at international and national conferences, and career growth. We offer; Provident fundHealth & Life InsuranceSumptuous, home-cooked lunch (Free)Chances to travel abroadSponsored Certifications","Software Development
            
              51-200 employees
            

              74 on LinkedIn",Genesis IT Lab ,Islamabad," Islamabad, Islāmābād, Pakistan ",On-site,,1 week ago,1,Full-time,Not specified,51-200 employees,Not specified
"Senior Full Stack Web Developer (PHP Laravel, VueJS, NodeJS)","NexGen Ventures · Lahore District, Punjab, Pakistan (On-site)  
2 weeks ago",Full-time,https://www.linkedin.com/jobs/view/3727005271/?eBP=JOB_SEARCH_ORGANIC&refId=uDn%2BD9A%2FYjmLbujNP1xvtQ%3D%3D&trackingId=C91usMveJ6jQnrDRVyhChw%3D%3D&trk=flagship3_search_srp_jobs,11-50 employees,3727005271,https://www.linkedin.com/jobs/view/3727005271,"About the job
            

 
We are looking for a Full Stack Developer to produce scalable software solutions. You’ll be part of a cross-functional team responsible for the entire software development life cycle, from conception to deployment. As a Full Stack Developer, you should be comfortable around both front-end and back-end languages, development frameworks, and third-party libraries. You should also be a team player with a knack for visual design and utility. We'd like to meet you if you’re also familiar with Agile methodologies.Responsibilities: Work with development teams and product managers to ideate software solutions.Design client-side and server-side architecture.Build the front-end of applications through appealing visual design.Develop and manage well-functioning databases and applicationsWrite effective APIs.Test software to ensure responsiveness and efficiency Troubleshoot, debug and upgrade software.Create security and data protection settings.Build features and applications with a mobile responsive design.Write technical documentation.Work with data scientists and analysts to improve software.
Requirements: 3 to 4 years proven experience as a Full Stack Developer or similar role.Experience developing scalable web applications.Familiarity with application deployment protocols and procedures.Knowledge of code versioning tools like Git is mandatory.Extensive knowledge of front-end frameworks like VueJS (Vue 3/ Composition API) or AngularJS).Knowledge of multiple back-end frameworks like Laravel, Slim, NodeJS (Deno).Familiarity with databases (e.g. MySQL, MongoDB, Firebase), web servers (e.g. Apache, Nginx).Excellent communication and teamwork skills.Great attention to detail Strong organizational and project management skills.An analytical mind.
Ability to commute/relocate: Lahore: Reliably commute or planning to relocate before starting work (Required)","Information Technology & Services
            
              11-50 employees
            

              21 on LinkedIn",NexGen Ventures ,Lahore," Lahore District, Punjab, Pakistan ",On-site,,2 weeks ago,1,Full-time,Not specified,11-50 employees,Not specified
Senior Software Engineer (.NET/ React Js),"Melior ITS · Islamabad, Islāmābād, Pakistan (On-site)  
2 weeks ago",Full-time,https://www.linkedin.com/jobs/view/3727011588/?eBP=JOB_SEARCH_ORGANIC&refId=0VZjQrZ%2BPwAtd2PSEUmQnA%3D%3D&trackingId=B2hjo2PLUKpc8oWg70EMVA%3D%3D&trk=flagship3_search_srp_jobs,11-50 employees,3727011588,https://www.linkedin.com/jobs/view/3727011588,"About the job
            

 
""ONSITE - ISLAMABAD BASED JOB/ NO REMOTE WORK OPPORTUNITY"" Join our team as a .NET Engineer and take the helm in developing cutting-edge .NET-based applications. In this role, you'll report directly to our Team Lead in Islamabad, collaborating closely with a point of contact on the client's side. Your mission? To craft impeccable, clean code, maintain applications, troubleshoot issues, and collaborate seamlessly with fellow developers and QA professionals to deliver robust solutions.What we're looking for:Specialized Skills and Knowledge: Proficiency in .NET programming languages such as C# and ASP.NetStrong knowledge of MVC and .Net Core 3.0 frameworksFamiliarity with React (version 17.0.2)Expertise in developing Identity Server for web servicesProficient in Visual Studio, Azure SQL Server, and Azure ServicesExperience with MongoDB and SQL DBPrior experience in unit testing for solution reliability assurance
General Skills and Knowledge: Fluent in English: You have strong verbal and written English communication skills.Analytical & Multitasking Pro: Your excellent analytical and multitasking skills set you apart.Positive Attitude: Your positive disposition, self-motivation, and reliability make you a standout team member.Deadline-Driven: You can consistently produce high-quality work promptly.
Why Melior?At Melior, we place a premium on recruiting, nurturing, and developing exceptional talent across the organization while fostering diversity. Here's what you can expect when you join us: Skills Development: Countless opportunities to enhance your skills and advance your career.Recognition: Your contributions won't go unnoticed – we reward and recognize your achievements.Collaboration: Engage with a variety of teams, both internal and external.Idea Sharing: Throughout your career, your ideas will be encouraged and valued at all levels of the organization.Diverse Environment: Interact with individuals from diverse backgrounds and enjoy a vibrant workplace culture.
And that's not all! Alongside a fulfilling work environment, Melior offers a range of both monetary and non-monetary benefits, including: Competitive Salary: We value your skills and contributions.Generous Leave: Enjoy 25 holiday days.Comprehensive Health Insurance: Covering OPD, IPD, and Maternity separately.Leave Encashment: Convert unused leave into additional benefits.Fuel Card & Mobile Handset Allowance: Stay connected and on the move.Bonuses: Receive Eid and Performance Bonuses.Referral Bonus: Recommend talented individuals and earn rewards.Internet Allowance: Stay connected and productive.
If you're ready to embark on an exciting journey with us as a .NET Engineer, please send your resume to hiring@meliorits.com. We look forward to welcoming you to the Melior family!","Software Development
            
              11-50 employees
            

              32 on LinkedIn",Melior ITS ,Islamabad," Islamabad, Islāmābād, Pakistan ",On-site,,2 weeks ago,1,Full-time,Not specified,11-50 employees,Not specified
