Job Title,Job Info,Job Type,Job Link_x,employees,Job ID,Job Link_y,Job Desception,Company Info,company,location_1,location_2,Remote/Onsite,n_applicant,job posting time,Job Type nElements,Job-Type,Experience Level,Comp_N_Employees,Comp_Industry
PHP & Mern Stack Trainee Program,"Bikter Tech · Islamabad, Islāmābād, Pakistan (On-site)  
2 weeks ago

 · 51 applicants",Full-time,https://www.linkedin.com/jobs/view/3726669748,11-50 employees,3726669748,https://www.linkedin.com/jobs/view/3726669748,"About the job
            

 
Location: Bahria Town, IslamabadDuration: 3 Months Opportunity: Possibility of a full-time position upon successful completion of the internship.What We're Looking for?We are seeking a highly motivated PHP & MERN Stack Intern to join our dynamic team in Islamabad. As an intern, you will have the unique opportunity to work on challenging projects, gain valuable hands-on experience, and contribute to the development of web applications. If you are eager to learn, passionate about web development, and want to grow your skills, we would love to hear from you!Responsibilities Collaborate with the development team to create, modify, and maintain web applications using PHP and the MERN Stack.Assist in designing, implementing, and managing databases, APIs, and user interfaces.Write efficient, maintainable, and well-documented code, following established coding standards and best practices.Debug and troubleshoot issues to ensure seamless performance and optimal user experience.Actively participate in code reviews, providing constructive feedback to enhance code quality.Stay updated with the latest technologies and trends, incorporating them into project development.
Skills & Qualifications Pursuing or recently completed a degree in Computer Science, Software Engineering, or a related field.Basic understanding and knowledge of PHP and MERN Stack technologies (MongoDB, Express.js, React.js, Node.js).Familiarity with front-end technologies: HTML, CSS, JavaScript.Strong problem-solving abilities and attention to detail.Excellent communication and collaboration skills, both within a team and with stakeholders.Eagerness to learn, adapt, and contribute to a collaborative work environment.","IT Services and IT Consulting
            
              11-50 employees
            

              12 on LinkedIn",Bikter Tech ,Islamabad," Islamabad, Islāmābād, Pakistan ",On-site,51,2 weeks ago,1,Full-time,Not specified,11-50 employees,Not specified
Associate MERN Stack Developer,"CarbonTeq · Lahore, Punjab, Pakistan (On-site)  
2 weeks ago",Full-time · Entry level,https://www.linkedin.com/jobs/view/3728000822,51-200 employees · IT Services and IT Consulting,3728000822,https://www.linkedin.com/jobs/view/3728000822,"About the job
            

 
Qualifications: 0 to 1.5 years of experience with React & Node JS.Excellent communication skills.Ability to develop clean, reusable and maintainable code.Help discover, diagnose and fix any bugs/Issues in existing code.Brainstorm new ideas to enhance the software in any way.
Must Have: Work as part of the team to build web applications using React & NodeJS.Knowledge and experience with Redux, Webpack, ES6, and payment gateway integrations.Knowledge of solid principles.Knowledge of version control system/Git.Hands-on experience with design patterns.Hands-on experience with relational and non-relational databases.Exceptional attention to detail, strive to be pixel perfect.Write unit and integration tests.
Nice to Have: Typescript knowledge.Knowledge of Domain Driven Design is a plus.Knowledge of project management tools like Jira etc.Knowledge of Dependency Injection, Command Bus, Observer, CQRS/Event Sourcing.
Our dev portal: https://dev-portal.carbonteq.com/Our Progression Framework: https://carbonteq.progressionapp.com/Benefits: Strong Work-Life BalanceMentorship by the industry's leading talentLearning and growth opportunitiesBest-in-class health insurance programGym membershipAnnual performance-based BonusAnnual performance-based IncrementsSubsidized Lunch & Dinner
Employment Type: Job Type: Full-time & On-SiteMonday to FridayTimings: 12PM to 9PM PSTLocation: Dha, Phase 5, LahoreMarket competitive salary & other incentives will be offered.
Powered by JazzHRnhGwiQEReL","IT Services and IT Consulting
            
              51-200 employees
            

              62 on LinkedIn",CarbonTeq ,Lahore," Lahore, Punjab, Pakistan ",On-site,,2 weeks ago,2,Full-time,Entry level,51-200 employees , IT Services and IT Consulting
MERN Stack Developer,"Websquare · Lahore, Punjab, Pakistan (On-site)  
1 week ago

 · 51 applicants",Full-time,https://www.linkedin.com/jobs/view/3724315418/?eBP=JOB_SEARCH_ORGANIC&refId=VYAhQlpawkFJ%2BtZBW0XGJg%3D%3D&trackingId=o04L1cm047b3pC75kgh2Ng%3D%3D&trk=flagship3_search_srp_jobs,51-200 employees,3724315418,https://www.linkedin.com/jobs/view/3724315418,"About the job
            

 
Are you a passionate MERN Stack Developer looking for an exciting opportunity to work on innovative web applications? Look no further! We're seeking talented individuals like you to join our dynamic team.Position:  MERN Stack DeveloperExperience: 5+ years in MERN stack developmentLocation: LahoreType: Full-timeAbout Us:Websquare was formed in 2007 as a digital agency that excels in designing, developing, and marketing at the highest standard. Through the expansion of the team and growth of knowledge, we have evolved into a conglomerate of businesses that can offer a large range of complimenting services.What You'll Do: Develop and maintain web applications using the MERN (MongoDB, Express.js, React, Node.js) stack.Collaborate with cross-functional teams to design, implement, and deploy software solutions.Write clean, maintainable, and efficient code.Implement responsive web designs for a seamless user experience.Troubleshoot and debug software issues.Stay up-to-date with the latest industry trends and technologies.
 Requirements: 5 or more years of hands-on experience in MERN stack development.Proficiency in JavaScript, including ES6+.Strong knowledge of MongoDB, Express.js, React, and Node.js.Experience with front-end libraries/frameworks (e.g., Redux, Vue.js) is a plus.Strong understanding of RESTful APIs and microservices architecture.Experience with front-end technologies (e.g., React, Angular, or Vue.js) is a plus.Familiarity with database systems (e.g., MongoDB, PostgreSQL, or MySQL).Solid understanding of version control systems (e.g., Git).Ability to work independently and as part of a collaborative team.Strong problem-solving skills and attention to detail.
 Why Join Us: Opportunity to work on exciting fintech projects.Collaborative and innovative work environment.Competitive salary and benefits package.Professional development and growth opportunities.Work with a passionate and talented team.
If you're a MERN Stack expert with a flair for creating exceptional web applications and want to be part of an innovative company, we want to hear from you! Apply today by sending your resume and portfolio to hr@websquare.co.uk.Join us in shaping the digital landscape with your MERN stack development skills!#MERNStackDeveloper #WebDevelopment #JavaScript #React #Node.js #JobOpportunity #TechJobs #JoinOurTeamwww.websquare.co.ukwww.linkedin.com/company/websquare/hr@websqure.co.uk","Internet Publishing
            
              51-200 employees
            

              29 on LinkedIn",Websquare ,Lahore," Lahore, Punjab, Pakistan ",On-site,51,1 week ago,1,Full-time,Not specified,51-200 employees,Not specified
Full Stack Engineer (MERN STACK),"Teraception · Lahore, Punjab, Pakistan (On-site)  
2 weeks ago",Full-time,https://www.linkedin.com/jobs/view/3727036336/?eBP=JOB_SEARCH_ORGANIC&refId=reEeSXQll75rltawvtA8Xg%3D%3D&trackingId=ZdJT9XlUjkM3y3GJY8aONQ%3D%3D&trk=flagship3_search_srp_jobs,11-50 employees,3727036336,https://www.linkedin.com/jobs/view/3727036336,"About the job
            

 
We are looking for an experienced and motivated individual who has 1-2 years of experience in MERN Stack (Experience must be with Full-Stack and from industry only,)Experience required: 1-2 years (from a software house)Location: Gulberg V, Lahore.(This is not a remote job) (Less than 1 year of experience in MERN will not be considered for this job)(Please apply only if you are currently in Lahore because you'll be required for an on-site Assessment test and interview, these won't taken online)We offer:Medical coverageProvident fundEOBIPunctuality bonusReferral bonusInterest-free loanCompany provided laptopsGreen AllowanceQuarterly bonuses (Performance-based)Bi-annual tripsLeave encashmentPaid Over-timeGaming and pizza nights every other weekMonthly dinners and much more...but most importantly..We offer an environment that is supportive, transparent and fun to work in.Requirements 1-2 years of prior experience with Node.JS.Strong knowledge of frameworks and Libraries like React.JS, React Native, Next.JS.Strong understanding of HTTP protocol, Web, Data Structure, OOP and Algorithms.Solid grip on MongoDB, Sequelize, Express.js, Javascript, CSS, Database, Javascript.Strong knowledge of React.js, ReactRouter, Redux, MaterialUI, JSS. Styled components and Bootstrap.Good Self learner and not reluctant to learn new technologies and tools.Should be able to understand and modify existing codebase.","Software Development
            
              11-50 employees
            

              24 on LinkedIn",Teraception ,Lahore," Lahore, Punjab, Pakistan ",On-site,,2 weeks ago,1,Full-time,Not specified,11-50 employees,Not specified
Mern Stack Developer,"Instant Solutions Lab · Karāchi, Sindh, Pakistan (On-site)  
2 weeks ago",Full-time,https://www.linkedin.com/jobs/view/3727016477/?eBP=JOB_SEARCH_ORGANIC&refId=n1BxF49FoRzpjWVR5WqmKw%3D%3D&trackingId=E6hP5H0dvdcnVsUlfeqsRQ%3D%3D&trk=flagship3_search_srp_jobs,11-50 employees,3727016477,https://www.linkedin.com/jobs/view/3727016477,"About the job
            

 
Instant Solution Lab is looking for an Mean/Mern Stack Developer. Requirement: Design and build applications/systems based on wireframes and product requirements documentsWork on back-end & front-end development of core scripts using NodeJS/ MongoDB/React.js/Angular/Express /Redux.Unit test code for robustness, including edge cases, usability and general reliabilityWrite reusable, easy to maintain, versioned code using DRY principlesIntegrate existing tools and business systems (in-house tools)Good exposure in creating dynamic web pagesFamiliarity with Server-Oriented Architecture and RESTful Web ServicesWhat makes you a great fitStrong problem solving skillsKnowledge of data structures and algorithmsHungry for more responsibility and knowledgePassion for building robust systems that are engineered to handle failure scenarios, an undying love and attitude for maintaining coding standardsStrong advocate for producing quality software who makes sure issues are raised and resolvedFamiliarity with RESTful APIs to connect front-end to back end servicesContainer based application deployment - Docker or equivalentMust have skill-setsNode js, angular js, mean stack, javascript, jquery, React jsExperience: 1 -3 yearsLocation: Near Malir Cantt Checkpost No#6","IT Services and IT Consulting
            
              11-50 employees
            

              18 on LinkedIn",Instant Solutions Lab ,Karāchi," Karāchi, Sindh, Pakistan ",On-site,,2 weeks ago,1,Full-time,Not specified,11-50 employees,Not specified
"MERN Stack Developer - ReactJS, NodeJS, Apollo, Graphql & MongoDB","Zaions · Lahore, Punjab, Pakistan (On-site)  
2 weeks ago",Full-time,https://www.linkedin.com/jobs/view/3727009692/?eBP=JOB_SEARCH_ORGANIC&refId=N%2F3m%2F9EChkBavkNrBDQXLg%3D%3D&trackingId=v25ijxgjptP3JEUdwSwk6g%3D%3D&trk=flagship3_search_srp_jobs,11-50 employees,3727009692,https://www.linkedin.com/jobs/view/3727009692,"About the job
            

 
MERN Stack Developer Job Opening at ZaionsCompany OverviewZaions, established in 2018, is a cutting-edge technology company focused on delivering superior solutions across multiple platforms, including web and mobile applications. Our mission is to integrate advanced technologies into the daily lives of our clients to make the digital world a more efficient and pleasant space. For more details, please visit: Zaions Official Website: https://zaions.com/Job DescriptionWe are urgently looking for an experienced MERN Stack Developer with expertise in ReactJS, NodeJS, Apollo Client, Apollo Server, GraphQL APIs, and MongoDB for immediate joining. This is an onsite position located at our office: Zaions Office Address: https://zaions.com/address.Responsibilities: Develop high-quality software design and architecture.Implement business logic using ReactJS, NodeJS, Apollo Client, and Apollo Server.Build and manage GraphQL APIsCollaborate with front-end and back-end developersEnsure scalability and performance of applicationsUnit test code for robustness, usability, and general reliabilityMonitor and implement updates and upgrades
Qualifications: Bachelor’s degree in Computer Science or relevant field3+ years of professional experience in MERN StackProficiency in ReactJS, NodeJS, Apollo Client, Apollo Server, GraphQL APIs, MongoDBStrong organizational and project management skillsExcellent communication skills
Work Policies: Working hours are from 10 am to 8 pm, Monday to SaturdayIn-office collaboration is essential; no remote workMust adhere to company policies and ethics
Internship OpportunitiesInternships are also available for this role. Ideal candidates for internships should have a foundational understanding of the MERN stack and be eager to learn.Why Choose Zaions?By joining Zaions, you’ll be contributing to exciting projects that are transforming the technology landscape. We pride ourselves in our innovative culture and our commitment to employee growth. Zaions is not just a company; it’s a mission. A mission to stand out and revolutionize the digital world.Additional Information This is a full-time position, and we prefer immediate joiners. Internship opportunities are also available. If you have any questions, please feel free to contact us at Contact Number: +923046619706.Submit your updated Resume at career@zaions.com","IT Services and IT Consulting
            
              11-50 employees
            

              10 on LinkedIn",Zaions ,Lahore," Lahore, Punjab, Pakistan ",On-site,,2 weeks ago,1,Full-time,Not specified,11-50 employees,Not specified
MERN and React Native Developer,"TecStik · Karāchi, Sindh, Pakistan (On-site)  
2 weeks ago

 · 51 applicants",Full-time,https://www.linkedin.com/jobs/view/3727013349/?eBP=JOB_SEARCH_ORGANIC&refId=N%2F3m%2F9EChkBavkNrBDQXLg%3D%3D&trackingId=n22VD0ZQAUz%2BHqs%2BRRTFmg%3D%3D&trk=flagship3_search_srp_jobs,1-10 employees,3727013349,https://www.linkedin.com/jobs/view/3727013349,"About the job
            

 
The ideal candidate will be an on-site developer with the following skills: Have a strong understanding of the MERN stack (MongoDB, Express, React, and Node.js), Javascript and React Native.Be able to work independently and as part of a team to develop and maintain high-quality web and mobile applications.Develop and maintain web and mobile applications using the MERN stack and React NativeWork with other developers to design and implement new featuresTest and debug applicationsDeploy and maintain applications to productionTroubleshoot and resolve application issues
APPLY NOWPlease submit your resume and a cover letter to:info@tecstik.com","Technology, Information and Media
            
              2-10 employees
            

              2 on LinkedIn",TecStik ,Karāchi," Karāchi, Sindh, Pakistan ",On-site,51,2 weeks ago,1,Full-time,Not specified,1-10 employees,Not specified
Senior Mern Stack Developer,"Recruitzz · Lahore, Punjab, Pakistan (On-site)  
2 weeks ago",Full-time,https://www.linkedin.com/jobs/view/3727013469/?eBP=JOB_SEARCH_ORGANIC&refId=uDn%2BD9A%2FYjmLbujNP1xvtQ%3D%3D&trackingId=yZphwDYZ%2B2BamFF69eOtpg%3D%3D&trk=flagship3_search_srp_jobs,1-10 employees,3727013469,https://www.linkedin.com/jobs/view/3727013469,"About the job
            

 
Job description: Excellent general programming skills, ability to work with complex codebasesExtensive knowledge of Node.js, React.js, and their frameworksExperience in writing JavaScript applications using modern frameworksExperience with cloud hosting providers (e.g., AWS, Digital Ocean, Heroku)Strong analytical and problem-solving skillsComfortable with the UNIX/Linux command lineExperience in test-driven development and pair programming (good to have)Comfortable taking the lead on projects and working without lots of oversight
Benefits: Provident FundEOBIFuel AllowanceFree MealAnnual TripAnnual Leave EnchasementMedical(OPD/IPD)Good Environment
Experience Required: 3+ Years","Human Resources Services
            
              2-10 employees
            

              3 on LinkedIn",Recruitzz ,Lahore," Lahore, Punjab, Pakistan ",On-site,,2 weeks ago,1,Full-time,Not specified,1-10 employees,Not specified
Senior MERN STACK Developer,"Innovation Insight · Pakistan (Remote)  
1 week ago",Full-time,https://www.linkedin.com/jobs/view/3727051274/?eBP=JOB_SEARCH_ORGANIC&refId=0VZjQrZ%2BPwAtd2PSEUmQnA%3D%3D&trackingId=3UHIDTTplwv4xmEEN7rgdA%3D%3D&trk=flagship3_search_srp_jobs,11-50 employees,3727051274,https://www.linkedin.com/jobs/view/3727051274,"About the job
            

 
Innovation Insight is hiring Senior MERN STACK Developer ( Remotely)Experience : Minimum 5 yearsSalary : Market Competitivelocation : RemotelyTiming : 10 am to 7 p.m Preference is given : Immediate Joiner  Responsibilities: Design and develop efficient and robust web applications using the MERN (MYSQL or MongoDB, Express.js, React, Node.js) stack Good hands on experience on frontend architecture and development  Good hands on MYSQL & MongoDB Design database architecture Collaborate with cross-functional teams to translate business requirements into technical solutions. Develop and maintain RESTful APIs for seamless data integration. Optimize application performance for responsiveness and scalability. Debug and resolve complex technical issues to ensure smooth functionality. Requirements: Minimum of 5 years of professional experience as a MERN Stack Developer Expertise in REACT, NODE.JS, MYSQL and Document DB development Strong understanding of RESTful API design and integration Experience with GraphQL Proficiency in front-end build tools and pipelines Familiarity with version control systems, particularly Git A portfolio showcasing your REACT, NODE.JS, MYSQL & PostgreSQL projects Experience working with SSRs e.g., NEXT.JS Experience with additional JavaScript libraries and frameworks Expertise with MYSQL, PostgreSQL & MongoDB or other database systems Knowledge of software development best practices Experience working with Stripe & other payment gateways Experience working with cloud preferably AWS Experience working with email servers Experience in the domain of ecommerce/wesbite builder/CRM Devops is a plus","Software Development
            
              11-50 employees
            

              20 on LinkedIn",Innovation Insight ,Pakistan, Pakistan ,Remote,,1 week ago,1,Full-time,Not specified,11-50 employees,Not specified
Senior MERN Stack Developer,"HR Ways - Hiring Tech Talent · Lahore, Punjab, Pakistan (On-site)  
2 weeks ago",Full-time,https://www.linkedin.com/jobs/view/3727008291/?eBP=JOB_SEARCH_ORGANIC&refId=BxmWtiphDV%2FXh0pD%2Fk6fTA%3D%3D&trackingId=jEUr%2FTFN2P3VM0ph9qfEjQ%3D%3D&trk=flagship3_search_srp_jobs,11-50 employees,3727008291,https://www.linkedin.com/jobs/view/3727008291,About the job,,HR Ways - Hiring Tech Talent ,Lahore," Lahore, Punjab, Pakistan ",On-site,,2 weeks ago,1,Full-time,Not specified,11-50 employees,Not specified
