Job Title,Job Info,Job Type,Job Link_x,employees,Job ID,Job Link_y,Job Desception,Company Info,company,location_1,location_2,Remote/Onsite,n_applicant,job posting time,Job Type nElements,Job-Type,Experience Level,Comp_N_Employees,Comp_Industry
Python Developer with Data Science Focus,"Noveltysoft · Lahore, Punjab, Pakistan (On-site)  
2 weeks ago",Full-time,https://www.linkedin.com/jobs/view/3723360552,1-10 employees,3723360552,https://www.linkedin.com/jobs/view/3723360552,"About the job
            

 
Objective:Seeking an analytical Python Developer to apply scripting and machine learning expertise to large telecom datasets. A preference will be given to candidates with data science experience. Responsibilities: Design, deploy, and refine Python-driven algorithms and predictive models.Extract actionable insights from vast telecommunication datasets using advanced statistical and machine learning methodologies.Engage with internal teams to ensure clear understanding of project specifications and deliver innovative AI-powered solutions.Streamline data by conducting preprocessing, cleaning, and feature engineering to ensure optimal modeling.Harness a variety of machine learning and deep learning methods to train and optimize models.Collaborate with interdisciplinary teams to seamlessly incorporate models into operational systems.
Qualifications:  A Bachelor's degree in Computer Science, Engineering, or a related domain.2-3 years of relevant experience as a Python Developer, preferably with an emphasis on scripting or machine learning.A comprehensive understanding of machine learning principles and methodologies.Mastery in Python and familiarity with core libraries like pandas, Elastic Search, TensorFlow, Keras, PyTorch, and scikit-learn.Proven experience in data preprocessing, feature engineering, and data visualization techniques.Adherence to best practices in software engineering, including coding standards, version control, and testing protocols.Exceptional problem-solving acumen and the capacity to manage and decipher intricate datasets.Articulate communication abilities paired with a team-oriented mindset.Self-driven with a keen interest in continuous learning and staying updated with emerging technologies.Prior exposure to the telecommunication domain, especially with knowledge in bash scripting for dial plans and call flow, will be considered a valuable asset.
Bonus: Experience in data science projects and methodologies.By emphasizing the role's alignment with data science and presenting a clear progression of tasks, this revised description offers clarity and appeals to Python developers with varying levels of experience in the data science realm.","Software Development
            
              2-10 employees
            

              29 on LinkedIn",Noveltysoft ,Lahore," Lahore, Punjab, Pakistan ",On-site,,2 weeks ago,1,Full-time,Not specified,1-10 employees,Not specified
Python/Django Developer,"Crymzee Networks (Pvt.) Ltd. · Lahore, Punjab, Pakistan (On-site)  
2 weeks ago

 · 51 applicants",Full-time,https://www.linkedin.com/jobs/view/3727025255,11-50 employees,3727025255,https://www.linkedin.com/jobs/view/3727025255,"About the job
            

 
Position: Full Stack Python/Django DeveloperExperience: 2+ yearsLocation: LahoreJob Type: On-siteWe are seeking an experienced Full Stack Python/Django Developer to join our talented development team. If you're passionate about creating end-to-end web solutions and are excited to work in a collaborative and innovative environment, we'd love to hear from you.Role and Responsibilities:As a Full Stack Python/Django Developer at Crymzee, you will be a key contributor to the design, development, and maintenance of our web applications. You will collaborate closely with cross-functional teams to deliver high-quality solutions that meet user needs and drive business growth.Your responsibilities will encompass: Participating in the entire software development lifecycle, from concept and design to testing and deployment.Developing well-structured, efficient, and maintainable code for both the front-end and back-end components of our applications.Collaborating with designers to create visually appealing and user-friendly interfaces using modern front-end technologies (HTML, CSS, JavaScript).Building and maintaining RESTful APIs and integrating them with the front end to ensure seamless communication between user interfaces and server-side logic.Implementing security measures and data protection strategies to uphold application integrity and user privacy.Debugging and resolving issues across the application stack and deploying fixes as needed.Performing code reviews to maintain code quality, identify areas for improvement, and ensure adherence to coding standards.Staying up to date with emerging technologies and industry trends to contribute to the evolution of our development practices.
Qualifications: Bachelor's degree in computer science, Engineering, or a related field (or equivalent work experience).2+ years of hands-on experience as a Full Stack Python/Django Developer.Proficiency in both front-end and back-end technologies, including Python, Django, HTML, CSS, and JavaScript.Strong experience with RESTful API development and integration.Familiarity with front-end frameworks/libraries (e.g., React, Angular, Vue.js) and the ability to choose the most suitable tool for the task at hand.Solid understanding of database systems, particularly relational databases (e.g., PostgreSQL, MySQL).Experience with version control systems, preferably Git.Agile mindset with experience working in Agile/Scrum development environments.Excellent problem-solving skills and a proactive approach to addressing challenges.Effective communication and teamwork abilities.
Why CRYMZEE NETWORKS:Joining Crymzee means becoming part of a collaborative and dynamic team that is dedicated to achieving excellence in every project we undertake. We offer competitive compensation, professional growth opportunities, flexible work arrangements, and a supportive work environment that encourages innovation and creativity. If you're a talented Full Stack Python/Django Developer with a passion for building comprehensive web solutions, we invite you to apply and contribute to our mission.How to Apply:To apply for the role of Full Stack Python/Django Developer at CRYMZEE NETWORKS, please submit your resume, a cover letter detailing your relevant experience, and any portfolio or code samples at careers@crymzee.com that showcase your abilities. We look forward to reviewing your application and exploring the possibility of having you on our team.","IT Services and IT Consulting
            
              11-50 employees
            

              23 on LinkedIn",Crymzee Networks (Pvt.) Ltd. ,Lahore," Lahore, Punjab, Pakistan ",On-site,51,2 weeks ago,1,Full-time,Not specified,11-50 employees,Not specified
Senior Python Developer,"TatbeeqSoft · Lahore, Punjab, Pakistan (On-site)  
1 week ago",Full-time,https://www.linkedin.com/jobs/view/3727050780/?eBP=JOB_SEARCH_ORGANIC&refId=9N9Y%2FdWWBMuG8ZU4lrIiIg%3D%3D&trackingId=h2cn%2BikMaqTBmwkzDGVyZA%3D%3D&trk=flagship3_search_srp_jobs,11-50 employees,3727050780,https://www.linkedin.com/jobs/view/3727050780,"About the job
            

 
Role DescriptionThis is a full-time, on-site role for a Senior Python Developer at TatbeeqSoft located in Lahore, Pakistan. As a Senior Python Developer, you will work with our team of expert developers to design, develop, and deploy Python-based web applications. Your day-to-day tasks will include developing reusable code, writing clean and maintainable code, and participating in code reviews. You will be responsible for creating high-level architecture designs, collaborating with cross-functional team members, and troubleshooting production issues.Qualifications Strong proficiency in Python and Django having 3 years+ experience.Experience with MySQL, PostgreSQL, and MongoDBExperience with HTML, CSS, and JavaScriptExperience with AWS and AzureExperience with Git and code versioningExperience with Agile development methodologiesProven experience in developing web applicationsBachelor's degree in Computer Science or a related fieldAbility to work effectively in a team environment and communicate effectively with both technical and non-technical team membersExperience with Flask and Kubernetes is a plusExperience with AI, Machine Learning, and Big Data is a plusExperience with Healthcare and Medical Image Analysis is a plus","Software Development
            
              11-50 employees
            

              11 on LinkedIn",TatbeeqSoft ,Lahore," Lahore, Punjab, Pakistan ",On-site,,1 week ago,1,Full-time,Not specified,11-50 employees,Not specified
Junior Backend Developer (Python),"Kamayi · Lahore, Punjab, Pakistan (On-site)  
1 week ago",Full-time,https://www.linkedin.com/jobs/view/3727532698,11-50 employees,3727532698,https://www.linkedin.com/jobs/view/3727532698,"About the job
            

 
Junior Python DeveloperLocation: Gulberg 3 LahoreSalary: 60 plusResponsibilities:● Design and implement Python code using the Django framework.● Identify and fix bottlenecks that may arise from inefficient code.● Create a wide variety of unit tests to verify the functionality of the software.● Manage the security of the platform.● Knowledge and experience of AWS and Deployments● Write detailed documentation around the code.● Knowledge of front-end languages.● Build new products and features through rapid build/measure/learn iterations.● Work collaboratively with Designers, Peer Developers, Architects, and Product Managerson high-impact projects. Requirements; Skills:● 1+ years of proven development experience.● Minimum a bachelor’s degree in CS, SE, or relevant.● Expert in Python and Django Framework.● Understanding of App/Browser Performance and Techniques.● Strong communication and presentation skills.● Understanding of Software Security Techniques.● Understanding of Database Performance and Techniques.● Understanding of AWS Technology Stack.● Understanding of the threading limitations of Python, and multi-process architecture.● Experience developing against RESTful APIs and microservice architecture.","Human Resources Services
            
              11-50 employees
            

              26 on LinkedIn",Kamayi ,Lahore," Lahore, Punjab, Pakistan ",On-site,,1 week ago,1,Full-time,Not specified,11-50 employees,Not specified
Python Developer,"Pursue Today · Lahore, Punjab, Pakistan (On-site)  
1 week ago",Full-time,https://www.linkedin.com/jobs/view/3725533689,1-10 employees,3725533689,https://www.linkedin.com/jobs/view/3725533689,"About the job
            

 
Requirements Candidates must have expertise in at least one Python framework (like Django, Flask or FAST API).Strong proficiency of code versioning tools such as Git, Mercurial or SVN.Working experience of server-side templating languages such as Jinja 2, Mako.Must have proficient understanding of  object-relational mapping (ORM).Candidates must have a strong hold over front-end technologies (JavaScript, React and HTML5).Knowledge of databases ( SQL, NoSQL)Experience with integration of user-facing elements with server-side logic in collaboration with front-end developers.In-depth knowledge of popular Python libraries and frameworks.Must have strong unit test and debugging skillsAnalytical mind with problem-solving aptitude.
Responsibilities  Design and implement robust applications.Implement security and data protection.Assess and prioritize feature requests.Develop back-end components to improve responsiveness and overall performance.Implement security and data protection solutions.Write effective, scalable code.Able to work with minimum supervision and complete the deadlines.
Qualifications  BSc. in Computer Science, Engineering or relevant field.
Experience At least 2+ years work experience in any Python web framework, like Django, Flask, or Pyramid.
What are we offering? Flexible HoursFamily TreatsAnnual RetreatsPerformance based Bi-annual BonusesHealth InsuranceInsane LearningIndoor gamingTea on the house
It's a full-time, office-based role. If you fulfill the criteria, apply away. You may drop your resume at farzeen@pursue.today.","Software Development
            
              2-10 employees
            

              33 on LinkedIn",Pursue Today ,Lahore," Lahore, Punjab, Pakistan ",On-site,,1 week ago,1,Full-time,Not specified,1-10 employees,Not specified
Senior Python Developer,"Kodexo Labs · Karachi Division, Sindh, Pakistan (On-site)  
1 week ago",Full-time,https://www.linkedin.com/jobs/view/3727536797,11-50 employees,3727536797,https://www.linkedin.com/jobs/view/3727536797,"About the job
            

 
Seeking an Senior Python Developer with expertise in NLP, data manipulation and analysis, generative AI, and LLM. Responsibilities include developing and implementing AI/ML solutions, particularly in NLP and generative AI, and building robust and scalable applications. Work with a dynamic team and engineersResponsibilities:Develop and maintain Python-based web applications using Django, Flask, or FastAPIWrite clean, efficient, and well-documented codeCollaborate with cross-functional teams to design, develop, and deploy software solutionsTroubleshoot and debug issues in existing codebaseOptimize code for performance and scalabilityIntegrate data from various sources and APIsDevelop and maintain RESTful APIsWrite and execute unit tests and integration testsParticipate in code reviews and provide constructive feedbackStay up-to-date with emerging trends and technologies in Python developmentRequirements:At least 3 year of experience in developing web applications using Django, Flask, or FastAPIExperience in Natural Language Processing (NLP) and Generative AI tasksStrong knowledge of coding standards, code optimization, and software development best practicesFamiliarity with SQL, version control, and deploying software in containerized environments (e.g. Kubernetes, OpenShift)Excellent problem-solving skills and attention to detailAbility to work independently and in a team environmentStrong communication and interpersonal skillsWhat You'll Get To Do Every DayRefine backlogs weeklyWeekly agile design meetingsRegular check-ins with your EMBiweekly retrospectivesDaily team standups","IT Services and IT Consulting
            
              11-50 employees
            

              21 on LinkedIn",Kodexo Labs ,Karachi," Karachi Division, Sindh, Pakistan ",On-site,,1 week ago,1,Full-time,Not specified,11-50 employees,Not specified
Full-Stack Web Developer (Django Developer),"FulfillKaro PK · Islamabad, Islāmābād, Pakistan (On-site)  
1 week ago

 · 25 applicants",Full-time,https://www.linkedin.com/jobs/view/3728228625,1-10 employees,3728228625,https://www.linkedin.com/jobs/view/3728228625,"About the job
            

 
Are you a highly motivated Full-Stack Web Developer with a passion for creating exceptional web applications? Join our dynamic team and play a crucial role in crafting innovative digital solutions using cutting-edge technologies.Key Responsibilities: Develop and maintain robust web applications using the Django framework.Collaborate with cross-functional teams to design, implement, and deploy APIs for seamless integration with external services.Efficiently manage databases and ensure data integrity and security.Create responsive and user-friendly front-end interfaces using HTML, CSS, Bootstrap, JavaScript, jQuery, and AJAX.Proficiently handle JSON data to enhance user experiences and application functionality.
Qualifications: Strong proficiency in Python programming language.Experience with the Django framework, including building RESTful APIs.Track record in API integration, ensuring smooth communication between various systems.Solid understanding of database management, including design, querying, and optimization.Proficiency in front-end technologies such as HTML, CSS, Bootstrap, JavaScript, jQuery, and AJAX.Familiarity with handling and manipulating JSON data.Problem-solving skills and the ability to translate business requirements into technical solutions.Strong communication skills and a collaborative mindset.Bachelor's degree in Computer Science, Engineering, or related field (or equivalent work experience).
Why Join Us: Opportunity to work in a collaborative and innovative environment.Be part of a team that values creativity, diversity, and professional growth.Engage in challenging projects that contribute to your skill enhancement.Competitive salary and comprehensive benefits package.
If you are excited about leveraging your Full-Stack Web Development skills to create impactful digital solutions, we'd love to hear from you! Send your resume and portfolio showcasing your relevant work to [email address]. Join us in shaping the future of web applications.FulfillKaro is an equal opportunity employer. We encourage applications from candidates of all backgrounds and experiences.","Transportation, Logistics, Supply Chain and Storage
            
              2-10 employees
            

              2 on LinkedIn",FulfillKaro PK ,Islamabad," Islamabad, Islāmābād, Pakistan ",On-site,25,1 week ago,1,Full-time,Not specified,1-10 employees,Not specified
Senior Backend Developer (Python),"Arbisoft · Lahore, Punjab, Pakistan (Hybrid) Reposted  
1 day ago

 · 149 applicants",Full-time · Mid-Senior level,https://www.linkedin.com/jobs/view/3728212932,"501-1,000 employees · Software Development",3728212932,https://www.linkedin.com/jobs/view/3728212932,"About the job
            

 
As a Python/Django developer you will get an opportunity to work on web applications used by millions of users every day. You will be working with a highly skilled team of other developers who love to design, write, test and maintain high quality code.You will be working with a highly skilled team of other developers who love to design, write, test, and maintain high-quality code.Responsibilities  Build new products and features through rapid build/measure/learn iterations. Work collaboratively with Designers, Peer Developers, Architects, and Product Managers on high-impact projects. Understand user experience and strive to maintain a good experience when developing interfaces Turn user/customer needs into elegant, user-centric designs.Support the open-source community
Requirements  Experience using mobile-first RWD techniques and patterns Understanding of app/browser performance and techniques Experience developing against RESTful APIs You should have at least 4 years of hands-on industrial experience in python language to apply for this job.","Software Development
            
              501-1,000 employees
            

              995 on LinkedIn",Arbisoft ,Lahore," Lahore, Punjab, Pakistan ",Hybrid,149,1 day ago,2,Full-time,Mid-Senior level,"501-1,000 employees ", Software Development
Python Developer,"Turing · Pakistan (Remote) Reposted  
1 week ago

 · 181 applicants",Full-time · Entry level,https://www.linkedin.com/jobs/view/3728295897,"1,001-5,000 employees · IT Services and IT Consulting",3728295897,https://www.linkedin.com/jobs/view/3728295897,"About the job
            

 
A U.S.-based company that is on a mission to transform the world by using the power of modern AI technology is looking for a Python Developer. The developer will be responsible for developing testable, effective code that is well-planned. The company is determined to make a better world for the coming generations and build technology that will benefit all humanity and industries. The company has managed to secure more than $11.1bn in funding so far.Job Responsibilities: Organize the entire software development lifecycleBuild quality assurance methods and software verification plansOrganize the documentation and maintain the system featuresCreate a completely functional software system by integrating software components
Job Requirements: Bachelor’s/Master’s degree in Engineering, Computer Science (or equivalent experience)At least 3+ years of relevant experience as a software developer2+ years of experience working with Python programmingExcellent problem-solving and analytical skillsFluent in written and spoken English communication skills","IT Services and IT Consulting
            
              1,001-5,000 employees
            

              1,985 on LinkedIn",Turing ,Pakistan, Pakistan ,Remote,181,1 week ago,2,Full-time,Entry level,"1,001-5,000 employees ", IT Services and IT Consulting
Django Developer,"Autonomous · Karachi Division, Sindh, Pakistan (Hybrid)  
1 week ago",Full-time,https://www.linkedin.com/jobs/view/3728800658,1-10 employees,3728800658,https://www.linkedin.com/jobs/view/3728800658,"About the job
            

 
Company IntroductionAutonomous is a Canadian company with operations in Pakistan. We're a globally distributed team of developers, architects, and technologists focused on helping entrepreneurs realize their vision with technology. Currently, we're deeply interested in web systems, big data, and GPT driven applications. This is an opportunity to get in on the ground floor and shape the future of the company and grow in any way you see fit.Apply IfYou are an intensely curious technologist that loves to learn about best practices, new innovations. You're not afraid to have intelligent discussions about technology and are humble enough to listen, learn, and grow with opinions that are divergent from yours.Job DescriptionAs a Django-Python Developer, you'll be at the heart of our web application development, crafting dynamic and interactive experiences for our users. You'll be responsible for building and maintaining server-side and front-end application logic. Your role will also involve collaborating with the front-end team to integrate user-facing elements with server-side logic, ensuring optimal performance and responsiveness. You'll be connecting components using RESTful & GraphQL APIs, and working with Lamda microservices on AWS.You'll be working in High productivity multifunctional teams span across four continents. The team will rely on you to correct estimates which you can deliver accordingly to complete project scope on time and on budget. Implement best practices and suggestion standardized solutions which will save time and budget for both the company and client.Requirements Requirement: 3+ years of experience in Python, Django, and DRF development.Requirement: Proficient understanding of front-end and back-end integration.Requirement: Familiarity with version control (Gitflow) (Required)Requirement: Experience working with PostgreSQLStrong experience with REST, GraphQL and testing tools.Proficiency in building and maintaining real-time web applications.Team-oriented mindset with a strong focus on user success.Bonus: Comprehensive understanding of relational and non-relational databases.Bonus: Experience working with AWS services.Bonus: Familiarity or experience with Odoo.Bonus: Experience with unit testing and integration testing.
Note: you don’t need to check all the boxes to apply 🙏Note: Training & mentorship on AWS will be providedHiring Process ScreeningTechnical Task and PresentationMeeting with the foundersReference check
Skills Programming in Python, Django, and DRFReal-time web application developmentStrong communication skillsAnalytical SkillsWeb DevelopmentAPI IntegrationAWS (preferred)Odoo (huge plus)","IT Services and IT Consulting
            
              2-10 employees
            

              11 on LinkedIn",Autonomous ,Karachi," Karachi Division, Sindh, Pakistan ",Hybrid,,1 week ago,1,Full-time,Not specified,1-10 employees,Not specified
