Job Title,Job Info,Job Type,Job Link_x,employees,Job ID,Job Link_y,Job Desception,Company Info,company,location_1,location_2,Remote/Onsite,n_applicant,job posting time,Job Type nElements,Job-Type,Experience Level,Comp_N_Employees,Comp_Industry
Shopify Developer,"Axe Consultancy Services LLC · Pakistan (Remote)  
2 weeks ago",Full-time,https://www.linkedin.com/jobs/view/3727030385,11-50 employees,3727030385,https://www.linkedin.com/jobs/view/3727030385,"About the job
            

 
Axe Consultancy: Founded in 2020 and headquartered in Lexington, Kentucky, is looking for a Shopify Developer.   Axe Consultancy Services LLC is a dedicated consulting firm specializing in optimizing operations for small to medium-sized businesses. We pride ourselves on our comprehensive suite of services that not only significantly reduce operational costs but also foster growth and efficiency. Our expert teams take on contracts spanning Sales, HR, Marketing, IT, and Product Research, offering tailored strategies and solutions. At Axe Consultancy, we are committed to delivering excellence and empowering businesses to achieve their full potential in a competitive landscape. Role and Responsibilities: Develop, implement, and maintain custom Shopify themes tailored to our client's needs.Design, build, and launch custom Shopify apps to enhance the user experience and add functionality.Collaborate closely with our IT and Marketing teams to ensure seamless integrations and optimum performance.Continuously optimize existing Shopify sites for speed, scalability, and enhanced customer experience.Stay updated with the latest developments in Shopify and e-commerce best practices.Provide technical support related to Shopify issues to internal teams and clients as needed.Participate in project planning and status meetings, ensuring timely delivery of tasks.
 Qualifications and Requirements: Proven experience in Shopify theme and app development.Strong knowledge of Liquid programming language.Proficient in HTML, CSS, JavaScript, and other relevant web design coding languages.Experience with API integrations and understanding of RESTful services.Strong problem-solving skills and attention to detail.Ability to work independently and as part of a team.Excellent communication and time-management skills.A portfolio showcasing previous Shopify development projects is a plus.
 Nature of work: Remote  Market Competitive salary package.","IT Services and IT Consulting
            
              11-50 employees
            

              2 on LinkedIn",Axe Consultancy Services LLC ,Pakistan, Pakistan ,Remote,,2 weeks ago,1,Full-time,Not specified,11-50 employees,Not specified
Shopify App Developer,"Shopify1 - A Shopify Agency · Pakistan (Remote)  
1 week ago

 · 46 applicants",Contract,https://www.linkedin.com/jobs/view/3727041074/?eBP=JOB_SEARCH_ORGANIC&refId=jmMswOtzz783%2BgVSnLZKfg%3D%3D&trackingId=ydjmBgiPeJ4pAPoP7U4YeA%3D%3D&trk=flagship3_search_srp_jobs,11-50 employees,3727041074,https://www.linkedin.com/jobs/view/3727041074,"About the job
            

 
Key Requirements Short-Term App Development Project:
Lead the development of a critical Shopify app, ensuring it is robust, efficient, and user-friendly.Focus on seamless integration within the Shopify ecosystem. Focused Integration:
Work to guarantee smooth and efficient integration with existing systems and platforms. Comprehensive Testing:
Undertake detailed testing to ensure optimal performance, security, and stability of the developed app. Project Completion:
Deliver the completed, fully functional app within the stipulated time frame.Key Requirements Proven experience in Shopify app development.Proficiency in web languages (HTML, CSS, JavaScript) and backend development.Familiarity with Shopify’s API.Strong understanding of web security and performance considerations.Exceptional problem-solving abilities and meticulous attention to detail.","Technology, Information and Internet
            
              11-50 employees
            

              1 on LinkedIn",Shopify1 - A Shopify Agency ,Pakistan, Pakistan ,Remote,46,1 week ago,1,Contract,Not specified,11-50 employees,Not specified
Shopify Back End Developer,"PureLogics · Lahore, Punjab, Pakistan (On-site)  
1 week ago",Full-time,https://www.linkedin.com/jobs/view/3727522729,201-500 employees,3727522729,https://www.linkedin.com/jobs/view/3727522729,"About the job
            

 
Job Description Must have a minimum of 2 years’ experience in web development, excluding at least one year with the Shopify platform ;Strong knowledge of Shopify Hydrogen framework.Strong knowledge of liquid programming languageStrong knowledge of developing Shopify appsGenerate custom-tailored Shopify themes and alter pre-existing templates.Act as a Shopify expert, specializing in all facets of the e-commerce platform.The Shopify, Liquid API has no secrets for you, just like CLI and GIT commands You have experience in integrating third-party systems (ERP, CRM, PIM, CMS) 
Required SkillsShopify/PHP/NodeShopify Hydrogen frameworkShift Timing1:00 noon to 10:00 pmRequired Qualification Bachelors in computer science or equivalent.","Software Development
            
              201-500 employees
            

              529 on LinkedIn",PureLogics ,Lahore," Lahore, Punjab, Pakistan ",On-site,,1 week ago,1,Full-time,Not specified,201-500 employees,Not specified
Shopify Developer,"Devsinside · Islamabad, Islāmābād, Pakistan (Hybrid)  
1 week ago

 · 29 applicants",Full-time,https://www.linkedin.com/jobs/view/3726223934,Awais Javed is hiring for this job,3726223934,https://www.linkedin.com/jobs/view/3726223934,"About the job
            

 
Company DescriptionDevsinside is a dynamic and growing e-commerce company based in Islamabad, Pakistan. We are committed to delivering exceptional online shopping experiences to our customers, and we are looking for a talented Shopify Developer to join our team. If you're passionate about e-commerce and have a strong background in Shopify development, we want to hear from you!Role DescriptionThis is a full-time hybrid role located in Islamabad for a Shopify developer. The Shopify developer will be responsible for designing, developing, and maintaining custom Shopify solutions for clients across various industries. This role will require coding, testing, and deploying customized Shopify themes, apps, and software solutions, as well as collaborating with cross-functional teams to ensure optimal functionality and seamless integration for clients. The ability to work from home on a flexible basis is available.Qualifications 1-2+ years of experience with Shopify development with a strong understanding of Shopify's Liquid and APIs as well as integrating third-party APIsExperience with HTML, CSS, JavaScript and jQuery, Git, and version controlDemonstrated expertise in creating and modifying custom Shopify themes and apps.Strong communication skills with the ability to explain technical concepts to non-technical stakeholdersBachelor's degree in Computer Science, Information Technology, or a related field is preferred but not requiredExperience in handling e-commerce website data management, processing, and optimization will be a plus",,Devsinside ,Islamabad," Islamabad, Islāmābād, Pakistan ",Hybrid,29,1 week ago,1,Full-time,Not specified,Not specified,Not specified
Senior Shopify Developer,"Insightful Reach · Islamabad, Islāmābād, Pakistan (Hybrid)  
1 week ago",Full-time,https://www.linkedin.com/jobs/view/3729481010,1-10 employees,3729481010,https://www.linkedin.com/jobs/view/3729481010,"About the job
            

 
Job Description:We are seeking an experienced Senior Shopify Developer to join our team and lead our e-commerce projects. The ideal candidate will have a strong track record of developing high-end Shopify stores and making theme modifications. In addition to hands-on development work, you will play a key role in mentoring and guiding a team of junior developers, helping them grow in their Shopify expertise.Responsibilities: Lead and oversee Shopify development projects from concept to completion.Provide technical leadership and guidance to junior developers.Collaborate with designers and project managers to implement custom Shopify solutions.Customize and modify Shopify themes to meet project requirements.Optimize the performance of Shopify stores for speed and user experience.Stay up-to-date with Shopify best practices and emerging trends.Attend daily video meetings to provide updates and collaborate with the team.Participate in morning and end-of-shift briefings to review project progress.
Qualifications: Proven experience as a Senior Shopify Developer with a strong portfolio of past projects.Deep knowledge of Shopify's Liquid templating language.Proficiency in HTML, CSS, and JavaScript.Experience with third-party Shopify apps and integrations.Strong problem-solving and troubleshooting skills.Excellent communication and teamwork abilities.Leadership experience or a willingness to take on a leadership role.Ability to work from 12-9pm Monday - Friday.
Benefits: Competitive salary commensurate with experience.Opportunity to lead and mentor a team of developers.Access to the latest Shopify technologies and tools.Collaborative and creative work environment.Regular performance evaluations and growth opportunities.Flexible working hours with a focus on results.
How to Apply:If you are a passionate and experienced Shopify developer with leadership skills, we'd love to hear from you. Please send your resume and portfolio and include a brief cover letter explaining why you are the perfect fit for this role.","Marketing Services
            
              2-10 employees
            

              1 on LinkedIn",Insightful Reach ,Islamabad," Islamabad, Islāmābād, Pakistan ",Hybrid,,1 week ago,1,Full-time,Not specified,1-10 employees,Not specified
Senior Shopify Developer,"Softnox Technologies Pvt Ltd. · Karāchi, Sindh, Pakistan (On-site)  
1 week ago",Full-time,https://www.linkedin.com/jobs/view/3727995774,11-50 employees,3727995774,https://www.linkedin.com/jobs/view/3727995774,"About the job
            

 
We are looking for a passionate, motivated Shopify Developer expert in e-commerce platforms and who is always eager to produce world-class work for premium clients.Responsibilities:Must have experience in Liquid templating.Must have experience in HTML, CSS, JavaScript, and jQuery.Expert Knowledge of Shopify and all its features.Strong knowledge of Front End & Shopify platform.Requirements:1 to 2 years experience as a Shopify Developer.Bachelor's degree in Computer Science, Computer Engineering, or related field.Experience:Shopify: 1 to 2 years (Preferred)JavaScript: 1 to 2 years (Preferred)Basic understanding of, Shopify, HTML5, CSS3, Bootstrap4.Basic Experience/ knowledge in building user interfaces for websites and/or web applications using Shopify.Ability to understand CSS changes and their ramifications to ensure consistent style across platforms and browsers.Ability to work in a team or as an individual.Time: 6:00pm-3:00amMarket competitive salaryJob Type: Full-time","IT Services and IT Consulting
            
              11-50 employees
            

              65 on LinkedIn",Softnox Technologies Pvt Ltd. ,Karāchi," Karāchi, Sindh, Pakistan ",On-site,,1 week ago,1,Full-time,Not specified,11-50 employees,Not specified
Front End Shopify Developer,"Uptox · Faisalabad, Punjab, Pakistan (On-site)  
1 week ago

 · 40 applicants",Full-time,https://www.linkedin.com/jobs/view/3602326133,1-10 employees,3602326133,https://www.linkedin.com/jobs/view/3602326133,"About the job
            

 
The ideal candidate will be responsible for designing, developing, testing, and debugging responsive web and mobile applications for the company. This candidate can translate user and business needs into functional front-end design using JavaScript, HTML, and CSS.Note: This is onsite Position.Responsibilities:- Designing, developing, and testing UI for mobile and web applicationsBuild reusable code and libraries for future useAccurately translate user and business needs into functional frontend code
Qualifications:- Bachelor's degree or equivalent in Computer Science2+ years' experience in Shopify, and frontend developmentFamiliarity using Scrum/Agile development methodologiesExperience building object-oriented web applications in JavaScript, HTML5, and CSS3.A positive and upbeat attitude with the ability to learn quicklyProficiency in JAVASCRIPT, JQUERY, and AJAX (preferred)","IT Services and IT Consulting
            
              2-10 employees
            

              4 on LinkedIn",Uptox ,Faisalabad," Faisalabad, Punjab, Pakistan ",On-site,40,1 week ago,1,Full-time,Not specified,1-10 employees,Not specified
Senior Shopify developer,"Softnox Technologies Pvt Ltd. · Karāchi, Sindh, Pakistan (On-site)  
1 week ago",Full-time,https://www.linkedin.com/jobs/view/3728814286,11-50 employees,3728814286,https://www.linkedin.com/jobs/view/3728814286,"About the job
            

 
We are looking for a passionate, motivated Shopify Developer expert in e-commerce platforms and who is always eager to produce world-class work for premium clients.Responsibilities:Must have experience in Liquid templating.Must have experience in HTML, CSS, JavaScript, and jQuery.Expert Knowledge of Shopify and all its features.Strong knowledge of Front End & Shopify platform.Requirements:1 to 2 years experience as a Shopify Developer.Bachelor's degree in Computer Science, Computer Engineering, or related field.Experience:Shopify: 1 to 2 years (Preferred)JavaScript: 1 to 2 years (Preferred)Basic understanding of, Shopify, HTML5, CSS3, Bootstrap4.Basic Experience/ knowledge in building user interfaces for websites and/or web applications using Shopify.Ability to understand CSS changes and their ramifications to ensure consistent style across platforms and browsers.Ability to work in a team or as an individual.Time: 6:00pm-3:00amMarket competitive salaryJob Type: Full-time","IT Services and IT Consulting
            
              11-50 employees
            

              65 on LinkedIn",Softnox Technologies Pvt Ltd. ,Karāchi," Karāchi, Sindh, Pakistan ",On-site,,1 week ago,1,Full-time,Not specified,11-50 employees,Not specified
Shopify Developer,"Developify Solutions (Shopify Experts Agency) · Lahore, Punjab, Pakistan (On-site)  
1 week ago

 · 26 applicants",Full-time,https://www.linkedin.com/jobs/view/3730115174,11-50 employees,3730115174,https://www.linkedin.com/jobs/view/3730115174,"About the job
            

 
The ideal candidate will be responsible for conceptualizing and executing clear, quality code to develop the best software. You will test your code, identify errors, and iterate to ensure quality code. You will also support our customers and partners by troubleshooting any of their software issues.  Responsibilities Detect and troubleshoot software issues Write clear quality code for software and applications and perform test reviews Develop, implement, and test APIs Provide input on software development projects
Qualifications Comfort using programming languages and relational databases Strong debugging and troubleshooting skills 3+ years' of development experience","IT Services and IT Consulting
            
              11-50 employees
            

              25 on LinkedIn",Developify Solutions (Shopify Experts Agency) ,Lahore," Lahore, Punjab, Pakistan ",On-site,26,1 week ago,1,Full-time,Not specified,11-50 employees,Not specified
Technical Support - Shopify,"Inspon Tech · Pakistan (Remote)  
1 week ago",Full-time,https://www.linkedin.com/jobs/view/3731382822,1-10 employees,3731382822,https://www.linkedin.com/jobs/view/3731382822,"About the job
            

 
🌌 Night Shift Support Developer Wanted! 🌌-> Experience with Shopify necessary <-🖥️ Role: Support Developer (Computer Science background)🕚 Shift Time: 11:00 PM - 11:00 AM📅 Working Days: Monday to Saturday🌍 Location: Remote🔍 Skills Required: Technical acumen 🔧Experience with Shopify 🛍️Understanding of Shopify Apps 📱Knowledge of App embed and App block ⛓️Development experience (CSS, HTML, JavaScript, Mern-Stack)Proficiency in English 🇬🇧
📋 Responsibilities: Support via live chat and email 🗨️📧Independently resolve issues and make adjustments 🔍🔧Classify problems and raise emergencies 🚨Execute test routines 🧪
Are you the techie night owl we're looking for? 🦉 Apply now and join our dynamic team! 🚀","IT Services and IT Consulting
            
              2-10 employees
            

              6 on LinkedIn",Inspon Tech ,Pakistan, Pakistan ,Remote,,1 week ago,1,Full-time,Not specified,1-10 employees,Not specified
