Job Title,Job Info,Job Type,Job Link_x,employees,Job ID,Job Link_y,Job Desception,Company Info,company,location_1,location_2,Remote/Onsite,n_applicant,job posting time,Job Type nElements,Job-Type,Experience Level,Comp_N_Employees,Comp_Industry
UX Designer,"7Vals · Lahore, Punjab, Pakistan (On-site)  
2 weeks ago",Full-time,https://www.linkedin.com/jobs/view/3727026435/?eBP=JOB_SEARCH_ORGANIC&refId=VYAhQlpawkFJ%2BtZBW0XGJg%3D%3D&trackingId=v1ipCLmi4qSWGsV3DRakKw%3D%3D&trk=flagship3_search_srp_jobs,51-200 employees,3727026435,https://www.linkedin.com/jobs/view/3727026435,"About the job
            

 
We at 7Vals are looking for a UI/UX Designer who is passionate about working on cutting-edge SaaS applications. Join a software product company, where you work on cutting-edge SaaS applications. The customers of our product are among the top businesses in the world, from Harvard University to BBC.At 7Vals, we focus on coaching each individual to become the best at what they do. We have a team of seasoned UX Designers who can help you hone your craft and skills and guide you toward growing your career. Responsibilities and Career Growth: State-of-the-art UX: Build incredible user experiences on cutting-edge SaaS applications, including projects for new solutions and features in the product.Full-cycle UX: We are a product company with the excitement of managing our own products. Gain exposure to all parts of the full product lifecycle. Work across a collaborative team of Designers, Product Managers, Developers, Marketers, Sales Managers, and Customer Managers.Learn and utilize the full agile sprint model - from ideation to discovery, from concept sketches to customer feedback, and from final design to development.Engage with customers for input and validation.Design System and Mobile DesignWork with the Design team to develop application interfaces, create components, learn Design Systems, and create UI artifacts.Leverage and contribute to our Design System to maintain consistency across our growing product portfolio.Optimize responsive design, from the desktop web app to the mobile app. Problem Solving and OutcomesApply critical thinking, use cases, and consideration to design decisionsBe outcome-driven; use data and user feedback to understand product impactCareer Growth: Complete assigned professional projects, as well as courses and workshops, to gain certifications and career growth.
Requirements: 1.5 - 3 years of work experience as a UI/UX Designer or a similar role.Bachelor's degree in Computer Arts, Graphic Design, Computer Science, or an equivalent program.Working knowledge of Design Systems, wireframing, and prototyping.A portfolio of your recent work that you can present.Knowledgeable and passionate about UX design, defining opportunities to create and improve designs, and then solving problems through design.Experience with UI design tools (Figma, Adobe XD, etc.). Strong communication skills. Able to connect with the team and customers through communicating, sketching, and storyboarding your design ideas.Energetic and action-oriented, curious and ready to learn, and driven to get results.","IT Services and IT Consulting
            
              51-200 employees
            

              108 on LinkedIn",7Vals ,Lahore," Lahore, Punjab, Pakistan ",On-site,,2 weeks ago,1,Full-time,Not specified,51-200 employees,Not specified
UI/UX Designer,"Visiata · Lahore, Punjab, Pakistan (On-site)  
1 week ago",Full-time,https://www.linkedin.com/jobs/view/3727058698/?eBP=JOB_SEARCH_ORGANIC&refId=xUVZjvBRJ21TnPMV%2F%2Flt6w%3D%3D&trackingId=F%2FbR4F9NHvC%2BuTTyljKnkw%3D%3D&trk=flagship3_search_srp_jobs,1-10 employees,3727058698,https://www.linkedin.com/jobs/view/3727058698,"About the job
            

 
UI/UX Designer!🔍 What We're Looking For:✅ Lahore-Based Experienced UI/UX Designer with at least 2+ years of experience✅ Proficiency in UI/UX design tools (e.g., Adobe XD, Figma)✅ Strong understanding of user-centered design principles✅ Ability to create visually appealing and intuitive interfaces✅ Experience in creating wireframes, prototypes, and interactive mockups✅ Collaboration skills to work with cross-functional teams✅ Excellent English Communication Skills💼 Perks and Benefits:✨ Exciting projects that challenge your creativity✨ A supportive and collaborative work environment✨ Professional growth opportunities✨ Competitive salary✨ Full-time Position📩 To Apply:If you're ready to be part of an amazing team, send us your portfolio and resume to shahneel.khalid@visiata.com","Software Development
            
              2-10 employees
            

              10 on LinkedIn",Visiata ,Lahore," Lahore, Punjab, Pakistan ",On-site,,1 week ago,1,Full-time,Not specified,1-10 employees,Not specified
UI / UX Designer,"Add Hype · Lahore, Punjab, Pakistan (On-site)  
1 week ago

 · 51 applicants",Full-time,https://www.linkedin.com/jobs/view/3727049573/?eBP=JOB_SEARCH_ORGANIC&refId=xUVZjvBRJ21TnPMV%2F%2Flt6w%3D%3D&trackingId=XQDJzjwUqfDVriBjA8%2F4nQ%3D%3D&trk=flagship3_search_srp_jobs,11-50 employees,3727049573,https://www.linkedin.com/jobs/view/3727049573,"About the job
            

 
🌟 We're Hiring: UI/UX Designer 🌟Company: AddHype Digital Marketing AgencyLocation: DHA Phase-4 LahoreAbout Us:WeAddHype is a leading digital marketing agency with a global footprint. Our offices span across Dubai, Canada, and Lahore. We're on the hunt for a passionate and talented UI/UX Designer to join our dynamic team and help us craft exceptional digital experiences for our clients.Role & Responsibilities: Gathering and evaluating user requirements, in collaboration with product managers and engineersIllustrate design ideas using storyboards, process flows, and sitemapsDesign graphic user interface elements, like menus, tabs, and widgetsBuild page navigation buttons and search fieldsDevelop UI mockups and prototypes that clearly illustrate how sites function and look likeCreate original graphic designs (e.g. images, sketches, and tables)Prepare and present rough drafts to internal teams and key stakeholdersIdentify and troubleshoot UX problems (e.g. responsiveness)Conduct layout adjustments based on user feedbackAdhere to style standards on fonts, colors, and imagesDesign intuitive and user-friendly interfaces for web and mobile applications.Collaborate with cross-functional teams to define and implement innovative solutions.Conduct user research and evaluate user feedback to iterate on design solutions.Create wireframes, storyboards, user flows, process flows, and site maps.Maintain and evolve our design systems and guidelines.
Requirements: 3-4 years of proven UI/UX design experience.A strong portfolio showcasing your best designs.Proficiency in design software such as Sketch, Figma, Adobe XD, Adobe Illustrator Photoshop, etc.Ability to solve problems creatively and effectively.Up-to-date with the latest UI trends, techniques, and technologies.
 This is a full-time, on-site role.Competitive salary and benefits package.
How to Apply:Send your updated resume along with your portfolio to hr@weaddhype.com","Advertising Services
            
              11-50 employees
            

              21 on LinkedIn",Add Hype ,Lahore," Lahore, Punjab, Pakistan ",On-site,51,1 week ago,1,Full-time,Not specified,11-50 employees,Not specified
UI-UX Creative Graphic Designer (Night Shift),"SourceCode · Karachi Division, Sindh, Pakistan (On-site)  
1 week ago

 · 43 applicants",Full-time,https://www.linkedin.com/jobs/view/3727045426/?eBP=JOB_SEARCH_ORGANIC&refId=reEeSXQll75rltawvtA8Xg%3D%3D&trackingId=ZoMdxEKo4LGj5N37LSMmjQ%3D%3D&trk=flagship3_search_srp_jobs,51-200 employees,3727045426,https://www.linkedin.com/jobs/view/3727045426,"About the job
            

 
Job Summary: We are looking for a talented and experienced UI/UX Designer Expert to join our dynamic team. The ideal candidate will have a passion for designing visually stunning and user-friendly interfaces, with the ability to create seamless and innovative user experiences.Qualifications: Proven experience as a UI/UX Designer or similar role with a strong design portfolio.Proficiency in design software such as Adobe XD, Sketch, Figma, or similar.Strong visual design skills with a good understanding of user-system interaction.
Experience: UI/UX Designer: 2 years (Preferred)","IT Services and IT Consulting
            
              51-200 employees
            

              147 on LinkedIn",SourceCode ,Karachi," Karachi Division, Sindh, Pakistan ",On-site,43,1 week ago,1,Full-time,Not specified,51-200 employees,Not specified
UX & Game Character Designer,"HR Ways - Hiring Tech Talent · Lahore, Punjab, Pakistan (Remote)  
2 weeks ago",Full-time,https://www.linkedin.com/jobs/view/3727003369/?eBP=JOB_SEARCH_ORGANIC&refId=reEeSXQll75rltawvtA8Xg%3D%3D&trackingId=u9tNNOYUHxUO54SYpWiTfA%3D%3D&trk=flagship3_search_srp_jobs,11-50 employees,3727003369,https://www.linkedin.com/jobs/view/3727003369,"About the job
            

 
We are actively looking for UX & Game Character Designer (Lahore - Remote)About the job:HR Ways is a Tech Recruitment Company that helps candidates like yours, make it into world's & Pakistan's largest & Top Product platforms. With HR Ways, your recruitment process becomes seamless as we connect you with top employers for quick interviews and easier than ever on-boarding process. We also help you get the best deals and 360 Analysis of the company that you'd like to join. And oh, we recently placed Engineers in Emirates & Ebay!About the company we're hiring for:We are seeking a UX & Game Character Designer for US-based software company headquartered in Seattle, Washington, and office in Lahore, Pakistan. They are developers of a leading-edge software platform that plans, deploys, manages, and orchestrates applications in the Cloud. The company's platform is the next generation, low-code, visual drag n drop SaaS platform for developers, making Kubernetes application development easy, painless and fast. They are changing the way developers create, test, debug and deploy Kubernetes applications.Are you a visionary UX designer ready to shape digital experiences that dazzle? We’re looking for a creative genius who can blend business needs and tech know-how into captivating user journeys. Your mission is to dive into user insights, sculpting them into visual wonders like sitemaps and engaging mockups. But it doesn’t stop there – you’ll also be the architect of functionality, ensuring our product delivers an extraordinary user experience, constantly refining it based on user feedback. If your portfolio sparkles with web mobile and game character design, we’re eager to meet you. Join us in crafting digital experiences that don’t just look good but also leave users utterly enchanted!Responsibilities Gather and evaluate requirements in collaboration with the cross-functional team.Design and deliver wireframes, user stories, user journeys, and mockups optimized for a wide range of devices and interfaces.Create original illustrative graphic designs like characters and objects and have experience with the game design.Identify design usability issues and find solutions.Ability to communicate raw ideas, internal teams, and key stakeholdersUnderstand product specifications and user psychologyConduct concept and usability testing and gather feedbackDefine the right interaction model and evaluate its successWork with Frontend Engineers to implement attractive designsKeep abreast of competitor products and industry trends
Qualifications: 2-4 Years of Experience: Proven experience in UX design, web application design, and character design. A portfolio showcasing relevant work is a must.A genuine love for designing captivating user experiences and characters that resonate with children.A strong understanding of user-centered design principles and the ability to apply them effectively.Proficiency in design and prototyping tools such as Figma, Sketch, Adobe Illustrator, Adobe Photoshop, InVision, Wireframe.cc, UXPin, etc.Communication: Excellent communication skills to collaborate effectively with cross-functional teams.A solid grasp of user-centered design (UCD), planning and conducting user research, user testing, A/B testing, rapid prototyping, heuristic analysis, usability, and accessibility concerns.
Experience: 2 - 3 YearsWork Mode: Remote at the moment but later can be onsite LahoreWork Timings: 10AM to 7PM (Flexible)Work Days: Monday to FridaySalary Range: Depends on Experience and Expertise (Paid in PKR)Drop your updated resume along with updated portfolio at muneeba@hrways.co (not com) For More Jobs, visit www.hrways.co/jobs","Human Resources Services
            
              11-50 employees
            

              77 on LinkedIn",HR Ways - Hiring Tech Talent ,Lahore," Lahore, Punjab, Pakistan ",Remote,,2 weeks ago,1,Full-time,Not specified,11-50 employees,Not specified
UI/UX Product Designer,"COSMO · Lahore, Punjab, Pakistan (On-site)  
1 week ago

 · 260 applicants",Full-time,https://www.linkedin.com/jobs/view/3727544368,11-50 employees,3727544368,https://www.linkedin.com/jobs/view/3727544368,"About the job
            

 
About Us:Cosmo Inc is a dynamic marketing agency specializing in digital strategy, creative services, social media, paid media, e-commerce, advanced analytics, and crypto/NFT marketing. We empower businesses to soar to new heights by leveraging the latest digital trends and strategies, ensuring sustainable growth and success in an ever-evolving market.Role:We are seeking an innovative Product Designer to join our team. The ideal candidate will possess a combination of user interface (UI) and user experience (UX) design skills. Your primary mission will be to understand our business needs and product requirements and transform that understanding into user-focused and intuitive products, interfaces, platforms, and customer experiences.Responsibilities:User Experience (UX) Design: Understand product specifications and user psychology to identify user needs and pain points.Conduct concept and usability testing, and gather valuable feedback from users.Develop detailed wireframes, task flows, and prototypes based on user research and requirements.Collaborate closely with Designers and Developers to ensure the implementation of user-centric design principles.Continuously identify and troubleshoot UX problems, such as responsiveness and accessibility issues.
User Interface (UI) Design: Design graphic user interface elements, including menus, tabs, widgets, and other interactive components.Create original graphic designs, including images, sketches, and tables, to enhance the visual appeal of the software.Prepare and present rough drafts to internal teams and key stakeholders, incorporating feedback into design iterations.Ensure consistency in UI design elements and maintain design systems.
Collaboration: Collaborate effectively with product management and engineering teams to define and implement innovative solutions that align with product direction and user expectations.Execute all visual design stages from concept to final hand-off to engineering, ensuring design specifications are accurately implemented.Keep abreast of industry trends and best practices to continually enhance the design process and product quality.Act as a proactive advocate for user-centered design principles throughout the organization.
Qualifications: 3+ years of professional experience in UI/UX design.Strong portfolio of design projects.Knowledge of wireframe toolsUp-to-date knowledge of design software like Adobe Illustrator, Photoshop, and Figma.Familiarity with HTML and CSS; understanding of basic front-end languages is a plus.Team spirit; strong communication skills to collaborate with various stakeholders.Excellent time-management skills.
Additional Skills: Problem-solving aptitude.Analytical mind with a business acumen.Continual learning and adaptation to the evolving field of product design.
Bonus Skills: Open-minded and keen to learn new things and grow with the teamAbility to create custom illustrations and iconsExperience with VUI Design
Soft Skills:Problem-Solving, Communication, Flexibility, Creativity, Ownership, CreativeSalary range: 150,000 Rs - 200,000 Rs per monthJob type:Full-timeLocation:Phase 6, DHA, LahoreBenefits of working with Cosmo: Opportunity to grow with a team of motivated professionalsService recognition bonuses and moreWeekly payUSD pegged salary
If you are interested in this opportunity, please apply using the link:https://forms.clickup.com/37245941/f/13gmzn-7565/MUXKKR0FJN3D3IZ81OApplication Deadline:8th October 2023","Marketing Services
            
              11-50 employees
            

              54 on LinkedIn",COSMO ,Lahore," Lahore, Punjab, Pakistan ",On-site,260,1 week ago,1,Full-time,Not specified,11-50 employees,Not specified
Voice User Interface (VUI) Designer,"CRES Technology · Pakistan (Remote)  
1 week ago",Contract,https://www.linkedin.com/jobs/view/3727537108,11-50 employees,3727537108,https://www.linkedin.com/jobs/view/3727537108,"About the job
            

 
Job Title: Voice User Interface (VUI) DesignerLocation: RemoteDuration: 6 Months ContractWorking Hours: US West Coast HoursStart Date: ImmediateAbout Us:We are looking for a talented Voice User Interface (VUI) Designer to join our team for a 6-month contract and help us shape the future of voice interaction technology.Summary:As a VUI Designer, you will play a critical role in designing and developing voice user interfaces for our products and services. You will collaborate closely with cross-functional teams, including UX/UI designers, engineers, and product managers, to create intuitive and engaging voice experiences for our users.Responsibilities: Design and develop voice user interfaces for various platforms and devices, ensuring a seamless and user-friendly experience.Conduct user research to understand user behavior, needs, and pain points related to voice interactions.Create and manage dialog flows, scripts, and conversational designs for voice applications.Develop user personas and scenarios to inform the design of natural and context-aware conversations.Create prototypes and interactive mockups to test and refine voice interactions.Work closely with cross-functional teams, including UX/UI designers, developers, and product managers, to integrate VUI seamlessly into our products.Conduct usability testing and gather feedback to iterate and improve VUI designs.Ensure that voice interfaces are designed with accessibility principles in mind to accommodate users with disabilities.Stay up to date with industry trends, emerging technologies, and best practices in voice interaction design.
Qualifications: Bachelor's degree in computer science, or related field.Proven experience in designing voice user interfaces for web or mobile applications.Proficiency in VUI design tools and software (e.g., Dialogflow, Amazon Alexa Skills Kit, Google Actions).Experience in Genesys is a PlusStrong understanding of natural language processing and machine learning concepts.Excellent communication and collaboration skills.Attention to detail and a passion for creating intuitive user experiences.Ability to work in a fast-paced, agile development environment.Knowledge of accessibility standards and guidelines.Experience with speech recognition technologies.Familiarity with multi-modal design (voice and screen interactions).Experience with conversational AI platforms (e.g., IBM Watson, Microsoft Azure Bot Service).Knowledge of voice design for different languages and accents.","Information Technology & Services
            
              11-50 employees
            

              25 on LinkedIn",CRES Technology ,Pakistan, Pakistan ,Remote,,1 week ago,1,Contract,Not specified,11-50 employees,Not specified
Senior UI/UX Designer,"R-Technology · Karachi Division, Sindh, Pakistan (On-site)  
1 week ago",Full-time,https://www.linkedin.com/jobs/view/3728235345,51-200 employees,3728235345,https://www.linkedin.com/jobs/view/3728235345,"About the job
            

 
Position Overview:We're looking for a Senior UI/UX Designer to lead in making great user experiences. You'll create user-friendly designs, learn from users,, animations and improve designs through testing. Work with different teams, bring new ideas, and help shape our product's future. If you love user-centered design, come join us and make amazing user experiences happen.Key Responsibilities: Collaborate with product managers and developers to design user-friendly interfaces that meet business and user requirements.Utilize your animation expertise to create captivating and seamless animations that enhance user interactions and overall user experience.Conduct user research, including usability testing and user interviews, to gather insights and refine designs based on user feedback.Design visually appealing graphics, icons, and other elements to maintain a consistent and engaging visual identity.Stay up-to-date with industry trends and best practices in UI/UX design and animation to bring fresh ideas to the team.Work closely with cross-functional teams to ensure designs are feasible and aligned with project goals and timelines.
Qualifications: Bachelor's degree in a relevant field (e.g., Graphic Design, Animations, Interaction Design) or equivalent work experience.Minimum of 3-4 years of experience in UI/UX design, with a strong portfolio showcasing your work, including animation projects.Expertise in animation tools and software such as Adobe After Effects, Principle, or similar.Proficiency in UI/UX design tools such as Adobe XD, Figma, or Sketch.Strong understanding of user-centered design principles and usability best practices.
 Benefits: Competitive salaryFlexible work hoursProfessional development opportunities.A collaborative and creative work environment.","IT Services and IT Consulting
            
              51-200 employees
            

              10 on LinkedIn",R-Technology ,Karachi," Karachi Division, Sindh, Pakistan ",On-site,,1 week ago,1,Full-time,Not specified,51-200 employees,Not specified
UI/UX & Wordprress Designer,"HR Ways - Hiring Tech Talent · Karachi Division, Sindh, Pakistan (Hybrid)  
1 week ago",Full-time,https://www.linkedin.com/jobs/view/3728222029,11-50 employees,3728222029,https://www.linkedin.com/jobs/view/3728222029,"About the job
            

 
We are actively looking for UI/UX + Wordpress Designer (Hybrid-Karachi).About the job:HR Ways is a Tech Recruitment Company that helps candidates like yours, make it into world's & Pakistan's largest & Top Product platforms. With HR Ways, your recruitment process becomes seamless as we connect you with top employers for quick interviews and easier than ever on-boarding process. We also help you get the best deals and 360 Analysis of the company that you'd like to join. And oh, we recently placed Engineers in Emirates & Ebay!About the company we're hiring for:We're actively recruiting for UI/UX + Wordpress Designer for UAE’s largest compliance company. The company was founded by compliance and risk management professionals with well over 100 years of experience to address the need for a results driven intelligence based modular platform that addresses key regulatory challenges for the financial services companies globally. Since the system is built by practitioners, it takes into account the structural, policy and operational difficulties faced by different types of financial services firms of various sizes and complexity. Our solution is available as a SaaS or as an onsite solutionRegional offices are in Karachi, Doha, Qatar, Canada and Bahrain.Company Strength: 70+ EmployeesJob purpose Lead the design of applications with user interfaces; ensuring designs are aligned with user needs. Create information architecture and user interface designs for given systems. Contribute to creating a shared vision and strategy for user experience.
Duties and responsibilities: Strong stakeholder management and communication skills in gathering and evaluating user requirements.Illustrate design ideas using storyboards, process flows, user journeys, wireframes, mockups, prototypes, and sitemaps
Requirements: BSc Design, Computer Science or relevant field and 4 years of experienceMinimum 4 years of experience as a UI/UX Designer or similar role working with cross-disciplinary teamsPortfolio of design projectsKnowledge and experience of wireframe tools such as InVisionKnowledge and experience of design software such as Adobe Illustrator and PhotoshopKnowledge and being able to manage WordPress websitesStartup experience is a plus
Experience: 3+ Years Work Mode: Hybrid (4 Days Remote - 1 Day Office)Work Days: Mon - Fri Work Timings: 10:00 AM - 6:00 PMSalary: Upto 250K ( depends upon experience )Benefits: Provident FundAnnual Bonus Performance Based bonusMedical Insurance for family including OPDTraveling,Transportation Maternity. 20 Annual Leaves10 Sick LeavesLife Insurance
Location: Karachi (Bahria Complex)Interested candidates can drop updated resume along with updated portfolio at muneeba@hrways.co (not com)  For More Jobs, visit www.hrways.co/jobs","Human Resources Services
            
              11-50 employees
            

              77 on LinkedIn",HR Ways - Hiring Tech Talent ,Karachi," Karachi Division, Sindh, Pakistan ",Hybrid,,1 week ago,1,Full-time,Not specified,11-50 employees,Not specified
Game UI/UX Artist,"Invogue Technologies · Lahore, Punjab, Pakistan (On-site)  
1 week ago",Full-time,https://www.linkedin.com/jobs/view/3728204755,11-50 employees,3728204755,https://www.linkedin.com/jobs/view/3728204755,"About the job
            

 
Invogue Technologies is looking for a passionate Game UI/UX artist to join it's expanding team and offer attractive salary packages with multiple perks and benefits.Experience Required: 1 year to 3 yearsRequirements:- Send your latest portfolio (2D/3D) with/in your resume.-candidate should have good aesthetics and an eye for detail in UI design.-Proficiency in Adobe Suite (Adobe Photoshop, Illustrator, etc.)-Passion for working in the games industry.Job Roles:-Create new or support existing UI designs for mobile phone games.-Apply and maintain a consistent art style throughout the entire project interface.-Conceptualize original UI buttons, menu, and workflows.-Design smooth and fluid UIs, enhancing and optimizing user experience.-Organize 2D elements in a meaningful, clear, and usable way.Job Location: Akbar Chowk, Johar Town, LahoreIf you are looking for a new challenge, want to work with creative, innovative people, and grow in game development and designing, apply for this job NOW! at hr@invoguetechnologies.com","Software Development
            
              11-50 employees
            

              49 on LinkedIn",Invogue Technologies ,Lahore," Lahore, Punjab, Pakistan ",On-site,,1 week ago,1,Full-time,Not specified,11-50 employees,Not specified
