Job Title,Job Info,Job Type,Job Link_x,employees,Job ID,Job Link_y,Job Desception,Company Info,company,location_1,location_2,Remote/Onsite,n_applicant,job posting time,Job Type nElements,Job-Type,Experience Level,Comp_N_Employees,Comp_Industry
Web Developer - Internship,"ItCreaters · Lahore, Punjab, Pakistan (On-site)  
1 week ago

 · 51 applicants",Full-time,https://www.linkedin.com/jobs/view/3727034696,Mobeen Naqvi is hiring for this job,3727034696,https://www.linkedin.com/jobs/view/3727034696,"About the job
            

 
It is a progress-based paid internship of months leading to a job.You will work under an experienced team to learn and build your experience in web development.Should have basic knowledge of:• Web Design and development• HTML/HTML5• CSS/CSS3• JavaScript• Good understanding of programming fundamentals Functional Area.",,ItCreaters ,Lahore," Lahore, Punjab, Pakistan ",On-site,51,1 week ago,1,Full-time,Not specified,Not specified,Not specified
Web Designer,"Logicose · Karāchi, Sindh, Pakistan (On-site)  
2 weeks ago",Full-time,https://www.linkedin.com/jobs/view/3725785529,"501-1,000 employees",3725785529,https://www.linkedin.com/jobs/view/3725785529,"About the job
            

 
Company DescriptionLogicose is a leading technology and internet marketing company in Asia, serving a global clientele based in North America, the Arabian Gulf, and Europe. Since its establishment in 2009, Logicose is well-known for its constant innovation in technology services and success in attracting young and dynamic teams. The company's performance culture approach is recognized and rewarded. Our teams work to their strengths and hone their skills to evolve the way they work.Role DescriptionThis is a full-time on-site Web Designer role located in Karāchi. As a Web Designer, you will be tasked with designing website layouts, graphics, and visual elements, ensuring that they are high functioning, visually appealing, and optimized for user experience. Qualifications Skills in Web Design, Graphic Design, and Graphics are essentialExperience in UI/UX Design of online marketing creative collateralKnowledge of Adobe Creative Suite, Photoshop, and IllustratorStrong problem-solving and time management skillsAble to work in a team environment and also independentlyBachelor's degree in Computer Science, Web Design, Graphic Design, or related field
Salary package: 50,000 -70,000","IT Services and IT Consulting
            
              501-1,000 employees
            

              350 on LinkedIn",Logicose ,Karāchi," Karāchi, Sindh, Pakistan ",On-site,,2 weeks ago,1,Full-time,Not specified,"501-1,000 employees",Not specified
Web Developer,"Creative Spartans · Lahore, Punjab, Pakistan (On-site)  
1 week ago",Full-time,https://www.linkedin.com/jobs/view/3727036293,11-50 employees,3727036293,https://www.linkedin.com/jobs/view/3727036293,"About the job
            

 
Responsibilities:Collaborate with the design and development teams to create a seamless and engaging user experience.Customize and optimize WordPress themes and plugins to enhance the gaming platform's functionality.Implement responsive design techniques for optimal performance across devices.Integrate third-party APIs and services to enrich user interactions.Ensure the site's security, speed, and scalability through effective coding practices.Troubleshoot and resolve technical issues and bugs as they arise.Stay up-to-date with industry trends and emerging technologies to drive innovation.Qualifications:Proven experience as a WordPress Developer or similar role.Proficiency in HTML, CSS, JavaScript, and PHP.Strong understanding of WordPress core and plugin development.Experience with responsive design and mobile optimization.Familiarity with version control systems (e.g., Git).Solid problem-solving skills and attention to detail.Ability to work collaboratively in a fast-paced environment.A genuine interest in gaming and hyper-casual games is a plus.","Mobile Gaming Apps
            
              11-50 employees
            

              14 on LinkedIn",Creative Spartans ,Lahore," Lahore, Punjab, Pakistan ",On-site,,1 week ago,1,Full-time,Not specified,11-50 employees,Not specified
Lead Web Developer,"INFINITY CREATIVES LLC · Chakwāl, Punjab, Pakistan (Hybrid)  
2 weeks ago

 · 12 applicants",Full-time,https://www.linkedin.com/jobs/view/3723345433/?eBP=JOB_SEARCH_ORGANIC&refId=9N9Y%2FdWWBMuG8ZU4lrIiIg%3D%3D&trackingId=KvrpDa1EM10YZMqqNO78Tg%3D%3D&trk=flagship3_search_srp_jobs,Ali Raza is hiring for this job,3723345433,https://www.linkedin.com/jobs/view/3723345433,"About the job
            

 
We are excited to announce that we are currently seeking a talented Web Developer for our E-commerce projects, as well as a Full Stack Developer with expertise in ReactJS and Node.js. If you have 1 to 3 years of experience or more and think you would be a great fit, we would love for you to apply!Please take a moment to complete our application form here:https://lnkd.in/d85kXeuPWe are also happy to offer internship opportunities to recent Computer Science graduates. If you're interested, please fill out the same form and reach out to us.Our preferred working hours are during the evening, and we have a special interest in candidates from Chakwal City.Looking forward to hearing from you soon!",,INFINITY CREATIVES LLC ,Chakwāl," Chakwāl, Punjab, Pakistan ",Hybrid,12,2 weeks ago,1,Full-time,Not specified,Not specified,Not specified
Senior Web Developer,"Institute of Business Management · Karāchi, Sindh, Pakistan (On-site)  
2 weeks ago

 · 42 applicants",Full-time,https://www.linkedin.com/jobs/view/3727024794/?eBP=JOB_SEARCH_ORGANIC&refId=9N9Y%2FdWWBMuG8ZU4lrIiIg%3D%3D&trackingId=8CsNBJaNMOxHJvWNlpuxcw%3D%3D&trk=flagship3_search_srp_jobs,"501-1,000 employees",3727024794,https://www.linkedin.com/jobs/view/3727024794,"About the job
            

 
The ideal candidate is a creative problem solver who will work in coordination with cross-functional teams to design, develop, and maintain our next generation web application. You must be comfortable working as part of a team while taking the initiative to take lead on new innovations and projects.  Principle Functions:·      Develop web applications on PHP/Linux/MySQL/Apache framework.·      Build efficient, testable, and reusable PHP modules·      Coordinate with developers and keep Project Manager/HOD IT well informed of the status of development to fill data acquisition requirements·      Refactor, optimize and improve the existing codebase for maintenance and scale·      Keep abreast of new trends and best practices in web development·      Ensure HTML, CSS, and shared JavaScript is valid and consistent across applicationsRoutine Functions: ·      PHP based web applications development.·      PHP web frameworks such as Laravel, Yii, etc·      Work on front-end technologies, such as JavaScript, HTML5, and CSS3·      Knowledge of object oriented PHP programming·      Understanding accessibility and security compliance ·      Strong knowledge of the common PHP or web server exploits and their solutions·      Understanding fundamental design principles behind a scalable·      Understanding fundamental design principles behind a scalable application·      User authentication and authorization between multiple systems, servers, and environments·      Integration of multiple data sources and databases into one system·      Creating database schemas in coordination with DBA that represent and support business processes.Familiarity with SQL/NoSQL databases and their declarative query languages","Higher Education
            
              501-1,000 employees
            

              691 on LinkedIn",Institute of Business Management ,Karāchi," Karāchi, Sindh, Pakistan ",On-site,42,2 weeks ago,1,Full-time,Not specified,"501-1,000 employees",Not specified
Senior Web Developer,"VIRUNI · Islamabad, Islāmābād, Pakistan (On-site)  
2 weeks ago

 · 43 applicants",Full-time,https://www.linkedin.com/jobs/view/3728141520/?eBP=JOB_SEARCH_ORGANIC&refId=VYAhQlpawkFJ%2BtZBW0XGJg%3D%3D&trackingId=xkXFQ%2BdYgaCSoqg6TWgFfw%3D%3D&trk=flagship3_search_srp_jobs,1-10 employees,3728141520,https://www.linkedin.com/jobs/view/3728141520,"About the job
            

 
The ideal candidate is a creative problem solver who will work in coordination with cross-functional teams to design, develop, and maintain our next generation websites and web tools. You must be comfortable working as part of a team while taking the initiative to take lead on new innovations and projects.  Responsibilities Develop high-quality, responsive web applications, websites, and features using the latest web technologies.Implement and maintain best practices for code quality, including testing, version control, and documentation.Revise, edit, proofread & optimize web content.Perform code reviews, unit testing, and continuous integration.Work cross-functionally to enhance overall user experience of our platforms.Own various design tasks involved in the web development life cycle from start to finish.
Qualifications Bachelor's degree or equivalent experience in Computer Science.3+ years' of experience using HTML, CSS, and JavaScript.Proficiency in at least one server-side technology (Java, PHP, NodeJS, Python, Ruby)Ability to multi-task, organize, and prioritize work.","Marketing Services
            
              2-10 employees
            

              6 on LinkedIn",VIRUNI ,Islamabad," Islamabad, Islāmābād, Pakistan ",On-site,43,2 weeks ago,1,Full-time,Not specified,1-10 employees,Not specified
Web Designer,"Melior ITS · Islamabad, Islāmābād, Pakistan (On-site)  
2 weeks ago",Full-time,https://www.linkedin.com/jobs/view/3727028188/?eBP=JOB_SEARCH_ORGANIC&refId=reEeSXQll75rltawvtA8Xg%3D%3D&trackingId=cAK%2F6qsb5eaki1KI%2F%2FKU1g%3D%3D&trk=flagship3_search_srp_jobs,11-50 employees,3727028188,https://www.linkedin.com/jobs/view/3727028188,"About the job
            

 
This is a full-time on-site Web Designer role located in Islamabad. As a Web Designer, you will be tasked with designing website layouts, graphics, and visual elements, ensuring that they are high functioning, visually appealing, and optimized for user experience.Role and Responsibilities: Design intuitive and visually appealing user interfaces that align with business goals and user needs.Develop wireframes, prototypes, and interactive designs to communicate design concepts effectively.Create high-quality, pixel-perfect designs for websites, ensuring a seamless user experience across all devices.Produce graphic elements, including logos, icons, and illustrations, to enhance overall brand identity.Conduct user research and gather feedback to inform design decisions and improvements.Stay updated on industry trends, emerging technologies, and design best practices.
Qualifications: Proven experience as a Web Designer with a strong portfolio showcasing UX/UI and Graphic Design skills.Proficiency in industry-standard design and prototyping tools (e.g., Adobe XD, Illustrator, Sketch, Figma, etc.).Strong time management skillsAble to work in a team environment and also independentlySolid understanding of user-centered design principles and best practices.Experience with responsive design techniques and frameworks.Excellent communication skills and the ability to present and defend design concepts to stakeholders.Detail-oriented with a focus on producing high-quality, polished designs.
Preferred Qualifications: Bachelor's degree in Computer Science, Graphic Design, Web Design, UX/UI Designer related field.Experience in creating animations and interactive elements using CSS and JavaScript libraries.Knowledge of SEO best practices and web accessibility standards.
NOTE: Please share your portfolio/behance/Tumbler link.","Software Development
            
              11-50 employees
            

              32 on LinkedIn",Melior ITS ,Islamabad," Islamabad, Islāmābād, Pakistan ",On-site,,2 weeks ago,1,Full-time,Not specified,11-50 employees,Not specified
Web Designer,"TopSpot · Lahore, Punjab, Pakistan (On-site)  
2 weeks ago",Full-time,https://www.linkedin.com/jobs/view/3727022972/?eBP=JOB_SEARCH_ORGANIC&refId=FxNZG3Me8sttBY900QeNNQ%3D%3D&trackingId=1xEuOVayaILPagftCn6cUg%3D%3D&trk=flagship3_search_srp_jobs,51-200 employees,3727022972,https://www.linkedin.com/jobs/view/3727022972,"About the job
            

 
We are seeking a talented and creative Web Designer to join our team. The ideal candidate will have a strong understanding of design principles, user experience, and web development technologies. As a Web Designer, you will be responsible for creating visually appealing and user-friendly websites that meet our client's needs and align with our brand guidelines.You Must... Have 1 – 2 years of experience in the related fieldBe a designer of everything digital (websites, email marketing, social media, etc.)Believe content and users inform design and interactionUnderstand the interplay of design and development and have an appreciation for user experienceHave a working knowledge of responsive design principlesDesign visually appealing and responsive website layouts.Create user-friendly interfaces and optimize user experience (UX) and navigation.Develop graphics, images, videos, and multimedia elements for web use.Produce wireframes, mockups, and prototypes to visualize design concepts.Maintain and update websites with current and accurate content.Perform thorough testing to identify and resolve design and functionality issues.Stay updated with industry trends and design tools.Proficiency in design software like Adobe Creative Suite.Excellent communication and teamwork skills.Attention to detail and ability to manage multiple projects.Problem-solving skills and adaptability.Experience with content management systems (e.g., WordPress).Basic understanding of web accessibility standards.","IT Services and IT Consulting
            
              51-200 employees
            

              117 on LinkedIn",TopSpot ,Lahore," Lahore, Punjab, Pakistan ",On-site,,2 weeks ago,1,Full-time,Not specified,51-200 employees,Not specified
"Senior Full Stack Web Developer (PHP Laravel, VueJS, NodeJS)","NexGen Ventures · Lahore District, Punjab, Pakistan (On-site)  
2 weeks ago",Full-time,https://www.linkedin.com/jobs/view/3727005271/?eBP=JOB_SEARCH_ORGANIC&refId=uDn%2BD9A%2FYjmLbujNP1xvtQ%3D%3D&trackingId=C91usMveJ6jQnrDRVyhChw%3D%3D&trk=flagship3_search_srp_jobs,11-50 employees,3727005271,https://www.linkedin.com/jobs/view/3727005271,"About the job
            

 
We are looking for a Full Stack Developer to produce scalable software solutions. You’ll be part of a cross-functional team responsible for the entire software development life cycle, from conception to deployment. As a Full Stack Developer, you should be comfortable around both front-end and back-end languages, development frameworks, and third-party libraries. You should also be a team player with a knack for visual design and utility. We'd like to meet you if you’re also familiar with Agile methodologies.Responsibilities: Work with development teams and product managers to ideate software solutions.Design client-side and server-side architecture.Build the front-end of applications through appealing visual design.Develop and manage well-functioning databases and applicationsWrite effective APIs.Test software to ensure responsiveness and efficiency Troubleshoot, debug and upgrade software.Create security and data protection settings.Build features and applications with a mobile responsive design.Write technical documentation.Work with data scientists and analysts to improve software.
Requirements: 3 to 4 years proven experience as a Full Stack Developer or similar role.Experience developing scalable web applications.Familiarity with application deployment protocols and procedures.Knowledge of code versioning tools like Git is mandatory.Extensive knowledge of front-end frameworks like VueJS (Vue 3/ Composition API) or AngularJS).Knowledge of multiple back-end frameworks like Laravel, Slim, NodeJS (Deno).Familiarity with databases (e.g. MySQL, MongoDB, Firebase), web servers (e.g. Apache, Nginx).Excellent communication and teamwork skills.Great attention to detail Strong organizational and project management skills.An analytical mind.
Ability to commute/relocate: Lahore: Reliably commute or planning to relocate before starting work (Required)","Information Technology & Services
            
              11-50 employees
            

              21 on LinkedIn",NexGen Ventures ,Lahore," Lahore District, Punjab, Pakistan ",On-site,,2 weeks ago,1,Full-time,Not specified,11-50 employees,Not specified
Senior Web Developer,"DynamoLogic Solutions · Pakistan (Remote)  
2 weeks ago",Full-time,https://www.linkedin.com/jobs/view/3727017700/?eBP=JOB_SEARCH_ORGANIC&refId=uDn%2BD9A%2FYjmLbujNP1xvtQ%3D%3D&trackingId=h85PQRuhyyzFwq2VRV42qA%3D%3D&trk=flagship3_search_srp_jobs,51-200 employees,3727017700,https://www.linkedin.com/jobs/view/3727017700,"About the job
            

 
Job description:DynamoLogic Solutions is looking for a Senior WordPress developer with 5+ year of experience in backend technologies for a full-time (hybrid) job position.You will be a part of a creative team that is responsible for all aspects of the ongoing software development from the initial specification, to developing, testing and launching.Responsibilities:· Develop and Maintain WordPress websites· Optimize WordPress based websites for performance· Contribute to all phases of the development lifecycle· Hands-on experience in custom WordPress theme development.· Working knowledge of front and backend development· Familiarity with code versioning tools like GitHub· Experience in Plugin development and Plugin customizationRequirements:· BS/MS degree in Computer Science, Engineering or a related subject· 5+ years of experience in developing WordPress based websites· Comfortable working with both procedural and object-oriented PHP code· Demonstrable knowledge of Database design, SQL and version control tools· Knowledge of configuring & customizing themes, plugins, and templates· Proficient understanding of code versioning tools· Good at debugging and must have problem-solving skills· Basic understanding of front-end technologies· Proficient in backend technologies· Good verbal & written communication skills. Urgent joining requiredJob Type: Full-time","IT Services and IT Consulting
            
              51-200 employees
            

              111 on LinkedIn",DynamoLogic Solutions ,Pakistan, Pakistan ,Remote,,2 weeks ago,1,Full-time,Not specified,51-200 employees,Not specified
