Job Title,Job Info,Job Type,Job Link_x,employees,Job ID,Job Link_y,Job Desception,Company Info,company,location_1,location_2,Remote/Onsite,n_applicant,job posting time,Job Type nElements,Job-Type,Experience Level,Comp_N_Employees,Comp_Industry
Wordpress Developer,"NeuroCare.AI · Pakistan (Remote)  
2 weeks ago",$150/month - $300/month · Full-time,https://www.linkedin.com/jobs/view/3724308929/?eBP=JOB_SEARCH_ORGANIC&refId=7fUmgsEqTGS1bRM8QtYbVg%3D%3D&trackingId=t87pwEhfm%2FCrfSqbcNdpMA%3D%3D&trk=flagship3_search_srp_jobs,11-50 employees,3724308929,https://www.linkedin.com/jobs/view/3724308929,"About the job
            

 
Job Description: Senior WordPress DeveloperWe are looking for an experienced Senior WordPress Developer to join our team. As a Senior WordPress Developer, you will be responsible for developing and maintaining WordPress websites and plugins. You should have a deep understanding of WordPress architecture, theme development, and plugin customization.Responsibilities:- Developing and maintaining WordPress websites, themes, and plugins- Collaborating with designers and content creators to implement website features and functionality- Troubleshooting and resolving issues related to WordPress websites- Ensuring website security and implementing best practices for website performance and optimization- Keeping up-to-date with the latest WordPress trends and technologiesQualifications:- Bachelor's degree in Computer Science or a related field- Proven experience as a WordPress Developer, with a strong portfolio of WordPress websites and plugins- In-depth knowledge of WordPress, PHP, HTML, CSS, and JavaScript- Experience with responsive and mobile design- Strong problem-solving skills and attention to detail- Ability to work both independently and collaboratively in a team environment- Excellent communication and interpersonal skillsBenefits:- The work is 100% remote- Flexible work hours- Software tools are provided to make your job easier and more efficient.- Hardware and Internet will NOT be provided","Health and Human Services
            
              11-50 employees
            

              25 on LinkedIn",NeuroCare.AI ,Pakistan, Pakistan ,Remote,,2 weeks ago,2,Full-time,Not specified,11-50 employees,Not specified
Wordpress Developer,"Citrok · Lahore, Punjab, Pakistan (On-site)  
2 weeks ago",Full-time,https://www.linkedin.com/jobs/view/3727041238/?eBP=JOB_SEARCH_ORGANIC&refId=N%2F3m%2F9EChkBavkNrBDQXLg%3D%3D&trackingId=vU78R5SjGKME%2Bojx%2B8c2pw%3D%3D&trk=flagship3_search_srp_jobs,11-50 employees,3727041238,https://www.linkedin.com/jobs/view/3727041238,"About the job
            

 
To Apply please fill out this form:https://lnkd.in/dVP7Vb-dCITROK is looking for a Passionate WordPress Developer having experience of (2-3 years). Are you a talented DEVELOPER ready to develop beautiful enterprise Websites that reach customers at scale?Job Responsibilities:- Should have past experience in working on WordPress- Expert in frontend- Experience in Frontend, HTML & CSS- Should know about plugins/themes- Good design sense is Big Plus- Able to convert figma design into HTML/CSS- Able to develop a wordpress theme from scratch ( Non Customization).Requirements:- Team spirit, and strong communication skills to collaborate with various stakeholders and team members.- Multiple successful product/digital launches that drove meaningful impact on the business.- Someone with a ‘here to help attitude, who absolutely, fundamentally believes that we’re better together.","Software Development
            
              11-50 employees
            

              40 on LinkedIn",Citrok ,Lahore," Lahore, Punjab, Pakistan ",On-site,,2 weeks ago,1,Full-time,Not specified,11-50 employees,Not specified
Wordpress instructor,"University of South Asia · Lahore, Punjab, Pakistan (On-site)  
1 week ago",Full-time,https://www.linkedin.com/jobs/view/3728156465/?eBP=JOB_SEARCH_ORGANIC&refId=uDn%2BD9A%2FYjmLbujNP1xvtQ%3D%3D&trackingId=J%2Bnk3Iz42oCSBTqEl8VVrw%3D%3D&trk=flagship3_search_srp_jobs,201-500 employees,3728156465,https://www.linkedin.com/jobs/view/3728156465,"About the job
            

 
WordPress Instructor Wanted: Shape the Next Generation of WordPress Experts! 📍 Locations: Gulberg III, Cantt🕒 Type: Full-Time💰 Salary: Starting from PKR 55,000 to PKR 125,000 🌟 About UsWe are a leading training agency of an established University in Lahore with a 30-year history of excellence. We're on a mission to equip the next generation of tech leaders with the skills they need to thrive.  If you're passionate about WordPress and love teaching, we want you on our team!🎯 Job RoleAs a WordPress Instructor, you'll be responsible for:·        Teaching our In-House Designed course of Web Design and Development·        Reviewing course materials and curriculum and suggesting improvements·        Providing mentorship and guidance to students·        Keeping up-to-date with the latest WordPress trends and updates🎓 Qualifications·        Bachelor's degree in Computer Science or related field·        Strong expertise in WordPress development·        Excellent communication and teaching skills·        A passion for continuous learning and development🎁 Why Join Us?·        Competitive salary and benefits package·        Opportunity to shape the future of aspiring WordPress developers·        A supportive and collaborative work environment·        Career growth and development opportunities",,University of South Asia ,Lahore," Lahore, Punjab, Pakistan ",On-site,,1 week ago,1,Full-time,Not specified,201-500 employees,Not specified
WordPress backend developer,"Syntech · Lahore, Punjab, Pakistan (On-site)  
2 weeks ago",Full-time,https://www.linkedin.com/jobs/view/3726810093/?eBP=JOB_SEARCH_ORGANIC&refId=uDn%2BD9A%2FYjmLbujNP1xvtQ%3D%3D&trackingId=GJgKMm2sYjOtR%2BfDeQJjCQ%3D%3D&trk=flagship3_search_srp_jobs,See how you compare to 23 applicants. Reactivate Premium,3726810093,https://www.linkedin.com/jobs/view/3726810093,"About the job
            

 
WordPress Theme DevelopmentConvert the PSD into the UI and UI into the WordPress theme.Should have strong knowledge of Filters and Hooks.Should have experience with Elementor and WP Bakery visual composer.Proven work experience.Should have experience with WooCommerce Template customizationKnowledge or experience with WordPress plugin development.Expert HTML & CSS3 knowledgeDesigning Mobile Responsiveness SitesExpert API Integrations in WordPressDesign AestheticsModerate UX / UI KnowledgeSelf-learning",,Syntech ,Lahore," Lahore, Punjab, Pakistan ",On-site,,2 weeks ago,1,Full-time,Not specified,Not specified,Not specified
Wordpress Developer,"Invelo Agency · Lahore, Punjab, Pakistan (On-site)  
1 week ago",Full-time,https://www.linkedin.com/jobs/view/3727043460/?eBP=JOB_SEARCH_ORGANIC&refId=0VZjQrZ%2BPwAtd2PSEUmQnA%3D%3D&trackingId=8ap%2BPDlF9jZEwR01EprMBA%3D%3D&trk=flagship3_search_srp_jobs,11-50 employees,3727043460,https://www.linkedin.com/jobs/view/3727043460,"About the job
            

 
We are looking for an absolute WordPress legend in the making! If you are a beast with Wordpress web development who is highly skilled and motivated? This is the position for you. Salary up to 150k PKR, with benefits upon being a permanent employee. Work with top talent in Lahore while being cultivated in an international organizational culture. Play ping pong to beat the blues and monthly outings with the team for recreation. The successful candidate will be responsible for designing, developing, and maintaining complex WordPress sites and plugins, ensuring they are optimized for speed, security, and scalability. You will work closely with the front-end development team to ensure seamless integration of the website design and functionality.Key Responsibilities:* Design, develop, and maintain custom WordPress plugins, themes, and other backend features* Ensure website speed, scalability, and security through optimization of code and database* Integrate third-party APIs and services* Debugging and troubleshooting website issues* Documenting code and keeping up-to-date with the latest web development trends and technologies* Liaison with projects lead and update project management tool with updates and progress* Training juniorsRequirements:* Proven experience in WordPress development, with strong knowledge of PHP, MySQL, and WordPress CMS* Legendary grips on-site builders like Element or, divi and web flow is a bonus* Strong experience in developing custom plugins, themes, and backend features for WordPress* Experience with REST API, JSON, and other web technologies* Understanding of front-end technologies such as HTML, CSS, and JavaScript* Knowledge of version control systems, such as Git* Ability to work in a fast-paced environment, multi-task and meet deadlines* Excellent problem-solving skills and attention to detail* Excellent communication and teamwork skills* Deep understanding of site optimization, responsiveness, and attention to detail* You should be hands-on with the following: Google Analytics Goals (every thank you page = different goal), Google Tag Manager, Google Analytics (including GA4), Website checklist finalisation, Google Search Console, Workable forms + thank you page, Hotjar, CRM (Hubspot), Cookie / Privacy policy, Terms and conditions, Favicon, Logo, Google indexing, Search engine display, Digital Studio Report, Checkup on final quality points, Clean up all non-used pages (put them on draft or delete)* Proven track record of building solid web stores, web apps and websites * Proficient in written and verbal communication in English * Go-getter with a self-starter attitude* Very good taste in aesthetics and experience working with UI designers to make stunning custom UI/UX designs and implementing them with complete 100% efficacyEducation and Experience:* Bachelor's degree in Computer Science or a related field is preferred* At least 3 years of experience in the aforementioned scope* Candidates with experience working in IT houses and agencies will be preferred over freelancers","Marketing Services
            
              11-50 employees
            

              14 on LinkedIn",Invelo Agency ,Lahore," Lahore, Punjab, Pakistan ",On-site,,1 week ago,1,Full-time,Not specified,11-50 employees,Not specified
Wordpress Developer,"Studio WebWave · Pakistan (Remote)  
1 week ago",Full-time,https://www.linkedin.com/jobs/view/3727538551,11-50 employees,3727538551,https://www.linkedin.com/jobs/view/3727538551,"About the job
            

 
We are looking for an experienced WordPress Developer who will be responsible for both back-end and front-end development, including creating WordPress themes and plugins.Job Responsibilities:1. Responsible for coding, creating innovative designs, and designing the layout of our website.2. Web developer responsibilities which includes developing our website from initial concept to final completion, encompassing all aspects from the homepage to overall site structure and functionality.3. Develop and implement new features to enhance associated processes and tools, if required.4. Proficiency in Core PHP, MySQL, CSS, HTML, JavaScript, AJAX, and WordPress is essential.5. Maintain the existing codebase, including troubleshooting bugs and introducing new features.6. Capable of ensuring website security against hacking attacks and possesses the ability to work independently as well as part of a team.7. Skilled in project analysis and comprehension of client requirements.8. Able to create plugins from scratch.9. Proficient in developing WordPress themes from scratch.Required key skills and Qualifications:1. Good understanding of front-end technologies, including HTML5, CSS3, JavaScript, jQuery.2. Proficiency in Core PHP, MySQL, CSS, HTML, JavaScript, AJAX, Photoshop, and WordPress is required.3. Previous experience in constructing user interfaces for websites and/or web applications.4. Experience designing and developing responsive design websites.5. Comfortable working with debugging tools like Firebug, Chrome inspector, etc.6. Ability to understand CSS changes and their ramifications to ensure consistent style across platforms and browsers7. Ability to convert comprehensive layout and wireframes into working HTML pages8. Knowledge of how to interact with RESTful APIs and formats (JSON, XML)9. Proficient understanding of code versioning tools10. Strong grasp of PHP back-end development.As WordPress Developer, you will play a vital role in developing websites in a vast area. If you possess a genuine passion for WordPress Development, have a profound understanding of WordPress Development and surrounding knowledge, we warmly welcome you to join our team.","Software Development
            
              11-50 employees
            

              3 on LinkedIn",Studio WebWave ,Pakistan, Pakistan ,Remote,,1 week ago,1,Full-time,Not specified,11-50 employees,Not specified
Wordpress/PHP Developer With React.js,"Astute Solutions · Lahore, Punjab, Pakistan (On-site)  
1 week ago",Full-time,https://www.linkedin.com/jobs/view/3727518636,11-50 employees,3727518636,https://www.linkedin.com/jobs/view/3727518636,"About the job
            

 
NOTE:- This job requires minimum 2Years experience in WordPress/PHP with React.js Development Field.Please don't Apply if you don't have the relevant experience.We are looking for a WordPress Developer well versed back-end development, including programming skills namely PHP, React Js, and JavaScript as well as hands on experience with WordPress themes development & integration, APls and plugins development with React.js.Requirements:- Proven work experience as a WordPress Developer.Hands on experience developing Wordpress Plugins including integrating third party APIsWordPress themes development & integration,Knowledge of how to interact with RESTful APls and formats (JSON, XML)Ability to manage project.Good communication skills.Strong knowledge of the WordPress platformDivi Theme Builder Expert & WordPress Theme EditorUtilize your deep understanding of the WP library and other common practices to produce great WP-based productsPlugins development with React.js.Experience 3 to 2 Year.","Software Development
            
              11-50 employees
            

              53 on LinkedIn",Astute Solutions ,Lahore," Lahore, Punjab, Pakistan ",On-site,,1 week ago,1,Full-time,Not specified,11-50 employees,Not specified
Wordpress Developer,"Brain Art Marketing · Islamabad, Islāmābād, Pakistan (On-site)  
1 week ago",Full-time,https://www.linkedin.com/jobs/view/3728209296,11-50 employees,3728209296,https://www.linkedin.com/jobs/view/3728209296,"About the job
            

 
🚀 Join Our Team: Seeking a WordPress Developer Extraordinaire! 🌟Are you a passionate WordPress developer ready to take your career to new heights? Do you thrive on creating stunning websites that captivate and engage audiences? If so, we want YOU to join our dynamic team at Brain Art Marketing.🔑 **Why Join Us:**✨ **Challenging Projects:** At Brain Art Marketing, you'll work on diverse projects for clients across various industries. Every day brings new opportunities to hone your skills and expand your portfolio.🎯 **Innovation:** We're not just another agency. We're a creative hub where innovation and collaboration thrive. As a WordPress developer, you'll be part of a team that's always pushing the envelope.🌐 **Global Reach:** Our clients span the globe, giving you the chance to work on projects with a global impact. Expand your horizons and be part of a truly international team.💡 **Your Role:**As a WordPress Developer at Brain Art Marketing, you will:🔧 Develop and maintain WordPress websites, ensuring they're pixel-perfect and user-friendly.💡 Collaborate with our design and development teams to create custom themes and plugins.🔄 Optimize website performance, security, and SEO.🔍 Troubleshoot and resolve technical issues efficiently.🚀 **Requirements:**📌 Proven experience as a WordPress Developer with a portfolio showcasing your work.🧰 Proficiency in HTML, CSS, JavaScript, and PHP.🎨 Strong understanding of responsive design principles.🛠️ Familiarity with popular plugins and themes.🔐 Knowledge of website security best practices.📈 **What We Offer:**🤝 Competitive salary and performance-based bonuses.🌴 Flexible work environment –🌟 Continuous learning and professional development opportunities.🏆 A collaborative and supportive team culture.#WordPressDeveloper #WebDevelopment #CareerOpportunity #JoinOurTeam #DigitalAgency #WordPressJobs #WebDeveloper #Innovation #WebDesign #WordPressDevelopment","IT Services and IT Consulting
            
              11-50 employees
            

              17 on LinkedIn",Brain Art Marketing ,Islamabad," Islamabad, Islāmābād, Pakistan ",On-site,,1 week ago,1,Full-time,Not specified,11-50 employees,Not specified
Wordpress Developer,"Fabulous Technology Solutions · Sialkot, Punjab, Pakistan (On-site)  
1 week ago

 · 28 applicants",Full-time,https://www.linkedin.com/jobs/view/3728204028,51-200 employees,3728204028,https://www.linkedin.com/jobs/view/3728204028,"About the job
            

 
Company DescriptionFabulous Technology Solutions is a globally recognized IT software solution company that offers state-of-the-art professional services. The company has positioned itself as the top IT company in Pakistan, providing computing strategies and solutions to national and international clients. With over 600 successful projects accomplished in multiple regions, Fabtechsol is a global leader in delivering business applications, software, and mobile applications to enterprises of all sizes. The company is dedicated to empathizing, strategizing, and innovating with cutting-edge tech and industry-best practices to transform legacy systems and empower customers to become competitive business players.Role DescriptionThis is a full-time on-site role for a Wordpress Developer located in Sialkot. The Wordpress Developer will be responsible for back-end web development, front-end development, responsive web design, web design, and web development. Day-to-day tasks include creating and modifying themes and plugins, building and maintaining custom Wordpress templates, and developing responsive, cross-browser compatible user interfaces.Qualifications Back-end web development skills including WordPress, PHP, and MySQLFront-end development skills including HTML5, CSS3, JavaScript, and jQueryExperience in responsive web design and web developmentDemonstrated ability to create and modify themes and pluginsExperience in building and maintaining custom WordPress templatesAbility to develop responsive, cross-browser compatible user interfacesKnowledge of SEO principles and practices is a plusBachelor's Degree in Computer Science, Software Engineering, or related field","Software Development
            
              51-200 employees
            

              30 on LinkedIn",Fabulous Technology Solutions ,Sialkot," Sialkot, Punjab, Pakistan ",On-site,28,1 week ago,1,Full-time,Not specified,51-200 employees,Not specified
WordPress Plugin Developer JD,"eSpark Consulting Group · Karachi Division, Sindh, Pakistan (On-site)  
1 week ago",Full-time,https://www.linkedin.com/jobs/view/3728204651,51-200 employees,3728204651,https://www.linkedin.com/jobs/view/3728204651,"About the job
            

 
SR. PHP/WordPress Plugin Developer JD Job Description: We are looking for Sr. PHP/WordPress Plugin Developer to join our dynamic team. As a developer, you would be responsible for creating plugins and managing WordPress websites. Your expertise in Front-end and Back-end development, WordPress website development, and must-know JavaScript can create websites by using different themes and designs. Responsibility: Creating customer demand, and user-friendly WordPress websites by using different themes and designs. Creating Plugin Development. Customize WordPress themes and plugins to meet project requirements. Develop Front-End designs using HTML, CSS, JavaScript/jQuery Develop Back-end designs to maintain custom-made WordPress websites, themes, and designs by using PHP and SQL. To optimize the website for its better performance, speed, SEO, and use other techniques. Developing comprehensive documentation of WordPress projects, including its specifications, and code comments for future reference. Work with content creators, developers, designers, and other team members to create more appealing websites. Identify and resolve technical issues, errors, and bugs to have a smooth user experience. Implement security best practices to protect against website threats. Stay up to date with the latest trends, designs, and techniques. 
  Qualification: Bachelor’s degree in computer science or similar Experience: Preferably 3 plus years of experience as a Sr. PHP/WordPress Plugin Developer. Requirements:   Strong command of JavaScript/jQuery and can write plugins. Must Know Plugin Development. Proficiency in CSS, HTML, PHP, SQL. Knowledge of website performance and SEO. Excellent communication skills and can work collaboratively within a team. Self-motivated and can work on multiple tasks. 
 Job Type: Full Time – Onsite Location: Gulistan e Johar block1, Blossom Trade Center  eSpark Consulting Group offers you the following benefits:   Paid time off Flexible work hours Medical coverage Bi-Annual Increment Life Insurance 
 If you can demonstrate that you meet the criteria above, please contact us as soon as possible. Please share relevant resumes at the email address mentioned below:hr@esparkconsultants.com","Software Development
            
              51-200 employees
            

              109 on LinkedIn",eSpark Consulting Group ,Karachi," Karachi Division, Sindh, Pakistan ",On-site,,1 week ago,1,Full-time,Not specified,51-200 employees,Not specified
