Job Title,Job Info,Job Type,Job Link_x,employees,Job ID,Job Link_y,Job Desception,Company Info,company,location_1,location_2,Remote/Onsite,n_applicant,job posting time,Job Type nElements,Job-Type,Experience Level,Comp_N_Employees,Comp_Industry
Game Tester,"Khaleef Technologies · Lahore, Punjab, Pakistan (On-site)  
1 week ago

 · 51 applicants",Full-time,https://www.linkedin.com/jobs/view/3727043375,51-200 employees,3727043375,https://www.linkedin.com/jobs/view/3727043375,"About the job
            

 
We are seeking an experienced Game Tester with 2 to 4 years of experience to join our Quality Assurance team at Khaleef Technologies. As a Game Tester, you will play a crucial role in ensuring the quality and functionality of our video games before they are released to the market. You will be responsible for thoroughly testing games, identifying bugs, and glitches, and providing valuable feedback to improve the gaming experience.  Key Responsibilities: - Review the assigned portion of the game to identify bugs, glitches, and other issues. - Understand and analyze game patterns, mechanics, and dynamics. - Document identified bugs and glitches in the designated database with accurate and detailed information. - Develop test plans and create manual test cases to effectively evaluate game functionality. - Collaborate with the development team to ensure timely resolution of surfaced issues. - Write comprehensive daily, weekly, or monthly reports detailing testing activities and results. - Validate test cases with each game build and version. - Evaluate the technical performance of the game, including load times, frame rates, and overall stability. - Utilize your expertise in manual game testing to identify gameplay flaws and user experience inconsistencies. - Utilize bug-tracking systems to manage and prioritize reported issues.  Qualifications: - Bachelor's degree in computer science or a related field. - 2 to 4 years of experience as a video game tester. - Strong passion for gaming and an in-depth understanding of video game design principles. - Proficient computer skills and familiarity with various gaming platforms, including PC, console, and mobile. - Advanced knowledge of game dynamics, sandbox explorations, side quests, and hidden levels. - Exceptional attention to detail and ability to focus for extended periods. - Excellent communication skills to effectively convey issues and feedback to the development team. - Patience, persistence, and the ability to approach tasks methodically. Preferred Qualifications: - Familiarity with coding languages and scripting for game testing automation. - Experience with performance and compatibility testing. - Previous experience in communicating with game designers to suggest improvements and modifications.","IT Services and IT Consulting
            
              51-200 employees
            

              99 on LinkedIn",Khaleef Technologies ,Lahore," Lahore, Punjab, Pakistan ",On-site,51,1 week ago,1,Full-time,Not specified,51-200 employees,Not specified
UX & Game Character Designer,"HR Ways - Hiring Tech Talent · Lahore, Punjab, Pakistan (Remote)  
2 weeks ago",Full-time,https://www.linkedin.com/jobs/view/3727003369/?eBP=JOB_SEARCH_ORGANIC&refId=reEeSXQll75rltawvtA8Xg%3D%3D&trackingId=u9tNNOYUHxUO54SYpWiTfA%3D%3D&trk=flagship3_search_srp_jobs,11-50 employees,3727003369,https://www.linkedin.com/jobs/view/3727003369,"About the job
            

 
We are actively looking for UX & Game Character Designer (Lahore - Remote)About the job:HR Ways is a Tech Recruitment Company that helps candidates like yours, make it into world's & Pakistan's largest & Top Product platforms. With HR Ways, your recruitment process becomes seamless as we connect you with top employers for quick interviews and easier than ever on-boarding process. We also help you get the best deals and 360 Analysis of the company that you'd like to join. And oh, we recently placed Engineers in Emirates & Ebay!About the company we're hiring for:We are seeking a UX & Game Character Designer for US-based software company headquartered in Seattle, Washington, and office in Lahore, Pakistan. They are developers of a leading-edge software platform that plans, deploys, manages, and orchestrates applications in the Cloud. The company's platform is the next generation, low-code, visual drag n drop SaaS platform for developers, making Kubernetes application development easy, painless and fast. They are changing the way developers create, test, debug and deploy Kubernetes applications.Are you a visionary UX designer ready to shape digital experiences that dazzle? We’re looking for a creative genius who can blend business needs and tech know-how into captivating user journeys. Your mission is to dive into user insights, sculpting them into visual wonders like sitemaps and engaging mockups. But it doesn’t stop there – you’ll also be the architect of functionality, ensuring our product delivers an extraordinary user experience, constantly refining it based on user feedback. If your portfolio sparkles with web mobile and game character design, we’re eager to meet you. Join us in crafting digital experiences that don’t just look good but also leave users utterly enchanted!Responsibilities Gather and evaluate requirements in collaboration with the cross-functional team.Design and deliver wireframes, user stories, user journeys, and mockups optimized for a wide range of devices and interfaces.Create original illustrative graphic designs like characters and objects and have experience with the game design.Identify design usability issues and find solutions.Ability to communicate raw ideas, internal teams, and key stakeholdersUnderstand product specifications and user psychologyConduct concept and usability testing and gather feedbackDefine the right interaction model and evaluate its successWork with Frontend Engineers to implement attractive designsKeep abreast of competitor products and industry trends
Qualifications: 2-4 Years of Experience: Proven experience in UX design, web application design, and character design. A portfolio showcasing relevant work is a must.A genuine love for designing captivating user experiences and characters that resonate with children.A strong understanding of user-centered design principles and the ability to apply them effectively.Proficiency in design and prototyping tools such as Figma, Sketch, Adobe Illustrator, Adobe Photoshop, InVision, Wireframe.cc, UXPin, etc.Communication: Excellent communication skills to collaborate effectively with cross-functional teams.A solid grasp of user-centered design (UCD), planning and conducting user research, user testing, A/B testing, rapid prototyping, heuristic analysis, usability, and accessibility concerns.
Experience: 2 - 3 YearsWork Mode: Remote at the moment but later can be onsite LahoreWork Timings: 10AM to 7PM (Flexible)Work Days: Monday to FridaySalary Range: Depends on Experience and Expertise (Paid in PKR)Drop your updated resume along with updated portfolio at muneeba@hrways.co (not com) For More Jobs, visit www.hrways.co/jobs","Human Resources Services
            
              11-50 employees
            

              77 on LinkedIn",HR Ways - Hiring Tech Talent ,Lahore," Lahore, Punjab, Pakistan ",Remote,,2 weeks ago,1,Full-time,Not specified,11-50 employees,Not specified
Game Developer,"BiTMESH Technologies · Lahore, Punjab, Pakistan (On-site)  
2 weeks ago

 · 51 applicants",Full-time,https://www.linkedin.com/jobs/view/3727011788/?eBP=JOB_SEARCH_ORGANIC&refId=N%2F3m%2F9EChkBavkNrBDQXLg%3D%3D&trackingId=43fynM0%2FaT86Oe%2BiyQwueg%3D%3D&trk=flagship3_search_srp_jobs,11-50 employees,3727011788,https://www.linkedin.com/jobs/view/3727011788,"About the job
            

 
you will play a crucial role in the creation and development of our cutting-edge video games. Working collaboratively with a team of talented artists, designers, and programmers, you will contribute your expertise to shape gameplay mechanics, graphics, sound, and overall player experience. This role offers an exciting opportunity to contribute to the entire game development lifecycle and bring our visions to life. Proficiency in programming languages such as C++, C#.- Strong understanding of game development principles, algorithms, and data structures.- Experience with game engines such as Unity, Unreal Engine.- Solid debugging and problem-solving skills to identify and address technical issues.- Ability to work effectively in a collaborative, team-oriented environment.- Passion for video games, with a deep understanding of various genres and player preferences.","Software Development
            
              11-50 employees
            

              4 on LinkedIn",BiTMESH Technologies ,Lahore," Lahore, Punjab, Pakistan ",On-site,51,2 weeks ago,1,Full-time,Not specified,11-50 employees,Not specified
Unity Developer,"Coeus Solutions  · Lahore, Punjab, Pakistan (On-site)  
2 weeks ago

 · 51 applicants",Full-time,https://www.linkedin.com/jobs/view/3524694199/?eBP=JOB_SEARCH_ORGANIC&refId=uDn%2BD9A%2FYjmLbujNP1xvtQ%3D%3D&trackingId=p4C%2B9VEe%2FqdYdOXy2ltfiw%3D%3D&trk=flagship3_search_srp_jobs,51-200 employees,3524694199,https://www.linkedin.com/jobs/view/3524694199,"About the job
            

 
We are seeking a C-Sharp (C#) developer. Your primary responsibilities will include coredevelopment, and implementing functionality. A commitment to collaborative problem solving,sophisticated design, and a quality product are essential.Important: Solid programming skills in C#.Good Understanding of development life-cycle and its phases.Experience writing well-structured and maintainable code for 3D/2D applications in Unity and a good understanding of Unity Engine.Good overall programming skills (naming variables, debugging, etc.)Should be able to implement game features/mechanics as per requirement.Have an agile mindset and focus on fast-iterations.
Experience level:• 3 - 5 years of experienceRequirements: B.S/M.S in Computer Science or related field.Ability to take extreme ownership over your work.A positive mindset and can-do attitude.You work well within a team environment and enjoy working in the office with your colleagues.
Share your Cv at careers@coeus-solutions.de","Technology, Information and Internet
            
              51-200 employees
            

              130 on LinkedIn",Coeus Solutions  ,Lahore," Lahore, Punjab, Pakistan ",On-site,51,2 weeks ago,1,Full-time,Not specified,51-200 employees,Not specified
Unity  Android Mobile Game Developer,"Techndevs · Lahore, Punjab, Pakistan (On-site)  
2 weeks ago",Full-time,https://www.linkedin.com/jobs/view/3727037544/?eBP=JOB_SEARCH_ORGANIC&refId=BxmWtiphDV%2FXh0pD%2Fk6fTA%3D%3D&trackingId=U0iiReobgOQh440S0JvjZA%3D%3D&trk=flagship3_search_srp_jobs,11-50 employees,3727037544,https://www.linkedin.com/jobs/view/3727037544,About the job,,Techndevs ,Lahore," Lahore, Punjab, Pakistan ",On-site,,2 weeks ago,1,Full-time,Not specified,11-50 employees,Not specified
Game Planner,"Apex Logics · Islamabad, Islāmābād, Pakistan (On-site)  
1 week ago",Full-time,https://www.linkedin.com/jobs/view/3727394952,11-50 employees,3727394952,https://www.linkedin.com/jobs/view/3727394952,About the job,,Apex Logics ,Islamabad," Islamabad, Islāmābād, Pakistan ",On-site,,1 week ago,1,Full-time,Not specified,11-50 employees,Not specified
Game Marketer Manager,"NESL-IT (SMC) PVT LTD · Rawalpindi, Punjab, Pakistan (On-site)  
1 week ago",Full-time,https://www.linkedin.com/jobs/view/3727540616,11-50 employees,3727540616,https://www.linkedin.com/jobs/view/3727540616,"About the job
            

 
Key Responsibilities: Develop Digital Marketing Strategies: Create and implement effective digital marketing strategies to promote mobile apps and games, including social media marketing, search engine optimization (SEO), email marketing, and paid advertising campaigns.User Acquisition: Identify and target key user segments to drive app installations and game downloads through various channels such as app stores, social media, and advertising networks.App Store Optimization (ASO): Optimize app store listings (e.g., App Store, Google Play) to improve search visibility and increase downloads.Content Creation: Generate engaging and relevant content, including graphics, videos, and ad copy, to enhance app and game promotion across digital platforms.Performance Tracking: Monitor and analyze campaign performance using analytics tools to refine marketing strategies and achieve KPIs.User Engagement: Develop strategies to increase user engagement, retention, and in-app purchases for games.Competitor Analysis: Keep abreast of industry trends and competitor activities to maintain a competitive edge.Budget Management: Manage digital marketing budgets efficiently and allocate resources to achieve the best ROI.Collaboration: Collaborate with cross-functional teams, including developers, designers, and product managers, to ensure marketing efforts align with product goals.
Qualifications: Bachelor's degree in Marketing, Business, or a related field (Master's degree is a plus).Experience ( 2 - 3 years ) Proven experience in digital marketing, preferably in promoting mobile apps and games.Proficiency in digital marketing tools and platforms, including social media advertising, Google Ads, and ASO tools.Strong analytical skills and the ability to interpret data to make informed marketing decisions.Excellent communication and creative skills.A passion for mobile apps and games is a plus.
Benefits: Competitive salaryHealth and wellness benefitsOpportunities for professional growthDynamic and creative work environment
#marketing #gameunity #softwarehouse #hiring23 # urgenthiring #rawalpindijobs #greatopportunity #seo #aso #3dgames","Software Development
            
              11-50 employees
            

              60 on LinkedIn",NESL-IT (SMC) PVT LTD ,Rawalpindi," Rawalpindi, Punjab, Pakistan ",On-site,,1 week ago,1,Full-time,Not specified,11-50 employees,Not specified
"Senior Unity Developer, gt.school (Remote) - $100,000/year USD","Crossover  · Islamabad, Islāmābād, Pakistan (Remote) Reposted  
1 day ago

 · 74 applicants",Full-time · Mid-Senior level,https://www.linkedin.com/jobs/view/3727370584,"5,001-10,000 employees · IT Services and IT Consulting",3727370584,https://www.linkedin.com/jobs/view/3727370584,"About the job
            

 
Crossover is the world's #1 source of full-time remote jobs. Our clients offer top-tier pay for top-tier talent. We're recruiting this role for our client, gt.school. Have you got what it takes?At gt.school, we’re looking to transform education using technology. We’re using coaching, metrics, and instant feedback to teach students to learn on their own using highly adaptive learning apps.We’re looking for a Unity Game Developer to help us build a supporting app for our educational process that allows students to visualize their knowledge graph in the form of a Janga stack and make filling in their gaps and strengthening their stack a fun game they can play with colleagues.We’re looking for someone able to commit at least 30 hours per week for at least the next 2-3 quarters to undertake this bigger project.What You Will Be DoingSenior Unity Developer key responsibilitiesBasic Requirements Experience developing 3D games in Unity for at least 2 yearsExperience as a developer for at least 4 years
About Gt.schoolGT School is an EdTech Startup that leverages technology, AI, and subject matter experts to cultivate a new way of learning. Our unique approach leverages 50+ years of learning science, cutting-edge data analytics and high-performance coaching. In doing so, we can help students learn more, learn faster, and learn better - and have fun while doing it. We are a remote-first company that hires globally via Crossover.There is so much to cover for this exciting role, and space here is limited. Hit the Apply button if you found this interesting and want to learn more. We look forward to meeting you!Working with CrossoverThis is a full-time (40 hours per week), long-term position. The position is immediately available and requires entering into an independent contractor agreement with Crossover. The compensation level for this role is $50 USD/hour, which equates to $100,000 USD/year assuming 40 hours per week and 50 weeks per year. The payment period is weekly. Consult www.crossover.com/help-and-faqs for more details on this topic.What to expect next: You will receive an email with a link to start your self-paced, online job application.Our hiring platform will guide you through a series of online “screening” assessments to check for basic job fit, job-related skills, and finally a few real-world job-specific assignments.
Important! If you do not receive an email from us: First, emails may take up to 15 minutes to send, refresh and check again.Second, check your spam and junk folders for an email from Crossover.com, mark as “Not Spam” since you will receive other emails as well.Third, we will send to whatever email account you indicated on the Apply form - by default, that is the email address you use as your LinkedIn username and it might be different than the one you have already checked.If all else fails, just reset your password by visiting https://www.crossover.com/auth/password-recovery if you already applied using LinkedIn EasyApply.
Crossover Job Code: LJ-4979-PK-Islamaba-SeniorUnityDev.005","IT Services and IT Consulting
            
              5,001-10,000 employees
            

              2,528 on LinkedIn",Crossover  ,Islamabad," Islamabad, Islāmābād, Pakistan ",Remote,74,1 day ago,2,Full-time,Mid-Senior level,"5,001-10,000 employees ", IT Services and IT Consulting
Trainee Unreal engine developer,"Narsun Studios · Lahore, Punjab, Pakistan (On-site)  
1 week ago

 · 41 applicants",Full-time,https://www.linkedin.com/jobs/view/3728208138,51-200 employees,3728208138,https://www.linkedin.com/jobs/view/3728208138,"About the job
            

 
Job Description:Narsun Studios is seeking a motivated Trainee Unreal Engine Developer to join our team. While prior experience in Unity is a plus, we are looking for someone who is enthusiastic about transitioning their skills to Unreal Engine. This is a fantastic opportunity to learn from experienced developers and work on exciting game projects.Key Responsibilities:Collaborate with senior developers to create and implement gameplay features, systems, and mechanics using Unreal Engine.Assist in optimizing and debugging game code to ensure smooth gameplay experiences.Learn and adapt to Unreal Engine's workflows and best practices.Contribute to brainstorming sessions and provide creative input for game design.Stay up-to-date with Unreal Engine updates, technologies, and industry trends.Work closely with cross-functional teams, including artists, designers, and producers, to achieve project goals.Requirements:Strong desire to learn and develop skills in Unreal Engine, with prior experience in Unity.Basic understanding of game development concepts, programming languages (C++, Blueprints), and debugging techniques.Good problem-solving skills and the ability to work effectively in a team.Strong communication skills and the ability to collaborate with colleagues of various disciplines.Passion for video games and a keen interest in the gaming industry.Bachelor's degree in Computer Science, Game Development, or a related field (or equivalent experience).","IT Services and IT Consulting
            
              51-200 employees
            

              108 on LinkedIn",Narsun Studios ,Lahore," Lahore, Punjab, Pakistan ",On-site,41,1 week ago,1,Full-time,Not specified,51-200 employees,Not specified
Unity Developer,"7Vision Technologies · Islamabad, Islāmābād, Pakistan (On-site)  
1 week ago

 · 19 applicants",Full-time,https://www.linkedin.com/jobs/view/3728216329,11-50 employees,3728216329,https://www.linkedin.com/jobs/view/3728216329,"About the job
            

 
We are hiring for Unity Game DeveloperJob Title: Unity Game DeveloperPosition: 4Location: Islamabad Bahria Town Phase 7 ( On-site)Experience: 1-2 YearResponsibilities:1. Implement game functionality as per communicated design 2. Translate design specification into functional game 3. Communicate with other team members to establish effective pipeline and integrate media assets 4. Design, build, and maintain efficient, reusable, and reliable code 5. Ensure the best possible performance, quality, and responsiveness of applications 6. Identify bottlenecks and bugs, and devise solutions to address and mitigate these problems 7. Help maintain code quality, organization, and automatization.8 ANRs Crashing Solving Problems9 ADs Firebase Knowledge mediation","Mobile Gaming Apps
            
              11-50 employees
            

              9 on LinkedIn",7Vision Technologies ,Islamabad," Islamabad, Islāmābād, Pakistan ",On-site,19,1 week ago,1,Full-time,Not specified,11-50 employees,Not specified
