Job Title,Job Info,Job Type,Job Link_x,employees,Job ID,Job Link_y,Job Desception,Company Info,company,location_1,location_2,Remote/Onsite,n_applicant,job posting time,Job Type nElements,Job-Type,Experience Level,Comp_N_Employees,Comp_Industry
PHP & Mern Stack Trainee Program,"Bikter Tech · Islamabad, Islāmābād, Pakistan (On-site)  
2 weeks ago

 · 51 applicants",Full-time,https://www.linkedin.com/jobs/view/3726669748,11-50 employees,3726669748,https://www.linkedin.com/jobs/view/3726669748,"About the job
            

 
Location: Bahria Town, IslamabadDuration: 3 Months Opportunity: Possibility of a full-time position upon successful completion of the internship.What We're Looking for?We are seeking a highly motivated PHP & MERN Stack Intern to join our dynamic team in Islamabad. As an intern, you will have the unique opportunity to work on challenging projects, gain valuable hands-on experience, and contribute to the development of web applications. If you are eager to learn, passionate about web development, and want to grow your skills, we would love to hear from you!Responsibilities Collaborate with the development team to create, modify, and maintain web applications using PHP and the MERN Stack.Assist in designing, implementing, and managing databases, APIs, and user interfaces.Write efficient, maintainable, and well-documented code, following established coding standards and best practices.Debug and troubleshoot issues to ensure seamless performance and optimal user experience.Actively participate in code reviews, providing constructive feedback to enhance code quality.Stay updated with the latest technologies and trends, incorporating them into project development.
Skills & Qualifications Pursuing or recently completed a degree in Computer Science, Software Engineering, or a related field.Basic understanding and knowledge of PHP and MERN Stack technologies (MongoDB, Express.js, React.js, Node.js).Familiarity with front-end technologies: HTML, CSS, JavaScript.Strong problem-solving abilities and attention to detail.Excellent communication and collaboration skills, both within a team and with stakeholders.Eagerness to learn, adapt, and contribute to a collaborative work environment.","IT Services and IT Consulting
            
              11-50 employees
            

              12 on LinkedIn",Bikter Tech ,Islamabad," Islamabad, Islāmābād, Pakistan ",On-site,51,2 weeks ago,1,Full-time,Not specified,11-50 employees,Not specified
PHP Developer Required,"Careerinfo360. · Islamabad, Islāmābād, Pakistan (On-site) Reposted  
1 week ago",Full-time,https://www.linkedin.com/jobs/view/3723340874/?eBP=JOB_SEARCH_ORGANIC&refId=7fUmgsEqTGS1bRM8QtYbVg%3D%3D&trackingId=OmJoWdCa6jqEafble2DBqQ%3D%3D&trk=flagship3_search_srp_jobs,See how you compare to 118 applicants. Reactivate Premium,3723340874,https://www.linkedin.com/jobs/view/3723340874,"About the job
            

 
Job Description For PHP Developer careerinfo360.com:Work with the other team members and effectively mentor them. Before making a final decision, you must share your work with your manager if you are developing a theme for a PHP website or WordPress project. As a PHP Developer, you must ensure that you always make modifications to the development copy of all projects and obtain your manager’s approval before implementing them into the live project. Control Panel Administration. Management of user accounts, including hosting and email. Administration of hosting accounts.Responsibilities:You are responsible for performing the final beta testing before handing it off to the project manager. You must ensure that there are no development-related errors following thorough backend and frontend testing. Make sure the documentation for our program is current. You have to update your Asana daily tasks before the shift ends. You are not permitted to bring personal laptops or other electronic devices to work, nor are you permitted to take images of anything that is linked to your job. (for example, code credentials). Taking care of hosting account information and domains. Verify delivery of emails by adjusting DNS settings for various accounts. Establishing and maintaining email accounts. Handle several website accounts, such as FTP, DB, and admins. Managing website and server-related issues and corresponding with necessary support departments. Regularly oversee the hosting and domains of clients. Handling product parking and assisting the QA representative with technical documents. Talk to junior developers on today’s tasks. Transferring accounts between servers. Manage payment information, API data, and associated credentials. Establishing development environments and periodically updating them. Integrating third-party APIs. Assisting and assisting other team members with their jobs. Maintain a secure sheet with a record of all accounts and passwords.Qualifications:Bs in Software Or IT-related fields.Good grip in web development.Location:Islamabad’s G-8 Markaz India Schedule: 12:30 p.m. to 10:00 p.m. Full-time (on-site) employment type PayBenefits:Competitive Market Salary + Annual Bonuses For Contact Information.Landline:051-8441525 Cell Phone: 0318-5446824Type of Job:Full-Time Type of Job: Full-Time Compensation: Up to Rs. 75,000.00 a month Capacity to commute or move Islamabad Plan to move before beginning employment or commute consistently (Required) learn how to get a job from here.",,Careerinfo360. ,Islamabad," Islamabad, Islāmābād, Pakistan ",On-site,,1 week ago,1,Full-time,Not specified,Not specified,Not specified
mid Lavel Laravel Developer,"Zactra Inc · Faisalabad, Punjab, Pakistan (On-site)  
2 weeks ago",Full-time,https://www.linkedin.com/jobs/view/3727009850/?eBP=JOB_SEARCH_ORGANIC&refId=N%2F3m%2F9EChkBavkNrBDQXLg%3D%3D&trackingId=ZHon2%2Bk67Mojveky1m%2BYaA%3D%3D&trk=flagship3_search_srp_jobs,11-50 employees,3727009850,https://www.linkedin.com/jobs/view/3727009850,"About the job
            

 
**Job Title:** Php Developer**Job Description:**Are you a skilled Laravel Developer looking to join an innovative and dynamic team? We're seeking a talented individual to take on the role of Laravel Developer at our company. As a Laravel Developer, you will play a crucial role in designing and implementing web applications using the Laravel PHP framework. Your responsibilities will include building robust, scalable, and high-performance web applications while collaborating closely with the development team and other stakeholders.**Key Responsibilities:**1. **Laravel Development:** Develop and maintain web applications using Laravel, ensuring high performance and responsiveness.2. **Database Management:** Design and optimize database schemas and queries for efficient data storage and retrieval.3. **API Integration:** Integrate third-party APIs and services to enhance application functionality.4. **Code Optimization:** Identify and resolve performance bottlenecks and ensure code quality through code reviews and testing.5. **Security:** Implement security best practices to protect against common web vulnerabilities.6. **Collaboration:** Work closely with front-end developers, designers, and project managers to deliver projects on time and to specifications.7. **Documentation:** Create and maintain project documentation, including technical specifications and user guides.**Requirements:**- Proven experience as a Laravel Developer or similar role.- Proficiency in PHP and the Laravel framework.- Strong understanding of web application development and MVC architecture.- Knowledge of front-end technologies such as HTML, CSS, and JavaScript.- Experience with database systems (e.g., MySQL, PostgreSQL) and ORM concepts.- Understanding of version control (e.g., Git) and agile development methodologies.- Strong problem-solving and communication skills.- Attention to detail and a commitment to producing high-quality code.- Bachelor's degree in Computer Science or a related field (preferred).If you are passionate about Laravel development, enjoy working in a collaborative environment, and are eager to contribute to exciting projects, we'd love to hear from you. Join our team and be part of an organization that values innovation and professional growth.**Location:** [48-C Canal Valley lower Canal Road, Main Jaranwala Rd, Faisalabad] [Include instructions for how to apply, such as submitting a resume, portfolio, or completing an online application.]Specify the location of the job, whether it's onsite, remote, or a combination","Information Technology & Services
            
              11-50 employees
            

              20 on LinkedIn",Zactra Inc ,Faisalabad," Faisalabad, Punjab, Pakistan ",On-site,,2 weeks ago,1,Full-time,Not specified,11-50 employees,Not specified
Full Stack Laravel Team Lead,"IKONIC · Lahore, Punjab, Pakistan (On-site)  
2 weeks ago",Full-time · Mid-Senior level,https://www.linkedin.com/jobs/view/3728019476/?eBP=JOB_SEARCH_ORGANIC&refId=N%2F3m%2F9EChkBavkNrBDQXLg%3D%3D&trackingId=FGfglefs6W3C1aeg06K7TA%3D%3D&trk=flagship3_search_srp_jobs,51-200 employees · Information Technology & Services,3728019476,https://www.linkedin.com/jobs/view/3728019476,"About the job
            

 
Position Title: Full Stack Laravel Team LeadTimings: 4:00pm-1:00amDepartment: Software EngineeringLocation: 5th Floor, Central Tower 2, Halli Road Guldberg 2, LahoreAbout UsIKONIC is a US based IT company, headquarter is in Miami, Florida. It is a group endeavor that mixes experience with agility, honesty, teamwork, trust, and insight into the future. We are a team of top-notch developers who believe in providing solution to your every problem. Our previous projects and a journey of nine years make us the leading name whom you can trust for adding value to your business. We believe that we can present a solution to your every problem complementing innovation with sustainability. It is through our established repository of experiences that we offer a unique solution to every problem. Our services are available across the globe in time zone aligned manner.Education & Professional QualificationDegree(s)/Major(s): Bachelors or Masters in a relevant field from a reputed local/foreign University.Certification(s): Not mandatory but certification in a relevant field is a plus.Experience4+ Years of relevant experience as a Full Stack Laravel3+ Years of experience as Team LeadResponsibilities Lead and mentor a team of Laravel developers, fostering a collaborative and results-driven environment. Set clear goals, expectations, and priorities for the team. Provide guidance and support in resolving technical challenges. Oversee the planning, execution, and delivery of web development projects using Laravel. Ensure projects are completed on time, within scope, and meet quality standards. Collaborate with project managers and stakeholders to define project requirements. Serve as a technical authority in Laravel development, guiding the team in solving complex technical issues. Stay updated with the latest Laravel trends and technologies. Possess a deep understanding of Laravels architecture and functionalities. Collaborate with development teams to make informed technical decisions and provide guidance on best practices. Foster a collaborative work environment, promoting teamwork and knowledge sharing among team members. Ensure efficient utilization of resources and skills within the development team. Planning and designing of Web Applications. Proven Experience with REST Based Services. Strong Understanding of MVC Patterns. Must have experience in Vue.js, React.js and Angular.js frameworks. Experience working with Docker containers and Bash command lines skills are a plus. Experience in Full-Stack (LAMP) development (back-end, front-end and server management. Experience working with AWS and Linux environments. Expertise in source control, code review, and repository management with git. Developing and adhere to, promotes, and maintains development standards and best practices, participates in regular code reviews. Continuously contribute to improvement of team performance and collaboration. Providing improvements to the product(s) being supported. Actively participate in release and sprint planning, artifact creation, sprint testing, regression testing, demonstrations, retrospectives, and solution releases 
Requirements Proven experience as a full-stack developer with 4+ years of experience. Previous experience in a leadership or team lead role is preferred. Strong expertise in Laravel PHP framework and full-stack development. Proficiency in PHP, MySQL, HTML, CSS, JavaScript, and related technologies. Experience with front-end frameworks (e.g., Vue.js, React) is a plus. Familiarity with version control systems (e.g., Git). Excellent problem-solving and communication skills. Ability to work effectively in a fast-paced, collaborative environment. Ability to visualize a proposed system and be able to build it as per requirements and propose.Open-minded to new solutions, forward-thinking and strong ability to adapt. Git version control workflows Proficiency in design patterns Excellent interpersonal and communication skills Able to deal with difficult clients or customers Clear focus on customer satisfaction 
Benefits Competitive Salary Medical Health Insurance Bonuses Annual Leaves Casual leaves Sick Leaves Bereavement Leaves Marriage Leaves Paternity Leaves Maternity Leaves Bi-Annual Reviews 
 Why Should You Join IKONIC?At IKONIC, we believe in providing development opportunities to all its employees which is why our job comes with a variety of challenging assessments meant to catapult your career to the next level. This is made evident with our offerings such as: A growth mindset through the help of experienced and helpful Mentors. Ikonic is made up of passionate individuals who aim to support each other in their training as well as day-to-day tasks. A Dynamic Environment where we focus on encouraging initiatives, promoting agility and creating a work/life balance. We know the value you bring in and we aim to nurture it. Market Competitive Compensation based upon your professional qualifications and skill set. As an Equal employment opportunity provider. All employment-associated decisions are based on an individuals merit. 
Note: Above goals and job descriptions are indicative and subject to change.","Information Technology & Services
            
              51-200 employees
            

              134 on LinkedIn",IKONIC ,Lahore," Lahore, Punjab, Pakistan ",On-site,,2 weeks ago,2,Full-time,Mid-Senior level,51-200 employees , Information Technology & Services
Laravel Team Lead,"IKONIC · Lahore, Punjab, Pakistan (On-site)  
2 weeks ago

 · 53 applicants",Full-time,https://www.linkedin.com/jobs/view/3727887849/?eBP=JOB_SEARCH_ORGANIC&refId=FxNZG3Me8sttBY900QeNNQ%3D%3D&trackingId=0n4RPQN9S90xM7G%2F50Gahg%3D%3D&trk=flagship3_search_srp_jobs,51-200 employees,3727887849,https://www.linkedin.com/jobs/view/3727887849,"About the job
            

 
Position Title:  Team Lead - LaravelTimings: 4:00 pm to 1:00 amLocation: 5th Floor, Central Tower 2, Hali Road Guldberg 2, Lahore.About Us:IKONIC is a US based IT company, headquarter is in Miami, Florida. We are a group of individuals who combine experience with agility, honesty, teamwork, trust, and insight into the future. We are a team of top-notch developers who believe in providing solution to your every problem. Our previous projects and a journey of nine years make us the leading name whom you can trust for adding value to your business. We believe that we can present a solution to your every problem complementing innovation with sustainability. It is through our established repository of experiences that we offer a unique solution to every problem. Our services are available across the globe in time zone aligned manner.Position Purpose:Team Lead - Laravel plays a critical role in our organization, overseeing the successful planning, execution, and delivery of web development projects leveraging the Laravel framework. This position combines strong project management skills with in-depth knowledge of Laravel's capabilities to ensure the seamless delivery of web solutions that meet or exceed client expectations.Education & Professional Qualification: Degree(s)/Major(s): Bachelors or Masters in a relevant field from a reputed local/foreign University.Certification(s): Not mandatory, but certification in a relevant field is a plus.
Experience:Over 5 years of experience working with Laravel PHP Framework, with Laravel Liveware and SQL schema design and Experience with other PHP frameworks, should be well-versed in MySQL query optimization.Responsibilities: Lead project initiation, planning, and execution phases and develop comprehensive project plans, set clear objectives, and manage effectively to ensure on-time and within-budget project delivery.Possess a deep understanding of Laravel's architecture and functionalities. Collaborate with development teams to make informed technical decisions and provide guidance on best practices.Foster a collaborative work environment, promoting teamwork and knowledge sharing among team members. Ensure efficient utilization of resources and skills within the development team.Serve as a primary point of contact between the development team and clients. Ensure effective communication, manage client expectations, and provide regular project updates.Perform a mix of maintenance, enhancements, and new development as required.Document features, technical specifications & infrastructure Responsibilities.Work cross-functionally to convert business needs into technical specifications.Develop, record and maintain cutting edge web-based PHP applications on portal plus premium service platforms.Ensure HTML, CSS, and shared JavaScript is valid and consistent across applications.Prepare and maintain all applications utilizing standard development tools.Utilize backend data services and contribute to increasing existing data services API.Lead the entire web application development life cycle right from concept stage to delivery and post launch support.Keep an eye on new trends and best practices in web development.
Requirements: In-depth knowledge of Laravel framework and its ecosystem.Excellent communication and client-facing skills.Strong organizational and leadership abilities.Ability to manage multiple projects simultaneously.Strong knowledge of PHP web framework such as Core PHP, Laravel & CodeIgniter.Must have strong knowledge and understanding of JS, jQuery, AJAX, Vue.jsStrong understanding of Object-Oriented Programming in PHP.Hands-on experience with SQL schema design, SOLID principles, REST API's design.Proficient understanding of code versioning tools, such as GitHub.Familiar with APIs & Cloud Functions.MySQL profiling and query optimization.Ability to learn quickly and operate in a fast-paced environment.Open-minded to new solutions, forward-thinking and strong ability to adapt.Git version control workflows.Proficiency in design patterns.Able to deal with difficult clients or customers.
Benefits:What We Offer: Competitive SalaryMedical Health InsuranceBonusesAnnual LeavesCasual leavesSick LeavesBereavement LeavesMarriage LeavesPaternity LeavesMaternity LeavesBi-Annual Reviews","Information Technology & Services
            
              51-200 employees
            

              134 on LinkedIn",IKONIC ,Lahore," Lahore, Punjab, Pakistan ",On-site,53,2 weeks ago,1,Full-time,Not specified,51-200 employees,Not specified
Full Stack PHP developer,"CreativePixel360 · Pakistan (Remote)  
2 weeks ago

 · 51 applicants",Full-time,https://www.linkedin.com/jobs/view/3728189404/?eBP=JOB_SEARCH_ORGANIC&refId=uDn%2BD9A%2FYjmLbujNP1xvtQ%3D%3D&trackingId=3hEYAJf3SlvktufbiHYrhQ%3D%3D&trk=flagship3_search_srp_jobs,1-10 employees,3728189404,https://www.linkedin.com/jobs/view/3728189404,"About the job
            

 
We are looking for an experienced Mid level Full Stack PHP web developer who has 2+ years of solid web development experience.We offer above market rate salary. Friendly work environment. Remote work allowed. Essential Skills/Requirements In-depth knowledge of modern PHP (7, 8)LaravelMySQL2+ years web development experience in a professional setting
 Desirable SkillsE-commerce platform experience WooCommerce / MagentoJavascriptVersion Control (Git)",,CreativePixel360 ,Pakistan, Pakistan ,Remote,51,2 weeks ago,1,Full-time,Not specified,1-10 employees,Not specified
"Senior Full Stack Web Developer (PHP Laravel, VueJS, NodeJS)","NexGen Ventures · Lahore District, Punjab, Pakistan (On-site)  
2 weeks ago",Full-time,https://www.linkedin.com/jobs/view/3727005271/?eBP=JOB_SEARCH_ORGANIC&refId=uDn%2BD9A%2FYjmLbujNP1xvtQ%3D%3D&trackingId=C91usMveJ6jQnrDRVyhChw%3D%3D&trk=flagship3_search_srp_jobs,11-50 employees,3727005271,https://www.linkedin.com/jobs/view/3727005271,"About the job
            

 
We are looking for a Full Stack Developer to produce scalable software solutions. You’ll be part of a cross-functional team responsible for the entire software development life cycle, from conception to deployment. As a Full Stack Developer, you should be comfortable around both front-end and back-end languages, development frameworks, and third-party libraries. You should also be a team player with a knack for visual design and utility. We'd like to meet you if you’re also familiar with Agile methodologies.Responsibilities: Work with development teams and product managers to ideate software solutions.Design client-side and server-side architecture.Build the front-end of applications through appealing visual design.Develop and manage well-functioning databases and applicationsWrite effective APIs.Test software to ensure responsiveness and efficiency Troubleshoot, debug and upgrade software.Create security and data protection settings.Build features and applications with a mobile responsive design.Write technical documentation.Work with data scientists and analysts to improve software.
Requirements: 3 to 4 years proven experience as a Full Stack Developer or similar role.Experience developing scalable web applications.Familiarity with application deployment protocols and procedures.Knowledge of code versioning tools like Git is mandatory.Extensive knowledge of front-end frameworks like VueJS (Vue 3/ Composition API) or AngularJS).Knowledge of multiple back-end frameworks like Laravel, Slim, NodeJS (Deno).Familiarity with databases (e.g. MySQL, MongoDB, Firebase), web servers (e.g. Apache, Nginx).Excellent communication and teamwork skills.Great attention to detail Strong organizational and project management skills.An analytical mind.
Ability to commute/relocate: Lahore: Reliably commute or planning to relocate before starting work (Required)","Information Technology & Services
            
              11-50 employees
            

              21 on LinkedIn",NexGen Ventures ,Lahore," Lahore District, Punjab, Pakistan ",On-site,,2 weeks ago,1,Full-time,Not specified,11-50 employees,Not specified
Laravel Developer,"xint Solutions · Lahore, Punjab, Pakistan (On-site)  
2 weeks ago",Full-time,https://www.linkedin.com/jobs/view/3727018240/?eBP=JOB_SEARCH_ORGANIC&refId=0VZjQrZ%2BPwAtd2PSEUmQnA%3D%3D&trackingId=%2BnhxQ7bF7AYKTddn3Dzwgw%3D%3D&trk=flagship3_search_srp_jobs,51-200 employees,3727018240,https://www.linkedin.com/jobs/view/3727018240,"About the job
            

 
Responsibilities:As a Full Stack PHP Laravel Developer, you will be responsible for designing, developing, and maintaining web applications using PHP, Laravel, and related technologies. You will work closely with other members of the development team to ensure that all code is well-designed, efficient, and scalable.·    Develop and maintain web applications using PHP and Laravel·    Write clean, efficient, and well-documented code.·    Design and implement APIs using RESTful web services.·    Collaborate with front-end developers to integrate server-side code with the client-side interface.·    Develop and maintain unit and integration tests to ensure code quality.·    Participate in code reviews to ensure that code is of high quality and meets coding standards.·    Optimize application performance and scalability.·    Participate in Agile development methodologies, including daily stand-ups, sprint planning, and retrospectives.·    Stay up to date with the latest trends and technologies in PHP and Laravel development·    For the value addition, and enhancement of your career path the Line Manager/HOD may assign cross-functional tasks/assignments/projects to develop the skill set of the employee.Qualifications·    Bachelor's degree in computer science or a related field·    3+ years of experience in PHP and Laravel development·    Strong proficiency in PHP and Laravel·    Experience with front-end technologies such as HTML, CSS, and JavaScript·    Familiarity with back-end technologies such as MySQL, PostgreSQL, or other relational databases·    Experience with AWS or other cloud platforms·    Strong problem-solving and analytical skills·    Ability to work independently and as part of a team.·    Excellent communication and interpersonal skills","IT Services and IT Consulting
            
              51-200 employees
            

              108 on LinkedIn",xint Solutions ,Lahore," Lahore, Punjab, Pakistan ",On-site,,2 weeks ago,1,Full-time,Not specified,51-200 employees,Not specified
Principal Software Engineer Full Stack PHP,"DyCoders · Lahore, Punjab, Pakistan (On-site)  
2 weeks ago

 · 23 applicants",Full-time,https://www.linkedin.com/jobs/view/3727017482/?eBP=JOB_SEARCH_ORGANIC&refId=0VZjQrZ%2BPwAtd2PSEUmQnA%3D%3D&trackingId=Y3mMXwiGdQhj19Z1m6MgiQ%3D%3D&trk=flagship3_search_srp_jobs,11-50 employees,3727017482,https://www.linkedin.com/jobs/view/3727017482,"About the job
            

 
We are seeking an experienced PHP Developer to join our software development team. DyCoders is a US based software company and we have multiple international clients. If you're passionate about web development and proficient in React, Next.js, and API integration, we want you on our team.Responsibilities: Design and develop Web applications using PHP, LaravelCollaborate with cross-functional teams to understand requirements and design solutions tailored to the logistics of medicine delivery.Design, develop, and maintain the logistics web application built on PHP, optimizing both user experience and functionality.Implement changes and enhancements on the mobile app side, ensuring it can be deployed to app stores with the latest builds.Identify and rectify any bugs or issues within both the web and mobile platforms, ensuring optimal performance and security.Stay updated with the latest industry trends and best practices in PHP development and mobile app ecosystems.Regularly report on progress, challenges, and timelines to ensure the project stays on schedule.
Requirements: Architect level of experience with PHP, Laravel and WordPress development.Proven experience as a PHP developer with a deep understanding of PHP programming.Strong knowledge of relational databases, particularly Graph QL.Experience with PHP frameworks (e.g., Laravel, Mojito)Along with Shopify and WordPress is a big plus Experience of AWS especially Lambda function Extensive experience in Payment Gateway like stripeFamiliarity with Agile development methodologies.Excellent communication skills and the ability to work collaboratively within a team.Experience with other programming languages (Node.js, React.js) and technologies.Experience with working in a team environment.Excellent problem-solving and debugging skills.Strong understanding of object-oriented programming principles.Ability to work independently and as part of a team.","Information Technology & Services
            
              11-50 employees
            

              49 on LinkedIn",DyCoders ,Lahore," Lahore, Punjab, Pakistan ",On-site,23,2 weeks ago,1,Full-time,Not specified,11-50 employees,Not specified
Senior PHP Developer,"Ibix Global Tech · Karāchi, Sindh, Pakistan (Hybrid)  
2 weeks ago",Full-time,https://www.linkedin.com/jobs/view/3727014259/?eBP=JOB_SEARCH_ORGANIC&refId=RDz4cFHK6i1XY2ezYn3bNg%3D%3D&trackingId=jxYHJ4C%2FW0BjmqTrYM8t1Q%3D%3D&trk=flagship3_search_srp_jobs,51-200 employees,3727014259,https://www.linkedin.com/jobs/view/3727014259,"About the job
            

 
We are looking for a skilled Full Stack Developer who is comfortable with both front and back-end programming. Full-stack developers will be responsible for developing and designing front-end web architecture, ensuring the responsiveness of applications, and working alongside graphic designers for web design features, among other duties with attention to detail.Responsibilities: Developing front-end website architecture.Designing user interactions on web pages.Developing back-end website applications.Creating servers and databases for functionality.Developing and maintaining quality software product codeTroubleshooting, debugging and upgrading softwareEnsuring cross-platform optimization for mobile phones.Ensuring responsiveness of applications.Working alongside graphic designers for web design features.Seeing through a project from conception to finished product.Designing and developing APIs.Meeting both technical and consumer needs.Staying abreast of developments in web applications and programming languages.
Requirements: Minimum 03 years of hands-on experience in Full stack development.BS in Computer Science or a related field.Proficiency with fundamental front-end languages such as HTML, CSS, and JavaScript.Familiarity with JavaScript frameworks such as Angular JS, React, and Amber.APIs like REST and SOAP as well as protocols like HTTPFamiliarity with database technology such as MySQL, Oracle, and MongoDB.Good presentational and communication skills.Location: Karachi, Pakistan.","IT Services and IT Consulting
            
              51-200 employees
            

              15 on LinkedIn",Ibix Global Tech ,Karāchi," Karāchi, Sindh, Pakistan ",Hybrid,,2 weeks ago,1,Full-time,Not specified,51-200 employees,Not specified
