Job Title,Job Info,Job Type,Job Link_x,employees,Job ID,Job Link_y,Job Desception,Company Info
Software Engineer,"Jin Technologies Private Limited · Islamabad, Islāmābād, Pakistan (Hybrid)  
1 week ago

 · 51 applicants",Full-time,https://www.linkedin.com/jobs/view/3727035963,51-200 employees,3727035963,https://www.linkedin.com/jobs/view/3727035963,"About the job
            

 
For our offices in Islamabad, Karachi and Multan, Jin Technologies is looking for energetic and self-driven individuals for its development teams. Fresh graduates are encouraged to apply.Candidate should have: Bachelors degree in Computer Sciences or a related fieldPreferably, at least 1 year of Industry experience. However, fresh graduates are encouraged to applyExperience working in any of the following will be a plus; React Native, Xamarin, Swift, Kotlin, DartDisciplined programming skills with an eye for professional user interfacesDemonstrated interest in web application development, employing the latest technologiesUnderstanding of how mobile and web applications operate including security, session management and best development practicesAbility to write optimized SQL for integration with databases and back-end servicesFamiliarity with Human-Computer Interface (HCI) guidelinesFlexibility to switch between projects and technologiesHigh level of attention to detailEffective communication and comprehension skills
Duties and Responsibilities: Writing well-designed, testable and maintainable codeUnderstanding and defining software requirementsWill be required to work on a variety of diverse and challenging development projects as well as writing business process applicationsThe work involves high commitment under tight deadlines","IT Services and IT Consulting
            
              51-200 employees
            

              80 on LinkedIn"
Software Engineer - Product Operation,"i2c Inc. · Lahore, Punjab, Pakistan (On-site)  
2 weeks ago",Full-time,https://www.linkedin.com/jobs/view/3727020559,"1,001-5,000 employees",3727020559,https://www.linkedin.com/jobs/view/3727020559,"About the job
            

 
i2c is looking for Software/Senior Engineer in Product Operation to provide Client Support and Implementation Support. Job Description: Primarily responsible for efficient and effective analysis and resolution of customer issues related to software products .Providing quality Customer Services to overseas and local clients via different communication channels like IM, Phone and ticketing System.Correspondence with clients & inter-departmental communication.Technical Support Services (Level 1 & 2) through log data.Onsite/Remote Product Trainings, installations & troubleshootingHandling Client calls for product info. & Technical support.Preparing/escalating regular progress reports to higher management.Log, identify, analyze, and resolve customer issues related to software products
Requirements: Education: BSCS/BSSE/BSIT/MCS or relevant Experience: 1- 5 years of experience.
Skills: Strong listening and learning abilities.Problem solving skills.Strong verbal and written communication skills.Excellent interpersonal and team skills.Good database concepts and SQL skills.Ability to analyze, troubleshoot and solve problems.Good customer experience sense.Motivation and ambition to excel.Self-driven, time conscious and fast worker.Ready to work in a 24/7, fast-paced environment.Databases (MySQL, SQL Server, Oracle), Operating System, Basic commands knowledge of Linux, Tools (Crystal Report etc., Visual Studio, Dreamweaver, MS Office etc.).
Job Location: Lahore
Shift Timings: Night","Financial Services
            
              1,001-5,000 employees
            

              1,613 on LinkedIn"
SOFTWARE DEVELOPER,"360 TECHNOLOGIES · Islamabad, Islāmābād, Pakistan (On-site)  
1 week ago",Full-time,https://www.linkedin.com/jobs/view/3727057491,51-200 employees,3727057491,https://www.linkedin.com/jobs/view/3727057491,"About the job
            

 
Company Description:360 Technologies is an IT company, with a focus on delivering technology-based solutions to companies around the globe. 360 professionals along with alliance partners provide an unmatched level of domain expertise with a result-oriented approach. The company delivers business value using IT to empower organizations with innovative and scalable technology solutions that increase their competitive advantage and return on investment. Capitalizing on profound industry experiences, extensive technology skills, and business process application, 360 offers its clients a range of solutions to meet their Information Technology needs. We establish long-term relationships with our customers by becoming strategic partners in their growth and business development. Using a highly integrated approach, we build applications that are directly linked to the implementation of corporate strategy and goals. The company specializes in the following practice areas:-  Business-2-Business Applications-  Business-2-Consumer Applications-  Software Product Engineering-  Content Management-  Business Intelligence and Data Warehousing-  Consulting Services-  Business Process Management-  Administrative Services-  Multimedia Design & Development360 constitutes a hallmark of responsiveness, reliability, resilience, empathy, and tangible delivery of services with a commitment of loyalty to customersRole DescriptionThis is a full-time role for a Software Developer located in Islamabad. As a Software Developer, you will be responsible for writing clean and maintainable code that can be easily adapted to meet the changing requirements of our clients. You will also collaborate with cross-functional teams to develop software solutions, troubleshoot and debug code, and evaluate existing applications to make recommendations for improvements.Qualifications Bachelor's degree in Computer Science or a related field2+ years of experience in software developmentCollaborate with experienced engineers in developing a unique SSO product and its Supporting components.Have Git experienceFamiliar with Python or Django, PHP,and GolangHave Database experience (My SQL, DB design, DB integration, ORM)Have Frontend web development experience (HTML, CSS, JS, Bootstrap)Mobile App Development experience(React-Native, Swift, Kotlin)","Information Technology & Services
            
              51-200 employees
            

              170 on LinkedIn"
Software Engineer,"Telenor · Islamabad, Islāmābād, Pakistan (On-site) Reposted  
2 weeks ago",Full-time · Entry level,https://www.linkedin.com/jobs/view/3723693959,"10,001+ employees · Telecommunications",3723693959,https://www.linkedin.com/jobs/view/3723693959,"About the job
            

 
Last day to apply: 30th Sep, 2023Division: Telenor Shared Services PakistanPosition Title: Software EngineerReporting to:  Senior Manager Software DevelopmentJob Group:  2ALocation: IslamabadDepartment: AugmentationUnit: AllenteWhy should you join Telenor Shared Services PakistanAt Telenor Shared Services Pakistan, we give you the opportunity to become a skilled professional in your chosen field of interest. Being rated as the top employer of the country, we enable you to realize your dreams in an environment of diversity and openness to new mindsets.About Telenor Shared Services PakistanTelenor Shared Services Pakistan delivers transactional business services in the areas of Finance & Accounting and IT. Together with Telenor GSS Norway and SSC Norway delivers efficient business support to Telenor employees to make their work easier.Position RelatedCandidates with at least 3 or more years of experience in Java. The resource will be responsible development, testing and maintenance of Middleware, front end. This candidate will be a key player for development and quality assurance, working closely with architect, Operations and business team.Goals To provide efficient support to our client Allente customers based in Nordic regionFurther development of our integration platform consists of many independent components. This platform is supporting and integrating with internal systems (e.g. CRM, billing systems), our online TV clients, websites, external partners, and moreYou will be the main developer of one or more of these components. Meaning: Should be able to design ERD.Ability to design systems & Modules from scratch and ensuring best design and architectural patterns are used.Has in depth knowledge of the framework being used and helps the team in issues (Spring, Spring boot) Angular knowledge would be a plusConduct code reviews of team membersThe biggest tasks on deck right now are:Responsible for quality, design, and implementationTalk to internal and external stakeholders to discuss and clarify requirements and solutions.Provide input and improvements to both the component and the solution as a wholeAssist with troubleshooting where relevantIntegration with several new partners (including streaming partners)Moving to cloudEstablish principles and best practices for our integration platform in the cloudAdapt and refactor components to cloud services as relevantAdapt, update and further automate our CI / CD pipelineIdentify and suggests areas of improvement and providing solutions
Your typical day at work To develop applications/services based on Java using Spring BootRaise flag where delays are encountered, or risk is identifiedPerform work like a team playerDevelop excellent business knowledge and apply itWork proactively following self-driven approachEnsure Telenor Way and Values are followed in day to day work
Eligibility CriteriaEducationBachelors/Masters in IT/Computer ScienceWork Experience Candidate with Experience of 3 years or more.Java / Spring Boot / TomcatPrimarily REST-ish services with JSON payload (mainly via JAX-RS)Some existing SOAP servicesIntegrations with external partners in whatever is required; Primarily JSON / REST-ish, occasionally XML / HTTP or CSV / FTP Swagger / OpenAPIOther common services and frameworks in use where applicable; ElastiCache/Redis, JPA / Hibernate, Flyway, EHCache, Hystrix, NewRelic, ElasticsearchUnit testing with tools ala JUnit, Mockito, Spock, WireMock,…Moving towards cloud (AWS) (Docker / Kubernetes / Helm)Source control with Git and build automation with JenkinsStrong team player, with the ability to contribute to team efforts and look for “Best-of-bread” solutions
Functional Skills / Knowledge Areas Hands on experience in developing & integrating Java Applications.Technically sound with Object Oriented Programming ConceptsKnowledge of DevOps methodology.Strong analytical skills and solution driven approachAbility to deliver in a fast paced and challenging environment focused on customer satisfaction and centricity.Ability to work under pressureShould have aptitude towards researching and developing new tools and techniques.Excellent communication and analytical skills","Telecommunications
            
              10,001+ employees
            

              22,393 on LinkedIn"
Software Quality Assurance Engineer,"Brickclay · Faisalabad, Punjab, Pakistan (On-site)  
2 weeks ago",Full-time,https://www.linkedin.com/jobs/view/3727007394,51-200 employees,3727007394,https://www.linkedin.com/jobs/view/3727007394,"About the job
            

 
Roles and Responsibilities:  Ability to Code Automated Tests using one or more automation tools including UFT/QTP, Katalone, Microsoft Coded UI, Ruby, Cucumber, Watir, Selenium etcKnowledge of various types of software applications (i.e. Packaged Software, Web Applications, Windows-based applications, Web Services).Ability to work with various QA/Testing tools and technologies – i.e. Azure DevOps or TFS, SOAP UI, HP ALM, JIRA etc. Create Test Plans. Understanding of SQL Scripts and able to write SQL queries to work with various Databases.  Develop Standards and Procedures to Determine Product Quality and Release Readiness.Discover Bugs Within Software. Drive Innovation and Streamline Overall Testing Process. Experience with Agile Development Process. Experience with Web-Based Testing Applications. Identify, Isolate, and Track Bugs Throughout Testing. Identify Potential Problems Users May Encounter. Perform Manual and Automated Testing. Research and Analyze Product Features Being Tested. Research New Tools, Technologies, and Testing Processes. Review User Interfaces for Consistency and Functionality. Solid Understanding of QA Testing Environments. Thorough Understanding of Software Development Life Cycles. 
Skills and Requirements:  Excellent Analytical and Problem-Solving skills.Thinking Outside the Box.Willingness to Learn New Technologies. Analyze Test Results. Break Project into Attainable Progress Goals. Identify Areas of Improvement. Interpret Technical and Business Objectives and Challenges. Strong Written and Verbal Communication. Communicate with Technical and Non-Technical Resources. Proactiveness. Work Closely with Development and Product Teams.Ability to work independently and in a team-based environment.","Information Technology & Services
            
              51-200 employees
            

              84 on LinkedIn"
Senior Software Engineer,"Afiniti · Islamabad, Islāmābād, Pakistan Reposted  
1 week ago",Full-time · Mid-Senior level,https://www.linkedin.com/jobs/view/3691553817,"1,001-5,000 employees · Software Development",3691553817,https://www.linkedin.com/jobs/view/3691553817,"About the job
            

 
About AfinitiAt Afiniti, we are a leading provider of artificial intelligence technology that elevates the customer experience by making moments of human connection more valuable. Our mission is rooted in a simple yet powerful idea: understanding patterns of human behavior enables us to predict how people will interact and create meaningful connections.Using our patented AI technology, we revolutionize the contact center industry by pairing customers with the most compatible contact center agents. By doing so, we enhance the entire customer journey, resulting in exceptional experiences and improved outcomes for all parties involved.Our transformative technology has generated billions of dollars in incremental value for our esteemed clients, which include Fortune 500 companies across diverse industries such as financial services, telecommunications, travel, and hospitality. We take pride in our global reach and impact, with our solutions being leveraged by organizations around the world.To learn more about Afiniti and the groundbreaking work we do, visit www.afiniti.com .About The RoleThe Afiniti Engineering team is b uilding software to integrate Afiniti with clients' customer experience systems as well as contributing to engineering the next generation of Afiniti products. As a UI UX Designer, you will work within the Afiniti Engineering team and collaborate with other cross-functional Agile teams of developers, business analysts, product managers and other stakeholders to create innovative, highly usable, modern and sleek interfaces for multiple Web and Desktop based products targeting both internal and external usersKey Responsibilities Comfortable with working on multiple projects in parallel.The ability to incorporate feedback and criticism from stakeholders to a better design through an iterative process.The drive to own and be fully invested in all design-specific parts of the product.Experience in designing dense, data-oriented dashboards with interactive visualizations.Experience working within established design patterns and styles.Familiarity with responsive design.Knowledgeable in user research, interaction flow design, wireframing, prototyping and optimization.Strength in at least two of the following areas: interaction design, visual design, content strategy, information architecture, design strategy, or user research.A solid grasp of design principles and color theory in the context of web applications.An understanding of harmonious visual elements under branding theme constraint, and the ability to produce the same.
Minimum Qualifications A Bachelors or higher degree in Communication Design, HCI, Digital Media or similar disciplines.5 – 6 years of demonstrable design experience in the software industryHands-on UI practices in FigmaHands-on UI practices in Adobe Creative SuiteExperience with remote testing tools
Preferred Qualifications A strong desire for creative problem-solving with a positive attitudeOutstanding written and oral English communication skills.An eye for intuitive, pixel-perfect design with an attention to detailConduct and evaluate quantitative and qualitative research.Work closely with cross-functional teams to identify and evaluate research topics.Plan and implement user research strategies and methodologies.Perform usability studies with consumers.The drive to be on top of current design trends and software.Leadership skills and initiative.
Location/Remote work statementBased on the role and function at Afiniti, you may have the opportunity to work remotely!If your role allows you to work remotely, you will have opportunities to travel to an Afiniti office for key moments throughout the year, but the amount of expected travel will depend on your role and team.","Software Development
            
              1,001-5,000 employees
            

              1,852 on LinkedIn"
Software Engineer,"DRC Healthcare Pakistan · Lahore, Punjab, Pakistan (On-site)  
1 week ago",Full-time,https://www.linkedin.com/jobs/view/3727040365,201-500 employees,3727040365,https://www.linkedin.com/jobs/view/3727040365,"About the job
            

 
Job Title: Software Engineer (Full Stack)Company: DRC Healthcare PakistanLocation: Lahore, PakistanPosition Type: Full-Time, OnsiteOffice Timings: Summers (1pm to 10pm), Winters (2pm to 11pm)Responsibilities:- Develop front-end and back-end components for CRM and SAAS-based applications.- Utilize JavaScript frameworks, such as React, to build efficient and responsive user interfaces.- Create and maintain clean, reusable, and efficient code.- Collaborate with cross-functional teams, including designers and product managers, to ensure high-quality software development.- Integrate multiple data sources and databases into a unified system.- Troubleshoot and debug applications to ensure optimal performance and functionality.- Stay up-to-date with industry trends and emerging technologies.Requirements:- 2 to 3 years of professional experience in front-end and back-end development.- Strong proficiency in front-end languages such as HTML, CSS, JavaScript (including jQuery).- Experience with JavaScript frameworks, particularly React.- Proficiency in server-side languages such as .NET and Java.- Familiarity with database technologies like MySQL and MSSQL.- Excellent problem-solving skills with a keen attention to detail.- Strong written and verbal communication skills.- Good understanding of UI/UX design processes.- Ability to work effectively in a team-oriented, collaborative environment.Note: Only shortlisted candidates will be contacted for further evaluation.We offer competitive compensation packages and a positive work environment that fosters growth and learning. Join us in shaping the future of software development!DRC Healthcare is an equal opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees.","Human Resources Services
            
              201-500 employees
            

              59 on LinkedIn"
Software Engineer-Integration,"People (Professional Employers Pvt Ltd) · Islamabad, Islāmābād, Pakistan (On-site)  
2 weeks ago",Full-time,https://www.linkedin.com/jobs/view/3727002795,"5,001-10,000 employees",3727002795,https://www.linkedin.com/jobs/view/3727002795,About the job,
Software Quality Assurance Engineer,"STARZPLAY · Lahore, Punjab, Pakistan (On-site)  
1 week ago

 · 591 applicants",Full-time · Mid-Senior level,https://www.linkedin.com/jobs/view/3727037567,51-200 employees · Entertainment Providers,3727037567,https://www.linkedin.com/jobs/view/3727037567,"About the job
            

 
Who we are?Are you looking for a challenge that is going to provide you experience in agile/scrum environments? Are you eager to work with frontend and backend cutting edge technologies? Do you want to learn about the latest technologies involved in the OTT video streaming ecosystem? Do you want to work in an international environment? STARZ PLAY offers you all of these challenges and more!STARZ PLAY is a subscription video on demand service headquartered in Dubai and available in 19 countries in the MENA region. Our service streams thousands of blockbuster Hollywood movies, TV shows, documentaries, kids’ entertainment and dedicated Arabic content to subscribers in the region. This is what makes us the fastest-growing SVOD service in the region.Job purposeAs a QA Engineer Back-End, you will be at the cutting edge of how media, technology, and customers interact. Your primary role will be to verify and validate the backend technology with an emphasis on MicroServices. Core to this role is working experience in Java, SOUPUI, Curl/Unix/Command Line, SQL Query, and API testing. Responsibilities Review requirements, specifications, and technical design documents to provide timely and meaningful feedback.Create detailed, comprehensive, and well-structured test cases.Estimate, prioritize, plan, and coordinate testing activities.Design, develop, and execute automation scripts Identify, record, document thoroughly, and track bugs.Perform thorough regression testing when bugs are resolved.Develop and apply testing processes for new and existing products to meet client needs.Working with a Cross-functional team to identify system requirements.Monitor and debug the impact of new changes to the system.Investigate the causes of non-conforming software and train users to implement solutions.Stay up-to-date with new testing tools and test strategies
Experience/Skills Required Strong knowledge of software QA methodologies, tools, and processes.Experience working in SDLC, Agile Methodologies, SCRUM/KANBAN.Experience in writing clear, concise, and comprehensive automation tests in Java, Junit/TestNG frameworks.Experience in SOA Testing, Microservices Testing, RESTful API testing, and automation.Functional and Integration testing of Microservices.Hands-on experience on Jira, Confluence, Test Rail.Hands-on on API testing using Postman tool.Solid knowledge of SQL and NoSQL databases.Working knowledge of Curl/Unix/Commandline, Maven, Git, Continuous Integration using Jenkins/Bamboo, Docker.Knowledge of RabbitMQ, Elastic Search, Redis.BS/MS degree in Computer Science, Engineering, or a related subject.
Why work at STARZ PLAY?At STARZ PLAY we look for BOLD, CREATIVE and INNOVATIVE individuals that have a passion for technology. We offer a competitive compensation package and an environment that is constantly evolving and exposing you to new market trends and innovations while giving you a chance to contribute to our exciting platform. If you are a problem solver and visionary thinker then come join us at STARZ PLAY!","Entertainment Providers
            
              51-200 employees
            

              257 on LinkedIn"
Software Engineer,"Powersoft19 · Lahore District, Punjab, Pakistan (On-site)  
1 week ago",Full-time,https://www.linkedin.com/jobs/view/3727058595,201-500 employees,3727058595,https://www.linkedin.com/jobs/view/3727058595,"About the job
            

 
Skills: React NativeExperience with following: Professional screen designing Interact with Web APIs Google Maps (Location, routes) Experience with IoT (AWS, Azure) Deployment to Play Store / Apple store.Experience: 1-3 yearsInterested one, send resume on the following email:adeel.kamran@powersoft19.com","IT Services and IT Consulting
            
              201-500 employees
            

              329 on LinkedIn"
