Job Title,Job Info,Job Type,Job Link,employees
Celonis Process Mining Value Architec - Pakistan,"BAT · Islamabad, Islāmābād, Pakistan Reposted  
1 week ago

 · 71 applicants",Full-time · Entry level,https://www.linkedin.com/jobs/view/3715594145,"10,001+ employees · Tobacco Manufacturing"
"Lead Generation Manager, Technology & Data Strategy","Banyan Software · Karachi Division, Sindh, Pakistan Reposted  
1 week ago

 · 295 applicants",Full-time · Mid-Senior level,https://www.linkedin.com/jobs/view/3698265932,"501-1,000 employees · Software Development"
"Senior Analyst, Logistics Operations","foodpanda · Karāchi, Sindh, Pakistan (On-site) Reposted  
1 week ago

 · 1,296 applicants",Full-time · Mid-Senior level,https://www.linkedin.com/jobs/view/3676486535,"5,001-10,000 employees · Internet Marketplace Platforms"
Sr. SDET Engineer,"Afiniti · Karachi Division, Sindh, Pakistan (On-site) Reposted  
1 week ago",Full-time · Mid-Senior level,https://www.linkedin.com/jobs/view/3631030811,"1,001-5,000 employees · Software Development"
Renewal Billing Data Analyst (Intern),"TCP Software · Lahore, Punjab, Pakistan (On-site) Reposted  
1 week ago

 · 557 applicants",Full-time · Mid-Senior level,https://www.linkedin.com/jobs/view/3713019652,"501-1,000 employees · Software Development"
Senior Salesforce Developer,"S&P Global · Islamabad, Islāmābād, Pakistan (On-site) Reposted  
1 week ago

 · 175 applicants",Full-time,https://www.linkedin.com/jobs/view/3596792250,"10,001+ employees · Financial Services"
Information Security Analyst,"Zones IT Solutions · Islamabad, Islāmābād, Pakistan (On-site) Reposted  
1 week ago

 · 986 applicants",Full-time,https://www.linkedin.com/jobs/view/3468176893,"501-1,000 employees · IT Services and IT Consulting"
Director IT,"CureMD · Lahore, Punjab, Pakistan Reposted  
1 week ago

 · 242 applicants",Full-time · Director,https://www.linkedin.com/jobs/view/3730131123,"1,001-5,000 employees · Software Development"
Software Engineer- Mobile (Android),"Motive · Pakistan (Remote) Reposted  
1 week ago",Full-time · Associate,https://www.linkedin.com/jobs/view/3730823344,"1,001-5,000 employees · Software Development"
Product Manager,"Dubizzle Labs · Lahore, Punjab, Pakistan (On-site) Reposted  
1 week ago

 · 811 applicants",Full-time · Entry level,https://www.linkedin.com/jobs/view/3697608684,201-500 employees · IT Services and IT Consulting
Expression of Interest - Trade Analyst,"BAT · Lahore, Punjab, Pakistan (On-site) Reposted  
1 week ago

 · 293 applicants",Full-time · Mid-Senior level,https://www.linkedin.com/jobs/view/3697926275,"10,001+ employees · Tobacco Manufacturing"
