Job Title,Job Info,Job Type,Job Link,employees
Snr. Mgr. Metro & Transmission,"WorldCall Telecom Limited · Lahore, Punjab, Pakistan (On-site)  
1 week ago",Full-time,https://www.linkedin.com/jobs/view/3726270160,"1,001-5,000 employees"
Senior UI/UX Designer,"R-Technology · Karachi Division, Sindh, Pakistan (On-site)  
1 week ago",Full-time,https://www.linkedin.com/jobs/view/3728235345,51-200 employees
Manager Product Innovation,"Ingredion Incorporated · Faisalabad, Punjab, Pakistan (Hybrid) Reposted  
1 week ago

 · 212 applicants",Full-time · Mid-Senior level,https://www.linkedin.com/jobs/view/3711977720,"10,001+ employees · Food and Beverage Services"
Senior Software Engineer,"Afiniti · Islamabad, Islāmābād, Pakistan Reposted  
1 week ago",Full-time · Mid-Senior level,https://www.linkedin.com/jobs/view/3691553817,"1,001-5,000 employees · Software Development"
LinkedIn Data Extractor,"EcomFleet · Pakistan (Remote)  
1 week ago",Full-time,https://www.linkedin.com/jobs/view/3728211581,11-50 employees
Senior Computer Vision Engineer,"Motive · Pakistan (Remote) Reposted  
1 week ago

 · 328 applicants",Full-time · Mid-Senior level,https://www.linkedin.com/jobs/view/3677060094,"1,001-5,000 employees · Software Development"
"Manager, Data Strategy and Governance, FAAS, Rapid Innovations, Karachi","EY · Lahore, Punjab, Pakistan (Hybrid)  
1 week ago

 · 40 applicants",Full-time · Mid-Senior level,https://www.linkedin.com/jobs/view/3729490220,"10,001+ employees · Professional Services"
Lead Software Engineer,"RP International · Vienna, Austria (On-site) Reposted  
6 days ago",Full-time · Mid-Senior level,https://www.linkedin.com/jobs/view/3725536695,51-200 employees · Staffing and Recruiting
Sr Associate Technical Client Support,"S&P Global · Islamabad, Islāmābād, Pakistan (On-site)  
1 week ago

 · 122 applicants",Full-time,https://www.linkedin.com/jobs/view/3729164639,"10,001+ employees · Financial Services"
Data Activation & Delivery Manager,"BAT · Lahore, Punjab, Pakistan  
1 week ago

 · 51 applicants",Full-time · Mid-Senior level,https://www.linkedin.com/jobs/view/3729410018,"10,001+ employees · Tobacco Manufacturing"
Data Scientist,"Now Software (Pvt) Limited · Islāmābād, Pakistan (On-site)  
1 week ago",Full-time,https://www.linkedin.com/jobs/view/3728229559,11-50 employees
Senior Java Developer,"CureMD · Lahore, Punjab, Pakistan Reposted  
1 week ago

 · 252 applicants",Full-time · Mid-Senior level,https://www.linkedin.com/jobs/view/3652610024,"1,001-5,000 employees · Software Development"
"Research Executive, Customer Success","NielsenIQ · Lahore, Punjab, Pakistan Reposted  
5 hours ago

 · 264 applicants",Full-time · Mid-Senior level,https://www.linkedin.com/jobs/view/3727697626,"10,001+ employees · Information Services"
Senior MicroStrategy Consultant,"Teradata · Islamabad, Islāmābād, Pakistan (On-site) Reposted  
1 week ago",Full-time · Mid-Senior level,https://www.linkedin.com/jobs/view/3695087305,"10,001+ employees · Software Development"
"Senior Executive Quality Officer – Pakistan, Faisalabad","Siemens · Lahore, Punjab, Pakistan (On-site) Reposted  
1 week ago

 · 502 applicants",Full-time · Mid-Senior level,https://www.linkedin.com/jobs/view/3693019575,"10,001+ employees · Automation Machinery Manufacturing"
Cloud ISA - MS 365,"Zones IT Solutions · Islamabad, Islāmābād, Pakistan Reposted  
4 days ago

 · 83 applicants",Full-time,https://www.linkedin.com/jobs/view/3713885396,"501-1,000 employees · IT Services and IT Consulting"
Java Software Engineer,"Naseem · Islamabad, Islāmābād, Pakistan (On-site)  
1 week ago",Full-time,https://www.linkedin.com/jobs/view/3663357458,1-10 employees
Team Lead Contact Center,"Zameen.com · Lahore, Punjab, Pakistan (On-site)  
1 week ago

 · 237 applicants",Full-time · Mid-Senior level,https://www.linkedin.com/jobs/view/3728225735,"5,001-10,000 employees · Real Estate"
Data Scientist,"Turing · Pakistan (Remote) Reposted  
1 week ago

 · 122 applicants",Full-time · Entry level,https://www.linkedin.com/jobs/view/3728229206,"1,001-5,000 employees · IT Services and IT Consulting"
"Senior Technical Support Analyst, Skyvera (Remote) - $30,000/year USD","Crossover  · Lahore, Punjab, Pakistan (Remote) Reposted  
1 week ago",Full-time · Entry level,https://www.linkedin.com/jobs/view/3727367824,"5,001-10,000 employees · IT Services and IT Consulting"
Lead - Performance,"foodpanda · Lahore, Punjab, Pakistan (On-site) Reposted  
1 week ago

 · 376 applicants",Full-time · Mid-Senior level,https://www.linkedin.com/jobs/view/3710631172,"5,001-10,000 employees · Internet Marketplace Platforms"
Manager Planning- Field Crops,"Syngenta · Karāchi, Sindh, Pakistan (On-site) Reposted  
1 week ago

 · 903 applicants",Full-time · Mid-Senior level,https://www.linkedin.com/jobs/view/3711103935,"10,001+ employees · Farming"
DevOps Internship,"Khired Networks · Lahore, Punjab, Pakistan (On-site)  
1 week ago",Full-time,https://www.linkedin.com/jobs/view/3728210978,51-200 employees
Pre-Sales Solutions Engineer,"Oracle · Karāchi, Sindh, Pakistan (Hybrid) Reposted  
10 hours ago

 · 146 applicants",Full-time · Mid-Senior level,https://www.linkedin.com/jobs/view/3722491418,"10,001+ employees · IT Services and IT Consulting"
Software Engineer II- Android,"Careem · Lahore, Punjab, Pakistan Reposted  
1 week ago

 · 298 applicants",Full-time · Entry level,https://www.linkedin.com/jobs/view/3712067829,"1,001-5,000 employees · IT Services and IT Consulting"
Sr. Software Engineer - OpenSIPS,"Afiniti · Karachi Division, Sindh, Pakistan (Remote) Reposted  
1 week ago",Full-time · Mid-Senior level,https://www.linkedin.com/jobs/view/3713874120,"1,001-5,000 employees · Software Development"
"Senior Executive Quality Officer – Pakistan, Faisalabad","Siemens · Faisalabad, Punjab, Pakistan (On-site) Reposted  
1 week ago

 · 505 applicants",Full-time · Mid-Senior level,https://www.linkedin.com/jobs/view/3693022098,"10,001+ employees · Automation Machinery Manufacturing"
"Manager, Data Architect, FAAS, Rapid Innovations, Karachi","EY · Lahore, Punjab, Pakistan (Hybrid)  
1 week ago

 · 24 applicants",Full-time · Mid-Senior level,https://www.linkedin.com/jobs/view/3729490192,"10,001+ employees · Professional Services"
Manager RPA,"CureMD · Lahore, Punjab, Pakistan  
1 week ago

 · 42 applicants",Full-time · Mid-Senior level,https://www.linkedin.com/jobs/view/3727592756,"1,001-5,000 employees · Software Development"
Financial Planning & Analysis Associate,"Careem · Karāchi, Sindh, Pakistan (Remote) Reposted  
1 week ago

 · 985 applicants",Full-time · Mid-Senior level,https://www.linkedin.com/jobs/view/3706335864,"1,001-5,000 employees · IT Services and IT Consulting"
"Application Associate, SNL Feeds","S&P Global · Islamabad, Islāmābād, Pakistan (On-site) Reposted  
1 week ago

 · 74 applicants",Full-time,https://www.linkedin.com/jobs/view/3729167355,"10,001+ employees · Financial Services"
Cloud Technical Specialist,"Zones IT Solutions · Islamabad, Islāmābād, Pakistan (On-site) Reposted  
9 hours ago

 · 92 applicants",Full-time,https://www.linkedin.com/jobs/view/3720211981,"501-1,000 employees · IT Services and IT Consulting"
Property Specialist,"Zameen.com · Karāchi, Sindh, Pakistan (On-site)  
1 week ago

 · 84 applicants",Full-time · Associate,https://www.linkedin.com/jobs/view/3727922494,"5,001-10,000 employees · Real Estate"
Senior Manager Data & Analytics Activations,"BAT · Lahore, Punjab, Pakistan Reposted  
1 week ago

 · 122 applicants",Full-time · Mid-Senior level,https://www.linkedin.com/jobs/view/3729406527,"10,001+ employees · Tobacco Manufacturing"
Computer Vision Engineer,"Motive · Pakistan (Remote) Reposted  
1 week ago

 · 1,388 applicants",Full-time · Associate,https://www.linkedin.com/jobs/view/3574287743,"1,001-5,000 employees · Software Development"
Sales And Marketing Intern,"Adxa Sol Pvt. Ltd · Islamabad, Islāmābād, Pakistan (Hybrid)  
1 week ago",Part-time,https://www.linkedin.com/jobs/view/3686164601,1-10 employees
SC Agro Officer,"PepsiCo · Punjab, Pakistan (On-site) Reposted  
4 days ago

 · 342 applicants",Full-time,https://www.linkedin.com/jobs/view/3728958829,"10,001+ employees · Food and Beverage Services"
Creative Associate,"Abacus Outsourcing · Lahore, Punjab, Pakistan (On-site) Reposted  
1 week ago",Full-time · Associate,https://www.linkedin.com/jobs/view/3724314689,"1,001-5,000 employees · Outsourcing and Offshoring Consulting"
Category Manager Makeup,"L'Oréal · Karāchi, Sindh, Pakistan (On-site) Reposted  
4 days ago

 · 516 applicants",Full-time,https://www.linkedin.com/jobs/view/3713673542,"10,001+ employees · Personal Care Product Manufacturing"
Procurement Specialist,"foodpanda · Karachi Division, Sindh, Pakistan (On-site) Reposted  
1 week ago

 · 1,213 applicants",Full-time · Entry level,https://www.linkedin.com/jobs/view/3676486515,"5,001-10,000 employees · Internet Marketplace Platforms"
Manager Frontend App Development,"Jazz · Islamabad, Islāmābād, Pakistan (On-site)  
1 week ago",Full-time · Mid-Senior level,https://www.linkedin.com/jobs/view/3727906134,"1,001-5,000 employees · Telecommunications"
Import Officer,"Jayson Foods (Pvt.) Ltd · Karāchi, Sindh, Pakistan (On-site)  
1 week ago",Full-time,https://www.linkedin.com/jobs/view/3728229696,11-50 employees
Application Support Analyst,"Citi · Karāchi, Sindh, Pakistan (On-site) Reposted  
5 days ago

 · 362 applicants",Full-time,https://www.linkedin.com/jobs/view/3714623253,"10,001+ employees · Financial Services"
Production Officer,"Pfizer · Karachi Division, Sindh, Pakistan (On-site) Reposted  
5 hours ago

 · 1,344 applicants",Full-time · Entry level,https://www.linkedin.com/jobs/view/3693558511,"10,001+ employees · Pharmaceutical Manufacturing"
Team Leader Inbound,"Standard Chartered Bank · Lahore, Punjab, Pakistan (On-site)  
1 week ago",Full-time · Mid-Senior level,https://www.linkedin.com/jobs/view/3729515325,"10,001+ employees · Banking"
Executive CPI and Customer Experience,"Ufone 4G · Lahore, Punjab, Pakistan (On-site)  
1 week ago",Full-time · Entry level,https://www.linkedin.com/jobs/view/3728915769,"1,001-5,000 employees · Telecommunications"
Director Quality Operations,"HR Capital Consultants · Karachi Division, Sindh, Pakistan (On-site)  
1 week ago

 · 256 applicants",Full-time · Mid-Senior level,https://www.linkedin.com/jobs/view/3728202039,See how you compare to 256 applicants. Reactivate Premium
Senior AI/ML Engineer,"ASHLAR · Lahore, Punjab, Pakistan (On-site)  
1 week ago

 · 43 applicants",Full-time,https://www.linkedin.com/jobs/view/3728215450,11-50 employees
Digital Research Manager,"M&C Saatchi Group · Islāmābād, Pakistan (Hybrid) Reposted  
4 days ago

 · 189 applicants",Full-time · Mid-Senior level,https://www.linkedin.com/jobs/view/3725546575,"1,001-5,000 employees · Advertising Services"
Software Engineer,"vFairs · Lahore, Punjab, Pakistan (Hybrid)  
1 week ago

 · 143 applicants",Full-time · Associate,https://www.linkedin.com/jobs/view/3729177499,"201-500 employees · Technology, Information and Internet"
