Job Title,Job Info,Job Type,Job Link,employees
Database Administrator,"Nayatel · Islamabad, Islāmābād, Pakistan (On-site)  
4 days ago

 · 198 applicants",Full-time,https://www.linkedin.com/jobs/view/3734532098,"1,001-5,000 employees"
Senior Python/Django Developer,"Ignis Health · Pakistan (Remote) Reposted  
3 days ago",Full-time,https://www.linkedin.com/jobs/view/3733813423,11-50 employees
Senior Web Designer,"Sorcim Technologies · Rawalpindi, Punjab, Pakistan (On-site) Reposted  
4 days ago",Full-time,https://www.linkedin.com/jobs/view/3732886913,11-50 employees
Content Marketing Associate,"Avaza · Islamabad, Islāmābād, Pakistan (Hybrid)  
4 days ago

 · 74 applicants",Full-time,https://www.linkedin.com/jobs/view/3733342934,11-50 employees
Data Scientist,"Financial Consulting Group · Karāchi, Sindh, Pakistan (Remote)  
3 days ago

 · 51 applicants",Full-time,https://www.linkedin.com/jobs/view/3735004247,amir mughal is hiring for this job
Payroll Specialist,"CodeX Squared · Rawalpindi, Punjab, Pakistan (On-site)  
4 days ago",Full-time,https://www.linkedin.com/jobs/view/3734510652,11-50 employees
Senior Technical Writer,"Pena · Pakistan (Remote)  
3 days ago",Full-time,https://www.linkedin.com/jobs/view/3731029862,1-10 employees
UX/UI Designer,"CANZ Marketing · Islamabad, Islāmābād, Pakistan (On-site)  
4 days ago

 · 193 applicants",Full-time,https://www.linkedin.com/jobs/view/3734562644,51-200 employees
Microsoft Dynamics Consultant (Technical),"XPERT ACCOUNTECH SERVICES (XATS) PVT LTD · Karāchi, Sindh, Pakistan (On-site)  
4 days ago",Full-time,https://www.linkedin.com/jobs/view/3734511470,11-50 employees
Lead Generation - Bark and SMM,"R-Technology · Karachi Division, Sindh, Pakistan (On-site)  
3 days ago",Full-time,https://www.linkedin.com/jobs/view/3734591663,51-200 employees
Associate,"Channel Architects & Engineers · Islamabad, Islāmābād, Pakistan (Hybrid)  
3 days ago

 · 16 applicants",Full-time,https://www.linkedin.com/jobs/view/3730595126,51-200 employees
Intern Assistant,"Breeo International · Sialkot, Punjab, Pakistan (On-site)  
4 days ago",Full-time,https://www.linkedin.com/jobs/view/3734508218,11-50 employees
Digital Marketing Specialist,"Dave's Pest Control · Islāmābād, Pakistan (On-site)  
3 days ago",Full-time,https://www.linkedin.com/jobs/view/3716705300,11-50 employees
Junior Business Developer,"White Box · Lahore District, Punjab, Pakistan (On-site) Reposted  
4 days ago",Full-time,https://www.linkedin.com/jobs/view/3732856790,11-50 employees
Senior Sales Specialist,"Corporate World Intelligence · Karāchi, Sindh, Pakistan (On-site)  
3 days ago",Full-time,https://www.linkedin.com/jobs/view/3730544914,11-50 employees
Senior Software Engineer (Vue.js),"NorthBay - Pakistan · Punjab, Pakistan (On-site) Reposted  
3 days ago

 · 26 applicants",Full-time · Mid-Senior level,https://www.linkedin.com/jobs/view/3735749723,201-500 employees · IT Services and IT Consulting
,,,https://www.linkedin.com/jobs/view/3734527500,
Expression of Interest - Student Recruitment Advisor supporting foreign university clients,"Grok Global Services · Pakistan (Remote) Reposted  
4 days ago

 · 1,042 applicants",Full-time · Mid-Senior level,https://www.linkedin.com/jobs/view/3712753505,51-200 employees · Education Management
Application Support Analyst,"MD Tech (iPEMR) · Lahore, Punjab, Pakistan (On-site)  
3 days ago

 · 80 applicants",Full-time,https://www.linkedin.com/jobs/view/3734713034,51-200 employees
,,,https://www.linkedin.com/jobs/view/3734510079,
Software Engineer,"SolutionInn · Lahore, Punjab, Pakistan (On-site)  
4 days ago",Full-time,https://www.linkedin.com/jobs/view/3734561501,51-200 employees
