Job Title,Job Info,Job Type,Job Link,employees
Director de marketing,"Nicola Auto Service · Pakistan  
17 minutes ago

 · 14 applicants","Remote

 
Full-time",https://www.linkedin.com/jobs/view/3746472299,11-50 employees
Software Engineer (.net stack),"MicroSysX · Karāchi, Sindh, Pakistan  
2 hours ago

 · 11 applicants","On-site

 
Full-time",https://www.linkedin.com/jobs/view/3744283949,51-200 employees
Senior Frontend Developer,"CricksLab · Lahore, Punjab, Pakistan  
14 hours ago

 · 97 applicants","On-site

 
Full-time",https://www.linkedin.com/jobs/view/3744621329,11-50 employees
Fundraising Consultant (Telephone),"Eternal Sparks Consulting · Pakistan  
15 hours ago

 · 76 applicants","Remote

 
Full-time",https://www.linkedin.com/jobs/view/3746162592,1-10 employees
Data Specialist,"University of Engineering & Technology Peshawar · Peshawar, Khyber Pakhtunkhwa, Pakistan  
6 hours ago

 · 5 applicants","On-site

 
Full-time",https://www.linkedin.com/jobs/view/3744665279,"1,001-5,000 employees"
Digital Content Creator,"mimAR · Islamabad, Islāmābād, Pakistan Reposted  
20 hours ago

 · 59 applicants","On-site

 
Full-time",https://www.linkedin.com/jobs/view/3728899164,11-50 employees
Assistant Branch Manager,"Study Zone Consultants (Pvt.) Ltd. · Islāmābād, Pakistan  
6 hours ago

 · 42 applicants","On-site

 
Full-time",https://www.linkedin.com/jobs/view/3746430972,11-50 employees
Full stack Developer,"PakDevelopers.org · Islamabad, Islāmābād, Pakistan  
18 hours ago

 · 52 applicants","On-site

 
Full-time",https://www.linkedin.com/jobs/view/3744291101,11-50 employees
Node.js Developer,"Booqsly · Rawalpindi, Punjab, Pakistan Reposted  
56 minutes ago

 · 11 applicants","On-site

 
Full-time",https://www.linkedin.com/jobs/view/3743237236,Dilshad Khan is hiring for this job
Asst Manager Production,"AHR Solutions · Karachi Division, Sindh, Pakistan  
11 hours ago

 · 43 applicants","On-site

 
Full-time",https://www.linkedin.com/jobs/view/3744622209,11-50 employees
Data Analyst - Team Leader,"Virtual Impact Strategies · Lahore, Punjab, Pakistan  
1 hour ago

 · 7 applicants","On-site

 
Full-time",https://www.linkedin.com/jobs/view/3746470022,51-200 employees
Corporate Lawyer,"Khan & Associates · Lahore, Punjab, Pakistan  
19 hours ago

 · 55 applicants","On-site

 
Full-time",https://www.linkedin.com/jobs/view/3744227203,51-200 employees
Assistant Manager Project Sales,"Zameen.com · Lahore District, Punjab, Pakistan  
21 hours ago

 · 73 applicants","On-site

 
Full-time",https://www.linkedin.com/jobs/view/3744282870,"5,001-10,000 employees"
Principal AI Engineer,"CureMD · Lahore, Punjab, Pakistan Reposted  
16 hours ago

 · 431 applicants","Full-time

 
Mid-Senior level",https://www.linkedin.com/jobs/view/3633768201,"1,001-5,000 employees · Software Development"
