Job Title,Job Info,Job Type,Job Link,employees
Supply Chain Analyst,"izba · Pakistan  
1 week ago","Remote

 
Full-time",https://www.linkedin.com/jobs/view/3762611882,11-50 employees
Senior Microsoft Dynamics 365 Retail and eCommerce Consultant with 5 years ERP experience,"Yasoob Consulting · Rawalpindi, Punjab, Pakistan  
1 week ago","On-site

 
Full-time",https://www.linkedin.com/jobs/view/3762634051,11-50 employees
Google AdWords Specialist,"Amber Homes Real Estate · Lahore, Punjab, Pakistan  
1 week ago","On-site

 
Full-time",https://www.linkedin.com/jobs/view/3766513449,11-50 employees
Lead Blockchain Developer (Islamabad),"Orbit Cosmos · Islamabad, Islāmābād, Pakistan  
1 week ago

 · 88 applicants","On-site

 
Full-time",https://www.linkedin.com/jobs/view/3767215390,11-50 employees
Energy Analytics & Data Science Specialist,"Telenor · Islamabad, Islāmābād, Pakistan Reposted  
1 week ago","On-site

 
Full-time

 
Entry level",https://www.linkedin.com/jobs/view/3764785631,"10,001+ employees · Telecommunications"
,,,https://www.linkedin.com/jobs/view/3761869974,
Data Analyst - Digital Marketing,"Jome Journey · Pakistan  
1 week ago

 · 525 applicants","Remote

 
Full-time",https://www.linkedin.com/jobs/view/3761460114,11-50 employees
Sales Executive,"Dave's Pest Control · Islāmābād, Pakistan  
1 week ago","On-site

 
Full-time",https://www.linkedin.com/jobs/view/3761454628,11-50 employees
Creative Executive,"Quaid Ventures · Lahore District, Punjab, Pakistan  
2 weeks ago

 · 278 applicants","On-site

 
Full-time",https://www.linkedin.com/jobs/view/3764041091,201-500 employees
Sales Executive,"SYED BROTHERS PAKISTAN · Lahore, Punjab, Pakistan  
1 week ago","On-site

 
Full-time",https://www.linkedin.com/jobs/view/3765096189,"5,001-10,000 employees"
,,,https://www.linkedin.com/jobs/view/3767231783,
Back End Developer,"See Sight Tours · Islamabad, Islāmābād, Pakistan  
1 week ago","On-site

 
Full-time",https://www.linkedin.com/jobs/view/3761860120,51-200 employees
Python Developer,"Tranzit Corporation Inc. · Karāchi, Sindh, Pakistan  
2 weeks ago","Remote

 
Part-time",https://www.linkedin.com/jobs/view/3762845027,11-50 employees
Data Engineer,"Venture Data · Lahore, Punjab, Pakistan  
1 week ago","Hybrid

 
Full-time",https://www.linkedin.com/jobs/view/3766516104,11-50 employees
Full Stack Developer,"Senew Tech · Lahore District, Punjab, Pakistan  
1 week ago","On-site

 
Full-time",https://www.linkedin.com/jobs/view/3767771812,"501-1,000 employees"
AI and Automation Engineer,"SOCO ENGINEERS · Multan, Punjab, Pakistan  
1 week ago","On-site

 
Full-time",https://www.linkedin.com/jobs/view/3765088882,51-200 employees
,,,https://www.linkedin.com/jobs/view/3767229923,
Full Stack Software Engineer,"InnoSTARK Technologies Pvt. Ltd. · Lahore, Punjab, Pakistan  
1 week ago","Hybrid

 
Full-time",https://www.linkedin.com/jobs/view/3761428628,11-50 employees
Call Center Customer Service Representative (English Speaking),"Foxen Enterprises · Lahore, Punjab, Pakistan  
1 week ago

 · 180 applicants","On-site

 
Full-time",https://www.linkedin.com/jobs/view/3762630959,11-50 employees
Outbound Sales Specialist,"Sahar Advertising Services (Pvt) Ltd · Lahore, Punjab, Pakistan  
1 week ago","On-site

 
Full-time",https://www.linkedin.com/jobs/view/3765018372,51-200 employees
B2B Digital Marketing Specialist,"Livetecs · Karāchi, Sindh, Pakistan  
1 week ago","On-site

 
Full-time",https://www.linkedin.com/jobs/view/3761423600,11-50 employees
Web Developer,"Secure Purple · Islamabad, Islāmābād, Pakistan  
1 week ago","On-site

 
Full-time",https://www.linkedin.com/jobs/view/3761852137,1-10 employees
Flutter Developer,"CANZ Marketing · Islamabad, Islāmābād, Pakistan  
1 week ago","On-site

 
Full-time",https://www.linkedin.com/jobs/view/3764134451,51-200 employees
Business Development Specialist,"Reptech Solutions Pvt  Ltd · Lahore, Punjab, Pakistan  
1 week ago

 · 256 applicants","On-site

 
Full-time",https://www.linkedin.com/jobs/view/3764172712,11-50 employees
Web Application Developer,"Magnified Technologies · Lahore, Punjab, Pakistan  
2 weeks ago

 · 311 applicants","Remote

 
Full-time",https://www.linkedin.com/jobs/view/3765381831,1-10 employees
Sr Business Analyst (On Site),"Orbit Cosmos · Islamabad, Islāmābād, Pakistan  
1 week ago","On-site

 
Full-time",https://www.linkedin.com/jobs/view/3766475818,11-50 employees
Senior Structural Engineer,"SYED BROTHERS PAKISTAN · Lahore, Punjab, Pakistan  
1 week ago","On-site

 
Full-time",https://www.linkedin.com/jobs/view/3765095085,"5,001-10,000 employees"
Quality Control Analyst,"Mektum Homoeo Pharma · Korangi District, Sindh, Pakistan  
1 week ago","On-site

 
Full-time",https://www.linkedin.com/jobs/view/3765090417,201-500 employees
Performance Marketer - Digital Marketing,"Jome Journey · Lahore, Punjab, Pakistan  
1 week ago

 · 428 applicants","Remote

 
Full-time",https://www.linkedin.com/jobs/view/3761455923,11-50 employees
,,,https://www.linkedin.com/jobs/view/3767236058,
Business Intelligence Engineer,"Khaadi Corporation · Karāchi, Sindh, Pakistan  
2 weeks ago","On-site

 
Full-time

 
Associate",https://www.linkedin.com/jobs/view/3758908450,"501-1,000 employees · Retail"
Marketing Research Analyst,"Zones IT Solutions · Islamabad, Islāmābād, Pakistan Reposted  
1 week ago

 · 1,809 applicants","On-site

 
Full-time",https://www.linkedin.com/jobs/view/3570396229,"501-1,000 employees · IT Services and IT Consulting"
Data Specialist,"ibex · Lahore, Punjab, Pakistan  
2 weeks ago

 · 334 applicants","On-site

 
Full-time

 
Associate",https://www.linkedin.com/jobs/view/3758180144,"10,001+ employees · Outsourcing/Offshoring"
Integration Specialist,"Abacus · Lahore, Punjab, Pakistan  
2 weeks ago","On-site

 
Full-time

 
Mid-Senior level",https://www.linkedin.com/jobs/view/3762475193,"1,001-5,000 employees · IT Services and IT Consulting"
Sales Data Quality Analyst,"Motive · Pakistan  
1 week ago

 · 439 applicants","Remote

 
Full-time

 
Associate",https://www.linkedin.com/jobs/view/3765990309,"1,001-5,000 employees · Software Development"
,,,https://www.linkedin.com/jobs/view/3767230908,
Junior Data Analyst (Regional Customer Experience),"Daraz · Karāchi, Sindh, Pakistan  
1 week ago

 · 817 applicants","On-site

 
Full-time

 
Entry level",https://www.linkedin.com/jobs/view/3759760788,"1,001-5,000 employees · Software Development"
Manager- IT Business Analyst-Logistics,"A.P. Moller - Maersk · Karāchi, Sindh, Pakistan Reposted  
6 days ago","On-site

 
Full-time

 
Mid-Senior level",https://www.linkedin.com/jobs/view/3766527209,"10,001+ employees · Transportation, Logistics, Supply Chain and Storage"
BI Analyst,"Zameen.com · Lahore, Punjab, Pakistan  
2 weeks ago

 · 401 applicants","On-site

 
Full-time

 
Associate",https://www.linkedin.com/jobs/view/3763529116,"5,001-10,000 employees · Real Estate"
Marketing Operations Specialist,"TCP Software · Lahore, Punjab, Pakistan Reposted  
1 week ago

 · 242 applicants","On-site

 
Full-time

 
Mid-Senior level",https://www.linkedin.com/jobs/view/3748281602,"501-1,000 employees · Software Development"
Marketing Specialist - Power BI,"Zones IT Solutions · Islamabad, Islāmābād, Pakistan  
2 weeks ago

 · 82 applicants","On-site

 
Full-time",https://www.linkedin.com/jobs/view/3764684023,"501-1,000 employees · IT Services and IT Consulting"
,,,https://www.linkedin.com/jobs/view/3767231697,
Intern,"LONGi Solar · Lahore, Punjab, Pakistan  
1 week ago

 · 237 applicants","Hybrid

 
Internship

 
Internship",https://www.linkedin.com/jobs/view/3761415767,"10,001+ employees · Renewable Energy Semiconductor Manufacturing"
Merchant Acquiring Analyst,"Telenor Microfinance Bank Limited · Islamabad, Islāmābād, Pakistan  
1 week ago","On-site

 
Full-time

 
Associate",https://www.linkedin.com/jobs/view/3764161384,"1,001-5,000 employees · Banking"
IT Help Desk Support Specialist,"TCP Software · Lahore, Punjab, Pakistan Reposted  
10 hours ago

 · 727 applicants","Full-time

 
Mid-Senior level",https://www.linkedin.com/jobs/view/3747766944,"501-1,000 employees · Software Development"
Business Intelligence Consultant,"Teradata · Islamabad, Islāmābād, Pakistan  
1 week ago

 · 109 applicants","Full-time

 
Mid-Senior level",https://www.linkedin.com/jobs/view/3764828619,"10,001+ employees · Software Development"
Expert Growth & Analytics,"Jazz · Islamabad, Islāmābād, Pakistan  
2 weeks ago","On-site

 
Full-time

 
Associate",https://www.linkedin.com/jobs/view/3757642340,"1,001-5,000 employees · Telecommunications"
Data Entry Clerk Administrative (Remote) Work From Home,"South Asia
                  
Remote",,https://www.linkedin.com/jobs/view/3767231689,
MDM Project Manager,"LIPTON Teas and Infusions · Sindh, Pakistan  
2 weeks ago

 · 283 applicants","On-site

 
Part-time

 
Mid-Senior level",https://www.linkedin.com/jobs/view/3764202134,"10,001+ employees · Beverage Manufacturing"
Digital Enablement Manager,"JS Bank · Karāchi, Sindh, Pakistan  
2 weeks ago","On-site

 
Full-time

 
Mid-Senior level",https://www.linkedin.com/jobs/view/3764029878,"5,001-10,000 employees · Banking"
Sr SQA Engineer (On-Site),"Orbit Cosmos · Islamabad, Islāmābād, Pakistan  
1 week ago","On-site

 
Full-time",https://www.linkedin.com/jobs/view/3766551362,11-50 employees
